Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Shareef Abdur-Rahim,PF,29,SAC,6,129,11.3,.554,.070,.349,7.1,22.9,14.2,10.2,0.8,0.0,20.8,22.8,,0.0,0.0,-0.1,-0.030,,-3.5,-1.9,-5.4,-0.1,abdursh01
2,Malik Allen,PF,27,CHI,6,116,6.1,.460,.000,.033,5.1,12.9,9.0,10.3,0.9,4.5,24.7,15.9,,-0.2,0.1,-0.1,-0.031,,-4.6,1.9,-2.7,0.0,allenma01
3,Derek Anderson,SG,31,MIA,8,66,8.8,.510,.700,.400,0.0,15.5,8.1,12.0,1.6,0.0,11.3,19.1,,0.0,0.1,0.1,.105,,-2.4,1.2,-1.2,0.0,anderde01
4,Shandon Anderson,SF,32,MIA,13,90,1.7,.416,.231,.462,4.2,11.4,7.9,6.6,0.0,0.9,27.7,11.4,,-0.1,0.1,0.0,-0.020,,-3.9,-0.6,-4.5,-0.1,andersh01
5,Carmelo Anthony,SF,21,DEN,5,193,10.7,.431,.040,.525,6.2,14.4,9.7,14.3,1.1,0.4,11.0,31.2,,-0.3,0.3,0.0,-0.009,,-0.1,-1.4,-1.5,0.0,anthoca01
6,Gilbert Arenas,PG,24,WAS,6,284,26.4,.597,.329,.500,2.8,11.2,6.9,23.4,2.4,1.0,10.5,31.4,,1.0,0.3,1.3,.217,,7.4,0.8,8.2,0.7,arenagi01
7,Darrell Armstrong,PG,37,DAL,11,47,1.6,.252,.467,.133,2.5,15.9,9.0,6.3,3.4,1.8,5.9,16.7,,-0.1,0.1,-0.1,-0.058,,-8.2,2.0,-6.2,-0.1,armstda01
8,Chucky Atkins,PG,31,MEM,4,103,10.2,.481,.297,.216,0.0,3.6,1.9,25.1,1.1,0.0,9.0,22.4,,0.0,0.0,0.0,-0.015,,-0.4,-0.5,-0.8,0.0,atkinch01
9,Leandro Barbosa,SG,23,PHO,20,632,13.6,.579,.315,.265,1.0,5.0,3.0,13.1,1.2,0.5,10.6,20.4,,0.8,0.1,0.9,.069,,0.1,-0.5,-0.4,0.2,barbole01
10,Brent Barry,SG,34,SAS,13,301,15.6,.719,.557,.344,1.4,11.6,6.8,11.6,1.6,0.8,11.4,12.8,,0.8,0.1,1.0,.153,,2.5,1.6,4.1,0.5,barrybr01
11,Shane Battier,SF,27,MEM,4,129,6.8,.530,.350,.300,7.1,15.4,11.4,2.9,1.8,1.2,26.1,12.3,,-0.1,0.1,-0.1,-0.023,,-2.5,0.6,-1.9,0.0,battish01
12,Charlie Bell,SG,26,MIL,5,108,10.9,.499,.256,.163,2.2,1.2,1.7,10.3,1.5,1.6,8.0,21.6,,0.1,-0.1,0.0,-0.017,,-0.1,-1.3,-1.4,0.0,bellch01
13,Raja Bell,SG,29,PHO,17,673,12.1,.634,.521,.248,1.4,7.0,4.3,7.9,0.8,0.4,5.2,13.5,,1.4,0.1,1.4,.103,,0.6,0.0,0.6,0.4,bellra01
14,Mike Bibby,PG,27,SAC,6,255,12.3,.475,.283,.326,2.7,9.4,5.7,20.8,1.9,0.0,14.6,22.7,,0.0,-0.1,-0.1,-0.022,,0.7,-2.2,-1.5,0.0,bibbymi01
15,Chauncey Billups,PG,29,DET,18,705,19.1,.577,.410,.507,1.2,9.7,5.3,30.9,1.8,0.2,13.3,22.3,,1.8,0.9,2.7,.184,,3.6,0.8,4.4,1.1,billuch01
16,Andrew Bogut,PF,21,MIL,5,172,8.3,.434,.000,.174,6.3,16.4,11.2,14.7,0.9,0.0,13.9,15.6,,-0.1,-0.1,-0.2,-0.051,,-2.4,-1.1,-3.5,-0.1,bogutan01
17,Bruce Bowen,SF,34,SAS,13,442,7.9,.646,.492,.033,1.9,6.0,4.1,5.4,1.4,1.4,12.7,7.8,,0.4,0.1,0.5,.059,,-0.4,1.5,1.1,0.3,bowenbr01
18,Earl Boykins,PG,29,DEN,5,140,11.2,.414,.322,.288,2.1,3.8,2.9,26.3,1.5,0.0,4.3,21.8,,0.0,0.2,0.1,.050,,0.5,-0.3,0.2,0.1,boykiea01
19,Elton Brand,PF,26,LAC,12,517,26.4,.590,.004,.338,12.5,14.9,13.8,16.2,1.1,4.6,10.1,25.1,,1.8,0.7,2.4,.227,,5.8,1.5,7.2,1.2,brandel01
20,Kwame Brown,C,23,LAL,7,225,15.3,.572,.000,.477,9.1,17.1,12.9,5.1,0.5,2.3,13.2,18.3,,0.3,0.1,0.4,.081,,0.0,-0.2,-0.2,0.1,brownkw01
21,Kobe Bryant*,SG,27,LAL,7,314,19.9,.587,.241,.331,1.5,16.9,8.8,21.5,1.3,0.8,16.6,28.9,,0.5,0.1,0.6,.087,,3.0,-0.6,2.4,0.3,bryanko01
22,Greg Buckner,SG,29,DEN,5,137,14.2,.538,.582,.145,2.2,10.6,5.8,8.6,1.1,0.6,1.7,19.1,,0.2,0.2,0.4,.147,,2.0,1.2,3.3,0.2,buckngr01
23,Pat Burke,C,32,PHO,3,7,33.8,.563,.500,.250,17.3,33.7,25.6,0.0,0.0,10.2,0.0,29.9,,0.0,0.0,0.0,.185,,10.7,0.5,11.2,0.0,burkepa01
24,Antonio Burks,PG,25,MEM,2,13,19.2,.798,.000,2.000,0.0,9.5,4.9,28.9,4.5,0.0,0.0,7.5,,0.1,0.0,0.1,.227,,2.2,8.9,11.1,0.0,burksan01
25,Caron Butler,SF,25,WAS,6,262,15.6,.488,.139,.287,7.1,22.0,14.3,11.1,2.4,1.1,11.0,22.8,,0.1,0.4,0.5,.088,,-0.6,0.3,-0.3,0.1,butleca01
26,Andrew Bynum,C,18,LAL,1,2,-20.9,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.8,,0.0,0.0,0.0,-0.550,,-15.9,-10.3,-26.2,0.0,bynuman01
27,Marcus Camby,C,31,DEN,5,175,15.9,.432,.000,.145,7.4,31.8,17.9,11.8,1.2,6.3,5.7,17.6,,0.0,0.4,0.4,.108,,0.1,2.9,3.0,0.2,cambyma01
28,Brian Cardinal,PF,28,MEM,3,22,12.3,.750,1.000,.000,6.0,16.9,11.6,8.1,2.6,0.0,0.0,4.7,,0.0,0.0,0.1,.135,,1.4,3.0,4.4,0.0,cardibr01
29,Vince Carter,SG,29,NJN,11,450,26.8,.559,.238,.443,4.2,17.6,10.7,27.8,2.4,1.3,8.2,33.8,,1.3,0.6,1.9,.207,,7.4,2.0,9.4,1.3,cartevi01
30,Sam Cassell,PG,36,LAC,12,404,18.5,.548,.257,.407,2.8,10.3,6.9,27.0,1.0,0.4,12.4,25.2,,0.9,0.3,1.2,.140,,2.8,-0.9,1.9,0.4,cassesa01
31,Kelvin Cato,C,31,DET,4,15,23.7,.600,.000,.000,23.6,33.9,28.6,0.0,0.0,0.0,0.0,16.2,,0.1,0.0,0.1,.263,,2.3,-4.0,-1.8,0.0,catoke01
32,Tyson Chandler,C,23,CHI,6,104,3.1,.529,.000,1.667,9.0,21.0,15.1,4.3,1.0,1.7,36.6,7.2,,0.0,0.1,0.1,.045,,-7.3,1.5,-5.8,-0.1,chandty01
