Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Malik Allen,PF,25,MIA,10,138,16.1,.472,.000,.184,10.0,15.0,12.5,6.1,0.8,5.6,7.0,19.8,,0.2,0.2,0.4,.131,,-0.8,1.0,0.2,0.1,allenma01
2,Rafer Alston,PG,27,MIA,13,295,10.0,.446,.571,.275,1.6,9.7,5.6,13.9,0.9,0.3,8.9,18.2,,0.2,0.2,0.4,.061,,-1.5,-0.7,-2.2,0.0,alstora01
3,Chris Andersen,PF,25,DEN,5,34,13.6,.333,.000,.000,18.7,29.7,23.7,8.6,1.5,4.5,18.2,14.3,,0.0,0.0,0.0,.033,,-1.1,0.5,-0.6,0.0,anderch01
4,Kenny Anderson,PG,33,IND,4,19,-13.3,.286,.000,.000,0.0,6.0,3.0,9.9,2.9,0.0,41.7,30.4,,-0.2,0.0,-0.2,-0.461,,-18.7,-4.3,-23.0,-0.1,anderke01
5,Shandon Anderson,SG,30,NYK,4,117,1.2,.305,.259,.074,4.4,4.6,4.5,16.2,1.8,0.7,22.3,13.7,,-0.3,0.0,-0.3,-0.112,,-6.2,-1.0,-7.2,-0.2,andersh01
6,Carmelo Anthony,SF,19,DEN,4,143,9.8,.412,.172,.313,5.2,23.0,13.3,12.2,1.8,0.0,18.9,27.7,,-0.3,0.1,-0.2,-0.060,,-3.3,-1.5,-4.8,-0.1,anthoca01
7,Brandon Armstrong,SG,23,NJN,8,32,2.1,.250,.083,.000,3.8,3.5,3.6,17.7,1.7,0.0,0.0,17.7,,-0.1,0.0,0.0,-0.058,,-6.0,-0.7,-6.7,0.0,armstbr01
8,Darrell Armstrong,PG,35,NOH,7,150,3.9,.340,.735,.088,4.5,6.9,5.6,19.2,2.2,0.0,26.9,15.1,,-0.3,0.2,-0.2,-0.053,,-4.7,-0.7,-5.4,-0.1,armstda01
9,Chucky Atkins,PG,29,BOS,4,133,16.5,.570,.256,.487,2.7,9.0,6.0,23.9,1.2,0.0,17.4,20.3,,0.3,-0.1,0.1,.052,,1.3,-1.9,-0.6,0.0,atkinch01
10,Stacey Augmon,SF,35,NOH,7,168,8.2,.465,.021,.375,2.6,10.2,6.4,8.3,2.0,0.5,18.9,19.2,,-0.1,0.2,0.1,.025,,-4.3,0.7,-3.6,-0.1,augmost01
11,Vin Baker,PF,32,NYK,4,57,19.5,.612,.000,.643,10.9,14.2,12.3,3.5,2.7,3.0,10.0,15.7,,0.2,0.0,0.2,.175,,1.6,1.4,3.0,0.1,bakervi01
12,Marcus Banks,PG,22,BOS,4,60,14.2,.563,.313,.250,2.0,10.9,6.7,24.2,1.7,1.2,14.5,16.3,,0.1,0.0,0.1,.070,,-0.5,1.7,1.2,0.0,banksma01
13,Dana Barros,SG,36,BOS,1,1,-41.0,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,,0.0,0.0,0.0,-1.203,,-27.5,-18.0,-45.5,0.0,barroda01
14,Jon Barry,SG,34,DEN,5,100,10.2,.415,.375,.125,4.2,17.7,10.4,14.4,1.6,0.0,13.6,12.9,,0.0,0.0,0.1,.031,,-1.4,-0.1,-1.5,0.0,barryjo01
15,Shane Battier,SF,25,MEM,4,69,7.0,.539,.467,.400,10.4,11.4,10.9,2.6,0.0,1.2,18.5,15.5,,0.1,-0.1,0.0,-0.021,,-2.7,-3.1,-5.9,-0.1,battish01
16,Jonathan Bender,SF,23,IND,16,200,14.4,.506,.362,.232,5.7,10.3,8.0,7.0,0.6,5.5,13.6,21.2,,0.1,0.3,0.4,.099,,0.3,0.8,1.1,0.2,bendejo01
17,Mike Bibby,PG,25,SAC,12,497,20.0,.545,.281,.281,2.0,8.4,5.3,30.2,2.4,0.7,13.7,23.0,,1.3,0.3,1.5,.148,,3.2,1.3,4.5,0.8,bibbymi01
18,Chauncey Billups,PG,27,DET,23,881,18.8,.546,.374,.476,1.8,7.3,4.5,29.8,2.0,0.2,14.8,21.8,,2.5,1.2,3.7,.203,,3.2,1.4,4.6,1.4,billuch01
19,Mark Blount,C,28,BOS,4,145,16.1,.554,.000,.543,8.3,20.3,14.6,5.7,2.2,4.0,17.2,17.0,,0.2,0.0,0.2,.070,,-0.6,1.1,0.4,0.1,blounma01
20,Bruce Bowen,SF,32,SAS,10,298,6.5,.437,.460,.206,2.3,9.6,5.8,5.4,0.7,0.8,5.5,11.5,,0.1,0.1,0.3,.043,,-2.5,1.2,-1.3,0.1,bowenbr01
21,Ryan Bowen,PF,28,DEN,4,6,16.3,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,,0.0,0.0,0.0,.147,,4.0,0.6,4.6,0.0,bowenry01
22,Earl Boykins,SG,27,DEN,5,121,23.5,.507,.222,.111,5.2,6.3,5.7,28.9,2.2,0.6,8.3,26.3,,0.4,0.0,0.4,.171,,6.3,1.0,7.3,0.3,boykiea01
23,Shawn Bradley,C,31,DAL,2,3,-6.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.029,,-18.6,-1.8,-20.4,0.0,bradlsh01
24,Devin Brown,SG,25,SAS,9,130,15.4,.585,.270,.459,3.5,13.4,8.3,12.4,1.3,0.6,13.6,18.6,,0.3,0.1,0.4,.154,,1.3,3.1,4.4,0.2,brownde02
25,P.J. Brown,PF,34,NOH,7,256,12.5,.409,.000,.155,12.6,17.4,15.0,11.5,0.6,3.5,14.6,16.2,,0.0,0.4,0.4,.072,,-0.9,0.4,-0.6,0.1,brownpj01
26,Kobe Bryant*,SG,25,LAL,22,973,21.0,.506,.211,.361,2.2,10.3,6.2,25.6,2.4,0.6,10.3,29.8,,2.1,0.8,2.9,.145,,4.6,0.6,5.3,1.8,bryanko01
27,Rodney Buford,SF,26,SAC,5,32,16.6,.466,.250,.167,0.0,15.8,8.2,16.4,3.2,0.0,0.0,18.0,,0.0,0.0,0.1,.125,,1.1,4.3,5.4,0.1,buforro01
28,Caron Butler,SF,23,MIA,13,511,15.4,.469,.072,.373,4.0,20.7,12.3,11.6,3.0,1.2,11.4,18.9,,0.4,1.0,1.4,.128,,-0.9,3.3,2.4,0.6,butleca01
29,Rasual Butler,SF,24,MIA,10,58,10.0,.477,.409,.000,0.0,21.8,10.9,7.2,1.0,0.0,4.3,19.0,,0.0,0.1,0.1,.100,,-3.0,0.2,-2.8,0.0,butlera01
30,Marcus Camby,C,29,DEN,5,194,17.1,.515,.036,.255,7.6,28.0,16.9,9.7,1.1,2.8,8.9,15.3,,0.4,0.2,0.6,.137,,0.8,1.6,2.4,0.2,cambyma01
31,Elden Campbell,C,35,DET,14,124,8.4,.349,.000,.514,9.3,13.8,11.5,14.4,2.7,6.1,17.3,19.8,,-0.2,0.3,0.1,.037,,-6.0,4.5,-1.5,0.0,campbel01
32,Maurice Carter,SG,27,NOH,1,2,-21.4,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,,0.0,0.0,0.0,-0.541,,-13.7,-9.4,-23.1,0.0,cartema01
33,Sam Cassell,PG,34,MIN,16,497,19.6,.579,.297,.302,0.7,8.1,4.6,27.4,1.3,0.4,15.8,25.8,,1.4,0.1,1.5,.141,,2.0,-0.5,1.5,0.5,cassesa01
34,Kelvin Cato,PF,29,HOU,5,148,12.5,.578,.000,.318,11.6,14.8,13.3,2.4,1.8,2.0,16.6,9.8,,0.2,0.2,0.4,.120,,-0.6,2.5,1.9,0.1,catoke01
35,Doug Christie,SG,33,SAC,12,461,15.9,.512,.234,.340,4.1,12.5,8.5,16.8,2.5,0.8,11.9,17.9,,0.8,0.3,1.1,.117,,0.3,1.9,2.2,0.5,chrisdo01
36,Jason Collins,C,25,NJN,11,266,5.7,.444,.000,.421,8.3,10.8,9.6,11.2,0.6,2.9,25.0,10.6,,0.0,0.3,0.3,.055,,-4.3,1.6,-2.8,-0.1,collija04
37,Brian Cook,C,23,LAL,13,46,4.9,.378,.000,.133,7.6,22.8,15.2,3.8,1.2,0.0,15.9,20.0,,-0.1,0.0,0.0,-0.045,,-6.6,-2.8,-9.4,-0.1,cookbr01
38,Austin Croshere,PF,28,IND,13,214,13.6,.490,.436,.382,6.9,14.4,10.6,10.2,1.0,1.1,8.5,15.8,,0.4,0.3,0.6,.146,,1.5,0.4,1.9,0.2,croshau01
39,Marquis Daniels,SG,23,DAL,5,184,15.0,.466,.093,.293,4.7,12.3,8.1,13.1,2.7,1.2,15.0,21.6,,0.1,0.1,0.2,.056,,-0.7,1.1,0.4,0.1,daniema01
40,Baron Davis,PG,24,NOH,7,260,20.4,.494,.430,.289,2.6,10.1,6.3,42.4,2.3,1.5,12.9,26.6,,0.6,0.4,0.9,.171,,4.6,1.6,6.2,0.5,davisba01
41,Ricky Davis,SF,24,BOS,4,123,11.1,.500,.250,.400,2.9,8.0,5.6,24.3,0.9,0.0,20.3,22.6,,0.0,-0.1,-0.1,-0.053,,-0.2,-2.6,-2.8,0.0,davisri01
42,Tony Delk,SG,30,DAL,1,5,28.2,,,,0.0,21.6,9.6,50.3,10.0,0.0,,0.0,,0.0,0.0,0.0,.287,,5.3,14.0,19.3,0.0,delkto01
43,Vlade Divac*,C,35,SAC,12,235,14.3,.487,.000,.324,10.3,16.0,13.2,15.7,0.9,1.5,14.7,18.1,,0.3,0.1,0.4,.091,,-0.3,-0.2,-0.5,0.1,divacvl01
44,Michael Doleac,C,26,DEN,5,49,7.2,.500,.000,.000,4.3,12.9,8.2,9.1,0.0,0.0,9.1,9.9,,0.1,0.0,0.0,.048,,-2.7,0.2,-2.5,0.0,doleami01
45,Tim Duncan*,PF,27,SAS,10,405,24.1,.560,.006,.547,9.3,24.6,16.7,16.0,1.1,4.1,17.6,27.7,,1.0,0.6,1.5,.183,,2.5,2.7,5.2,0.7,duncati01
46,Francisco Elson,C,27,DEN,4,60,7.9,.582,.000,.167,1.8,16.8,8.6,5.1,1.8,1.3,18.9,11.7,,0.0,0.0,0.1,.057,,-6.1,2.6,-3.5,0.0,elsonfr01
47,Michael Finley,SG,30,DAL,5,196,10.0,.449,.382,.147,2.6,5.5,3.9,10.0,1.0,1.1,11.1,16.6,,0.1,0.0,0.1,.022,,-0.5,-0.9,-1.4,0.0,finlemi01
48,Derek Fisher,SG,29,LAL,22,507,13.3,.508,.372,.236,2.3,10.6,6.4,17.1,2.0,0.0,10.4,17.5,,0.7,0.3,1.0,.095,,-0.3,1.3,1.0,0.4,fishede01
49,Jeff Foster,C,27,IND,16,307,16.4,.612,.023,.233,16.2,22.7,19.4,7.0,2.4,1.3,21.5,9.5,,0.7,0.6,1.3,.207,,0.4,1.6,2.0,0.3,fosteje01
50,Rick Fox,SF,34,LAL,16,145,6.5,.431,.350,.100,4.8,13.7,9.2,19.8,1.1,1.1,30.1,10.0,,0.0,0.1,0.1,.022,,-4.1,1.2,-3.0,0.0,foxri01
51,Steve Francis,PG,26,HOU,5,222,19.9,.548,.243,.571,3.3,17.7,10.9,33.3,1.7,0.3,19.3,23.7,,0.5,0.2,0.7,.148,,2.3,2.6,4.9,0.4,francst01
52,Dan Gadzuric,C,25,MIL,1,9,24.6,.450,.000,.250,0.0,13.0,6.3,49.1,5.9,0.0,0.0,22.8,,0.0,0.0,0.0,.148,,6.4,6.0,12.5,0.0,gadzuda01
53,Kevin Garnett*,PF,27,MIN,18,783,25.0,.513,.043,.336,6.0,31.3,19.3,24.1,1.6,3.9,14.9,30.3,,1.4,1.3,2.7,.163,,3.6,2.9,6.5,1.7,garneke01
54,Pau Gasol*,PF,23,MEM,4,134,29.4,.640,.000,.408,3.6,15.7,9.4,17.3,1.7,3.9,8.0,23.2,,0.7,-0.1,0.6,.221,,8.0,1.7,9.6,0.4,gasolpa01
55,Devean George,SF,26,LAL,22,470,11.3,.556,.590,.200,2.7,9.7,6.2,4.0,2.5,1.4,9.2,12.4,,0.5,0.4,1.0,.097,,0.4,1.6,2.1,0.5,georgde01
56,Manu Ginóbili*,SG,26,SAS,10,280,22.2,.573,.372,.468,6.1,16.9,11.3,20.2,3.3,0.3,15.6,22.5,,0.9,0.4,1.3,.224,,2.8,4.3,7.2,0.6,ginobma01
57,Brian Grant,C,31,MIA,13,399,10.9,.442,.010,.143,12.9,19.3,16.1,4.7,1.0,1.7,14.7,14.7,,0.1,0.5,0.6,.078,,-2.5,-0.3,-2.8,-0.1,grantbr01
58,Marcus Haislip,PF,23,MIL,1,3,46.2,1.000,.000,.000,36.9,0.0,19.0,0.0,0.0,0.0,0.0,15.4,,0.0,0.0,0.0,.379,,19.9,-2.8,17.1,0.0,haislma01
59,Darvin Ham,SF,30,DET,22,108,4.1,.500,.063,.000,8.5,6.3,7.4,1.6,1.5,3.1,33.3,10.5,,-0.1,0.2,0.1,.026,,-6.1,2.3,-3.8,0.0,hamda01
60,Richard Hamilton,SG,25,DET,23,924,19.6,.530,.096,.341,4.0,9.1,6.6,23.5,1.6,0.1,13.4,27.6,,2.3,1.3,3.5,.182,,2.3,1.3,3.6,1.3,hamilri01
61,Anfernee Hardaway,SG,32,NYK,4,168,14.6,.465,.222,.286,2.5,11.3,6.3,27.2,1.8,0.5,12.4,21.5,,0.1,0.0,0.2,.044,,1.7,0.6,2.3,0.2,hardaan01
62,Al Harrington,PF,23,IND,16,427,13.9,.463,.036,.393,8.7,18.4,13.6,5.6,3.0,1.7,14.6,21.7,,-0.1,0.9,0.8,.094,,-2.2,1.3,-0.9,0.1,harrial01
63,Lucious Harris,PG,33,NJN,11,182,12.5,.483,.245,.367,6.8,7.3,7.1,10.6,2.1,0.4,8.1,16.0,,0.3,0.2,0.5,.129,,-0.3,1.4,1.1,0.1,harrilu01
64,Jason Hart,PG,25,SAS,7,62,15.5,.550,.000,.000,0.0,6.0,2.9,3.1,4.4,0.0,4.8,15.9,,0.1,0.1,0.2,.137,,-2.2,4.1,1.8,0.1,hartja01
65,Udonis Haslem,PF,23,MIA,13,199,13.0,.504,.000,.939,10.4,15.0,12.7,2.6,1.4,1.3,6.0,12.0,,0.4,0.2,0.6,.154,,-0.3,0.3,-0.1,0.1,hasleud01
66,Trenton Hassell,SG,24,MIN,18,472,12.5,.547,.017,.134,5.4,5.3,5.4,10.0,1.1,1.1,11.3,14.2,,0.8,0.0,0.8,.085,,-0.4,1.0,0.7,0.3,hassetr01
67,Nenê,PF,21,DEN,5,132,13.2,.467,.000,.361,9.6,12.4,10.9,17.4,2.0,1.8,17.7,17.0,,0.1,0.1,0.2,.065,,-1.1,1.5,0.4,0.1,hilarne01
68,Fred Hoiberg,SG,31,MIN,18,438,13.9,.618,.558,.186,2.5,14.2,8.7,8.6,2.0,0.0,7.9,10.9,,1.0,0.2,1.3,.139,,1.2,1.9,3.1,0.6,hoibefr01
69,Robert Horry,PF,33,SAS,10,211,17.3,.620,.512,.326,13.6,22.5,17.8,7.1,2.1,0.8,16.9,13.2,,0.6,0.3,0.9,.204,,1.4,2.9,4.2,0.3,horryro01
70,Josh Howard,SF,23,DAL,5,86,13.8,.331,.139,.306,17.1,18.9,17.9,6.6,3.5,5.1,14.6,22.2,,-0.1,0.1,0.0,.021,,-1.5,1.0,-0.5,0.0,howarjo01
71,Ryan Humphrey,PF,24,MEM,3,5,33.6,1.000,.000,.000,24.0,26.3,25.1,0.0,0.0,0.0,0.0,9.9,,0.0,0.0,0.0,.296,,13.4,-1.3,12.1,0.0,humphry01
72,Brandon Hunter,PF,23,BOS,3,10,17.9,1.000,.000,.000,24.0,10.9,17.1,20.0,0.0,7.3,50.0,9.4,,0.0,0.0,0.0,.106,,0.5,2.6,3.1,0.0,huntebr01
73,Lindsey Hunter,SG,33,DET,23,273,7.7,.398,.462,.185,2.1,11.7,6.9,13.4,3.7,1.2,15.6,14.5,,-0.2,0.6,0.4,.077,,-6.0,4.6,-1.3,0.1,hunteli01
74,Jim Jackson,SF,33,HOU,5,221,13.1,.473,.397,.164,1.7,24.3,13.6,8.7,1.2,0.3,10.3,19.1,,0.1,0.2,0.3,.061,,0.0,1.8,1.8,0.2,jacksji01
