Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Ray Allen*,SG,37,MIA,23,573,14.4,.598,.558,.314,2.9,10.8,6.9,8.3,1.2,0.4,12.1,18.8,,1.1,0.5,1.5,.129,,1.5,-0.8,0.7,0.4,allenra02
2,Tony Allen,SG,31,MEM,15,422,17.7,.512,.064,.464,9.9,16.2,12.9,11.3,3.9,1.0,11.2,18.7,,0.6,0.7,1.3,.148,,0.4,3.9,4.2,0.7,allento01
3,Chris Andersen,C,34,MIA,20,303,24.9,.815,.000,.860,13.3,17.6,15.5,1.7,1.6,6.2,12.3,14.3,,1.4,0.5,1.9,.309,,2.8,2.8,5.5,0.6,anderch01
4,James Anderson,SG,23,HOU,2,18,-1.4,.200,.600,.000,6.1,18.9,12.4,0.0,0.0,0.0,0.0,12.2,,0.0,0.0,-0.1,-0.140,,-7.5,-3.2,-10.7,0.0,anderja01
5,Carmelo Anthony,PF,28,NYK,12,481,20.4,.497,.184,.281,2.5,18.2,9.7,9.3,1.5,0.4,8.2,38.0,,0.4,0.8,1.1,.114,,4.1,-1.2,2.9,0.6,anthoca01
6,Joel Anthony,C,30,MIA,14,71,6.4,.300,.000,.000,17.7,18.8,18.3,0.0,1.5,4.8,23.1,8.9,,0.0,0.1,0.1,.047,,-4.9,-0.7,-5.6,-0.1,anthojo01
7,Darrell Arthur,PF,24,MEM,15,175,11.1,.509,.038,.170,9.1,17.3,13.0,6.2,0.6,1.9,10.9,17.0,,0.2,0.2,0.3,.086,,-3.4,1.2,-2.3,0.0,arthuda01
8,Ömer Aşık,C,26,HOU,6,208,16.9,.620,.000,1.205,11.1,25.1,18.0,2.4,0.7,4.2,16.7,15.2,,0.4,0.1,0.5,.123,,0.2,0.8,1.0,0.2,asikom01
9,D.J. Augustin,PG,25,IND,19,316,9.7,.579,.676,.437,0.8,4.6,2.8,7.1,1.2,0.0,10.6,14.0,,0.5,0.2,0.7,.106,,-1.1,0.8,-0.3,0.1,augusdj01
10,Gustavo Ayón,C,27,MIL,3,7,14.1,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,,0.0,0.0,0.0,-0.045,,0.3,-3.9,-3.6,0.0,ayongu01
11,Jeff Ayres,PF,25,IND,9,71,2.0,.333,.042,.000,6.9,22.2,14.9,2.5,0.0,2.3,11.1,17.8,,-0.2,0.1,-0.1,-0.052,,-8.0,-1.5,-9.5,-0.1,pendeje02
12,Harrison Barnes,SF,20,GSW,12,461,13.8,.544,.321,.216,4.6,13.7,9.4,5.1,0.8,0.8,8.3,18.7,,0.7,0.3,1.0,.103,,0.5,-0.1,0.4,0.3,barneha02
13,Matt Barnes,SF,32,LAC,6,162,18.4,.678,.386,.432,5.7,17.6,11.9,3.2,1.3,0.9,8.7,17.2,,0.6,0.0,0.6,.166,,3.4,-0.3,3.1,0.2,barnema02
14,Brandon Bass,PF,27,BOS,6,204,9.3,.562,.000,.517,5.2,17.3,11.8,6.7,0.5,0.4,12.3,10.1,,0.2,0.3,0.5,.120,,-2.2,1.3,-0.8,0.1,bassbr01
15,Shane Battier,SF,34,MIA,22,392,7.4,.489,.946,.301,2.9,9.0,6.0,4.6,0.7,1.3,4.5,13.6,,0.4,0.3,0.6,.077,,-0.9,-1.1,-2.0,0.0,battish01
16,Jerryd Bayless,PG,24,MEM,15,320,11.5,.468,.431,.190,0.4,11.5,5.6,18.4,1.2,1.3,9.7,24.0,,0.0,0.3,0.3,.040,,-0.8,0.1,-0.7,0.1,bayleje01
17,Aron Baynes,C,26,SAS,4,23,10.6,.571,.000,.000,10.3,14.5,12.5,0.0,0.0,0.0,12.5,16.5,,0.0,0.0,0.0,.090,,-5.0,-2.5,-7.5,0.0,baynear01
18,Kent Bazemore,SG,23,GSW,9,16,-13.7,.102,.125,.500,7.4,26.7,17.5,17.1,3.2,0.0,17.0,32.8,,-0.2,0.0,-0.2,-0.514,,-19.6,-4.8,-24.4,-0.1,bazemke01
19,Marco Belinelli,SG,26,CHI,12,325,13.7,.547,.439,.308,0.0,13.6,6.6,16.6,0.8,0.0,11.0,19.8,,0.5,0.0,0.5,.079,,0.0,0.5,0.5,0.2,belinma01
20,Patrick Beverley,PG,24,HOU,6,200,14.6,.521,.369,.108,6.0,12.5,9.2,14.8,1.8,1.8,8.1,16.3,,0.4,0.0,0.4,.096,,1.0,1.2,2.2,0.2,beverpa01
21,Andris Biedriņš,C,26,GSW,3,17,6.4,,,,13.9,31.4,23.1,7.4,0.0,9.2,100.0,2.6,,0.0,0.0,0.0,.094,,-8.6,6.3,-2.4,0.0,biedran01
22,Chauncey Billups,SG,36,LAC,6,115,5.7,.453,.472,.306,2.3,10.8,6.7,8.2,0.5,0.7,16.4,20.6,,-0.1,-0.1,-0.2,-0.080,,-1.9,-4.0,-5.9,-0.1,billuch01
23,DeJuan Blair,PF,23,SAS,12,76,31.2,.619,.000,.265,9.4,26.3,18.1,18.7,3.5,1.0,2.6,24.2,,0.4,0.2,0.6,.348,,3.2,4.3,7.5,0.2,blairde01
24,Steve Blake,PG,32,LAL,2,75,12.1,.492,.429,.036,0.0,12.7,6.2,11.7,2.8,2.9,12.3,20.2,,0.0,0.0,0.0,-0.008,,-0.4,2.1,1.7,0.1,blakest01
25,Andray Blatche,C,26,BRK,7,138,21.7,.550,.000,.293,8.5,21.2,14.7,12.4,0.8,1.6,7.1,24.1,,0.4,0.1,0.5,.184,,2.9,0.1,3.0,0.2,blatcan01
26,Eric Bledsoe,PG,23,LAC,6,97,19.8,.553,.300,.400,2.7,16.6,9.9,32.1,1.1,2.4,12.4,20.1,,0.2,0.0,0.3,.124,,4.3,1.2,5.5,0.2,bledser01
27,Keith Bogans,SG,32,BRK,2,23,-2.3,.000,1.000,.000,0.0,10.6,5.2,11.8,0.0,0.0,50.0,4.1,,0.0,0.0,0.0,-0.063,,-7.7,-0.7,-8.4,0.0,boganke01
28,Andrew Bogut,C,28,GSW,12,327,16.1,.558,.000,.343,14.1,30.1,22.5,10.0,0.9,4.3,22.2,13.5,,0.3,0.5,0.8,.122,,-0.3,2.6,2.3,0.3,bogutan01
