Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
29,Ronnie Brewer,SG,21,UTA,8,41,17.1,.604,.000,1.300,5.7,11.5,8.6,8.0,1.3,0.0,11.3,19.4,,0.1,0.0,0.1,.138,,1.1,-0.3,0.8,0.0,brewero02
30,Dee Brown,PG,22,UTA,8,52,4.5,.346,.353,.235,2.2,4.5,3.4,27.1,0.0,0.0,17.6,19.6,,-0.1,0.0,-0.1,-0.112,,-3.1,-3.6,-6.7,-0.1,brownde03
31,Kwame Brown,C,24,LAL,5,133,11.2,.538,.000,.250,10.4,13.9,12.0,1.2,0.4,2.4,18.4,16.0,,0.1,0.0,0.0,.005,,-2.4,-0.8,-3.2,0.0,brownkw01
32,P.J. Brown,PF,37,CHI,10,228,15.2,.538,.000,.343,8.8,15.2,12.0,9.9,1.9,0.7,9.4,17.3,,0.4,0.3,0.7,.151,,-0.7,2.8,2.1,0.2,brownpj01
33,Shannon Brown,SG,21,CLE,1,0,,,,,,,,,,,,,,0.0,0.0,0.0,,,-5.6,0.3,-5.2,0.0,brownsh01
34,Kobe Bryant*,SG,28,LAL,5,215,24.1,.561,.215,.285,0.5,14.3,6.9,20.0,1.2,0.7,13.1,33.9,,0.6,-0.1,0.5,.121,,6.0,0.1,6.1,0.4,bryanko01
35,Greg Buckner,SG,30,DAL,6,44,-3.0,.063,.571,.286,5.0,10.3,7.6,6.4,2.3,2.1,20.2,9.8,,-0.2,0.0,-0.2,-0.170,,-9.6,0.2,-9.4,-0.1,buckngr01
36,Pat Burke,C,33,PHO,3,7,6.8,.500,.000,.000,0.0,15.7,8.3,0.0,0.0,10.9,0.0,12.9,,0.0,0.0,0.0,.091,,-10.7,5.2,-5.5,0.0,burkepa01
37,Andrew Bynum,C,19,LAL,5,55,16.9,.515,.000,.667,15.4,33.6,23.8,0.0,0.0,2.9,9.3,16.9,,0.1,0.0,0.1,.082,,0.1,-2.0,-1.9,0.0,bynuman01
38,José Calderón,PG,25,TOR,6,146,20.1,.544,.174,.087,1.7,6.6,4.2,50.1,1.8,0.0,17.3,28.7,,0.2,0.1,0.2,.075,,2.7,-1.7,1.0,0.1,caldejo01
