Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Ray Allen*,SG,29,SEA,11,436,23.5,.599,.381,.293,3.5,9.7,6.6,19.5,1.7,0.7,12.3,29.3,,1.5,0.1,1.6,.178,,7.5,-0.4,7.1,1.0,allenra02
2,Tony Allen,SG,23,BOS,7,90,4.8,.451,.000,.389,5.5,10.9,8.2,3.8,1.9,2.0,19.2,14.2,,-0.1,0.1,0.0,.013,,-6.3,-0.3,-6.6,-0.1,allento01
3,Shandon Anderson,SF,31,MIA,8,97,4.4,.311,.083,.167,4.1,17.6,11.6,11.6,2.7,0.0,31.8,9.3,,-0.2,0.2,0.0,.012,,-4.0,2.9,-1.1,0.0,andersh01
4,Carmelo Anthony,SF,20,DEN,5,180,14.4,.494,.012,.386,8.6,8.9,8.8,11.7,0.9,0.5,11.8,28.5,,0.0,0.1,0.1,.018,,1.4,-1.9,-0.5,0.1,anthoca01
5,Gilbert Arenas,PG,23,WAS,10,450,15.9,.501,.397,.485,1.9,11.1,6.4,24.2,2.4,1.1,14.2,26.3,,0.2,0.4,0.6,.066,,2.6,-0.9,1.7,0.4,arenagi01
6,Darrell Armstrong,PG,36,DAL,9,66,13.9,.563,.500,.000,5.0,1.8,3.4,20.5,2.4,2.3,11.1,12.0,,0.1,0.0,0.1,.102,,1.9,2.7,4.6,0.1,armstda01
7,Carlos Arroyo,PG,25,DET,19,150,10.6,.398,.022,.267,0.8,7.3,4.0,42.9,1.5,1.1,16.6,19.2,,-0.1,0.2,0.2,.049,,-2.4,0.8,-1.6,0.0,arroyca01
8,Marcus Banks,PG,23,BOS,7,106,8.2,.506,.207,.207,1.2,11.6,6.4,12.0,2.1,0.0,15.9,17.4,,-0.1,0.2,0.1,.048,,-4.4,0.1,-4.3,-0.1,banksma01
9,Leandro Barbosa,PG,22,PHO,12,116,8.2,.408,.286,.114,5.0,11.0,8.2,13.6,1.3,0.0,12.0,16.0,,0.0,0.0,0.0,-0.012,,-2.0,-1.6,-3.6,0.0,barbole01
10,Brent Barry,SG,33,SAS,23,555,10.5,.617,.629,.200,2.9,9.0,6.0,12.6,1.5,0.5,19.1,11.9,,0.6,0.6,1.2,.107,,0.0,1.5,1.6,0.5,barrybr01
11,Jon Barry,SG,35,HOU,7,183,12.5,.582,.479,.167,0.7,18.2,9.6,8.0,1.5,0.0,10.4,15.0,,0.2,0.0,0.3,.070,,-0.2,0.2,0.1,0.1,barryjo01
12,Shane Battier,SG,26,MEM,4,119,10.1,.437,.226,.161,9.1,17.9,13.2,6.7,0.9,2.9,10.8,14.2,,0.0,-0.1,-0.1,-0.037,,-2.6,-0.8,-3.4,0.0,battish01
13,Travis Best,PG,32,NJN,4,82,10.3,.520,.409,.409,2.5,6.4,4.2,19.8,0.6,0.0,10.4,16.0,,0.1,0.0,0.1,.044,,-1.0,-0.9,-1.9,0.0,besttr01
14,Mike Bibby,PG,26,SAC,5,200,16.2,.472,.250,.293,2.8,11.3,6.7,26.6,1.9,0.8,11.1,25.9,,0.1,-0.1,0.1,.021,,1.7,-1.8,0.0,0.1,bibbymi01
15,Chauncey Billups,PG,28,DET,25,985,20.0,.577,.372,.440,2.7,10.4,6.5,29.1,1.4,0.4,10.8,22.0,,3.0,1.6,4.6,.224,,4.9,1.4,6.3,2.0,billuch01
16,Steve Blake,PG,24,WAS,4,17,-0.9,.250,.250,.000,0.0,20.0,9.7,17.5,0.0,0.0,20.0,12.7,,-0.1,0.0,0.0,-0.111,,-9.6,-1.4,-11.0,0.0,blakest01
17,Mark Blount,C,29,BOS,4,43,-6.1,.269,.000,.143,8.7,8.6,8.6,4.0,0.0,0.0,25.2,22.6,,-0.3,0.0,-0.2,-0.267,,-10.9,-5.6,-16.5,-0.2,blounma01
