Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Arron Afflalo,SG,26,DEN,7,229,10.9,.471,.270,.203,2.2,8.7,5.5,12.4,1.2,0.6,10.0,17.2,,0.2,0.0,0.2,.042,,-1.0,-0.6,-1.6,0.0,afflaar01
2,Blake Ahearn,PG,27,UTA,3,8,33.9,.833,.333,.000,0.0,0.0,0.0,57.8,0.0,0.0,0.0,16.2,,0.1,0.0,0.1,.407,,17.3,3.7,21.0,0.0,ahearbl01
3,Cole Aldrich,C,23,OKC,5,25,19.8,.465,.000,.444,24.4,37.7,31.1,0.0,0.0,0.0,0.0,20.2,,0.1,0.0,0.1,.177,,0.8,-5.8,-5.0,0.0,aldrico01
4,Lavoy Allen,PF,22,PHI,12,236,17.1,.566,.000,.197,9.5,19.1,14.1,2.4,2.3,3.5,7.0,14.4,,0.4,0.5,0.9,.191,,0.0,2.6,2.6,0.3,allenla01
5,Ray Allen*,SG,36,BOS,18,616,10.0,.514,.551,.269,1.6,12.3,7.1,5.0,1.5,0.3,8.3,16.2,,0.2,0.8,1.0,.077,,-1.1,0.4,-0.7,0.2,allenra02
6,Tony Allen,SG,30,MEM,7,170,9.9,.457,.111,.378,5.6,10.4,7.9,5.2,2.9,3.6,16.0,17.0,,-0.1,0.3,0.2,.056,,-2.8,2.7,-0.1,0.1,allento01
7,Lou Amundson,PF,29,IND,11,94,12.3,.527,.000,.261,7.5,20.8,14.2,3.7,1.2,4.4,13.5,14.6,,0.1,0.2,0.2,.117,,-2.2,2.4,0.2,0.1,amundlo01
8,James Anderson,SG,22,SAS,8,31,16.3,.557,.444,.222,0.0,18.1,9.4,14.6,1.7,0.0,0.0,14.8,,0.1,0.0,0.1,.168,,2.3,2.4,4.7,0.1,anderja01
9,Ryan Anderson,PF,23,ORL,5,172,7.1,.510,.682,.159,5.9,9.5,7.7,4.3,1.0,0.9,16.0,16.0,,0.0,0.0,0.0,.010,,-2.5,-1.5,-4.0,-0.1,anderry01
10,Carmelo Anthony,SF,27,NYK,5,204,21.5,.489,.145,.331,7.4,17.4,12.2,14.1,1.6,0.5,9.0,36.2,,0.3,0.0,0.4,.091,,4.8,-0.1,4.7,0.3,anthoca01
11,Joel Anthony,C,29,MIA,17,329,9.9,.675,.000,.862,8.3,11.9,10.1,0.9,0.8,4.0,16.7,7.0,,0.6,0.4,0.9,.138,,-1.6,2.0,0.4,0.2,anthojo01
12,Gilbert Arenas,PG,30,MEM,6,23,-8.1,.250,.500,.000,0.0,5.5,2.7,7.5,0.0,0.0,11.1,18.1,,-0.1,0.0,-0.1,-0.165,,-13.7,-2.4,-16.0,-0.1,arenagi01
13,Ömer Aşık,C,25,CHI,6,128,8.6,.466,.000,1.214,7.0,16.6,11.9,9.6,0.4,5.8,27.1,10.7,,-0.1,0.3,0.1,.055,,-3.9,3.7,-0.2,0.1,asikom01
14,Jeff Ayres,C,24,IND,4,9,0.2,.333,.000,.000,0.0,25.6,12.9,0.0,0.0,0.0,0.0,15.4,,0.0,0.0,0.0,-0.017,,-9.3,-2.0,-11.4,0.0,pendeje02
15,Kelenna Azubuike,SG,28,DAL,1,5,21.6,.500,.333,.000,22.6,0.0,12.0,0.0,10.6,0.0,25.0,36.8,,0.0,0.0,0.0,-0.038,,8.2,6.4,14.5,0.0,azubuke01
16,Leandro Barbosa,SG,29,IND,11,223,5.3,.402,.274,.164,2.6,9.8,6.2,10.9,1.2,0.4,14.2,18.9,,-0.3,0.2,-0.1,-0.026,,-4.3,-0.6,-4.9,-0.2,barbole01
17,Matt Barnes,SF,31,LAL,11,185,4.2,.321,.525,.068,5.1,15.9,10.4,13.4,2.9,1.9,19.8,18.5,,-0.5,0.1,-0.4,-0.106,,-6.6,0.5,-6.1,-0.2,barnema02
18,Brandon Bass,PF,26,BOS,20,608,14.5,.544,.000,.366,5.3,14.9,10.3,4.4,1.3,1.3,6.9,17.6,,1.0,0.8,1.8,.144,,-0.1,0.9,0.8,0.4,bassbr01
19,Shane Battier,SF,33,MIA,23,768,8.5,.547,.786,.114,2.4,9.1,5.8,5.4,1.6,1.5,9.8,10.2,,0.8,0.8,1.5,.097,,-0.7,1.7,1.0,0.6,battish01
20,Rodrigue Beaubois,PG,23,DAL,2,12,-5.8,.000,.500,.000,0.0,10.7,5.0,25.4,0.0,0.0,33.3,11.5,,-0.1,0.0,-0.1,-0.265,,-9.2,-2.7,-12.0,0.0,beaubro01
21,Mike Bibby,PG,33,NYK,5,118,11.7,.555,.739,.130,3.0,19.4,10.8,19.6,0.5,0.0,14.1,11.4,,0.2,0.0,0.2,.076,,1.7,1.5,3.2,0.2,bibbymi01
22,DeJuan Blair,PF,22,SAS,10,76,22.9,.624,.000,.222,11.2,23.6,17.6,4.6,2.0,1.0,3.3,18.8,,0.3,0.1,0.4,.244,,3.1,2.2,5.2,0.1,blairde01
23,Steve Blake,PG,31,LAL,12,306,10.3,.576,.694,.113,2.7,9.3,5.9,13.6,1.4,0.5,18.7,11.8,,0.3,0.0,0.3,.042,,-1.4,0.4,-1.0,0.1,blakest01
24,Eric Bledsoe,PG,22,LAC,11,189,22.2,.621,.111,.254,7.8,9.1,8.5,23.6,3.7,1.7,17.6,21.7,,0.5,0.2,0.7,.168,,3.1,3.1,6.2,0.4,bledser01
25,Matt Bonner,PF,31,SAS,13,165,5.6,.453,.719,.156,1.5,15.6,8.8,7.5,0.6,1.8,8.1,10.5,,0.0,0.1,0.2,.049,,-2.8,1.2,-1.6,0.0,bonnema01
26,Carlos Boozer,PF,30,CHI,6,200,9.8,.435,.000,.078,5.6,26.0,16.1,17.4,1.4,0.7,19.8,27.0,,-0.5,0.4,-0.1,-0.032,,-2.9,0.7,-2.2,0.0,boozeca01
27,Chris Bosh*,PF,27,MIA,14,439,19.7,.574,.088,.351,10.2,19.7,15.1,3.3,0.7,2.6,10.5,20.8,,1.1,0.6,1.7,.183,,2.9,-0.4,2.5,0.5,boshch01
28,Avery Bradley,PG,21,BOS,10,248,6.9,.441,.324,.265,1.5,7.9,4.8,5.4,1.8,2.0,11.6,16.9,,-0.3,0.3,0.0,.007,,-3.9,0.5,-3.4,-0.1,bradlav01
29,Elton Brand,C,32,PHI,13,356,14.1,.495,.000,.323,6.6,13.7,9.9,3.6,1.7,4.3,5.8,16.1,,0.3,0.7,1.0,.135,,-0.9,1.7,0.8,0.3,brandel01
30,Corey Brewer,SF,25,DEN,7,116,18.7,.504,.370,.148,5.3,6.8,6.1,8.6,3.2,1.2,3.4,22.5,,0.3,0.1,0.4,.146,,2.1,1.7,3.8,0.2,breweco01
31,Ronnie Brewer,SG,26,CHI,5,83,4.2,.231,.000,.188,5.4,19.2,12.5,16.4,2.6,0.9,25.7,13.1,,-0.3,0.2,-0.1,-0.056,,-5.7,2.2,-3.5,0.0,brewero02
32,Kobe Bryant*,SG,33,LAL,12,476,24.4,.525,.199,.316,3.5,9.6,6.5,24.0,1.8,0.3,9.0,35.8,,1.4,0.0,1.4,.143,,5.7,-0.3,5.4,0.9,bryanko01
33,Alec Burks,SG,20,UTA,4,63,9.7,.381,.071,.500,7.6,11.4,9.3,8.3,1.7,0.0,8.1,25.6,,-0.1,0.0,-0.1,-0.057,,-1.5,-1.6,-3.0,0.0,burksal01
34,Caron Butler,SF,31,LAC,10,268,6.2,.434,.337,.174,1.8,11.9,6.9,6.3,1.2,0.6,13.9,20.7,,-0.4,0.1,-0.4,-0.067,,-3.6,-2.1,-5.7,-0.3,butleca01
35,Jimmy Butler,SG,22,CHI,3,4,-4.9,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.033,,-10.9,0.1,-10.8,0.0,butleji01
36,Andrew Bynum,C,24,LAL,12,451,22.9,.545,.000,.451,10.7,21.0,15.8,7.0,0.6,5.8,8.0,20.0,,1.3,0.3,1.6,.167,,3.4,0.5,4.0,0.7,bynuman01
37,Brian Cardinal,SF,34,DAL,2,9,16.8,.750,.500,.000,0.0,43.0,20.1,0.0,0.0,0.0,0.0,10.2,,0.0,0.0,0.0,.148,,4.5,3.6,8.1,0.0,cardibr01
