Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,82,240.9,31.9,77.9,.409,3.8,11.6,.327,28.1,66.3,.423,16.7,22.5,.744,11.1,30.0,41.1,17.3,7.7,4.6,15.3,22.4,84.3
2,Detroit Pistons*,82,241.2,32.1,77.8,.413,4.3,14.4,.302,27.8,63.4,.438,15.7,21.1,.744,12.0,28.7,40.6,19.0,7.9,5.0,16.0,22.9,84.3
3,Indiana Pacers*,82,241.5,32.6,75.4,.432,4.0,12.4,.324,28.6,63.0,.453,16.5,22.0,.750,10.6,29.5,40.1,20.1,7.1,6.2,15.9,21.9,85.6
4,New Jersey Nets*,82,240.3,32.8,76.9,.427,5.1,14.5,.350,27.7,62.3,.445,17.0,22.3,.761,10.6,30.1,40.8,19.8,8.0,4.6,16.1,21.2,87.8
5,Houston Rockets*,82,243.0,32.1,78.1,.412,5.6,15.0,.372,26.6,63.1,.421,18.2,24.7,.737,11.1,28.7,39.7,20.6,8.7,4.4,13.5,20.7,88.0
6,Toronto Raptors,82,243.7,33.2,77.6,.428,3.3,10.8,.307,29.9,66.8,.447,18.7,25.1,.747,12.6,32.5,45.1,18.5,7.2,4.1,14.6,19.7,88.5
7,Minnesota Timberwolves*,82,240.9,33.4,80.8,.414,4.8,14.4,.334,28.6,66.4,.431,17.4,23.1,.753,12.2,29.3,41.5,20.7,6.7,3.6,13.5,20.2,89.1
8,Miami Heat*,82,240.9,32.4,75.7,.428,5.3,15.3,.343,27.2,60.4,.450,19.7,25.6,.768,10.9,30.3,41.2,18.6,7.0,5.4,14.7,21.1,89.7
9,Utah Jazz,82,241.2,31.0,71.7,.432,5.1,14.7,.343,25.9,57.0,.455,22.9,29.6,.771,10.6,26.0,36.6,18.6,8.1,6.5,15.4,24.4,89.9
10,Philadelphia 76ers,82,242.1,33.5,77.7,.432,5.4,16.2,.333,28.1,61.5,.458,18.0,24.2,.744,12.1,29.2,41.4,21.3,8.3,5.6,15.2,21.4,90.5
11,New Orleans Hornets*,82,241.8,34.7,78.6,.441,5.4,15.9,.341,29.3,62.7,.467,17.2,22.9,.750,11.9,30.2,42.1,21.8,7.5,5.2,15.6,21.1,91.9
12,Portland Trail Blazers,82,243.7,36.0,80.1,.450,5.1,14.9,.341,30.9,65.2,.475,14.9,19.7,.753,12.4,28.0,40.3,23.3,8.0,4.8,13.7,18.7,92.0
13,New York Knicks*,82,242.4,34.0,79.2,.429,5.1,15.0,.338,28.9,64.2,.450,20.5,26.8,.763,11.6,29.8,41.4,20.4,8.2,4.7,13.8,19.5,93.5
14,Golden State Warriors,82,242.1,36.0,80.9,.445,5.0,13.5,.374,30.9,67.4,.459,17.1,22.9,.746,12.0,30.9,42.8,21.5,8.1,5.1,14.0,22.0,94.0
15,Los Angeles Lakers*,82,242.1,35.6,81.0,.440,5.1,15.2,.337,30.5,65.8,.464,18.0,24.0,.749,11.2,31.2,42.4,20.8,7.5,3.8,15.3,24.7,94.3
16,Memphis Grizzlies*,82,242.4,34.9,79.9,.436,4.5,13.3,.338,30.4,66.6,.456,20.0,26.2,.764,13.4,30.6,44.0,20.4,8.2,5.6,17.0,23.1,94.3
17,Cleveland Cavaliers,82,242.1,36.0,82.4,.437,5.3,14.2,.371,30.8,68.3,.451,18.2,24.3,.749,11.8,30.2,42.0,21.7,7.7,5.3,13.1,20.2,95.5
18,Chicago Bulls,82,241.8,35.1,80.6,.436,5.4,15.1,.355,29.8,65.6,.454,20.4,27.3,.748,12.3,32.7,45.0,23.0,8.5,5.4,15.2,20.5,96.0
19,Denver Nuggets*,82,240.6,36.8,81.2,.453,4.6,12.9,.356,32.2,68.4,.471,17.9,24.6,.728,12.9,30.1,42.9,23.5,8.1,5.8,17.1,23.1,96.1
20,Boston Celtics*,82,240.3,35.3,80.8,.437,6.8,18.7,.362,28.5,62.1,.459,19.4,26.3,.736,13.0,30.8,43.8,23.0,8.8,5.0,17.1,22.2,96.7
21,Milwaukee Bucks*,82,241.2,37.0,81.9,.452,5.6,15.8,.352,31.4,66.1,.475,17.4,23.6,.739,12.0,30.7,42.7,22.8,7.5,5.0,14.2,22.9,97.0
22,Washington Wizards,82,241.8,37.3,82.2,.454,5.2,15.1,.342,32.2,67.1,.479,17.6,22.9,.771,12.8,30.7,43.5,24.0,9.6,5.5,16.1,21.7,97.4
23,Atlanta Hawks,82,242.7,36.2,82.2,.440,5.9,16.4,.358,30.3,65.8,.461,19.2,25.3,.760,12.8,30.3,43.1,22.0,8.9,5.1,14.0,20.7,97.5
24,Sacramento Kings*,82,241.2,38.3,84.4,.454,5.0,14.7,.339,33.3,69.7,.478,16.3,21.7,.749,13.2,30.7,43.9,21.3,7.9,5.0,14.9,22.2,97.8
25,Seattle SuperSonics,82,241.5,36.3,80.8,.450,5.9,17.0,.349,30.4,63.8,.477,19.1,24.7,.774,13.0,29.6,42.7,21.1,7.7,4.7,14.8,20.2,97.8
26,Phoenix Suns,82,240.6,36.3,81.4,.446,5.8,16.8,.349,30.4,64.6,.471,19.5,25.5,.765,12.7,31.1,43.8,21.5,7.9,5.3,15.9,19.4,97.9
27,Los Angeles Clippers,82,241.5,37.5,81.5,.460,5.5,15.3,.360,32.0,66.2,.483,18.8,25.4,.741,12.6,28.8,41.4,22.9,8.5,5.3,13.7,22.7,99.4
28,Dallas Mavericks*,82,241.5,38.2,83.2,.459,6.5,17.9,.363,31.7,65.3,.486,17.8,23.9,.746,12.3,31.2,43.5,23.6,7.1,4.7,15.1,20.6,100.8
29,Orlando Magic,82,241.8,38.6,83.0,.466,6.0,15.9,.377,32.7,67.1,.487,17.8,24.0,.742,13.1,31.3,44.4,24.4,7.6,5.5,13.5,20.6,101.1
