Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies*,82,242.1,32.8,75.3,.436,5.0,14.9,.334,27.8,60.4,.461,17.9,23.7,.754,11.3,29.3,40.6,19.6,7.3,5.6,14.8,22.8,88.5
2,San Antonio Spurs*,82,241.5,33.9,78.3,.433,3.7,10.8,.339,30.3,67.5,.449,17.2,23.3,.740,10.8,29.5,40.3,16.3,7.3,4.2,13.9,20.8,88.8
3,Detroit Pistons*,82,241.8,35.5,78.7,.452,4.0,12.3,.325,31.5,66.3,.476,15.1,20.5,.736,11.6,29.3,40.9,18.8,5.9,3.5,14.0,21.0,90.2
4,Houston Rockets,82,241.8,33.0,77.0,.429,6.6,17.9,.369,26.4,59.1,.447,19.0,26.0,.731,10.7,30.2,40.9,20.1,7.1,4.5,13.3,20.9,91.7
5,Indiana Pacers*,82,240.6,34.5,79.3,.435,4.5,13.2,.343,30.0,66.1,.454,18.4,25.1,.733,11.8,29.5,41.3,18.5,8.1,4.9,13.6,22.0,92.0
6,New Jersey Nets*,82,241.2,33.3,75.9,.439,5.7,16.3,.348,27.6,59.6,.464,20.2,27.2,.741,9.6,31.7,41.3,20.0,7.2,4.0,14.4,23.0,92.4
7,Dallas Mavericks*,82,242.4,34.2,77.1,.443,4.9,13.7,.361,29.2,63.4,.461,19.8,26.4,.752,11.4,26.9,38.3,17.5,6.5,4.9,14.0,23.9,93.1
8,Minnesota Timberwolves,82,242.1,34.8,79.0,.441,5.5,15.0,.364,29.3,64.0,.459,18.6,25.3,.736,11.9,29.4,41.3,19.0,6.6,4.6,13.9,21.2,93.6
9,Utah Jazz,82,242.4,33.3,74.1,.449,6.0,15.8,.378,27.3,58.3,.469,22.4,30.1,.746,10.6,27.3,37.9,18.4,8.1,5.6,14.2,25.7,95.0
10,Cleveland Cavaliers*,82,241.8,36.0,79.0,.455,5.6,15.7,.356,30.4,63.3,.480,17.8,24.0,.742,9.8,29.5,39.4,20.3,6.6,4.4,13.2,22.5,95.4
11,Los Angeles Clippers*,82,241.5,35.2,81.0,.435,5.8,16.7,.347,29.4,64.3,.458,19.4,26.5,.732,10.5,29.7,40.1,21.5,7.0,4.3,12.8,21.7,95.6
