Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Cleveland Cavaliers*,82,242.4,39.0,83.5,.468,11.3,30.6,.368,27.8,52.9,.525,17.5,22.4,.782,9.8,31.5,41.2,23.0,7.0,4.4,15.7,20.4,106.9
2,Miami Heat*,82,241.5,40.1,83.2,.482,13.1,35.8,.367,27.0,47.4,.569,16.5,21.1,.781,8.9,33.0,41.8,25.6,7.0,3.8,15.7,20.0,109.8
3,Philadelphia 76ers*,82,242.4,40.4,85.4,.473,11.6,33.4,.348,28.8,52.1,.553,18.5,23.7,.781,9.5,31.6,41.2,24.2,6.6,4.6,14.3,19.6,110.9
4,Boston Celtics*,82,243.7,41.8,90.2,.463,11.6,33.7,.345,30.1,56.5,.534,16.2,21.1,.769,9.7,34.3,44.0,23.1,6.6,3.9,12.7,19.1,111.4
5,Toronto Raptors*,82,241.5,40.4,82.3,.491,12.2,32.6,.374,28.2,49.7,.567,18.4,23.1,.797,9.2,33.0,42.3,26.2,6.0,4.6,16.7,19.6,111.4
6,Phoenix Suns*,82,241.2,40.0,85.9,.466,11.4,32.0,.357,28.6,53.9,.530,20.1,25.6,.786,10.2,32.6,42.9,23.4,7.2,4.0,14.4,19.9,111.6
7,Chicago Bulls*,82,242.7,40.7,87.1,.468,13.2,37.1,.357,27.5,50.0,.550,17.1,22.0,.779,9.6,33.7,43.3,26.0,6.7,4.7,15.0,18.7,111.8
8,Denver Nuggets*,82,240.9,41.7,87.4,.478,11.4,33.1,.344,30.4,54.3,.559,17.6,22.7,.775,10.1,30.7,40.8,25.7,7.9,4.2,13.5,19.5,112.5
9,Brooklyn Nets*,82,240.6,41.0,88.5,.463,11.8,32.2,.367,29.2,56.3,.518,18.7,24.4,.767,11.5,33.6,45.1,23.4,7.0,3.9,13.7,18.5,112.5
10,New Orleans Pelicans*,82,242.1,40.9,86.6,.472,12.2,36.0,.339,28.7,50.6,.567,18.4,23.6,.779,9.7,32.1,41.8,24.9,7.3,4.7,15.0,20.4,112.5
