,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,LeBron James,26,MIA,595,595,1,119,0,0,79,38.8,26.7,7.5,7.0,1.6,0.6,.510,.330,.759,15.6,.244,jamesle01
1st,C,Dwight Howard,25,ORL,593,595,0.997,118,1,0,78,37.6,22.9,14.1,1.4,1.4,2.4,.593,.000,.596,14.4,.235,howardw01
1st,G,Derrick Rose,22,CHI,593,595,0.997,118,1,0,81,37.4,25.0,4.1,7.7,1.0,0.6,.445,.332,.858,13.1,.208,rosede01
1st,G,Kobe Bryant,32,LAL,551,595,0.926,98,,,82,33.9,25.3,5.1,4.7,1.2,0.1,.451,.323,.828,10.3,.178,bryanko01
1st,F,Kevin Durant,22,OKC,492,595,0.827,69,,,78,38.9,27.7,6.8,2.7,1.1,1.0,.462,.350,.880,12.0,.189,duranke01
2nd,F,Dirk Nowitzki,32,DAL,437,595,0.734,47,,,73,34.3,23.0,7.0,2.6,0.5,0.6,.517,.393,.892,11.1,.213,nowitdi01
2nd,C,Amar'e Stoudemire,28,NYK,437,595,0.734,2,,,78,36.8,25.3,8.2,2.6,0.9,1.9,.502,.435,.792,8.0,.134,stoudam01
2nd,G,Dwyane Wade,29,MIA,392,595,0.659,24,,,76,37.1,25.5,6.4,4.6,1.5,1.1,.500,.306,.758,12.8,.218,wadedw01
2nd,F,Pau Gasol,30,LAL,259,595,0.435,2,,,82,37.0,18.8,10.2,3.3,0.6,1.6,.529,.333,.823,14.7,.232,gasolpa01
2nd,G,Russell Westbrook,22,OKC,184,595,0.309,0,,,82,34.7,21.9,4.6,8.2,1.9,0.4,.442,.330,.842,9.4,.159,westbru01
3rd,G,Chris Paul,25,NOH,157,595,0.264,0,,,80,36.0,15.9,4.1,9.8,2.4,0.1,.463,.388,.878,13.9,.232,paulch01
3rd,F,LaMarcus Aldridge,25,POR,135,595,0.227,0,,,81,39.6,21.8,8.8,2.1,1.0,1.2,.500,.174,.791,11.1,.166,aldrila01
3rd,G,Manu Ginóbili,33,SAS,106,595,0.178,0,,,80,30.3,17.4,3.7,4.9,1.5,0.4,.433,.349,.871,9.9,.195,ginobma01
3rd,F,Zach Randolph,29,MEM,67,595,0.113,0,,,75,36.3,20.1,12.2,2.2,0.8,0.3,.503,.186,.758,10.5,.185,randoza01
3rd,C,Al Horford,24,ATL,62,595,0.104,0,,,77,35.1,15.3,9.3,3.5,0.8,1.0,.557,.500,.798,10.1,.179,horfoal01
ORV,G,Rajon Rondo,24,BOS,68,595,0.114,0,,,68,37.2,10.6,4.4,11.2,2.3,0.2,.475,.233,.568,6.6,.126,rondora01
ORV,F,Paul Pierce,33,BOS,55,595,0.092,0,,,80,34.7,18.9,5.4,3.3,1.0,0.6,.497,.374,.860,11.6,.201,piercpa01
ORV,F,Carmelo Anthony,26,TOT,53,595,0.089,0,,,77,35.7,25.6,7.3,2.9,0.9,0.6,.455,.378,.838,7.9,.138,anthoca01
ORV,F,Kevin Love,22,MIN,48,595,0.081,0,,,73,35.8,20.2,15.2,2.5,0.6,0.4,.470,.417,.850,11.4,.210,loveke01
ORV,F,Tim Duncan,34,SAS,43,595,0.072,0,,,76,28.4,13.4,8.9,2.7,0.7,1.9,.500,.000,.716,7.7,.171,duncati01
ORV,F,Blake Griffin,21,LAC,36,595,0.061,0,,,82,38.0,22.5,12.1,3.8,0.8,0.5,.506,.292,.642,9.8,.152,griffbl01
ORV,G,Tony Parker,28,SAS,27,595,0.045,0,,,78,32.4,17.5,3.1,6.6,1.2,0.0,.519,.357,.769,8.2,.156,parketo01
ORV,F,Kevin Garnett,34,BOS,22,595,0.037,0,,,71,31.3,14.9,8.9,2.4,1.3,0.8,.528,.200,.862,9.0,.194,garneke01
ORV,G,Deron Williams,26,TOT,19,595,0.032,0,,,65,37.9,20.1,4.0,10.3,1.2,0.2,.439,.331,.845,7.3,.142,willide01
ORV,G,Steve Nash,36,PHO,17,595,0.029,0,,,75,33.3,14.7,3.5,11.4,0.6,0.1,.492,.395,.912,7.9,.153,nashst01
ORV,C,Andrew Bogut,26,MIL,13,595,0.022,0,,,65,35.3,12.8,11.1,2.0,0.7,2.6,.495,.000,.442,5.4,.112,bogutan01
ORV,G,Monta Ellis,25,GSW,11,595,0.018,0,,,80,40.3,24.1,3.5,5.6,2.1,0.3,.451,.361,.789,6.0,.089,ellismo01
ORV,F,Nenê,28,DEN,11,595,0.018,0,,,75,30.5,14.5,7.6,2.0,1.1,1.0,.615,.200,.711,9.6,.201,hilarne01
ORV,C,Andrew Bynum,23,LAL,9,595,0.015,0,,,54,27.8,11.3,9.4,1.4,0.4,2.0,.574,,.660,6.6,.210,bynuman01
ORV,C,Tyson Chandler,28,DAL,7,595,0.012,0,,,74,27.8,10.1,9.4,0.4,0.5,1.1,.654,,.732,9.4,.218,chandty01
ORV,G,Kevin Martin,27,HOU,7,595,0.012,0,,,80,32.5,23.5,3.2,2.5,1.0,0.2,.436,.383,.888,9.5,.175,martike02
