,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Kobe Bryant,29,LAL,635,635,1,127,0,0,82,38.9,28.3,6.3,5.4,1.8,0.5,.459,.361,.840,13.8,.208,bryanko01
1st,G,Chris Paul,22,NOH,629,635,0.991,124,,,80,37.6,21.1,4.0,11.6,2.7,0.1,.488,.369,.851,17.8,.284,paulch01
1st,F,Kevin Garnett,31,BOS,612,635,0.964,118,,,71,32.8,18.8,9.2,3.4,1.4,1.3,.539,.000,.801,12.9,.265,garneke01
1st,F,LeBron James,23,CLE,610,635,0.961,117,,,75,40.4,30.0,7.9,7.2,1.8,1.1,.484,.315,.712,15.2,.242,jamesle01
1st,C,Dwight Howard,22,ORL,546,635,0.86,86,,,82,37.7,20.7,14.2,1.3,0.9,2.1,.599,.000,.590,12.9,.200,howardw01
2nd,C,Amar'e Stoudemire,25,PHO,412,635,0.649,30,,,79,33.9,25.2,9.1,1.5,0.8,2.1,.590,.161,.805,14.6,.262,stoudam01
2nd,F,Tim Duncan,31,SAS,397,635,0.625,25,,,78,34.0,19.3,11.3,2.8,0.7,1.9,.497,.000,.730,11.1,.201,duncati01
2nd,G,Steve Nash,33,PHO,311,635,0.49,2,,,81,34.3,16.9,3.5,11.1,0.7,0.1,.504,.470,.906,10.5,.181,nashst01
2nd,G,Deron Williams,23,UTA,228,635,0.359,0,,,82,37.3,18.8,3.0,10.5,1.1,0.3,.507,.395,.803,11.3,.177,willide01
2nd,F,Dirk Nowitzki,29,DAL,189,635,0.298,1,,,77,36.0,23.6,8.6,3.5,0.7,0.9,.479,.359,.879,12.9,.223,nowitdi01
3rd,F,Carlos Boozer,26,UTA,174,635,0.274,0,,,81,34.9,21.1,10.4,2.9,1.2,0.5,.547,.000,.738,10.2,.173,boozeca01
3rd,F,Paul Pierce,30,BOS,151,635,0.238,2,,,80,35.9,19.6,5.1,4.5,1.3,0.5,.464,.392,.843,12.4,.207,piercpa01
3rd,G,Tracy McGrady,28,HOU,137,635,0.216,1,,,66,37.0,21.6,5.1,5.9,1.0,0.5,.419,.292,.684,5.8,.115,mcgratr01
3rd,G,Manu Ginóbili,30,SAS,123,635,0.194,0,,,74,31.1,19.5,4.8,4.5,1.5,0.4,.460,.401,.860,11.1,.232,ginobma01
3rd,C,Yao Ming,27,HOU,71,635,0.112,2,,,55,37.2,22.0,10.8,2.3,0.5,2.0,.507,.000,.850,8.3,.196,mingya01
ORV,G,Allen Iverson,32,DEN,116,635,0.183,0,,,82,41.8,26.4,3.0,7.1,2.0,0.1,.458,.345,.809,11.6,.163,iversal01
ORV,F,Carmelo Anthony,23,DEN,89,635,0.14,0,,,77,36.4,25.7,7.4,3.4,1.3,0.5,.492,.354,.786,8.2,.140,anthoca01
ORV,C,Marcus Camby,33,DEN,59,635,0.093,0,,,79,34.9,9.1,13.1,3.3,1.1,3.6,.450,.300,.708,8.5,.148,cambyma01
ORV,G,Chauncey Billups,31,DET,38,635,0.06,0,,,78,32.3,17.0,2.7,6.8,1.3,0.2,.448,.401,.918,13.5,.257,billuch01
ORV,G,Baron Davis,28,GSW,32,635,0.05,0,,,82,39.0,21.8,4.7,7.6,2.3,0.5,.426,.330,.750,8.7,.131,davisba01
ORV,F,David West,27,NOH,24,635,0.038,0,,,76,37.8,20.6,8.9,2.3,0.8,1.3,.482,.240,.850,8.4,.140,westda01
ORV,F,Rasheed Wallace,33,DET,22,635,0.035,0,,,77,30.5,12.7,6.6,1.8,1.2,1.7,.432,.356,.767,7.6,.155,wallara01
ORV,C,Tyson Chandler,25,NOH,18,635,0.028,0,,,79,35.2,11.8,11.7,1.0,0.6,1.1,.623,.000,.593,10.0,.172,chandty01
ORV,F,Antawn Jamison,31,WAS,15,635,0.024,0,,,79,38.7,21.4,10.2,1.5,1.3,0.4,.436,.339,.760,9.2,.144,jamisan01
ORV,C,Al Jefferson,23,MIN,14,635,0.022,0,,,82,35.6,21.0,11.1,1.4,0.9,1.5,.500,.000,.721,7.7,.127,jeffeal01
ORV,F,Chris Bosh,23,TOR,11,635,0.017,0,,,67,36.2,22.3,8.7,2.6,0.9,1.0,.494,.400,.844,10.1,.200,boshch01
ORV,G,Joe Johnson,26,ATL,8,635,0.013,0,,,82,40.8,21.7,4.5,5.8,1.0,0.2,.432,.381,.834,7.0,.100,johnsjo02
ORV,G,Andre Miller,31,PHI,7,635,0.011,0,,,82,36.8,17.0,4.0,6.9,1.3,0.1,.492,.088,.772,8.3,.131,millean02
ORV,F,Caron Butler,27,WAS,5,635,0.008,0,,,58,39.9,20.3,6.7,4.9,2.2,0.3,.466,.357,.901,7.2,.150,butleca01
ORV,F,Pau Gasol,27,TOT,5,635,0.008,0,,,66,35.6,18.9,8.4,3.2,0.5,1.5,.534,.250,.807,8.4,.172,gasolpa01
ORV,C,Shaquille O'Neal,35,TOT,5,635,0.008,0,,,61,28.7,13.6,9.1,1.5,0.5,1.4,.593,,.503,2.8,.078,onealsh01
ORV,G,Ray Allen,32,BOS,4,635,0.006,0,,,73,35.9,17.4,3.7,3.1,0.9,0.2,.445,.398,.907,9.7,.177,allenra02
ORV,G,Kevin Martin,24,SAC,4,635,0.006,0,,,61,36.3,23.7,4.5,2.1,1.0,0.1,.456,.402,.869,8.4,.183,martike02
ORV,F,Hedo Türkoğlu,28,ORL,3,635,0.005,0,,,82,36.9,19.5,5.7,5.0,0.9,0.3,.456,.400,.829,9.0,.143,turkohe01
ORV,G,Richard Hamilton,29,DET,2,635,0.003,0,0,2,72,33.7,17.3,3.3,4.2,1.0,0.1,.484,.440,.833,7.7,.152,hamilri01
ORV,F,Josh Howard,27,DAL,2,635,0.003,0,0,2,76,36.3,19.9,7.0,2.2,0.8,0.4,.455,.319,.813,8.0,.140,howarjo01
ORV,G,Jason Kidd,34,TOT,2,635,0.003,0,0,2,80,36.3,10.8,7.5,10.1,1.7,0.3,.385,.381,.818,5.9,.097,kiddja01
ORV,F,Andre Iguodala,24,PHI,1,635,0.002,0,0,1,82,39.5,19.9,5.4,4.8,2.1,0.6,.456,.329,.721,9.6,.143,iguodan01
ORV,G,Tony Parker,25,SAS,1,635,0.002,0,0,1,69,33.5,18.8,3.2,6.0,0.8,0.1,.494,.258,.715,7.0,.146,parketo01
ORV,F,Tayshaun Prince,27,DET,1,635,0.002,0,0,1,82,32.9,13.2,4.9,3.3,0.5,0.4,.448,.363,.768,7.5,.133,princta01
ORV,G,Michael Redd,28,MIL,1,635,0.002,0,0,1,72,37.5,22.7,4.3,3.4,0.9,0.2,.442,.362,.820,5.8,.104,reddmi01
ORV,G,Brandon Roy,23,POR,1,635,0.002,0,0,1,74,37.7,19.1,4.7,5.8,1.1,0.2,.454,.340,.753,8.0,.138,roybr01
