,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,James Harden,27,HOU,500,500,1,100,0,0,81,36.4,29.1,8.1,11.2,1.5,0.5,.440,.347,.847,15.0,.245,hardeja01
1st,F,LeBron James,32,CLE,498,500,0.996,99,1,0,74,37.8,26.4,8.6,8.7,1.2,0.6,.548,.363,.674,12.9,.221,jamesle01
1st,G,Russell Westbrook,28,OKC,498,500,0.996,99,1,0,81,34.6,31.6,10.7,10.4,1.6,0.4,.425,.343,.845,13.1,.224,westbru01
1st,F,Kawhi Leonard,25,SAS,490,500,0.98,96,3,1,74,33.4,25.5,5.8,3.5,1.8,0.7,.485,.380,.880,13.6,.264,leonaka01
1st,C,Anthony Davis,23,NOP,343,500,0.686,45,34,16,75,36.1,28.0,11.8,2.1,1.3,2.2,.505,.299,.802,11.0,.195,davisan02
2nd,C,Rudy Gobert,24,UTA,339,500,0.678,43,38,10,81,33.9,14.0,12.8,1.2,0.6,2.6,.661,.000,.653,14.3,.250,goberru01
2nd,G,Stephen Curry,28,GSW,290,500,0.58,1,93,6,79,33.4,25.3,4.5,6.6,1.8,0.2,.468,.411,.898,12.6,.229,curryst01
2nd,F,Giannis Antetokounmpo,22,MIL,258,500,0.516,0,81,15,80,35.6,22.9,8.8,5.4,1.6,1.9,.521,.272,.770,12.4,.210,antetgi01
2nd,F,Kevin Durant,28,GSW,239,500,0.478,3,66,26,62,33.4,25.1,8.3,4.8,1.1,1.6,.537,.375,.875,12.0,.278,duranke01
2nd,G,Isaiah Thomas,27,BOS,236,500,0.472,0,71,23,76,33.8,28.9,2.7,5.9,0.9,0.2,.463,.379,.909,12.5,.234,thomais02
3rd,F,Draymond Green,26,GSW,134,500,0.268,4,21,51,76,32.5,10.2,7.9,7.0,2.0,1.4,.418,.308,.709,8.2,.160,greendr01
3rd,G,John Wall,26,WAS,125,500,0.25,0,19,68,78,36.4,23.1,4.2,10.7,2.0,0.6,.451,.327,.801,8.8,.149,walljo01
3rd,F,Jimmy Butler,27,CHI,102,500,0.204,0,19,45,76,37.0,23.9,6.2,5.5,1.9,0.4,.455,.367,.865,13.8,.236,butleji01
3rd,G,DeMar DeRozan,27,TOR,62,500,0.124,0,4,50,74,35.4,27.3,5.2,3.9,1.1,0.2,.467,.266,.842,9.0,.166,derozde01
3rd,C,DeAndre Jordan,28,LAC,54,500,0.108,3,7,18,81,31.7,12.7,13.8,1.2,0.6,1.7,.714,.000,.482,11.8,.221,jordade01
ORV,C,Karl-Anthony Towns,21,MIN,50,500,0.1,2,,,82,37.0,25.1,12.3,2.7,0.7,1.3,.542,.367,.832,12.7,.201,townska01
ORV,G,Chris Paul,31,LAC,49,500,0.098,0,,,61,31.5,18.1,5.0,9.2,2.0,0.1,.476,.411,.892,10.6,.264,paulch01
ORV,C,Marc Gasol,32,MEM,48,500,0.096,2,,,74,34.2,19.5,6.3,4.6,0.9,1.3,.459,.388,.837,7.7,.145,gasolma01
ORV,C,DeMarcus Cousins,26,TOT,42,500,0.084,2,,,72,34.2,27.0,11.0,4.6,1.4,1.3,.452,.361,.772,7.6,.149,couside01
ORV,F,Paul George,26,IND,40,500,0.08,0,,,75,35.9,23.7,6.6,3.3,1.6,0.4,.461,.393,.898,7.1,.126,georgpa01
ORV,F,Gordon Hayward,26,UTA,27,500,0.054,0,,,73,34.5,21.9,5.4,3.5,1.0,0.3,.471,.398,.844,10.4,.199,haywago01
ORV,C,Hassan Whiteside,27,MIA,18,500,0.036,0,,,77,32.6,17.0,14.1,0.7,0.7,2.1,.557,,.628,9.5,.181,whiteha01
ORV,G,Kyrie Irving,24,CLE,14,500,0.028,0,,,72,35.1,25.2,3.2,5.8,1.2,0.3,.473,.401,.905,8.9,.170,irvinky01
ORV,G,Klay Thompson,26,GSW,14,500,0.028,0,,,78,34.0,22.3,3.7,2.1,0.8,0.5,.468,.414,.853,7.1,.129,thompkl01
ORV,C,Nikola Jokić,21,DEN,12,500,0.024,1,,,73,27.9,16.7,9.8,4.9,0.8,0.8,.578,.324,.825,9.7,.228,jokicni01
ORV,G,Damian Lillard,26,POR,12,500,0.024,0,,,75,35.9,27.0,4.9,5.9,0.9,0.3,.444,.370,.895,10.4,.185,lillada01
ORV,F,Paul Millsap,31,ATL,3,500,0.006,0,,,69,34.0,18.1,7.7,3.7,1.3,0.9,.442,.311,.768,6.4,.132,millspa01
ORV,F,LaMarcus Aldridge,31,SAS,1,500,0.002,0,0,1,72,32.4,17.3,7.3,1.9,0.6,1.2,.477,.411,.812,7.2,.149,aldrila01
ORV,F,Blake Griffin,27,LAC,1,500,0.002,0,0,1,61,34.0,21.6,8.1,4.9,0.9,0.4,.493,.336,.760,7.7,.179,griffbl01
ORV,C,Al Horford,30,BOS,1,500,0.002,0,0,1,68,32.3,14.0,6.8,5.0,0.8,1.3,.473,.355,.800,6.3,.138,horfoal01
