,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
ORV,F,Chris Bosh,24,TOR,56,610,0.092,,,,77,38.0,22.7,10.0,2.5,0.9,1.0,.487,.245,.817,9.7,.159,boshch01
ORV,G,Joe Johnson,27,ATL,36,610,0.059,,,,79,39.5,21.4,4.4,5.8,1.1,0.2,.437,.360,.826,7.6,.116,johnsjo02
ORV,F,Kevin Durant,20,OKC,34,610,0.056,,,,74,39.0,25.3,6.5,2.8,1.3,0.7,.476,.422,.863,7.9,.132,duranke01
ORV,F,Danny Granger,25,IND,25,610,0.041,,,,67,36.2,25.8,5.1,2.7,1.0,1.4,.447,.404,.878,8.0,.158,grangda01
ORV,F,David West,28,NOH,12,610,0.02,,,,76,39.2,21.0,8.5,2.3,0.6,0.9,.472,.240,.884,7.8,.125,westda01
ORV,G,Mo Williams,26,CLE,10,610,0.016,,,,81,35.0,17.8,3.4,4.1,0.9,0.1,.467,.436,.912,9.8,.165,willima01
ORV,C,Al Jefferson,24,MIN,8,610,0.013,,,,50,36.7,23.1,11.0,1.6,0.8,1.7,.497,.000,.738,4.9,.128,jeffeal01
ORV,F,Antawn Jamison,32,WAS,7,610,0.011,,,,81,38.2,22.2,8.9,1.9,1.2,0.3,.468,.351,.754,8.1,.126,jamisan01
ORV,G,Steve Nash,34,PHO,7,610,0.011,,,,74,33.6,15.7,3.0,9.7,0.7,0.1,.503,.439,.933,7.3,.140,nashst01
ORV,G,Ray Allen,33,BOS,6,610,0.01,,,,79,36.4,18.2,3.5,2.8,0.9,0.2,.480,.409,.952,11.1,.186,allenra02
ORV,F,Nenê,26,DEN,6,610,0.01,,,,77,32.6,14.6,7.8,1.4,1.2,1.3,.604,.200,.723,9.3,.177,hilarne01
ORV,G,Devin Harris,25,NJN,5,610,0.008,,,,69,36.1,21.3,3.3,6.9,1.7,0.2,.438,.291,.820,7.5,.145,harride01
ORV,F,LaMarcus Aldridge,23,POR,4,610,0.007,,,,81,37.1,18.1,7.5,1.9,1.0,1.0,.484,.250,.781,9.5,.151,aldrila01
ORV,F,David Lee,25,NYK,4,610,0.007,,,,81,34.9,16.0,11.7,2.1,1.0,0.3,.549,.000,.755,9.0,.154,leeda02
ORV,G,Rajon Rondo,22,BOS,2,610,0.003,0,0,2,80,33.0,11.9,5.2,8.2,1.9,0.1,.505,.313,.642,9.9,.179,rondora01
ORV,F,Carlos Boozer,27,UTA,1,610,0.002,0,0,1,37,32.4,16.2,10.4,2.1,1.1,0.2,.490,,.698,2.6,.105,boozeca01
ORV,F,Caron Butler,28,WAS,1,610,0.002,0,0,1,67,38.6,20.8,6.2,4.3,1.6,0.3,.453,.310,.858,4.5,.083,butleca01
ORV,F,Vince Carter,32,NJN,1,610,0.002,0,0,1,80,36.8,20.8,5.1,4.7,1.0,0.5,.437,.385,.817,7.5,.123,cartevi01
ORV,F,Andre Iguodala,25,PHI,1,610,0.002,0,0,1,82,39.9,18.8,5.7,5.3,1.6,0.4,.473,.307,.724,9.2,.134,iguodan01
ORV,G,Andre Miller,32,PHI,1,610,0.002,0,0,1,82,36.3,16.3,4.5,6.5,1.3,0.2,.473,.283,.826,8.8,.141,millean02
ORV,F,Paul Millsap,23,UTA,1,610,0.002,0,0,1,76,30.1,13.5,8.6,1.8,1.0,1.0,.534,.000,.699,7.7,.162,millspa01
ORV,C,Jermaine O'Neal,30,TOT,1,610,0.002,0,0,1,68,29.8,13.3,6.4,1.8,0.4,2.0,.474,.000,.788,2.6,.060,onealje01
ORV,G,Derrick Rose,20,CHI,1,610,0.002,0,0,1,81,37.0,16.8,3.9,6.3,0.8,0.2,.475,.222,.788,4.9,.078,rosede01
ORV,F,Hedo Türkoğlu,29,ORL,1,610,0.002,0,0,1,77,36.6,16.8,5.3,4.9,0.8,0.2,.413,.356,.807,7.3,.125,turkohe01
