,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,LeBron James,24,CLE,610,610,1,122,0,0,81,37.7,28.4,7.6,7.2,1.7,1.1,.489,.344,.780,20.3,.318,jamesle01
1st,G,Kobe Bryant,30,LAL,604,610,0.99,119,3,0,82,36.1,26.8,5.2,4.9,1.5,0.5,.467,.351,.856,12.7,.206,bryanko01
1st,C,Dwight Howard,23,ORL,598,610,0.98,116,,,79,35.7,20.6,13.8,1.4,1.0,2.9,.572,.000,.594,13.8,.234,howardw01
1st,G,Dwyane Wade,27,MIA,572,610,0.938,103,,,79,38.6,30.2,5.0,7.5,2.2,1.3,.491,.317,.765,14.7,.232,wadedw01
1st,F,Dirk Nowitzki,30,DAL,383,610,0.628,35,,,81,37.7,25.9,8.4,2.4,0.8,0.8,.479,.359,.890,10.9,.171,nowitdi01
2nd,G,Chris Paul,23,NOH,424,610,0.695,32,,,78,38.5,22.8,5.5,11.0,2.8,0.1,.503,.364,.868,18.3,.292,paulch01
2nd,F,Tim Duncan,32,SAS,378,610,0.62,39,,,75,33.7,19.3,10.7,3.5,0.5,1.7,.504,.000,.692,10.1,.191,duncati01
2nd,C,Yao Ming,28,HOU,354,610,0.58,8,,,77,33.6,19.7,9.9,1.8,0.4,1.9,.548,1.000,.866,10.6,.196,mingya01
2nd,F,Paul Pierce,31,BOS,330,610,0.541,27,,,81,37.5,20.5,5.6,3.6,1.0,0.3,.457,.391,.830,10.3,.164,piercpa01
2nd,G,Brandon Roy,24,POR,189,610,0.31,0,,,78,37.2,22.6,4.7,5.1,1.1,0.3,.480,.377,.824,13.5,.223,roybr01
3rd,F,Pau Gasol,28,LAL,165,610,0.27,2,,,81,37.0,18.9,9.6,3.5,0.6,1.0,.567,.500,.781,13.9,.223,gasolpa01
3rd,G,Tony Parker,26,SAS,158,610,0.259,1,,,72,34.1,22.0,3.1,6.9,0.9,0.1,.506,.292,.782,8.6,.168,parketo01
3rd,G,Chauncey Billups,32,TOT,131,610,0.215,0,,,79,35.3,17.7,3.0,6.4,1.2,0.2,.418,.408,.913,10.1,.174,billuch01
3rd,F,Carmelo Anthony,24,DEN,116,610,0.19,2,,,66,34.5,22.8,6.8,3.4,1.1,0.4,.443,.371,.793,5.0,.105,anthoca01
3rd,C,Shaquille O'Neal,36,PHO,68,610,0.111,0,,,75,30.0,17.8,8.4,1.7,0.7,1.4,.609,.000,.595,7.8,.166,onealsh01
ORV,G,Deron Williams,24,UTA,105,610,0.172,,,,68,36.8,19.4,2.9,10.7,1.1,0.3,.471,.310,.849,8.4,.160,willide01
ORV,F,Kevin Garnett,32,BOS,72,610,0.118,,,,57,31.1,15.8,8.5,2.5,1.1,1.2,.531,.250,.841,7.1,.193,garneke01
