,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Steve Nash,32,PHO,645,645,1,129,0,0,76,35.3,18.6,3.5,11.6,0.8,0.1,.532,.455,.899,12.6,.225,nashst01
1st,G,Kobe Bryant,28,LAL,643,645,0.997,128,1,0,77,40.8,31.6,5.7,5.4,1.4,0.5,.463,.344,.868,13.0,.199,bryanko01
1st,F,Dirk Nowitzki,28,DAL,634,645,0.983,125,,,78,36.2,24.6,8.9,3.4,0.7,0.8,.502,.416,.904,16.3,.278,nowitdi01
1st,F,Tim Duncan,30,SAS,573,645,0.888,94,,,80,34.1,20.0,10.6,3.4,0.8,2.4,.546,.111,.637,13.0,.230,duncati01
1st,C,Amar'e Stoudemire,24,PHO,351,645,0.544,36,,,82,32.8,20.4,9.6,1.0,1.0,1.3,.575,.000,.781,11.2,.201,stoudam01
2nd,F,LeBron James,22,CLE,494,645,0.766,64,,,78,40.9,27.3,6.7,6.0,1.6,0.7,.476,.319,.698,13.7,.206,jamesle01
2nd,C,Yao Ming,26,HOU,333,645,0.516,38,,,48,33.8,25.0,9.4,2.0,0.4,2.0,.516,.000,.862,7.4,.220,mingya01
2nd,G,Gilbert Arenas,25,WAS,295,645,0.457,0,,,74,39.8,28.4,4.6,6.0,1.9,0.2,.418,.351,.844,10.8,.177,arenagi01
2nd,G,Tracy McGrady,27,HOU,278,645,0.431,10,,,71,35.8,24.6,5.3,6.5,1.3,0.5,.431,.331,.707,8.6,.163,mcgratr01
2nd,F,Chris Bosh,22,TOR,234,645,0.363,8,,,69,38.5,22.6,10.7,2.5,0.6,1.3,.496,.343,.785,9.6,.174,boshch01
3rd,G,Dwyane Wade,25,MIA,241,645,0.374,1,,,51,37.9,27.4,4.7,7.5,2.1,1.2,.491,.266,.807,8.8,.219,wadedw01
