,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Stephen Curry,26,GSW,645,645,1,129,0,0,80,32.7,23.8,4.3,7.7,2.0,0.2,.487,.443,.914,15.7,.288,curryst01
1st,F,LeBron James,30,CLE,645,645,1,129,0,0,69,36.1,25.3,6.0,7.4,1.6,0.7,.488,.354,.710,10.4,.199,jamesle01
1st,G,James Harden,25,HOU,637,645,0.988,125,,,81,36.8,27.4,5.7,7.0,1.9,0.7,.440,.375,.868,16.4,.265,hardeja01
1st,F,Anthony Davis,21,NOP,625,645,0.969,119,,,68,36.1,24.4,10.2,2.2,1.5,2.9,.535,.083,.805,14.0,.274,davisan02
1st,C,Marc Gasol,30,MEM,453,645,0.702,65,,,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,.176,.795,10.2,.182,gasolma01
2nd,G,Russell Westbrook,26,OKC,397,645,0.616,10,,,67,34.4,28.1,7.3,8.6,2.1,0.2,.426,.299,.835,10.6,.222,westbru01
2nd,F,LaMarcus Aldridge,29,POR,390,645,0.605,13,,,71,35.4,23.4,10.2,1.7,0.7,1.0,.466,.352,.845,8.6,.165,aldrila01
2nd,G,Chris Paul,29,LAC,335,645,0.519,1,,,82,34.8,19.1,4.6,10.2,1.9,0.2,.485,.398,.900,16.1,.270,paulch01
2nd,F,Pau Gasol,34,CHI,242,645,0.375,15,,,78,34.4,18.5,11.8,2.7,0.3,1.9,.494,.462,.803,10.4,.187,gasolpa01
2nd,C,DeMarcus Cousins,24,SAC,220,645,0.341,18,,,59,34.1,24.1,12.7,3.6,1.5,1.7,.467,.250,.782,6.0,.144,couside01
3rd,F,Blake Griffin,25,LAC,189,645,0.293,2,,,67,35.2,21.9,7.6,5.3,0.9,0.5,.502,.400,.728,9.0,.183,griffbl01
3rd,C,DeAndre Jordan,26,LAC,175,645,0.271,12,,,82,34.4,11.5,15.0,0.7,1.0,2.2,.710,.250,.397,12.8,.217,jordade01
3rd,F,Tim Duncan,38,SAS,167,645,0.259,6,,,77,28.9,13.9,9.1,3.0,0.8,2.0,.512,.286,.740,9.6,.207,duncati01
3rd,G,Klay Thompson,24,GSW,122,645,0.189,0,,,77,31.9,21.7,3.2,2.9,1.1,0.8,.463,.439,.879,8.8,.172,thompkl01
3rd,G,Kyrie Irving,22,CLE,112,645,0.174,0,,,75,36.4,21.7,3.2,5.2,1.5,0.3,.468,.415,.863,10.4,.183,irvinky01
ORV,F,Kawhi Leonard,23,SAS,155,645,0.24,0,,,64,31.8,16.5,7.2,2.5,2.3,0.8,.479,.349,.802,8.6,.204,leonaka01
ORV,F,Paul Millsap,29,ATL,70,645,0.109,0,,,73,32.7,16.7,7.8,3.1,1.8,0.9,.476,.356,.757,8.3,.166,millspa01
ORV,C,Al Horford,28,ATL,64,645,0.099,1,,,76,30.5,15.2,7.2,3.2,0.9,1.3,.538,.306,.759,8.7,.179,horfoal01
ORV,G,John Wall,24,WAS,50,645,0.078,0,,,79,35.9,17.6,4.6,10.0,1.7,0.6,.445,.300,.785,7.8,.132,walljo01
ORV,G,Jimmy Butler,25,CHI,32,645,0.05,0,,,65,38.7,20.0,5.8,3.3,1.8,0.6,.462,.378,.834,11.2,.214,butleji01
ORV,G,Damian Lillard,24,POR,22,645,0.034,0,,,82,35.7,21.0,4.6,6.2,1.2,0.3,.434,.343,.864,10.6,.174,lillada01
ORV,F,Draymond Green,24,GSW,9,645,0.014,0,,,79,31.5,11.7,8.2,3.7,1.6,1.3,.443,.337,.660,8.5,.163,greendr01
ORV,F,Zach Randolph,33,MEM,7,645,0.011,0,,,71,32.5,16.1,10.5,2.2,1.0,0.2,.487,.350,.765,7.2,.149,randoza01
ORV,G,Jeff Teague,26,ATL,7,645,0.011,0,,,73,30.5,15.9,2.5,7.0,1.7,0.4,.460,.343,.862,7.7,.166,teaguje01
ORV,C,Andrew Bogut,30,GSW,6,645,0.009,0,,,67,23.6,6.3,8.1,2.7,0.6,1.7,.563,,.524,5.2,.159,bogutan01
ORV,C,Nikola Vučević,24,ORL,6,645,0.009,0,,,74,34.2,19.3,10.9,2.0,0.7,0.7,.523,.333,.752,7.0,.133,vucevni01
ORV,G,DeMar DeRozan,25,TOR,3,645,0.005,0,,,60,35.0,20.1,4.6,3.5,1.2,0.2,.413,.284,.832,4.0,.090,derozde01
ORV,F,Rudy Gay,28,SAC,3,645,0.005,0,,,68,35.4,21.1,5.9,3.7,1.0,0.6,.455,.359,.858,6.1,.122,gayru01
ORV,C,Andre Drummond,21,DET,2,645,0.003,0,,,82,30.5,13.8,13.5,0.7,0.9,1.9,.514,.000,.389,7.7,.147,drumman01
ORV,F,Gordon Hayward,24,UTA,2,645,0.003,0,,,76,34.4,19.3,4.9,4.1,1.4,0.4,.445,.364,.812,8.7,.159,haywago01
ORV,F,Kyle Korver,33,ATL,2,645,0.003,0,,,75,32.2,12.1,4.1,2.6,0.7,0.6,.487,.492,.898,7.5,.148,korveky01
ORV,C,Joakim Noah,29,CHI,2,645,0.003,0,,,67,30.6,7.2,9.6,4.7,0.7,1.1,.445,.000,.603,5.6,.130,noahjo01
ORV,F,Dirk Nowitzki,36,DAL,2,645,0.003,0,,,77,29.6,17.3,5.9,1.9,0.5,0.4,.459,.380,.882,7.2,.152,nowitdi01
ORV,G,Dwyane Wade,33,MIA,2,645,0.003,0,,,62,31.8,21.5,3.5,4.8,1.2,0.3,.470,.284,.768,3.5,.086,wadedw01
ORV,F,Carmelo Anthony,30,NYK,1,645,0.002,0,,,40,35.7,24.2,6.6,3.1,1.0,0.4,.444,.341,.797,2.9,.097,anthoca01
ORV,C,Tyson Chandler,32,DAL,1,645,0.002,0,,,75,30.5,10.3,11.5,1.1,0.6,1.2,.666,,.720,10.3,.216,chandty01
ORV,G,Mike Conley,27,MEM,1,645,0.002,0,,,70,31.8,15.8,3.0,5.4,1.3,0.2,.446,.386,.859,6.8,.147,conlemi01
ORV,C,Brook Lopez,26,BRK,1,645,0.002,0,,,72,29.2,17.2,7.4,0.7,0.6,1.8,.513,.100,.814,7.0,.159,lopezbr01
ORV,F,Kevin Love,26,CLE,1,645,0.002,0,,,75,33.8,16.4,9.7,2.2,0.7,0.5,.434,.367,.804,8.7,.165,loveke01
ORV,G,Kyle Lowry,28,TOR,1,645,0.002,0,,,70,34.5,17.8,4.7,6.8,1.6,0.2,.412,.338,.808,7.1,.141,lowryky01
ORV,G,Khris Middleton,23,MIL,1,645,0.002,0,,,79,30.1,13.4,4.4,2.3,1.5,0.1,.467,.407,.859,6.7,.135,middlkh01
