,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,C,Dwight Howard,24,ORL,610,610,1,122,0,0,82,34.7,18.3,13.2,1.8,0.9,2.8,.612,.000,.592,13.2,.223,howardw01
1st,F,LeBron James,25,CLE,610,610,1,122,0,0,76,39.0,29.7,7.3,8.6,1.6,1.0,.503,.333,.767,18.5,.299,jamesle01
1st,G,Kobe Bryant,31,LAL,604,610,0.99,119,,,73,38.8,27.0,5.4,5.0,1.5,0.3,.456,.329,.811,9.4,.160,bryanko01
1st,F,Kevin Durant,21,OKC,579,610,0.949,107,,,82,39.5,30.1,7.6,2.8,1.4,1.0,.476,.365,.900,16.1,.238,duranke01
1st,G,Dwyane Wade,28,MIA,520,610,0.852,81,,,77,36.3,26.6,4.8,6.5,1.8,1.1,.476,.300,.761,13.0,.224,wadedw01
2nd,G,Steve Nash,35,PHO,366,610,0.6,24,,,81,32.8,16.5,3.3,11.0,0.5,0.1,.507,.426,.938,9.9,.178,nashst01
2nd,F,Dirk Nowitzki,31,DAL,356,610,0.584,10,,,81,37.5,25.0,7.7,2.7,0.9,1.0,.481,.421,.915,12.3,.194,nowitdi01
2nd,G,Deron Williams,25,UTA,343,610,0.562,14,,,76,36.9,18.7,4.0,10.5,1.3,0.2,.469,.371,.801,10.3,.177,willide01
2nd,F,Carmelo Anthony,25,DEN,321,610,0.526,9,,,69,38.2,28.2,6.6,3.2,1.3,0.4,.458,.316,.830,7.9,.145,anthoca01
2nd,C,Amar'e Stoudemire,27,PHO,239,610,0.392,2,,,82,34.6,23.1,8.9,1.0,0.6,1.0,.557,.167,.771,10.7,.181,stoudam01
3rd,C,Andrew Bogut,25,MIL,149,610,0.244,0,,,69,32.3,15.9,10.2,1.8,0.6,2.5,.520,.000,.629,7.5,.161,bogutan01
3rd,F,Tim Duncan,33,SAS,125,610,0.205,0,,,78,31.3,17.9,10.1,3.2,0.6,1.5,.518,.182,.725,10.9,.215,duncati01
3rd,G,Joe Johnson,28,ATL,118,610,0.193,0,,,76,38.0,21.3,4.6,4.9,1.1,0.1,.458,.369,.818,8.4,.140,johnsjo02
3rd,F,Pau Gasol,29,LAL,94,610,0.154,0,,,65,37.0,18.3,11.3,3.4,0.6,1.7,.536,.000,.790,11.0,.220,gasolpa01
3rd,G,Brandon Roy,25,POR,87,610,0.143,0,,,65,37.2,21.5,4.4,4.7,0.9,0.2,.473,.330,.780,9.1,.180,roybr01
ORV,C,Chris Bosh,25,TOR,80,610,0.131,0,,,70,36.1,24.0,10.8,2.4,0.6,1.0,.518,.364,.797,9.6,.182,boshch01
ORV,G,Rajon Rondo,23,BOS,47,610,0.077,0,,,81,36.6,13.7,4.4,9.8,2.3,0.1,.508,.213,.621,9.6,.156,rondora01
ORV,F,David Lee,26,NYK,43,610,0.07,0,,,81,37.3,20.2,11.7,3.6,1.0,0.5,.545,.000,.812,10.3,.163,leeda02
ORV,F,Carlos Boozer,28,UTA,33,610,0.054,0,,,78,34.3,19.5,11.2,3.2,1.1,0.5,.562,,.742,9.9,.178,boozeca01
ORV,G,Chauncey Billups,33,DEN,24,610,0.039,0,,,73,34.1,19.5,3.1,5.6,1.1,0.1,.418,.386,.910,9.5,.182,billuch01
ORV,F,Zach Randolph,28,MEM,20,610,0.033,0,,,81,37.7,20.8,11.7,1.8,1.0,0.4,.488,.288,.778,9.7,.153,randoza01
ORV,C,Al Horford,23,ATL,19,610,0.031,0,,,81,35.1,14.2,9.9,2.3,0.7,1.1,.551,1.000,.789,10.9,.183,horfoal01
ORV,G,Jason Kidd,36,DAL,18,610,0.03,0,,,80,36.0,10.3,5.6,9.1,1.8,0.4,.423,.425,.808,8.9,.148,kiddja01
ORV,G,Derrick Rose,21,CHI,15,610,0.025,0,,,78,36.8,20.8,3.8,6.0,0.7,0.3,.489,.267,.766,6.0,.100,rosede01
ORV,G,Chris Paul,24,NOH,14,610,0.023,0,,,45,38.0,18.7,4.2,10.7,2.1,0.2,.493,.409,.847,7.3,.204,paulch01
ORV,G,Manu Ginóbili,32,SAS,13,610,0.021,0,,,75,28.7,16.5,3.8,4.9,1.4,0.3,.441,.377,.870,9.7,.216,ginobma01
ORV,C,Chris Kaman,27,LAC,9,610,0.015,0,,,76,34.3,18.5,9.3,1.6,0.5,1.2,.490,.000,.749,2.4,.044,kamanch01
ORV,C,Brook Lopez,21,NJN,6,610,0.01,0,,,82,36.9,18.8,8.6,2.3,0.7,1.7,.499,.000,.817,7.9,.125,lopezbr01
ORV,F,Paul Pierce,32,BOS,6,610,0.01,0,,,71,34.0,18.3,4.4,3.1,1.2,0.4,.472,.414,.852,8.3,.165,piercpa01
ORV,F,Josh Smith,24,ATL,6,610,0.01,0,,,81,35.4,15.7,8.7,4.2,1.6,2.1,.505,.000,.618,9.3,.155,smithjo03
ORV,F,Gerald Wallace,27,CHA,5,610,0.008,0,,,76,41.0,18.2,10.0,2.1,1.5,1.1,.484,.371,.776,11.5,.177,wallage01
ORV,C,Marcus Camby,35,TOT,3,610,0.005,0,,,74,31.3,7.5,11.8,2.5,1.3,2.0,.475,.286,.639,6.8,.142,cambyma01
ORV,C,Andrew Bynum,22,LAL,2,610,0.003,0,0,2,65,30.4,15.0,8.3,1.0,0.5,1.4,.570,.000,.739,7.8,.188,bynuman01
ORV,F,Danny Granger,26,IND,2,610,0.003,0,0,2,62,36.7,24.1,5.5,2.8,1.5,0.8,.428,.361,.848,6.2,.131,grangda01
ORV,F,Kevin Garnett,33,BOS,1,610,0.002,0,0,1,69,29.9,14.3,7.3,2.7,1.0,0.8,.521,.200,.837,7.3,.171,garneke01
ORV,G,Tony Parker,27,SAS,1,610,0.002,0,0,1,56,30.9,16.0,2.4,5.7,0.5,0.1,.487,.294,.756,3.6,.101,parketo01
ORV,F,David West,29,NOH,1,610,0.002,0,0,1,81,36.4,19.0,7.5,3.0,0.9,0.7,.505,.259,.865,7.5,.122,westda01
ORV,G,Mo Williams,27,CLE,1,610,0.002,0,0,1,69,34.2,15.8,3.0,5.3,1.0,0.3,.442,.429,.894,6.7,.136,willima01
