,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Kevin Garnett,27,MIN,615,615,1,123,0,0,82,39.4,24.2,13.9,5.0,1.5,2.2,.499,.256,.791,18.3,.272,garneke01
1st,F,Tim Duncan,27,SAS,597,615,0.971,114,,,69,36.6,22.3,12.4,3.1,0.9,2.7,.501,.167,.599,13.1,.249,duncati01
1st,G,Kobe Bryant,25,LAL,582,615,0.946,111,,,65,37.6,24.0,5.5,5.1,1.7,0.4,.438,.327,.852,10.7,.210,bryanko01
1st,C,Shaquille O'Neal,31,LAL,556,615,0.904,95,,,67,36.8,21.5,11.5,2.9,0.5,2.5,.584,,.490,9.9,.192,onealsh01
1st,G,Jason Kidd,30,NJN,421,615,0.685,55,,,67,36.6,15.5,6.4,9.2,1.8,0.2,.384,.321,.827,7.2,.141,kiddja01
2nd,C,Jermaine O'Neal,25,IND,423,615,0.688,31,,,78,35.7,20.1,10.0,2.1,0.8,2.6,.434,.111,.757,9.0,.155,onealje01
2nd,F,Peja Stojaković,26,SAC,378,615,0.615,14,,,81,40.3,24.2,6.3,2.1,1.3,0.2,.480,.433,.927,13.5,.198,stojape01
2nd,G,Sam Cassell,34,MIN,322,615,0.524,34,,,81,35.0,19.8,3.3,7.3,1.3,0.2,.488,.398,.873,12.1,.205,cassesa01
2nd,G,Tracy McGrady,24,ORL,274,615,0.446,16,,,67,39.9,28.0,6.0,5.5,1.4,0.6,.417,.339,.796,8.4,.151,mcgratr01
2nd,C,Ben Wallace,29,DET,195,615,0.317,2,,,81,37.7,9.5,12.4,1.7,1.8,3.0,.421,.125,.490,10.2,.160,wallabe01
3rd,C,Yao Ming,23,HOU,189,615,0.307,0,,,82,32.8,17.5,9.0,1.5,0.3,1.9,.522,.000,.809,11.4,.202,mingya01
3rd,G,Baron Davis,24,NOH,176,615,0.286,10,,,67,40.1,22.9,4.3,7.5,2.4,0.4,.395,.321,.673,7.5,.133,davisba01
3rd,F,Dirk Nowitzki,25,DAL,145,615,0.236,0,,,77,37.9,21.8,8.7,2.7,1.2,1.4,.462,.341,.877,11.5,.190,nowitdi01
3rd,G,Michael Redd,24,MIL,95,615,0.154,4,,,82,36.8,21.7,5.0,2.3,1.0,0.1,.440,.350,.868,9.7,.154,reddmi01
3rd,F,Metta World Peace,24,IND,90,615,0.146,0,,,73,37.2,18.3,5.3,3.7,2.1,0.7,.421,.310,.733,8.0,.141,artesro01
ORV,G,Steve Nash,29,DAL,75,615,0.122,3,,,78,33.5,14.5,3.0,8.8,0.9,0.1,.470,.405,.916,8.8,.162,nashst01
ORV,F,Paul Pierce,26,BOS,68,615,0.111,0,,,80,38.7,23.0,6.5,5.1,1.6,0.7,.402,.299,.819,7.1,.109,piercpa01
ORV,F,LeBron James,19,CLE,48,615,0.078,1,,,79,39.5,20.9,5.5,5.9,1.6,0.7,.417,.290,.754,5.1,.078,jamesle01
ORV,F,Andrei Kirilenko,22,UTA,48,615,0.078,0,,,78,37.1,16.5,8.1,3.1,1.9,2.8,.443,.338,.790,11.6,.192,kirilan01
ORV,G,Stephon Marbury,26,TOT,44,615,0.072,0,,,81,40.2,20.2,3.2,8.9,1.6,0.1,.431,.318,.817,9.1,.134,marbust01
ORV,F,Lamar Odom,24,MIA,20,615,0.033,0,,,80,37.5,17.1,9.7,4.1,1.1,0.9,.430,.298,.742,8.4,.134,odomla01
ORV,G,Mike Bibby,25,SAC,18,615,0.029,1,,,82,36.3,18.4,3.4,5.4,1.4,0.2,.450,.392,.815,9.3,.151,bibbymi01
ORV,F,Zach Randolph,22,POR,18,615,0.029,0,,,81,37.9,20.1,10.5,2.0,0.8,0.5,.485,.200,.761,7.1,.111,randoza01
ORV,F,Vince Carter,27,TOR,16,615,0.026,0,,,73,38.2,22.5,4.8,4.8,1.2,0.9,.417,.383,.806,6.0,.103,cartevi01
ORV,F,Carmelo Anthony,19,DEN,14,615,0.023,0,,,82,36.5,21.0,6.1,2.8,1.2,0.5,.426,.322,.777,6.1,.098,anthoca01
ORV,G,Chauncey Billups,27,DET,12,615,0.02,0,,,78,35.4,16.9,3.5,5.7,1.1,0.1,.394,.388,.878,11.3,.198,billuch01
ORV,C,Brad Miller,27,SAC,12,615,0.02,0,,,72,36.4,14.1,10.3,4.3,0.9,1.2,.510,.316,.778,10.0,.184,millebr01
