,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,LeBron James,21,CLE,610,630,0.968,116,,,79,42.5,31.4,7.0,6.6,1.6,0.8,.480,.335,.738,16.3,.232,jamesle01
1st,G,Kobe Bryant,27,LAL,597,630,0.948,110,,,80,41.0,35.4,5.3,4.5,1.8,0.4,.450,.347,.850,15.3,.224,bryanko01
1st,F,Dirk Nowitzki,27,DAL,584,630,0.927,105,,,81,38.1,26.6,9.0,2.8,0.7,1.0,.480,.406,.901,17.7,.275,nowitdi01
1st,G,Steve Nash,31,PHO,583,630,0.925,106,,,79,35.4,18.8,4.2,10.5,0.8,0.2,.512,.439,.921,12.4,.212,nashst01
1st,C,Shaquille O'Neal,33,MIA,402,630,0.638,45,,,59,30.6,20.0,9.2,1.9,0.4,1.8,.600,,.469,6.2,.164,onealsh01
2nd,G,Chauncey Billups,29,DET,378,630,0.6,21,,,81,36.1,18.5,3.1,8.6,0.9,0.1,.418,.433,.894,15.5,.254,billuch01
2nd,G,Dwyane Wade,24,MIA,373,630,0.592,13,,,75,38.6,27.2,5.7,6.7,1.9,0.8,.495,.171,.783,14.4,.239,wadedw01
2nd,C,Ben Wallace,31,DET,363,630,0.576,44,,,82,35.2,7.3,11.3,1.9,1.8,2.2,.510,.000,.416,10.1,.168,wallabe01
2nd,F,Elton Brand,26,LAC,309,630,0.49,15,,,79,39.2,24.7,10.0,2.6,1.0,2.5,.527,.333,.775,14.8,.229,brandel01
2nd,F,Tim Duncan,29,SAS,277,630,0.44,17,,,80,34.8,18.6,11.0,3.2,0.9,2.0,.484,.400,.629,10.8,.187,duncati01
3rd,F,Shawn Marion,27,PHO,270,630,0.429,4,,,81,40.3,21.8,11.8,1.8,2.0,1.7,.525,.331,.809,14.6,.214,mariosh01
3rd,C,Yao Ming,25,HOU,261,630,0.414,30,,,57,34.2,22.3,10.2,1.5,0.5,1.6,.519,.000,.853,8.6,.211,mingya01
3rd,G,Allen Iverson,30,PHI,104,630,0.165,1,,,72,43.1,33.0,3.2,7.4,1.9,0.1,.447,.323,.814,10.6,.165,iversal01
3rd,F,Carmelo Anthony,21,DEN,97,630,0.154,0,,,80,36.8,26.5,4.9,2.7,1.1,0.5,.481,.243,.808,9.4,.153,anthoca01
3rd,G,Gilbert Arenas,24,WAS,79,630,0.125,0,,,80,42.3,29.3,3.5,6.1,2.0,0.3,.447,.369,.820,13.6,.193,arenagi01
ORV,F,Kevin Garnett,29,MIN,94,630,0.149,0,,,76,38.9,21.8,12.7,4.1,1.4,1.4,.526,.267,.810,14.9,.242,garneke01
ORV,G,Tony Parker,23,SAS,66,630,0.105,0,,,80,33.9,18.9,3.3,5.8,1.0,0.1,.548,.306,.707,9.6,.169,parketo01
ORV,C,Pau Gasol,25,MEM,49,630,0.078,0,,,80,39.2,20.4,8.9,4.6,0.6,1.9,.503,.250,.689,12.0,.184,gasolpa01
ORV,F,Vince Carter,29,NJN,47,630,0.075,0,,,79,36.8,24.2,5.8,4.3,1.2,0.7,.430,.341,.799,9.3,.153,cartevi01
ORV,F,Paul Pierce,28,BOS,29,630,0.046,0,,,79,39.0,26.8,6.7,4.7,1.4,0.4,.471,.354,.772,11.5,.178,piercpa01
ORV,G,Jason Kidd,32,NJN,20,630,0.032,0,,,80,37.2,13.3,7.3,8.4,1.9,0.4,.404,.352,.795,10.1,.163,kiddja01
ORV,C,Dwight Howard,20,ORL,11,630,0.017,0,,,82,36.8,15.8,12.5,1.5,0.8,1.4,.531,.000,.595,8.6,.137,howardw01
ORV,C,Marcus Camby,31,DEN,9,630,0.014,0,,,56,33.2,12.8,11.9,2.1,1.4,3.3,.465,.091,.712,5.5,.141,cambyma01
ORV,G,Richard Hamilton,27,DET,9,630,0.014,0,,,80,35.3,20.1,3.2,3.4,0.7,0.2,.491,.458,.845,7.6,.130,hamilri01
ORV,F,Rasheed Wallace,31,DET,8,630,0.013,1,,,80,34.8,15.1,6.8,2.3,1.0,1.6,.430,.357,.743,8.9,.154,wallara01
ORV,C,Zydrunas Ilgauskas,30,CLE,5,630,0.008,0,,,78,29.3,15.6,7.6,1.2,0.5,1.7,.506,.000,.834,8.7,.184,ilgauzy01
ORV,C,Nenad Krstić,22,NJN,5,630,0.008,0,,,80,30.9,13.5,6.4,1.1,0.4,0.8,.507,.250,.698,5.4,.105,krstine01
ORV,G,Ray Allen,30,SEA,4,630,0.006,0,,,78,38.7,25.1,4.3,3.7,1.3,0.2,.454,.412,.903,9.5,.150,allenra02
ORV,C,Mehmet Okur,26,UTA,4,630,0.006,0,,,82,35.9,18.0,9.1,2.4,0.5,0.9,.460,.342,.780,9.3,.152,okurme01
ORV,G,Michael Redd,26,MIL,4,630,0.006,0,,,80,39.1,25.4,4.3,2.9,1.2,0.1,.450,.395,.877,10.8,.166,reddmi01
ORV,C,Brad Miller,29,SAC,3,630,0.005,0,,,79,37.0,15.0,7.8,4.7,0.8,0.8,.495,.386,.828,9.1,.150,millebr01
ORV,G,Sam Cassell,36,LAC,2,630,0.003,0,0,2,78,34.0,17.2,3.7,6.3,0.9,0.1,.443,.368,.863,7.6,.137,cassesa01
ORV,G,Joe Johnson,24,ATL,2,630,0.003,0,0,2,82,40.7,20.2,4.1,6.5,1.3,0.4,.453,.356,.791,6.0,.086,johnsjo02
ORV,G,Mike Bibby,27,SAC,1,630,0.002,0,0,1,82,38.6,21.1,2.9,5.4,1.0,0.1,.432,.386,.849,8.4,.127,bibbymi01
ORV,F,Chris Bosh,21,TOR,1,630,0.002,0,0,1,70,39.3,22.5,9.2,2.6,0.7,1.1,.505,.000,.816,9.8,.170,boshch01
ORV,F,Boris Diaw,23,PHO,1,630,0.002,0,0,1,81,35.5,13.3,6.9,6.2,0.7,1.0,.526,.267,.731,8.9,.149,diawbo01
ORV,F,Antawn Jamison,29,WAS,1,630,0.002,0,0,1,82,40.1,20.5,9.3,1.9,1.1,0.1,.442,.394,.731,8.2,.119,jamisan01
ORV,C,Chris Kaman,23,LAC,1,630,0.002,0,0,1,78,32.8,11.9,9.6,1.0,0.6,1.4,.523,.000,.770,6.1,.114,kamanch01
ORV,F,Andrei Kirilenko,24,UTA,1,630,0.002,0,0,1,69,37.7,15.3,8.0,4.3,1.5,3.2,.460,.308,.699,7.9,.145,kirilan01
ORV,G,Chris Paul,20,NOK,1,630,0.002,0,0,1,78,36.0,16.1,5.1,7.8,2.2,0.1,.430,.282,.847,10.4,.178,paulch01
