,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,F,Kevin Durant,25,OKC,625,625,1,125,0,0,81,38.5,32.0,7.4,5.5,1.3,0.7,.503,.391,.873,19.2,.295,duranke01
1st,F,LeBron James,29,MIA,623,625,0.997,124,1,0,77,37.7,27.1,6.9,6.3,1.6,0.3,.567,.379,.750,15.9,.264,jamesle01
1st,C,Joakim Noah,28,CHI,551,625,0.882,101,,,80,35.3,12.6,11.3,5.4,1.2,1.5,.475,.000,.737,11.2,.190,noahjo01
1st,G,Chris Paul,28,LAC,540,625,0.864,86,,,62,35.0,19.1,4.3,10.7,2.5,0.1,.467,.368,.855,12.2,.270,paulch01
1st,G,James Harden,24,HOU,502,625,0.803,73,,,73,38.0,25.4,4.7,6.1,1.6,0.4,.456,.366,.866,12.8,.221,hardeja01
2nd,G,Stephen Curry,25,GSW,489,625,0.782,65,,,78,36.5,24.0,4.3,8.5,1.6,0.2,.471,.424,.885,13.4,.225,curryst01
2nd,F,Blake Griffin,24,LAC,350,625,0.56,5,,,80,35.8,24.1,9.5,3.9,1.2,0.6,.528,.273,.715,12.2,.205,griffbl01
2nd,F,Kevin Love,25,MIN,237,625,0.379,2,,,77,36.3,26.1,12.5,4.4,0.8,0.5,.457,.376,.821,14.3,.245,loveke01
2nd,C,Dwight Howard,28,HOU,226,625,0.362,9,,,71,33.7,18.3,12.2,1.8,0.8,1.8,.591,.286,.547,8.0,.161,howardw01
2nd,G,Tony Parker,31,SAS,210,625,0.336,14,,,68,29.4,16.7,2.3,5.7,0.5,0.1,.499,.373,.811,5.9,.141,parketo01
3rd,F,LaMarcus Aldridge,28,POR,191,625,0.306,4,,,69,36.2,23.2,11.1,2.6,0.9,1.0,.458,.200,.822,7.5,.144,aldrila01
3rd,C,Al Jefferson,29,CHA,191,625,0.306,4,,,73,35.0,21.8,10.8,2.1,0.9,1.1,.509,.200,.690,7.8,.146,jeffeal01
3rd,F,Paul George,23,IND,171,625,0.274,4,,,80,36.2,21.7,6.8,3.5,1.9,0.3,.424,.364,.864,10.8,.178,georgpa01
3rd,G,Damian Lillard,23,POR,115,625,0.184,2,,,82,35.8,20.7,3.5,5.6,0.8,0.3,.424,.394,.871,9.6,.157,lillada01
3rd,G,Goran Dragić,27,PHO,115,625,0.184,1,,,76,35.1,20.3,3.2,5.9,1.4,0.3,.505,.408,.760,10.3,.186,dragigo01
ORV,F,Carmelo Anthony,29,NYK,86,625,0.138,1,,,77,38.7,27.4,8.1,3.1,1.2,0.7,.452,.402,.848,10.7,.172,anthoca01
ORV,G,John Wall,23,WAS,70,625,0.112,0,,,82,36.3,19.3,4.1,8.8,1.8,0.5,.433,.351,.805,7.9,.128,walljo01
ORV,F,Tim Duncan,37,SAS,63,625,0.101,1,,,74,29.2,15.1,9.7,3.0,0.6,1.9,.490,.000,.731,7.4,.164,duncati01
ORV,G,DeMar DeRozan,24,TOR,56,625,0.09,0,,,79,38.2,22.7,4.3,4.0,1.1,0.4,.429,.305,.824,8.8,.141,derozde01
ORV,F,Anthony Davis,20,NOP,40,625,0.064,1,,,67,35.2,20.8,10.0,1.6,1.3,2.8,.519,.222,.791,10.4,.212,davisan02
ORV,F,Dirk Nowitzki,35,DAL,37,625,0.059,1,,,80,32.9,21.7,6.2,2.7,0.9,0.6,.497,.398,.899,10.9,.199,nowitdi01
ORV,G,Russell Westbrook,25,OKC,32,625,0.051,1,,,46,30.7,21.8,5.7,6.9,1.9,0.2,.437,.318,.826,5.2,.178,westbru01
ORV,G,Kyle Lowry,27,TOR,29,625,0.046,0,,,79,36.2,17.9,4.7,7.4,1.5,0.2,.423,.380,.813,11.7,.197,lowryky01
ORV,C,DeAndre Jordan,25,LAC,21,625,0.034,0,,,82,35.0,10.4,13.6,0.9,1.0,2.5,.676,,.428,11.1,.186,jordade01
ORV,C,Roy Hibbert,27,IND,17,625,0.027,0,,,81,29.7,10.8,6.6,1.1,0.4,2.2,.439,.400,.770,5.4,.108,hibbero01
ORV,C,Marc Gasol,29,MEM,16,625,0.026,2,,,59,33.4,14.6,7.2,3.6,1.0,1.3,.473,.182,.768,5.6,.137,gasolma01
ORV,C,DeMarcus Cousins,23,SAC,14,625,0.022,1,,,71,32.4,22.7,11.7,2.9,1.5,1.3,.496,.000,.726,7.9,.166,couside01
ORV,G,Kyrie Irving,21,CLE,7,625,0.011,0,,,71,35.2,20.8,3.6,6.1,1.5,0.3,.430,.358,.861,6.7,.128,irvinky01
ORV,G,Dwyane Wade,32,MIA,6,625,0.01,0,,,54,32.9,19.0,4.5,4.7,1.5,0.5,.545,.281,.733,5.5,.149,wadedw01
ORV,G,Mike Conley,26,MEM,4,625,0.006,0,,,73,33.5,17.2,2.9,6.0,1.5,0.2,.450,.361,.815,8.2,.161,conlemi01
ORV,F,Serge Ibaka,24,OKC,4,625,0.006,0,,,81,32.9,15.1,8.8,1.0,0.5,2.7,.536,.383,.784,9.6,.173,ibakase01
ORV,G,Joe Johnson,32,BRK,4,625,0.006,0,,,79,32.6,15.8,3.4,2.7,0.6,0.1,.454,.401,.815,4.9,.091,johnsjo02
ORV,F,Zach Randolph,32,MEM,4,625,0.006,0,,,79,34.2,17.4,10.1,2.5,0.7,0.3,.467,.100,.742,6.4,.113,randoza01
ORV,G,Lance Stephenson,23,IND,3,625,0.005,0,,,78,35.3,13.8,7.2,4.6,0.7,0.1,.491,.352,.711,7.4,.130,stephla01
ORV,G,Ty Lawson,26,DEN,2,625,0.003,0,0,2,62,35.8,17.6,3.5,8.8,1.6,0.2,.431,.356,.798,6.3,.136,lawsoty01
ORV,F,Paul Millsap,28,ATL,2,625,0.003,0,0,2,74,33.5,17.9,8.5,3.1,1.7,1.1,.461,.358,.731,6.7,.129,millspa01
ORV,F,Chris Bosh,29,MIA,1,625,0.002,0,0,1,79,32.0,16.2,6.6,1.1,1.0,1.0,.516,.339,.820,8.0,.152,boshch01
ORV,C,Andre Drummond,20,DET,1,625,0.002,0,0,1,81,32.3,13.5,13.2,0.4,1.2,1.6,.623,.000,.418,9.9,.182,drumman01
ORV,G,Monta Ellis,28,DAL,1,625,0.002,0,0,1,82,36.9,19.0,3.6,5.7,1.7,0.3,.451,.330,.788,4.9,.078,ellismo01
ORV,F,Kawhi Leonard,22,SAS,1,625,0.002,0,0,1,66,29.1,12.8,6.2,2.0,1.7,0.8,.522,.379,.802,7.7,.193,leonaka01
