,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999
1st,G,Stephen Curry,27,GSW,645,645,1,129,0,0,79,34.2,30.1,5.4,6.7,2.1,0.2,.504,.454,.908,17.9,.318,curryst01
1st,F,LeBron James,31,CLE,637,645,0.988,125,4,0,76,35.6,25.3,7.4,6.8,1.4,0.6,.520,.309,.731,13.6,.242,jamesle01
1st,G,Russell Westbrook,27,OKC,627,645,0.972,120,9,0,80,34.4,23.5,7.8,10.4,2.0,0.3,.454,.296,.812,14.0,.245,westbru01
1st,F,Kawhi Leonard,24,SAS,575,645,0.891,94,35,0,72,33.1,21.2,6.8,2.6,1.8,1.0,.506,.443,.874,13.7,.277,leonaka01
1st,C,DeAndre Jordan,27,LAC,317,645,0.491,39,36,14,77,33.7,12.7,13.8,1.2,0.7,2.3,.703,.000,.430,11.5,.213,jordade01
2nd,F,Kevin Durant,27,OKC,452,645,0.701,36,90,2,72,35.8,28.2,8.2,5.0,1.0,1.2,.505,.387,.898,14.5,.270,duranke01
2nd,F,Draymond Green,25,GSW,431,645,0.668,40,74,9,81,34.7,14.0,9.5,7.4,1.5,1.4,.490,.388,.696,11.1,.190,greendr01
2nd,G,Chris Paul,30,LAC,353,645,0.547,8,101,10,74,32.7,19.5,4.2,10.0,2.1,0.2,.462,.371,.896,12.7,.253,paulch01
2nd,C,DeMarcus Cousins,25,SAC,277,645,0.429,32,28,33,65,34.6,26.9,11.5,3.3,1.6,1.4,.451,.333,.718,5.7,.122,couside01
2nd,G,Damian Lillard,25,POR,217,645,0.336,0,48,73,75,35.7,25.1,4.0,6.8,0.9,0.4,.419,.375,.892,9.2,.165,lillada01
3rd,C,Andre Drummond,22,DET,173,645,0.268,13,26,30,81,32.9,16.2,14.8,0.8,1.5,1.4,.521,.333,.355,7.4,.133,drumman01
3rd,G,Klay Thompson,25,GSW,164,645,0.254,0,37,53,80,33.3,22.1,3.8,2.1,0.8,0.6,.470,.425,.873,8.0,.144,thompkl01
3rd,F,Paul George,25,IND,157,645,0.243,0,28,73,81,34.8,23.1,7.0,4.1,1.9,0.4,.418,.371,.860,9.2,.157,georgpa01
3rd,G,Kyle Lowry,29,TOR,155,645,0.24,0,35,50,77,37.0,21.2,4.7,6.4,2.1,0.4,.427,.388,.811,11.6,.196,lowryky01
3rd,F,LaMarcus Aldridge,30,SAS,103,645,0.16,3,11,55,74,30.6,18.0,8.5,1.5,0.5,1.1,.513,.000,.858,10.1,.215,aldrila01
ORV,G,James Harden,26,HOU,106,645,0.164,0,,,82,38.1,29.0,6.1,7.5,1.7,0.6,.439,.359,.860,13.3,.204,hardeja01
ORV,F,Paul Millsap,30,ATL,84,645,0.13,0,,,81,32.7,17.1,9.0,3.3,1.8,1.7,.470,.319,.757,10.1,.183,millspa01
ORV,C,Al Horford,29,ATL,76,645,0.118,2,,,82,32.1,15.2,7.3,3.2,0.8,1.5,.505,.344,.798,9.4,.172,horfoal01
ORV,C,Anthony Davis,22,NOP,76,645,0.118,1,,,61,35.5,24.3,10.3,1.9,1.3,2.0,.493,.324,.758,7.2,.160,davisan02
ORV,C,Karl-Anthony Towns,20,MIN,44,645,0.068,0,,,82,32.0,18.3,10.5,2.0,0.7,1.7,.542,.341,.811,8.3,.151,townska01
ORV,G,DeMar DeRozan,26,TOR,26,645,0.04,0,,,78,35.9,23.5,4.5,4.0,1.0,0.3,.446,.338,.850,9.9,.169,derozde01
ORV,C,Hassan Whiteside,26,MIA,24,645,0.037,1,,,73,29.1,14.2,11.8,0.4,0.6,3.7,.606,,.650,10.3,.233,whiteha01
ORV,G,Isaiah Thomas,26,BOS,20,645,0.031,0,,,82,32.2,22.2,3.0,6.2,1.1,0.1,.428,.359,.871,9.7,.177,thomais02
ORV,F,Pau Gasol,35,CHI,16,645,0.025,2,,,72,31.8,16.5,11.0,4.1,0.6,2.0,.469,.348,.792,7.1,.149,gasolpa01
ORV,G,Jimmy Butler,26,CHI,12,645,0.019,0,,,67,36.9,20.9,5.3,4.8,1.6,0.6,.454,.312,.832,9.1,.177,butleji01
ORV,F,Dirk Nowitzki,37,DAL,8,645,0.012,0,,,75,31.5,18.3,6.5,1.8,0.7,0.7,.448,.368,.893,6.8,.138,nowitdi01
ORV,G,John Wall,25,WAS,7,645,0.011,0,,,77,36.2,19.9,4.9,10.2,1.9,0.8,.424,.351,.791,5.7,.098,walljo01
ORV,G,Kemba Walker,25,CHO,6,645,0.009,0,,,81,35.6,20.9,4.4,5.2,1.6,0.5,.427,.371,.847,9.9,.165,walkeke02
ORV,F,Tim Duncan,39,SAS,3,645,0.005,0,,,61,25.2,8.6,7.3,2.7,0.8,1.3,.488,.000,.702,5.2,.163,duncati01
ORV,F,Gordon Hayward,25,UTA,3,645,0.005,0,,,80,36.2,19.7,5.0,3.7,1.2,0.3,.433,.349,.824,8.9,.147,haywago01
ORV,C,Dwight Howard,30,HOU,3,645,0.005,0,,,71,32.1,13.7,11.8,1.4,1.0,1.6,.620,.000,.489,6.6,.138,howardw01
ORV,F,Carmelo Anthony,31,NYK,2,645,0.003,0,0,2,72,35.1,21.8,7.7,4.2,0.9,0.5,.434,.339,.829,6.4,.121,anthoca01
ORV,C,Marc Gasol,31,MEM,2,645,0.003,0,0,2,52,34.4,16.6,7.0,3.8,1.0,1.3,.464,.667,.829,3.7,.098,gasolma01
ORV,C,Andrew Bogut,31,GSW,1,645,0.002,0,0,1,70,20.7,5.4,7.0,2.3,0.5,1.6,.627,1.000,.480,5.4,.180,bogutan01
ORV,F,Blake Griffin,26,LAC,1,645,0.002,0,0,1,35,33.4,21.4,8.4,4.9,0.8,0.5,.499,.333,.727,3.8,.156,griffbl01
ORV,C,Brook Lopez,27,BRK,1,645,0.002,0,0,1,73,33.7,20.6,7.8,2.0,0.8,1.7,.511,.143,.787,6.2,.121,lopezbr01
ORV,G,Tony Parker,33,SAS,1,645,0.002,0,0,1,72,27.5,11.9,2.4,5.3,0.8,0.2,.493,.415,.760,5.8,.142,parketo01
