,,,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Boston Celtics,28.4,52,14,53,13,11.23,-0.01,11.21,122.8,111.4,+11.4,97.6,.231,.470,.608,,.577,10.9,24.8,.187,,.519,10.5,76.4,.151,,TD Garden,632148,19156
2,Oklahoma City Thunder,23.3,46,20,47,19,7.67,-0.21,7.46,120.3,112.6,+7.7,99.8,.239,.382,.611,,.575,11.2,21.0,.199,,.529,13.6,73.1,.207,,Paycom Center,590521,17368
3,Minnesota Timberwolves,27.2,45,21,46,20,6.47,0.02,6.49,115.4,108.8,+6.6,97.3,.274,.378,.593,,.557,13.2,23.6,.215,,.512,12.6,77.1,.198,,Target Center,540720,17443
4,New Orleans Pelicans,25.9,40,26,43,23,4.94,-0.01,4.93,117.8,112.8,+5.0,98.3,.268,.369,.591,,.558,11.9,25.2,.205,,.537,12.6,76.6,.189,,Smoothie King Center,551242,17226
5,Denver Nuggets,27.0,47,20,43,24,4.57,0.03,4.59,118.5,113.8,+4.7,96.8,.224,.350,.588,,.561,11.4,25.6,.170,,.530,11.2,75.5,.198,,Ball Arena,649198,19673
6,Cleveland Cavaliers,26.2,42,24,42,24,4.32,-0.36,3.96,115.8,111.4,+4.4,97.4,.234,.425,.586,,.557,12.1,23.8,.179,,.525,12.2,77.1,.195,,Rocket Mortgage Fieldhouse,676575,19432
7,New York Knicks,26.3,39,27,41,25,4.06,-0.19,3.88,117.4,113.1,+4.3,95.6,.251,.404,.570,,.535,12.0,29.7,.197,,.542,12.1,76.5,.173,,Madison Square Garden (IV),690013,19715
8,Los Angeles Clippers,30.5,42,24,41,25,4.18,0.26,4.44,119.8,115.5,+4.3,97.4,.259,.386,.604,,.567,11.9,24.4,.212,,.540,11.8,74.6,.186,,Crypto.com Arena,602452,18827
9,Milwaukee Bucks,30.1,43,24,40,27,3.31,-0.60,2.72,119.2,115.9,+3.3,100.5,.285,.431,.605,,.570,11.3,21.4,.221,,.540,10.6,77.1,.187,,Fiserv Forum,582002,17661
10,Phoenix Suns,29.1,39,28,39,28,2.57,-0.56,2.01,117.7,115.1,+2.6,98.6,.286,.370,.601,,.562,13.2,25.4,.230,,.536,11.2,75.0,.180,,Footprint Center,597485,17071
11,Philadelphia 76ers,28.3,36,30,38,28,2.32,-0.34,1.98,117.4,115.0,+2.4,97.8,.276,.361,.575,,.530,10.5,24.9,.229,,.542,13.0,74.0,.223,,Wells Fargo Center,680029,20001
12,Indiana Pacers,25.3,37,30,37,30,1.70,-0.16,1.54,120.4,118.7,+1.7,102.1,.230,.384,.606,,.578,11.5,23.4,.179,,.562,12.2,74.4,.226,,Gainbridge Fieldhouse,557653,16402
13,Golden State Warriors,28.3,34,31,36,29,1.55,0.40,1.96,117.4,115.8,+1.6,99.8,.230,.428,.583,,.552,12.5,27.5,.179,,.542,11.5,76.1,.204,,Chase Center,614176,18064
14,Orlando Magic,23.9,39,28,37,30,1.49,-0.36,1.13,113.3,111.8,+1.5,97.1,.295,.364,.577,,.540,13.4,25.8,.223,,.543,13.7,77.8,.209,,Amway Center,587049,18902
15,Dallas Mavericks,26.4,38,29,36,31,1.31,0.32,1.63,118.6,117.3,+1.3,100.3,.257,.442,.596,,.565,11.1,22.3,.196,,.555,12.0,74.1,.189,,American Airlines Center,707016,20200
16,Sacramento Kings,26.4,38,27,34,31,1.03,0.47,1.51,117.7,116.7,+1.0,99.7,.229,.428,.590,,.565,11.7,23.9,.169,,.563,12.3,78.9,.217,,Golden 1 Center,555511,17920
17,Miami Heat,28.1,36,30,34,32,0.56,-0.52,0.05,113.8,113.2,+0.6,96.6,.265,.385,.577,,.536,11.8,22.0,.215,,.547,12.7,77.6,.178,,Kaseya Center,632283,19759
18,Houston Rockets,24.9,31,35,34,32,0.56,0.23,0.79,113.3,112.8,+0.5,99.1,.262,.385,.562,,.526,11.5,24.9,.201,,.531,12.1,76.6,.219,,Toyota Center,578162,17520
19,Los Angeles Lakers,27.9,36,31,33,34,-0.48,0.62,0.14,115.4,115.9,-0.5,100.7,.272,.352,.598,,.564,12.3,19.5,.210,,.551,11.6,75.8,.156,,Crypto.com Arena,660966,18910
20,Atlanta Hawks,26.1,29,37,29,37,-1.86,-0.29,-2.15,117.9,119.8,-1.9,100.6,.262,.404,.576,,.537,11.4,27.8,.211,,.571,12.4,74.2,.190,,State Farm Arena,558505,16924
21,Chicago Bulls,28.0,32,35,29,38,-2.04,-0.09,-2.14,114.3,116.3,-2.0,96.2,.236,.366,.566,,.530,11.1,24.7,.188,,.556,12.6,76.3,.197,,United Center,674327,20434
22,Brooklyn Nets,26.4,26,40,29,37,-2.03,0.06,-1.97,114.4,116.5,-2.1,97.3,.230,.416,.565,,.535,11.5,25.0,.174,,.547,11.6,76.2,.205,,Barclays Center,595575,17517
23,Utah Jazz,25.6,29,37,27,39,-3.11,0.11,-3.00,116.8,119.9,-3.1,99.9,.252,.408,.583,,.544,13.3,28.7,.208,,.565,10.9,75.7,.186,,Delta Center,582592,17654
24,Toronto Raptors,26.0,23,44,25,42,-4.18,-0.15,-4.33,113.8,118.0,-4.2,99.4,.241,.371,.570,,.541,11.8,24.6,.180,,.561,12.1,74.8,.173,,Scotiabank Arena,646637,19595
