,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,DWS,DBPM,DRtg,-9999
1,Tyson Chandler,29,NYK,45.0,311.0,605,0.514,62,33.2,11.3,9.9,0.9,0.9,1.4,.679,.000,.689,9.5,.220,3.6,1.1,99,chandty01
2,Serge Ibaka,22,OKC,41.0,294.0,605,0.486,66,27.2,9.1,7.5,0.4,0.5,3.7,.535,.333,.661,6.2,.167,3.2,2.3,98,ibakase01
3,Dwight Howard,26,ORL,18.0,186.0,605,0.307,54,38.3,20.6,14.5,1.9,1.5,2.1,.573,.000,.491,7.7,.179,4.4,2.0,96,howardw01
4,LeBron James,27,MIA,7.0,112.0,605,0.185,62,37.5,27.1,7.9,6.2,1.9,0.8,.531,.362,.771,14.5,.298,4.5,2.7,97,jamesle01
5,Kevin Garnett,35,BOS,2.0,44.0,605,0.073,60,31.1,15.8,8.2,2.9,0.9,1.0,.503,.333,.857,6.9,.178,4.3,2.5,94,garneke01
6,Tony Allen,30,MEM,4.0,36.0,605,0.060,58,26.3,9.8,4.0,1.4,1.8,0.6,.469,.308,.800,4.2,.131,2.5,2.3,100,allento01
7,Andre Iguodala,28,PHI,1.0,33.0,605,0.055,62,35.6,12.4,6.1,5.5,1.7,0.5,.454,.394,.617,7.3,.158,4.2,2.5,98,iguodan01
8,Shawn Marion,33,DAL,2.0,17.0,605,0.028,63,30.5,10.6,7.4,2.1,1.1,0.6,.446,.294,.796,3.7,.092,2.7,0.6,102,mariosh01
9,Luol Deng,26,CHI,1.0,16.0,605,0.026,54,39.4,15.3,6.5,2.9,1.0,0.7,.412,.367,.770,5.8,.132,3.6,1.1,100,denglu01
10,Josh Smith,26,ATL,0.0,9.0,605,0.015,66,35.3,18.8,9.6,3.9,1.4,1.7,.458,.257,.630,6.8,.139,4.9,2.1,96,smithjo03
11,Joakim Noah,26,CHI,0.0,6.0,605,0.010,64,30.4,10.2,9.8,2.5,0.6,1.4,.508,.000,.748,9.0,.223,4.2,2.1,96,noahjo01
12T,Marc Gasol,27,MEM,0.0,5.0,605,0.008,65,36.5,14.6,8.9,3.1,1.0,1.9,.482,.083,.748,8.2,.166,4.0,2.1,99,gasolma01
12T,Chris Paul,26,LAC,0.0,5.0,605,0.008,60,36.4,19.8,3.6,9.1,2.5,0.1,.478,.371,.861,12.7,.278,2.3,2.4,104,paulch01
14T,Avery Bradley,21,BOS,0.0,2.0,605,0.003,64,21.4,7.6,1.8,1.4,0.7,0.2,.498,.407,.795,2.4,.085,1.9,0.7,102,bradlav01
14T,Mike Conley,24,MEM,0.0,2.0,605,0.003,62,35.1,12.7,2.5,6.5,2.2,0.2,.433,.377,.861,6.4,.141,2.8,1.4,102,conlemi01
14T,Grant Hill,39,PHO,0.0,2.0,605,0.003,49,28.1,10.2,3.5,2.2,0.8,0.6,.446,.264,.761,1.6,.055,0.9,0.5,107,hillgr01
14T,Iman Shumpert,21,NYK,0.0,2.0,605,0.003,59,28.9,9.5,3.2,2.8,1.7,0.1,.401,.306,.798,2.4,.068,2.5,1.6,101,shumpim01
18T,Greg Monroe,21,DET,0.0,1.0,605,0.002,66,31.5,15.4,9.7,2.3,1.3,0.7,.521,.000,.739,7.0,.161,2.7,0.1,102,monrogr01
18T,Dwyane Wade,30,MIA,0.0,1.0,605,0.002,49,33.2,22.1,4.8,4.6,1.7,1.3,.497,.268,.791,7.7,.227,2.9,1.9,99,wadedw01
18T,Russell Westbrook,23,OKC,0.0,1.0,605,0.002,66,35.3,23.6,4.6,5.5,1.7,0.3,.457,.316,.823,7.9,.163,2.4,-0.7,105,westbru01
