Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
1,Precious Achiuwa,PF-C,24,TOT,59,1360,14.9,.546,.217,.232,12.8,19.5,16.1,8.4,1.5,3.9,13.4,16.4,,1.0,1.9,2.9,.103,,-1.6,0.4,-1.2,0.3,achiupr01
1,Precious Achiuwa,C,24,TOR,25,437,14.9,.512,.276,.247,12.3,22.0,17.0,14.2,1.8,2.4,13.3,21.2,,0.0,0.5,0.5,.053,,-1.5,-0.1,-1.6,0.0,achiupr01
1,Precious Achiuwa,PF,24,NYK,34,923,14.8,.570,.175,.221,13.1,18.4,15.7,5.6,1.4,4.5,13.5,14.2,,1.0,1.5,2.4,.126,,-1.7,0.7,-1.0,0.2,achiupr01
2,Bam Adebayo,C,26,MIA,56,1933,19.5,.565,.019,.404,7.4,26.9,17.1,18.9,1.6,2.8,11.7,25.6,,1.9,3.3,5.2,.130,,0.4,1.4,1.8,1.9,adebaba01
3,Ochai Agbaji,SG,23,TOT,66,1296,7.4,.505,.529,.096,4.1,9.6,6.9,6.1,1.3,2.4,11.6,13.0,,-0.3,0.5,0.2,.008,,-3.5,-0.8,-4.3,-0.7,agbajoc01
3,Ochai Agbaji,SG,23,UTA,51,1003,8.1,.531,.570,.080,3.9,9.9,6.9,6.0,1.3,2.6,11.7,12.1,,0.1,0.4,0.5,.023,,-2.6,-0.4,-3.0,-0.3,agbajoc01
3,Ochai Agbaji,SG,23,TOR,15,293,5.2,.436,.419,.140,5.1,8.4,6.7,6.2,1.2,1.8,11.6,16.3,,-0.4,0.1,-0.3,-0.044,,-6.5,-2.1,-8.7,-0.5,agbajoc01
4,Santi Aldama,PF,23,MEM,54,1391,12.6,.530,.520,.149,4.8,19.4,11.9,13.4,1.3,2.9,10.6,18.6,,0.0,1.8,1.7,.059,,-1.0,0.4,-0.6,0.5,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,66,1544,10.7,.575,.620,.127,2.3,7.3,5.0,14.9,1.7,2.0,12.5,14.3,,1.1,2.4,3.5,.108,,-1.2,1.6,0.4,0.9,alexani01
6,Grayson Allen,SG,28,PHO,61,2054,13.5,.690,.652,.220,2.2,10.1,6.4,12.0,1.3,1.7,11.9,13.9,,3.8,1.7,5.5,.129,,0.9,0.1,1.1,1.6,allengr01
7,Jarrett Allen,C,25,CLE,61,1934,21.6,.657,.008,.399,12.0,25.2,18.8,12.8,1.1,3.3,11.7,19.3,,5.2,3.5,8.7,.215,,1.8,1.3,3.1,2.5,allenja01
8,Jose Alvarado,PG,25,NOP,45,774,13.0,.541,.579,.155,2.3,11.1,6.8,15.1,3.2,1.8,10.5,18.0,,0.3,1.2,1.6,.097,,-1.6,1.9,0.4,0.5,alvarjo01
9,Kyle Anderson,PF,30,MIN,63,1411,12.3,.523,.115,.332,4.1,13.2,8.9,24.8,1.7,2.0,17.2,14.3,,1.0,2.5,3.4,.117,,-1.6,2.5,0.9,1.0,anderky01
10,Giannis Antetokounmpo,PF,29,MIL,64,2240,30.0,.656,.095,.601,8.0,26.5,17.5,32.1,1.7,2.4,12.8,33.0,,8.6,3.2,11.7,.252,,6.7,2.2,8.9,6.2,antetgi01
