,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Jaylen Adams,Oct 17 '18 ATL @ NYK,22,2,41,446,39,118,25,76,7,9,11,63,67,14,5,28,46,110,.331,.329,.778,10.9,2.7,1.5,1.6,0.3,0.1,adamsja01
2,Deng Adel,Jan 19 '19 CLE @ DEN,21,1,19,194,11,36,6,23,4,4,3,19,5,1,4,6,13,32,.306,.261,1.000,10.2,1.7,1.0,0.3,0.1,0.2,adelde01
3,DeVaughn Akoon-Purcell,Oct 23 '18 DEN vs. SAC,25,1,7,22,3,10,0,4,1,2,1,4,6,2,0,2,4,7,.300,.000,.500,3.1,1.0,0.6,0.9,0.3,0.0,akoonde01
4,Rawle Alkins,Dec 17 '18 CHI @ OKC,21,1,10,120,13,39,3,12,8,12,11,26,13,1,0,8,7,37,.333,.250,.667,12.0,3.7,2.6,1.3,0.1,0.0,alkinra01
5,Grayson Allen,Oct 22 '18 UTA vs. MEM,23,6,319,8000,1087,2437,639,1567,436,503,158,941,618,217,84,301,505,3249,.446,.408,.867,25.1,10.2,2.9,1.9,0.7,0.3,allengr01
6,Kostas Antetokounmpo,Mar 20 '19 DAL @ POR,21,3,22,87,6,16,0,0,9,19,6,23,3,4,4,13,10,21,.375,,.474,4.0,1.0,1.0,0.1,0.2,0.2,antetko01
7,Deandre Ayton,Oct 17 '18 PHO vs. DAL,20,6,343,10545,2478,4174,21,80,641,844,1040,3575,564,247,330,589,943,5618,.594,.263,.759,30.7,16.4,10.4,1.6,0.7,1.0,aytonde01
8,Marvin Bagley III,Oct 17 '18 SAC vs. UTA,19,6,252,6081,1315,2551,118,406,520,755,615,1765,241,118,168,313,514,3268,.515,.291,.689,24.1,13.0,7.0,1.0,0.5,0.7,baglema01
9,Mo Bamba,Oct 17 '18 ORL vs. MIA,20,6,313,5384,863,1813,265,733,232,343,500,1743,274,114,406,255,650,2223,.476,.362,.676,17.2,7.1,5.6,0.9,0.4,1.3,bambamo01
