,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Quincy Acy,Nov 7 '12 TOR @ DAL,22,7,337,5392,583,1314,183,523,293,386,309,1179,217,140,135,219,665,1642,.444,.350,.759,16.0,4.9,3.5,0.6,0.4,0.4,acyqu01
2,Josh Akognon,Apr 10 '13 DAL vs. PHO,26,1,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,.500,.500,,3.0,1.7,0.3,0.3,0.0,0.0,akognjo01
3,Harrison Barnes,Oct 31 '12 GSW @ PHO,20,12,889,28194,4426,9692,1248,3283,2424,2992,898,4357,1572,622,161,1057,1364,12524,.457,.380,.810,31.7,14.1,4.9,1.8,0.7,0.2,barneha02
4,Will Barton,Nov 2 '12 POR @ OKC,22,11,679,17116,2824,6561,893,2516,1084,1377,471,2792,1817,504,272,948,1050,7625,.430,.355,.787,25.2,11.2,4.1,2.7,0.7,0.4,bartowi01
5,Aron Baynes,Jan 25 '13 SAS @ DAL,26,9,522,8370,1243,2543,111,360,518,652,805,2396,421,118,255,445,1164,3115,.489,.308,.794,16.0,6.0,4.6,0.8,0.2,0.5,baynear01
6,Kent Bazemore,Nov 9 '12 GSW @ LAL,23,10,657,13546,1929,4668,694,1947,862,1190,237,2072,1154,658,309,905,1338,5414,.413,.356,.724,20.6,8.2,3.2,1.8,1.0,0.5,bazemke01
7,Bradley Beal,Oct 30 '12 WAS @ CLE,19,12,727,25124,5851,12687,1567,4211,2706,3295,629,2971,3115,799,293,1790,1622,15975,.461,.372,.821,34.6,22.0,4.1,4.3,1.1,0.4,bealbr01
8,Patrick Beverley,Jan 15 '13 HOU vs. LAC,24,12,650,17330,1898,4591,959,2582,672,886,676,2670,2202,698,334,784,1917,5427,.413,.371,.758,26.7,8.3,4.1,3.4,1.1,0.5,beverpa01
9,Victor Claver,Nov 3 '12 POR @ HOU,24,3,80,1072,100,251,34,116,24,41,43,178,56,30,16,58,103,258,.398,.293,.585,13.4,3.2,2.2,0.7,0.4,0.2,clavevi01
10,Chris Copeland,Nov 2 '12 NYK vs. MIA,28,4,171,2111,366,858,154,422,112,149,65,272,107,32,30,129,237,998,.427,.365,.752,12.3,5.8,1.6,0.6,0.2,0.2,copelch01
