,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Jordan Adams,Nov 3 '14 MEM vs. NOP,20,2,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,.402,.385,.607,8.2,3.2,0.9,0.6,0.6,0.2,adamsjo01
2,Furkan Aldemir,Dec 15 '14 PHI vs. BOS,23,1,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,.513,.000,.481,13.2,2.3,4.3,0.7,0.4,0.4,aldemfu01
3,Kyle Anderson,Nov 6 '14 SAS @ HOU,21,10,634,13859,1714,3569,263,776,696,973,485,2799,1746,637,393,661,988,4387,.480,.339,.715,21.9,6.9,4.4,2.8,1.0,0.6,anderky01
4,Cameron Bairstow,Oct 29 '14 CHI @ NYK,24,2,36,167,16,54,1,5,11,13,10,36,7,4,4,7,27,44,.296,.200,.846,4.6,1.2,1.0,0.2,0.1,0.1,bairsca01
5,Jerrelle Benimon,Mar 10 '15 UTA vs. NYK,23,1,2,3,0,0,0,0,0,0,1,3,0,0,0,1,0,0,,,,1.5,0.0,1.5,0.0,0.0,0.0,benimje01
6,Sim Bhullar,Apr 7 '15 SAC vs. MIN,22,1,3,3,1,2,0,0,0,0,0,1,1,0,1,0,0,2,.500,,,1.0,0.7,0.3,0.3,0.0,0.3,bhullsi01
7,Tarik Black,Oct 28 '14 HOU @ LAL,23,4,220,3319,439,798,2,14,195,335,393,1031,110,83,116,163,516,1075,.550,.143,.582,15.1,4.9,4.7,0.5,0.4,0.5,blackta01
8,Bojan Bogdanović,Oct 29 '14 BRK @ BOS,25,10,698,20531,3801,8258,1482,3753,1910,2221,375,2526,1179,396,55,1178,1165,10994,.460,.395,.860,29.4,15.8,3.6,1.7,0.6,0.1,bogdabo02
9,Jabari Brown,Mar 12 '15 LAL vs. NYK,22,1,19,568,70,170,23,62,64,85,3,36,40,12,2,32,33,227,.412,.371,.753,29.9,11.9,1.9,2.1,0.6,0.1,brownja01
10,Markel Brown,Nov 22 '14 BRK @ SAS,23,3,113,1794,205,539,56,190,118,151,40,234,132,69,27,83,157,584,.380,.295,.781,15.9,5.2,2.1,1.2,0.6,0.2,brownma02
11,Bruno Caboclo,Nov 21 '14 TOR vs. MIL,19,7,105,1293,162,402,62,201,56,67,82,268,72,36,59,69,135,442,.403,.308,.836,12.3,4.2,2.6,0.7,0.3,0.6,cabocbr01
12,Clint Capela,Nov 6 '14 HOU vs. SAS,20,10,588,15659,3140,5047,0,4,925,1702,2167,6279,573,402,872,631,1414,7205,.622,.000,.543,26.6,12.3,10.7,1.0,0.7,1.5,capelca01
13,Will Cherry,Nov 7 '14 CLE @ DEN,23,1,8,69,5,19,2,9,3,6,1,5,8,6,1,4,10,15,.263,.222,.500,8.6,1.9,0.6,1.0,0.8,0.1,cherrwi01
14,Patrick Christopher,Dec 27 '14 UTA vs. PHI,26,1,4,29,3,12,0,4,0,0,2,6,0,1,0,1,6,6,.250,.000,,7.3,1.5,1.5,0.0,0.3,0.0,chrispa01
15,Jordan Clarkson,Oct 28 '14 LAL vs. HOU,22,10,712,19732,4265,9741,1314,3918,1523,1832,621,2397,2055,578,107,1319,1206,11367,.438,.335,.831,27.7,16.0,3.4,2.9,0.8,0.2,clarkjo01
