,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Bam Adebayo,Oct 18 '17 MIA @ ORL,20,7,468,13995,2747,5012,9,74,1663,2193,1032,4058,1633,480,418,1019,1171,7166,.548,.122,.758,29.9,15.3,8.7,3.5,1.0,0.9,adebaba01
2,Jarrett Allen,Oct 20 '17 BRK vs. ORL,19,7,464,12999,2297,3645,19,110,1169,1653,1343,4205,731,283,612,642,958,5782,.630,.173,.707,28.0,12.5,9.1,1.6,0.6,1.3,allenja01
3,Kadeem Allen,Dec 11 '17 BOS @ CHI,25,3,47,640,90,207,22,63,56,74,14,71,109,24,8,43,68,258,.435,.349,.757,13.6,5.5,1.5,2.3,0.5,0.2,allenka01
4,Ike Anigbogu,Oct 20 '17 IND vs. POR,19,2,14,36,4,12,0,0,5,6,6,12,1,1,4,3,1,13,.333,,.833,2.6,0.9,0.9,0.1,0.1,0.3,anigbik01
5,OG Anunoby,Oct 19 '17 TOR vs. CHI,20,7,409,11846,1849,3895,676,1799,521,697,444,1749,653,512,216,528,978,4895,.475,.376,.747,29.0,12.0,4.3,1.6,1.3,0.5,anunoog01
6,Ryan Arcidiacono,Oct 19 '17 CHI @ TOR,23,7,257,3938,358,851,181,491,134,166,53,452,487,122,7,135,359,1031,.421,.369,.807,15.3,4.0,1.8,1.9,0.5,0.0,arcidry01
7,Jamel Artis,Dec 13 '17 ORL vs. LAC,25,1,15,279,31,79,8,29,7,12,4,38,18,2,3,8,11,77,.392,.276,.583,18.6,5.1,2.5,1.2,0.1,0.2,artisja01
8,Dwayne Bacon,Oct 18 '17 CHO @ DET,22,4,207,4012,571,1419,127,404,234,300,58,537,230,96,14,124,273,1503,.402,.314,.780,19.4,7.3,2.6,1.1,0.5,0.1,bacondw01
9,Lonzo Ball,Oct 19 '17 LAL vs. LAC,20,5,252,8187,1117,2790,595,1633,166,287,262,1447,1563,391,162,637,547,2995,.400,.364,.578,32.5,11.9,5.7,6.2,1.6,0.6,balllo01
10,Jordan Bell,Oct 17 '17 GSW vs. HOU,23,5,161,1937,257,466,4,20,75,118,153,497,201,62,122,118,200,593,.552,.200,.636,12.0,3.7,3.1,1.2,0.4,0.8,belljo01
11,Khem Birch,Oct 21 '17 ORL @ CLE,25,6,282,4825,537,1032,14,70,314,450,544,1241,274,136,154,153,460,1402,.520,.200,.698,17.1,5.0,4.4,1.0,0.5,0.5,birchkh01
12,Jabari Bird,Oct 20 '17 BOS @ PHI,23,1,13,115,15,26,3,7,6,13,6,19,8,3,1,8,7,39,.577,.429,.462,8.8,3.0,1.5,0.6,0.2,0.1,birdja01
13,Antonio Blakeney,Oct 19 '17 CHI @ TOR,21,2,76,1143,219,539,51,143,80,115,11,139,62,19,10,46,60,569,.406,.357,.696,15.0,7.5,1.8,0.8,0.3,0.1,blakean01
14,Bogdan Bogdanović,Oct 23 '17 SAC @ PHO,25,7,428,12248,2269,5181,1066,2774,623,744,204,1442,1385,440,107,605,899,6227,.438,.384,.837,28.6,14.5,3.4,3.2,1.0,0.3,bogdabo01
15,Chris Boucher,Mar 14 '18 GSW vs. LAL,25,7,355,6299,1093,2248,299,900,598,770,632,1843,164,173,356,187,692,3083,.486,.332,.777,17.7,8.7,5.2,0.5,0.5,1.0,bouchch01
16,Tony Bradley,Nov 5 '17 UTA @ HOU,20,6,179,1994,346,548,6,12,94,138,277,729,90,42,99,101,247,792,.631,.500,.681,11.1,4.4,4.1,0.5,0.2,0.6,bradlto01
17,Dillon Brooks,Oct 18 '17 MEM vs. NOP,22,7,396,11484,2120,5071,673,1934,775,969,295,1257,819,371,105,607,1320,5688,.418,.348,.800,29.0,14.4,3.2,2.1,0.9,0.3,brookdi01
18,Sterling Brown,Oct 20 '17 MIL vs. CLE,22,6,268,4458,531,1267,248,683,121,152,154,891,268,140,47,177,379,1431,.419,.363,.796,16.6,5.3,3.3,1.0,0.5,0.2,brownst02
19,Thomas Bryant,Dec 23 '17 LAL vs. POR,20,7,254,4765,970,1626,118,326,360,474,369,1387,265,83,182,198,437,2418,.597,.362,.759,18.8,9.5,5.5,1.0,0.3,0.7,bryanth01
20,Alex Caruso,Oct 19 '17 LAL vs. LAC,23,7,344,7625,789,1809,317,859,366,486,206,963,944,428,169,418,708,2261,.436,.369,.753,22.2,6.6,2.8,2.7,1.2,0.5,carusal01
21,Tyler Cavanaugh,Nov 5 '17 ATL @ CLE,23,2,50,557,70,162,33,94,19,23,48,135,28,9,4,15,64,192,.432,.351,.826,11.1,3.8,2.7,0.6,0.2,0.1,cavanty01
22,Gian Clavell,Oct 20 '17 DAL vs. SAC,24,1,7,64,6,18,6,15,2,2,1,7,3,2,0,2,8,20,.333,.400,1.000,9.1,2.9,1.0,0.4,0.3,0.0,clavegi01
23,Antonius Cleveland,Nov 17 '17 DAL vs. MIN,23,2,28,169,12,35,3,7,7,11,5,21,3,8,8,9,31,34,.343,.429,.636,6.0,1.2,0.8,0.1,0.3,0.3,clevean01
