,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Hassan Adams,Nov 1 '06 NJN vs. TOR,22,2,73,547,79,148,0,1,27,42,36,84,14,18,5,26,51,185,.534,.000,.643,7.5,2.5,1.2,0.2,0.2,0.1,adamsha01
2,Maurice Ager,Nov 4 '06 DAL @ HOU,22,4,82,505,64,189,11,44,30,53,8,46,19,6,6,29,65,169,.339,.250,.566,6.2,2.1,0.6,0.2,0.1,0.1,agerma01
3,LaMarcus Aldridge,Nov 12 '06 POR vs. DAL,21,16,1076,36242,8311,16872,227,710,3709,4563,2776,8736,2076,758,1187,1643,2598,20558,.493,.320,.813,33.7,19.1,8.1,1.9,0.7,1.1,aldrila01
4,Lou Amundson,Feb 24 '07 UTA vs. BOS,24,10,428,5507,648,1368,0,3,268,603,644,1541,190,152,306,299,835,1564,.474,.000,.444,12.9,3.7,3.6,0.4,0.4,0.7,amundlo01
5,Hilton Armstrong,Nov 1 '06 NOK @ BOS,22,6,292,3378,347,693,2,7,184,316,292,766,102,90,142,230,544,880,.501,.286,.582,11.6,3.0,2.6,0.3,0.3,0.5,armsthi01
6,James Augustine,Feb 2 '07 ORL vs. NJN,22,2,27,156,19,37,0,0,4,8,17,33,4,5,2,6,20,42,.514,,.500,5.8,1.6,1.2,0.1,0.2,0.1,augusja01
7,Kelenna Azubuike,Jan 2 '07 GSW @ NOK,23,5,208,5025,802,1748,210,514,364,473,257,829,230,130,103,203,408,2178,.459,.409,.770,24.2,10.5,4.0,1.1,0.6,0.5,azubuke01
8,Renaldo Balkman,Nov 1 '06 NYK @ MEM,22,6,221,3064,368,721,11,64,147,271,278,769,132,164,104,134,421,894,.510,.172,.542,13.9,4.0,3.5,0.6,0.7,0.5,balkmre01
9,J.J. Barea,Nov 4 '06 DAL @ HOU,22,14,831,16287,2832,6685,819,2330,932,1174,253,1748,3270,331,24,1264,1168,7415,.424,.352,.794,19.6,8.9,2.1,3.9,0.4,0.0,bareajo01
10,Andrea Bargnani,Nov 1 '06 TOR @ NJN,21,10,550,15806,2932,6676,627,1771,1382,1677,530,2541,653,207,470,851,1338,7873,.439,.354,.824,28.7,14.3,4.6,1.2,0.4,0.9,bargnan01
11,Will Blalock,Dec 16 '06 DET @ NJN,23,1,14,166,9,30,1,5,6,6,6,15,17,5,0,12,9,25,.300,.200,1.000,11.9,1.8,1.1,1.2,0.4,0.0,blalowi01
12,Josh Boone,Dec 2 '06 NJN vs. PHI,22,4,256,4482,567,1042,0,0,206,463,484,1258,125,99,178,169,466,1340,.544,,.445,17.5,5.2,4.9,0.5,0.4,0.7,boonejo01
13,Cedric Bozeman,Nov 1 '06 ATL @ PHI,23,1,23,199,11,39,2,13,2,6,3,23,9,5,2,9,32,26,.282,.154,.333,8.7,1.1,1.0,0.4,0.2,0.1,bozemce01
14,Ronnie Brewer,Nov 1 '06 UTA vs. HOU,21,8,502,11539,1554,3169,90,355,742,1099,451,1427,828,622,120,390,545,3940,.490,.254,.675,23.0,7.8,2.8,1.6,1.2,0.2,brewero02
15,Andre Brown,Jan 5 '07 SEA vs. NYK,25,3,75,598,82,159,0,1,33,66,70,178,11,14,8,48,73,197,.516,.000,.500,8.0,2.6,2.4,0.1,0.2,0.1,brownan01
16,Dee Brown,Nov 4 '06 UTA vs. GSW,22,2,68,711,50,147,13,52,27,42,15,69,119,32,7,48,79,140,.340,.250,.643,10.5,2.1,1.0,1.8,0.5,0.1,brownde03
17,Shannon Brown,Nov 7 '06 CLE vs. ATL,21,9,408,7329,1198,2854,276,831,446,553,177,760,458,284,90,378,538,3118,.420,.332,.807,18.0,7.6,1.9,1.1,0.7,0.2,brownsh01
18,Rodney Carney,Nov 1 '06 PHI vs. ATL,22,5,299,4600,675,1599,200,591,228,324,164,588,132,159,100,157,420,1778,.422,.338,.704,15.4,5.9,2.0,0.4,0.5,0.3,carnero01
19,Mardy Collins,Nov 1 '06 NYK @ MEM,22,4,189,2771,296,778,38,127,112,187,91,336,327,110,22,203,256,742,.380,.299,.599,14.7,3.9,1.8,1.7,0.6,0.1,collima01
20,Will Conroy,Jan 31 '07 MEM vs. DAL,24,3,16,108,3,22,0,6,1,8,4,11,16,0,0,6,13,7,.136,.000,.125,6.8,0.4,0.7,1.0,0.0,0.0,conrowi01
21,Paul Davis,Nov 2 '06 LAC vs. DEN,22,4,82,702,88,219,0,1,41,56,74,158,32,22,15,30,105,217,.402,.000,.732,8.6,2.6,1.9,0.4,0.3,0.2,davispa01
