,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
22,Yakhouba Diawara,Nov 2 '06 DEN @ LAC,24,4,187,2614,233,653,122,405,67,103,77,258,122,52,16,72,276,655,.357,.301,.650,14.0,3.5,1.4,0.7,0.3,0.1,diawaya01
23,Quincy Douby,Nov 12 '06 SAC vs. TOR,22,3,143,1535,222,571,68,218,76,86,34,152,93,50,21,87,128,588,.389,.312,.884,10.7,4.1,1.1,0.7,0.3,0.1,doubyqu01
24,Jordan Farmar,Oct 31 '06 LAL vs. PHO,20,10,504,9840,1460,3452,583,1559,385,521,161,958,1453,391,56,695,713,3888,.423,.374,.739,19.5,7.7,1.9,2.9,0.8,0.1,farmajo01
25,Desmon Farmer,Nov 18 '06 SEA @ GSW,25,2,11,86,9,29,5,20,3,3,0,7,11,1,0,5,8,26,.310,.250,1.000,7.8,2.4,0.6,1.0,0.1,0.0,farmede01
26,Randy Foye,Nov 1 '06 MIN vs. SAC,23,11,752,19279,2704,6750,1104,3017,1217,1429,245,1686,2112,528,220,1106,1584,7729,.401,.366,.852,25.6,10.3,2.2,2.8,0.7,0.3,foyera01
27,Jorge Garbajosa,Nov 1 '06 TOR @ NJN,29,2,74,1983,230,554,72,209,57,78,50,345,128,81,15,65,92,589,.415,.344,.731,26.8,8.0,4.7,1.7,1.1,0.2,garbajo01
28,Rudy Gay,Nov 1 '06 MEM vs. NYK,20,17,1120,34561,6670,14771,1186,3429,3116,3898,1447,6283,2280,1231,798,2245,2524,17642,.452,.346,.799,30.9,15.8,5.6,2.0,1.1,0.7,gayru01
29,Mickaël Gelabale,Nov 1 '06 SEA vs. POR,23,3,145,2348,263,560,43,136,101,124,107,330,115,50,35,92,186,670,.470,.316,.815,16.2,4.6,2.3,0.8,0.3,0.2,gelabmi01
30,Daniel Gibson,Nov 15 '06 CLE vs. POR,20,7,397,9316,1065,2646,578,1419,407,522,142,792,775,243,86,373,811,3115,.402,.407,.780,23.5,7.8,2.0,2.0,0.6,0.2,gibsoda01
31,Andreas Glyniadakis,Nov 10 '06 SEA @ CHA,25,1,13,81,8,17,0,0,1,2,2,8,1,0,0,9,19,17,.471,,.500,6.2,1.3,0.6,0.1,0.0,0.0,glynian01
32,Lynn Greer,Jan 8 '07 MIL @ DEN,27,1,41,432,61,141,18,52,27,32,2,27,53,17,1,18,32,167,.433,.346,.844,10.5,4.1,0.7,1.3,0.4,0.0,greerly01
33,Mike Hall,Apr 3 '07 WAS @ CHA,22,1,2,13,1,4,0,0,0,0,1,2,1,0,0,0,1,2,.250,,,6.5,1.0,1.0,0.5,0.0,0.0,hallmi01
34,Walter Herrmann,Nov 10 '06 CHA vs. SEA,27,3,152,1939,312,681,114,299,81,103,78,319,66,31,12,61,143,819,.458,.381,.786,12.8,5.4,2.1,0.4,0.2,0.1,herrmwa01
35,Robert Hite,Oct 31 '06 MIA vs. CHI,23,1,12,136,19,60,5,23,8,12,4,16,8,3,2,6,8,51,.317,.217,.667,11.3,4.3,1.3,0.7,0.3,0.2,hitero01
36,Ryan Hollins,Jan 17 '07 CHA vs. NJN,22,10,518,6134,687,1177,0,1,539,830,457,1140,151,94,271,384,1037,1913,.584,.000,.649,11.8,3.7,2.2,0.3,0.2,0.5,holliry01
37,Mile Ilić,Nov 1 '06 NJN vs. TOR,22,1,5,6,0,3,0,0,0,0,0,1,0,0,0,3,1,0,.000,,,1.2,0.0,0.2,0.0,0.0,0.0,ilicmi01
38,Ersan İlyasova,Nov 1 '06 MIL @ DET,19,13,825,18957,3123,7047,883,2409,1235,1590,1397,4661,908,560,293,791,1994,8364,.443,.367,.777,23.0,10.1,5.6,1.1,0.7,0.4,ilyaser01
39,Alexander Johnson,Nov 1 '06 MEM vs. NYK,23,2,102,1302,152,294,0,0,135,201,82,275,30,38,45,89,217,439,.517,,.672,12.8,4.3,2.7,0.3,0.4,0.4,johnsal01
40,Bobby Jones,Nov 15 '06 PHI @ SEA,23,2,91,867,103,233,19,62,63,92,51,149,44,26,4,46,144,288,.442,.306,.685,9.5,3.2,1.6,0.5,0.3,0.0,jonesbo02
41,Solomon Jones,Nov 1 '06 ATL @ PHI,22,8,281,3092,301,645,1,9,236,329,257,654,99,58,154,161,554,839,.467,.111,.717,11.0,3.0,2.3,0.4,0.2,0.5,jonesso01
42,Tarence Kinsey,Dec 8 '06 MEM @ MIL,22,3,109,1340,186,411,23,71,116,142,42,147,53,68,1,71,102,511,.453,.324,.817,12.3,4.7,1.3,0.5,0.6,0.0,kinseta01
43,James Lang,Nov 28 '06 WAS vs. ATL,23,1,11,55,4,9,0,0,3,5,5,11,2,0,3,2,14,11,.444,,.600,5.0,1.0,1.0,0.2,0.0,0.3,langja01
44,Kyle Lowry,Nov 1 '06 MEM vs. NYK,20,18,1120,35507,5162,12178,2146,5836,3604,4420,876,4847,6926,1451,335,2581,3055,16074,.424,.368,.815,31.7,14.4,4.3,6.2,1.3,0.3,lowryky01
45,Renaldo Major,Jan 17 '07 GSW @ LAC,24,1,1,27,2,10,0,0,1,2,0,2,0,2,0,1,4,5,.200,,.500,27.0,5.0,2.0,0.0,2.0,0.0,majorre01
46,Damir Markota,Nov 3 '06 MIL @ TOR,21,1,30,170,19,52,6,16,7,11,11,31,6,3,1,15,22,51,.365,.375,.636,5.7,1.7,1.0,0.2,0.1,0.0,markoda01
47,Chris McCray,Nov 15 '06 MIL @ NJN,22,1,5,12,0,3,0,0,0,0,0,0,0,0,0,2,1,0,.000,,,2.4,0.0,0.0,0.0,0.0,0.0,mccrach01
48,Ivan McFarlin,Nov 7 '06 PHI @ IND,24,1,11,41,5,13,0,1,5,7,7,11,1,0,0,1,8,15,.385,.000,.714,3.7,1.4,1.0,0.1,0.0,0.0,mcfariv01
49,Pops Mensah-Bonsu,Nov 21 '06 DAL vs. WAS,23,4,61,509,64,156,0,2,53,90,83,180,11,14,14,40,82,181,.410,.000,.589,8.3,3.0,3.0,0.2,0.2,0.2,mensapo01
50,Paul Millsap,Nov 1 '06 UTA vs. HOU,21,16,1085,30499,5455,11158,541,1588,3085,4190,2343,7673,2378,1327,1045,1829,3248,14536,.489,.341,.736,28.1,13.4,7.1,2.2,1.2,1.0,millspa01
51,Randolph Morris,Mar 28 '07 NYK vs. CLE,21,4,74,438,52,122,0,0,36,66,27,104,7,13,7,30,100,140,.426,,.545,5.9,1.9,1.4,0.1,0.2,0.1,morrira01
52,Adam Morrison,Nov 1 '06 CHA vs. IND,22,3,161,3278,467,1252,124,375,142,200,82,342,222,40,12,172,273,1200,.373,.331,.710,20.4,7.5,2.1,1.4,0.2,0.1,morriad01
53,David Noel,Nov 3 '06 MIL @ TOR,22,1,68,792,65,177,17,53,37,43,42,123,65,25,9,40,77,184,.367,.321,.860,11.6,2.7,1.8,1.0,0.4,0.1,noelda01
54,Steve Novak,Nov 1 '06 HOU @ UTA,23,11,467,5657,751,1717,575,1337,100,114,68,591,132,91,38,81,371,2177,.437,.430,.877,12.1,4.7,1.3,0.3,0.2,0.1,novakst01
55,Patrick O'Bryant,Nov 1 '06 GSW vs. LAL,20,4,90,524,79,160,0,3,28,48,32,127,25,18,40,42,126,186,.494,.000,.583,5.8,2.1,1.4,0.3,0.2,0.4,obryapa01
56,Kevinn Pinkney,Apr 4 '07 BOS @ MIL,23,1,6,100,12,27,1,2,6,9,7,15,5,3,3,4,12,31,.444,.500,.667,16.7,5.2,2.5,0.8,0.5,0.5,pinknke01
57,Leon Powe,Nov 13 '06 BOS vs. ORL,23,5,239,3320,490,952,0,5,504,739,380,911,78,69,82,189,503,1484,.515,.000,.682,13.9,6.2,3.8,0.3,0.3,0.3,powele01
58,Roger Powell,Nov 14 '06 UTA vs. LAC,24,1,3,13,0,3,0,1,2,2,3,3,0,0,0,3,2,2,.000,.000,1.000,4.3,0.7,1.0,0.0,0.0,0.0,powelro01
59,Chris Quinn,Oct 31 '06 MIA vs. CHI,23,6,241,3303,381,956,161,427,169,209,30,266,455,102,8,137,249,1092,.399,.377,.809,13.7,4.5,1.1,1.9,0.4,0.0,quinnch01
60,Allan Ray,Nov 17 '06 BOS vs. POR,22,1,47,710,100,259,48,116,42,55,18,69,43,20,3,42,85,290,.386,.414,.764,15.1,6.2,1.5,0.9,0.4,0.1,rayal01
61,JJ Redick,Nov 25 '06 ORL vs. ATL,22,15,940,23964,4009,8976,1950,4704,2060,2310,172,1903,1862,420,88,1040,1417,12028,.447,.415,.892,25.5,12.8,2.0,2.0,0.4,0.1,redicjj01
62,Jeremy Richardson,Jan 31 '07 ATL vs. GSW,22,3,45,245,33,99,15,39,5,8,3,25,5,4,0,10,21,86,.333,.385,.625,5.4,1.9,0.6,0.1,0.1,0.0,richaje01
63,Sergio Rodríguez,Nov 3 '06 POR @ GSW,20,5,353,5281,676,1651,202,600,193,261,121,525,1183,212,13,491,441,1747,.409,.337,.739,15.0,4.9,1.5,3.4,0.6,0.0,rodrise01
64,Rajon Rondo,Nov 1 '06 BOS vs. NOK,20,16,957,28570,3886,8516,449,1384,1116,1826,910,4349,7584,1518,125,2586,1997,9337,.456,.324,.611,29.9,9.8,4.5,7.9,1.6,0.1,rondora01
65,Brandon Roy,Nov 1 '06 POR @ SEA,22,6,326,11561,2224,4849,322,925,1366,1707,347,1388,1517,335,76,595,630,6136,.459,.348,.800,35.5,18.8,4.3,4.7,1.0,0.2,roybr01
66,Thabo Sefolosha,Oct 31 '06 CHI @ MIA,22,14,869,19062,1916,4265,513,1469,649,887,626,3252,1196,935,366,755,1418,4994,.449,.349,.732,21.9,5.7,3.7,1.4,1.1,0.4,sefolth01
67,Mouhamed Sene,Nov 1 '06 SEA vs. POR,20,3,47,260,35,82,0,0,33,56,28,75,1,4,22,15,44,103,.427,,.589,5.5,2.2,1.6,0.0,0.1,0.5,senesa01
68,Cedric Simmons,Nov 1 '06 NOK @ BOS,21,3,75,705,70,171,0,0,23,59,55,141,14,11,32,30,91,163,.409,,.390,9.4,2.2,1.9,0.2,0.1,0.4,simmoce01
69,Uroš Slokar,Dec 8 '06 TOR @ CHI,23,1,20,72,14,26,1,2,9,13,7,14,1,1,2,9,11,38,.538,.500,.692,3.6,1.9,0.7,0.1,0.1,0.1,slokaur01
70,Craig Smith,Nov 1 '06 MIN vs. SAC,23,6,403,6826,1221,2207,1,27,637,963,543,1567,322,183,91,413,957,3080,.553,.037,.661,16.9,7.6,3.9,0.8,0.5,0.2,smithcr01
71,Steven Smith,Nov 21 '06 PHI vs. DET,23,1,8,28,2,8,0,0,1,2,1,6,0,1,0,2,4,5,.250,,.500,3.5,0.6,0.8,0.0,0.1,0.0,smithst03
72,Vassilis Spanoulis,Nov 4 '06 HOU vs. DAL,24,1,31,272,23,72,5,29,34,42,5,22,28,7,1,29,33,85,.319,.172,.810,8.8,2.7,0.7,0.9,0.2,0.0,spanova01
73,Tyrus Thomas,Oct 31 '06 CHI @ MIA,20,8,402,7932,1147,2620,8,34,791,1080,550,1938,347,328,525,527,989,3093,.438,.235,.732,19.7,7.7,4.8,0.9,0.8,1.3,thomaty01
74,P.J. Tucker,Nov 1 '06 TOR @ NJN,21,13,870,24718,2116,4981,869,2379,721,961,1289,4733,1217,935,258,812,2128,5822,.425,.365,.750,28.4,6.7,5.4,1.4,1.1,0.3,tuckepj01
75,Marcus Vinicius,Nov 25 '06 NOK @ DAL,22,2,26,172,16,35,8,19,10,18,3,19,7,3,2,9,14,50,.457,.421,.556,6.6,1.9,0.7,0.3,0.1,0.1,vincima01
76,James White,Mar 26 '07 SAS @ GSW,24,3,67,583,71,162,17,50,23,34,8,68,35,17,6,25,53,182,.438,.340,.676,8.7,2.7,1.0,0.5,0.3,0.1,whiteja02
77,Justin Williams,Jan 13 '07 SAC vs. HOU,22,2,49,456,67,117,0,1,31,89,71,164,2,10,21,19,68,165,.573,.000,.348,9.3,3.4,3.3,0.0,0.2,0.4,williju01
78,Marcus Williams,Nov 1 '06 NJN vs. TOR,21,4,203,3095,427,1107,126,392,148,193,56,361,574,87,7,295,197,1128,.386,.321,.767,15.2,5.6,1.8,2.8,0.4,0.0,willima03
79,Shawne Williams,Dec 11 '06 IND @ CHI,20,7,314,5368,650,1612,275,812,194,257,247,945,220,127,156,197,656,1769,.403,.339,.755,17.1,5.6,3.0,0.7,0.4,0.5,willish03
80,Shelden Williams,Nov 1 '06 ATL @ PHI,23,6,361,5586,590,1276,2,9,436,589,529,1562,163,179,164,304,733,1618,.462,.222,.740,15.5,4.5,4.3,0.5,0.5,0.5,willish02
