,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Lavoy Allen,Jan 7 '12 PHI vs. TOR,22,6,388,6905,828,1758,2,15,189,277,715,1843,384,120,214,257,706,1847,.471,.133,.682,17.8,4.8,4.8,1.0,0.3,0.6,allenla01
2,Gustavo Ayón,Jan 1 '12 NOH @ SAC,26,3,135,2251,284,530,0,1,67,133,188,589,173,100,73,122,272,635,.536,.000,.504,16.7,4.7,4.4,1.3,0.7,0.5,ayongu01
3,Keith Benson,Mar 24 '12 GSW vs. SAC,23,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,.000,,,3.0,0.0,1.0,0.0,0.0,0.0,bensoke02
4,Bismack Biyombo,Dec 26 '11 CHA vs. MIL,19,13,833,16334,1647,3083,0,3,941,1700,1603,4937,550,216,1075,763,1820,4235,.534,.000,.554,19.6,5.1,5.9,0.7,0.3,1.3,biyombi01
5,MarShon Brooks,Dec 26 '11 NJN @ WAS,23,5,200,3456,613,1371,109,316,257,342,132,424,282,120,42,248,269,1592,.447,.345,.751,17.3,8.0,2.1,1.4,0.6,0.2,brookma01
6,Alec Burks,Dec 27 '11 UTA @ LAL,20,13,728,16556,2617,6289,875,2275,1808,2243,409,2494,1454,498,152,867,1353,7917,.416,.385,.806,22.7,10.9,3.4,2.0,0.7,0.2,burksal01
7,Jimmy Butler,Jan 1 '12 CHI vs. MEM,22,13,795,26392,4731,10075,635,1929,4486,5321,1293,4258,3371,1302,359,1292,1121,14583,.470,.329,.843,33.2,18.3,5.4,4.2,1.6,0.5,butleji01
8,Derrick Byars,Apr 25 '12 SAS @ PHO,27,1,2,37,3,11,0,6,4,4,6,11,1,2,0,0,2,10,.273,.000,1.000,18.5,5.0,5.5,0.5,1.0,0.0,byarsde01
9,Norris Cole,Dec 25 '11 MIA @ DAL,23,6,360,8018,1005,2469,207,639,289,389,79,702,981,280,34,517,679,2506,.407,.324,.743,22.3,7.0,2.0,2.7,0.8,0.1,coleno01
10,Eric Dawson,Feb 21 '12 SAS @ POR,27,1,4,39,7,12,0,0,1,2,5,10,0,1,2,3,6,15,.583,,.500,9.8,3.8,2.5,0.0,0.3,0.5,dawsoer01
11,Justin Dentmon,Mar 24 '12 SAS @ NOH,26,2,8,95,10,30,2,14,4,6,0,8,10,2,0,7,10,26,.333,.143,.667,11.9,3.3,1.0,1.3,0.3,0.0,dentmju01
12,Jerome Dyson,Apr 11 '12 NOH vs. SAC,24,1,9,180,19,48,1,8,28,36,2,19,18,11,2,20,19,67,.396,.125,.778,20.0,7.4,2.1,2.0,1.2,0.2,dysonje01
13,Kenneth Faried,Dec 28 '11 DEN vs. UTA,22,8,478,11728,2190,4009,10,45,1040,1590,1465,3884,470,351,392,626,1180,5430,.546,.222,.654,24.5,11.4,8.1,1.0,0.7,0.8,farieke01
14,Jeff Foote,Mar 9 '12 NOH @ DEN,24,1,4,39,2,6,0,0,0,0,1,6,0,0,1,2,5,4,.333,,,9.8,1.0,1.5,0.0,0.0,0.3,footeje01
15,Courtney Fortson,Jan 16 '12 LAC vs. NJN,23,1,10,95,11,32,3,13,10,15,6,15,10,3,0,10,5,35,.344,.231,.667,9.5,3.5,1.5,1.0,0.3,0.0,fortsco01
16,Jimmer Fredette,Dec 26 '11 SAC vs. LAL,22,6,241,3213,524,1282,193,519,197,224,53,243,331,94,11,223,222,1438,.409,.372,.879,13.3,6.0,1.0,1.4,0.4,0.0,fredeji01
17,Enes Freedom,Dec 27 '11 UTA @ LAL,19,11,748,16101,3426,6254,46,159,1451,1868,2223,5822,638,296,363,1076,1606,8349,.548,.289,.777,21.5,11.2,7.8,0.9,0.4,0.5,kanteen01
18,Mickell Gladness,Dec 25 '11 MIA @ DAL,25,1,26,252,25,59,0,0,6,12,14,58,5,4,20,7,32,56,.424,,.500,9.7,2.2,2.2,0.2,0.2,0.8,gladnmi01
19,Andrew Goudelock,Dec 25 '11 LAL vs. CHI,23,3,49,475,77,196,29,84,14,16,7,34,24,10,2,28,36,197,.393,.345,.875,9.7,4.0,0.7,0.5,0.2,0.0,goudean01
20,Jordan Hamilton,Jan 25 '12 DEN @ SAC,21,5,151,2100,342,839,137,384,69,103,89,429,127,73,34,102,144,890,.408,.357,.670,13.9,5.9,2.8,0.8,0.5,0.2,hamiljo02
21,Justin Harper,Dec 26 '11 ORL vs. HOU,22,3,22,150,18,53,8,29,1,3,5,18,4,3,3,12,10,45,.340,.276,.333,6.8,2.0,0.8,0.2,0.1,0.1,harpeju01
22,Josh Harrellson,Dec 25 '11 NYK vs. BOS,22,3,75,888,105,240,33,95,22,35,80,227,26,30,36,33,96,265,.438,.347,.629,11.8,3.5,3.0,0.3,0.4,0.5,harrejo01
23,Terrel Harris,Dec 25 '11 MIA @ DAL,24,2,42,455,33,110,8,47,21,31,22,77,35,11,5,42,51,95,.300,.170,.677,10.8,2.3,1.8,0.8,0.3,0.1,harrite01
24,Tobias Harris,Jan 7 '12 MIL @ LAC,19,13,881,27880,5494,11467,1195,3242,2168,2596,884,5413,2087,681,466,1239,1768,14351,.479,.369,.835,31.6,16.3,6.1,2.4,0.8,0.5,harrito02
25,Cory Higgins,Jan 1 '12 CHA @ MIA,22,2,44,455,58,179,5,25,43,62,8,38,41,8,6,39,45,164,.324,.200,.694,10.3,3.7,0.9,0.9,0.2,0.1,higgico01
26,Darington Hobson,Jan 7 '12 MIL @ LAC,24,1,5,39,2,13,0,6,0,0,0,3,6,0,0,2,1,4,.154,.000,,7.8,0.8,0.6,1.2,0.0,0.0,hobsoda01
27,Tyler Honeycutt,Dec 31 '11 SAC vs. NYK,21,2,24,120,11,35,1,5,5,7,6,24,9,4,4,7,5,28,.314,.200,.714,5.0,1.2,1.0,0.4,0.2,0.2,honeyty01
28,Dennis Horner,Dec 27 '11 NJN vs. ATL,23,1,8,22,1,4,0,1,3,4,2,5,0,0,0,1,1,5,.250,.000,.750,2.8,0.6,0.6,0.0,0.0,0.0,hornede01
29,Kyrie Irving,Dec 26 '11 CLE vs. TOR,19,13,710,24381,6159,13012,1676,4260,2722,3076,563,2841,4032,930,304,1791,1629,16716,.473,.393,.885,34.3,23.5,4.0,5.7,1.3,0.4,irvinky01
