,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Cliff Alexander,Nov 15 '15 POR @ CHO,20,1,8,36,5,10,0,0,0,0,2,6,0,1,2,1,1,10,.500,,,4.5,1.3,0.8,0.0,0.1,0.3,alexacl01
2,Justin Anderson,Oct 28 '15 DAL @ PHO,22,6,242,3280,454,1106,159,545,217,280,141,621,184,105,80,141,291,1284,.410,.292,.775,13.6,5.3,2.6,0.8,0.4,0.3,anderju01
3,Thanasis Antetokounmpo,Jan 29 '16 NYK vs. PHO,23,6,190,1488,196,387,9,63,72,136,127,304,111,51,31,104,205,473,.506,.143,.529,7.8,2.5,1.6,0.6,0.3,0.2,antetth01
4,Keith Appling,Jan 18 '16 ORL @ ATL,23,1,5,27,2,8,0,3,2,2,0,1,1,1,0,3,5,6,.250,.000,1.000,5.4,1.2,0.2,0.2,0.2,0.0,applike01
5,Nemanja Bjelica,Oct 28 '15 MIN @ LAL,27,7,449,9172,1279,2746,498,1296,356,469,486,2051,826,288,184,459,1058,3412,.466,.384,.759,20.4,7.6,4.6,1.8,0.6,0.4,bjeline01
6,Devin Booker,Oct 28 '15 PHO vs. DAL,19,9,580,19695,4933,10636,1199,3345,3000,3451,327,2334,2863,496,166,1766,1719,14065,.464,.358,.869,34.0,24.3,4.0,4.9,0.9,0.3,bookede01
7,Anthony Brown,Oct 30 '15 LAL @ SAC,23,3,41,762,58,177,28,98,17,20,17,103,28,19,6,21,49,161,.328,.286,.850,18.6,3.9,2.5,0.7,0.5,0.1,brownan02
8,Willie Cauley-Stein,Oct 28 '15 SAC vs. LAC,22,7,422,9276,1552,2853,6,32,565,923,694,2470,598,350,335,384,974,3675,.544,.188,.612,22.0,8.7,5.9,1.4,0.8,0.8,caulewi01
9,Rakeem Christmas,Apr 13 '16 IND @ MIL,24,2,30,225,21,45,0,0,21,29,27,57,4,3,6,8,38,63,.467,,.724,7.5,2.1,1.9,0.1,0.1,0.2,chrisra01
10,Coty Clarke,Mar 15 '16 BOS @ IND,23,1,3,6,2,4,2,2,0,0,0,1,0,0,0,1,0,6,.500,1.000,,2.0,2.0,0.3,0.0,0.0,0.0,clarkco01
11,Pat Connaughton,Oct 30 '15 POR @ PHO,23,9,534,10361,1183,2703,635,1760,238,309,371,1855,704,266,143,292,625,3239,.438,.361,.770,19.4,6.1,3.5,1.3,0.5,0.3,connapa01
12,Branden Dawson,Dec 28 '15 LAC @ WAS,22,1,6,29,2,5,0,0,1,1,2,4,0,0,1,0,2,5,.400,,1.000,4.8,0.8,0.7,0.0,0.0,0.2,dawsobr01
13,Bryce Dejean-Jones,Jan 21 '16 NOP vs. DET,23,1,14,279,28,69,12,32,11,21,8,48,15,10,2,11,17,79,.406,.375,.524,19.9,5.6,3.4,1.1,0.7,0.1,dejeabr01
14,Sam Dekker,Oct 28 '15 HOU vs. DEN,21,5,201,3097,451,944,89,309,103,170,191,607,160,101,37,98,201,1094,.478,.288,.606,15.4,5.4,3.0,0.8,0.5,0.2,dekkesa01
15,Duje Dukan,Apr 13 '16 SAC @ HOU,24,1,1,24,2,10,2,5,0,0,2,4,1,1,0,0,2,6,.200,.400,,24.0,6.0,4.0,1.0,1.0,0.0,dukandu01
16,Jarell Eddie,Dec 26 '15 WAS @ BRK,24,3,34,218,26,86,19,65,16,17,3,31,5,7,1,2,6,87,.302,.292,.941,6.4,2.6,0.9,0.1,0.2,0.0,eddieja01
17,Cristiano Felício,Nov 9 '15 CHI @ PHI,23,6,252,3554,431,754,0,14,216,321,381,992,183,72,50,155,358,1078,.572,.000,.673,14.1,4.3,3.9,0.7,0.3,0.2,feliccr01
18,Jerian Grant,Oct 28 '15 NYK @ MIL,23,5,279,4998,593,1442,174,539,332,431,92,530,805,205,33,274,411,1692,.411,.323,.770,17.9,6.1,1.9,2.9,0.7,0.1,grantje02
19,Montrezl Harrell,Oct 28 '15 HOU vs. DEN,22,8,515,10545,2506,4050,9,83,1199,1807,930,2588,675,269,404,550,1058,6220,.619,.108,.664,20.5,12.1,5.0,1.3,0.5,0.8,harremo01
20,Aaron Harrison,Nov 20 '15 CHO vs. PHI,21,3,35,343,24,92,12,55,19,31,8,42,16,15,2,7,39,79,.261,.218,.613,9.8,2.3,1.2,0.5,0.4,0.1,harriaa01
21,Mario Hezonja,Oct 28 '15 ORL vs. WAS,20,5,330,6107,854,2047,266,833,310,382,147,1026,415,243,80,371,549,2284,.417,.319,.812,18.5,6.9,3.1,1.3,0.7,0.2,hezonma01
