,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,David Andersen,Oct 27 '09 HOU @ POR,29,2,103,1264,203,461,35,101,60,89,74,292,57,20,21,59,159,501,.440,.347,.674,12.3,4.9,2.8,0.6,0.2,0.2,anderda03
2,Antonio Anderson,Mar 3 '10 OKC @ DEN,24,1,1,15,1,3,0,0,0,0,1,1,0,0,0,1,1,2,.333,,,15.0,2.0,1.0,0.0,0.0,0.0,anderan02
3,Jeff Ayres,Dec 22 '09 POR @ DAL,22,6,237,2322,287,519,2,5,114,147,196,632,99,37,66,132,360,690,.553,.400,.776,9.8,2.9,2.7,0.4,0.2,0.3,pendeje02
4,Rodrigue Beaubois,Oct 30 '09 DAL @ LAL,21,4,182,2896,502,1143,129,397,153,189,47,338,374,124,52,204,312,1286,.439,.325,.810,15.9,7.1,1.9,2.1,0.7,0.3,beaubro01
5,DeJuan Blair,Oct 28 '09 SAS vs. NOH,20,7,424,7054,1242,2371,0,9,381,627,810,2153,349,316,127,471,1003,2865,.524,.000,.608,16.6,6.8,5.1,0.8,0.7,0.3,blairde01
6,Jon Brockman,Oct 28 '09 SAC @ OKC,22,3,150,1570,118,242,0,1,84,136,212,472,49,33,9,57,267,320,.488,.000,.618,10.5,2.1,3.1,0.3,0.2,0.1,brockjo01
7,Derrick Brown,Oct 28 '09 CHA @ BOS,22,3,171,2554,354,687,13,41,174,273,167,413,119,89,32,109,208,895,.515,.317,.637,14.9,5.2,2.4,0.7,0.5,0.2,brownde04
8,Chase Budinger,Oct 27 '09 HOU @ POR,21,7,407,7998,1188,2766,413,1172,409,513,238,1240,473,213,65,310,485,3198,.430,.352,.797,19.7,7.9,3.0,1.2,0.5,0.2,budinch01
9,DeMarre Carroll,Oct 28 '09 MEM vs. DET,23,11,578,13675,1806,4204,658,1839,880,1188,655,2454,726,524,151,498,1127,5150,.430,.358,.741,23.7,8.9,4.2,1.3,0.9,0.3,carrode01
10,Omri Casspi,Oct 28 '09 SAC @ OKC,21,10,588,11959,1718,3781,493,1339,713,1052,473,2355,662,362,134,595,917,4642,.454,.368,.678,20.3,7.9,4.0,1.1,0.6,0.2,casspom01
