,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Jeff Adrien,Oct 27 '10 GSW vs. HOU,24,5,153,2148,264,557,0,2,181,288,221,659,100,50,79,91,259,709,.474,.000,.628,14.0,4.6,4.3,0.7,0.3,0.5,adrieje01
2,Solomon Alabi,Nov 13 '10 TOR @ MIA,22,2,26,181,16,51,0,0,7,10,22,61,5,4,11,8,16,39,.314,,.700,7.0,1.5,2.3,0.2,0.2,0.4,alabiso01
3,Cole Aldrich,Oct 31 '10 OKC vs. UTA,22,8,339,3389,435,825,0,0,180,244,334,1131,183,137,233,199,509,1050,.527,,.738,10.0,3.1,3.3,0.5,0.4,0.7,aldrico01
4,Al-Farouq Aminu,Oct 27 '10 LAC vs. POR,20,11,711,17698,1948,4641,543,1634,911,1221,982,4280,879,678,397,863,1302,5350,.420,.332,.746,24.9,7.5,6.0,1.2,1.0,0.6,aminual01
5,James Anderson,Oct 27 '10 SAS vs. IND,21,5,247,4320,525,1276,196,611,176,233,108,560,291,121,55,216,292,1422,.411,.321,.755,17.5,5.8,2.3,1.2,0.5,0.2,anderja01
6,Ömer Aşık,Oct 27 '10 CHI @ OKC,24,8,471,9216,947,1795,0,1,585,1062,1036,3362,280,167,339,542,928,2479,.528,.000,.551,19.6,5.3,7.1,0.6,0.4,0.7,asikom01
7,Luke Babbitt,Nov 1 '10 POR @ CHI,21,8,381,5332,650,1593,394,979,124,166,111,846,224,89,58,165,520,1818,.408,.402,.747,14.0,4.8,2.2,0.6,0.2,0.2,babbilu01
8,Eric Bledsoe,Oct 27 '10 LAC vs. POR,21,12,756,21021,3689,8169,854,2545,2116,2698,570,2937,3545,1028,344,1888,1493,10348,.452,.336,.784,27.8,13.7,3.9,4.7,1.4,0.5,bledser01
9,Trevor Booker,Oct 28 '10 WAS @ ORL,23,8,532,10872,1548,3003,75,246,508,799,1029,2932,566,355,277,540,1063,3679,.515,.305,.636,20.4,6.9,5.5,1.1,0.7,0.5,booketr01
10,Craig Brackins,Nov 24 '10 PHI @ TOR,23,2,17,121,13,49,3,14,1,2,7,19,9,1,1,4,9,30,.265,.214,.500,7.1,1.8,1.1,0.5,0.1,0.1,brackcr01
11,Avery Bradley,Nov 22 '10 BOS @ ATL,20,12,660,18151,2914,6715,859,2353,592,756,397,1863,1105,655,128,868,1427,7279,.434,.365,.783,27.5,11.0,2.8,1.7,1.0,0.2,bradlav01
12,Derrick Caracter,Oct 26 '10 LAL vs. HOU,22,1,41,215,32,66,0,0,17,23,19,43,7,4,10,19,47,81,.485,,.739,5.2,2.0,1.0,0.2,0.1,0.2,caracde01
13,Sherron Collins,Nov 3 '10 CHA @ NJN,23,1,20,66,7,25,2,10,1,1,0,5,8,2,0,4,2,17,.280,.200,1.000,3.3,0.9,0.3,0.4,0.1,0.0,collish01
14,Marcus Cousin,Mar 9 '11 UTA @ TOR,24,1,4,18,2,3,0,0,0,0,0,3,0,0,1,1,1,4,.667,,,4.5,1.0,0.8,0.0,0.0,0.3,cousima01
15,DeMarcus Cousins,Oct 27 '10 SAC @ MIN,20,11,654,19509,4562,9924,426,1288,3252,4411,1692,6664,1979,874,742,2149,2421,12802,.460,.331,.737,29.8,19.6,10.2,3.0,1.3,1.1,couside01
16,Jordan Crawford,Oct 27 '10 ATL @ MEM,22,6,281,6843,1286,3130,330,1041,530,642,153,703,883,196,23,529,437,3432,.411,.317,.826,24.4,12.2,2.5,3.1,0.7,0.1,crawfjo02
17,Ed Davis,Dec 1 '10 TOR vs. WAS,21,12,722,13756,1773,3128,0,4,745,1277,1590,4616,539,349,566,532,1749,4291,.567,.000,.583,19.1,5.9,6.4,0.7,0.5,0.8,davised01
18,Zabian Dowdell,Jan 11 '11 PHO @ DEN,26,1,24,292,51,125,3,10,16,17,5,20,51,20,2,29,30,121,.408,.300,.941,12.2,5.0,0.8,2.1,0.8,0.1,dowdeza01
19,Devin Ebanks,Oct 31 '10 LAL vs. GSW,21,3,63,711,82,213,8,36,52,72,51,122,24,18,12,35,56,224,.385,.222,.722,11.3,3.6,1.9,0.4,0.3,0.2,ebankde01
20,Semih Erden,Nov 2 '10 BOS @ DET,24,2,69,928,101,185,0,0,60,101,57,190,29,25,29,50,164,262,.546,,.594,13.4,3.8,2.8,0.4,0.4,0.4,erdense01
21,Jeremy Evans,Oct 27 '10 UTA @ DEN,23,7,250,2626,364,640,6,26,145,211,239,641,107,90,121,85,291,879,.569,.231,.687,10.5,3.5,2.6,0.4,0.4,0.5,evansje01
22,Patrick Ewing,Mar 30 '11 NOH vs. POR,26,1,7,19,0,5,0,2,3,4,1,2,2,0,1,1,1,3,.000,.000,.750,2.7,0.4,0.3,0.3,0.0,0.1,ewingpa02
23,Christian Eyenga,Jan 2 '11 CLE vs. DAL,21,2,51,1049,136,331,26,94,22,36,31,137,40,37,33,50,85,320,.411,.277,.611,20.6,6.3,2.7,0.8,0.7,0.6,eyengch01
24,Derrick Favors,Oct 27 '10 NJN vs. DET,19,12,790,19202,3420,6407,38,192,1476,2225,1933,5608,851,577,939,995,1976,8354,.534,.198,.663,24.3,10.6,7.1,1.1,0.7,1.2,favorde01
25,Landry Fields,Oct 27 '10 NYK @ TOR,22,5,255,6010,684,1446,120,361,243,365,248,1092,419,212,45,270,310,1731,.473,.332,.666,23.6,6.8,4.3,1.6,0.8,0.2,fieldla01
26,Gary Forbes,Oct 27 '10 DEN vs. UTA,25,2,111,1504,236,544,48,141,125,178,55,218,103,47,10,100,133,645,.434,.340,.702,13.5,5.8,2.0,0.9,0.4,0.1,forbega01
27,Paul George,Oct 27 '10 IND @ SAS,20,14,848,28539,6001,13684,2190,5726,3386,3977,718,5370,3124,1437,365,2276,2271,17578,.439,.382,.851,33.7,20.7,6.3,3.7,1.7,0.4,georgpa01
28,Blake Griffin,Oct 27 '10 LAC vs. POR,21,13,765,24384,5419,10988,538,1639,3137,4508,1487,6109,3055,627,359,1732,2058,14513,.493,.328,.696,31.9,19.0,8.0,4.0,0.8,0.5,griffbl01
29,Luke Harangody,Nov 2 '10 BOS @ DET,23,2,70,871,102,271,21,87,28,38,60,196,36,21,20,20,97,253,.376,.241,.737,12.4,3.6,2.8,0.5,0.3,0.3,haranlu01
30,Manny Harris,Oct 29 '10 CLE @ TOR,21,4,93,1594,199,524,53,150,124,168,57,253,129,48,14,101,104,575,.380,.353,.738,17.1,6.2,2.7,1.4,0.5,0.2,harrima01
31,Gordon Hayward,Oct 27 '10 UTA @ DEN,20,14,816,25309,4384,9647,1096,2974,2702,3281,622,3657,2905,796,320,1583,1403,12566,.454,.369,.824,31.0,15.4,4.5,3.6,1.0,0.4,haywago01
32,Lazar Hayward,Oct 29 '10 MIN vs. MIL,24,3,72,591,70,202,21,78,46,60,25,90,35,17,8,28,65,207,.347,.269,.767,8.2,2.9,1.3,0.5,0.2,0.1,haywala01
33,Xavier Henry,Oct 27 '10 MEM vs. ATL,19,5,185,2905,368,907,41,126,273,430,81,351,120,100,23,139,264,1050,.406,.325,.635,15.7,5.7,1.9,0.6,0.5,0.1,henryxa01
