,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Santi Aldama,Oct 27 '21 MEM @ POR,21,3,159,3309,499,1122,184,558,167,241,178,739,226,83,93,137,254,1349,.445,.330,.693,20.8,8.5,4.6,1.4,0.5,0.6,aldamsa01
2,Jose Alvarado,Nov 3 '21 NOP @ SAC,23,3,155,2823,434,1027,165,498,128,173,69,329,416,182,31,152,257,1161,.423,.331,.740,18.2,7.5,2.1,2.7,1.2,0.2,alvarjo01
3,Joel Ayayi,Oct 25 '21 WAS @ BRK,21,1,7,20,1,6,0,1,0,0,1,3,4,0,0,0,0,2,.167,.000,,2.9,0.3,0.4,0.6,0.0,0.0,ayayijo01
4,Dalano Banton,Oct 20 '21 TOR vs. WAS,22,3,128,1315,194,469,38,145,77,116,73,238,171,51,29,93,134,503,.414,.262,.664,10.3,3.9,1.9,1.3,0.4,0.2,bantoda01
5,Cat Barber,Dec 25 '21 ATL @ NYK,27,1,3,13,0,4,0,0,0,4,1,3,3,0,0,1,1,0,.000,,.000,4.3,0.0,1.0,1.0,0.0,0.0,barbeca01
6,Scottie Barnes,Oct 20 '21 TOR vs. WAS,20,3,211,7389,1369,2890,222,713,544,712,515,1563,990,238,204,455,480,3504,.474,.311,.764,35.0,16.6,7.4,4.7,1.1,1.0,barnesc01
7,Paris Bass,Jan 2 '22 PHO @ CHO,26,1,2,7,2,6,0,2,2,2,2,4,0,1,0,2,2,6,.333,.000,1.000,3.5,3.0,2.0,0.0,0.5,0.0,basspa01
8,Charles Bassey,Oct 20 '21 PHI @ NOP,21,3,77,881,146,222,3,13,36,55,120,331,75,29,67,64,137,331,.658,.231,.655,11.4,4.3,4.3,1.0,0.4,0.9,bassech01
9,Leandro Bolmaro,Oct 20 '21 MIN vs. HOU,21,2,49,309,20,74,5,22,11,13,20,50,28,9,1,20,36,56,.270,.227,.846,6.3,1.1,1.0,0.6,0.2,0.0,bolmale01
10,Brandon Boston Jr.,Oct 25 '21 LAC vs. POR,20,3,92,1137,203,511,52,160,100,124,31,156,76,37,15,50,81,558,.397,.325,.806,12.4,6.1,1.7,0.8,0.4,0.2,bostobr01
11,James Bouknight,Oct 22 '21 CHO @ CLE,21,3,79,900,136,375,63,188,48,63,31,133,73,22,7,49,81,383,.363,.335,.762,11.4,4.8,1.7,0.9,0.3,0.1,bouknja01
12,Chaundee Brown Jr.,Dec 17 '21 LAL @ MIN,23,1,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,.313,.333,.833,20.8,6.2,3.2,0.8,0.4,0.0,brownch05
13,Greg Brown III,Oct 23 '21 POR vs. PHO,20,3,70,773,97,229,21,71,53,86,43,163,42,30,33,46,108,268,.424,.296,.616,11.0,3.8,2.3,0.6,0.4,0.5,browngr01
14,Shaq Buchanan,Dec 26 '21 MEM @ SAC,25,1,2,10,1,4,0,2,0,0,1,2,2,1,0,2,1,2,.250,.000,,5.0,1.0,1.0,1.0,0.5,0.0,buchash01
15,Jared Butler,Oct 20 '21 UTA vs. OKC,21,3,70,615,111,247,45,130,25,33,8,64,114,31,10,53,71,292,.449,.346,.758,8.8,4.2,0.9,1.6,0.4,0.1,butleja02
16,Ahmad Caver,Jan 5 '22 IND vs. BRK,25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,2.0,0.0,0.0,0.0,0.0,caverah01
17,Justin Champagnie,Oct 22 '21 TOR @ BOS,20,3,44,331,41,92,12,38,9,9,40,81,16,10,5,9,34,103,.446,.316,1.000,7.5,2.3,1.8,0.4,0.2,0.1,champju01
18,Josh Christopher,Oct 20 '21 HOU @ MIN,20,2,138,2120,377,829,77,278,128,173,72,257,223,98,28,174,156,959,.455,.277,.740,15.4,6.9,1.9,1.6,0.7,0.2,chrisjo01
19,Sharife Cooper,Oct 21 '21 ATL vs. DAL,20,1,13,39,3,14,1,6,0,0,0,5,5,0,0,5,1,7,.214,.167,,3.0,0.5,0.4,0.4,0.0,0.0,coopesh01
20,Petr Cornelie,Oct 25 '21 DEN vs. CLE,26,1,13,38,5,15,1,8,3,4,7,14,3,1,1,4,7,14,.333,.125,.750,2.9,1.1,1.1,0.2,0.1,0.1,cornepe01
21,Jarron Cumberland,Dec 27 '21 POR vs. DAL,24,1,3,12,1,2,0,1,0,0,1,3,1,0,0,0,2,2,.500,.000,,4.0,0.7,1.0,0.3,0.0,0.0,cumbeja01
22,Cade Cunningham,Oct 30 '21 DET vs. ORL,20,3,126,4177,936,2168,225,688,365,429,92,634,798,133,69,446,367,2462,.432,.327,.851,33.2,19.5,5.0,6.3,1.1,0.5,cunnica01
23,Javin DeLaurier,Jan 1 '22 MIL vs. NOP,23,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,,3.0,0.0,1.0,0.0,1.0,0.0,delauja01
24,Ayo Dosunmu,Oct 20 '21 CHI @ DET,22,3,216,5799,807,1603,215,587,173,229,113,594,621,172,81,277,484,2002,.503,.366,.755,26.8,9.3,2.8,2.9,0.8,0.4,dosunay01
25,Jeff Dowtin,Nov 3 '21 GSW vs. CHO,24,2,34,367,33,83,6,25,8,11,14,41,41,14,4,10,18,80,.398,.240,.727,10.8,2.4,1.2,1.2,0.4,0.1,dowtije01
26,Chris Duarte,Oct 20 '21 IND @ CHO,24,3,144,3007,451,1110,181,519,172,211,79,424,213,104,24,151,227,1255,.406,.349,.815,20.9,8.7,2.9,1.5,0.7,0.2,duartch01
27,David Duke Jr.,Dec 8 '21 BRK @ HOU,22,2,45,569,75,186,10,49,29,38,41,96,38,24,8,27,67,189,.403,.204,.763,12.6,4.2,2.1,0.8,0.5,0.2,dukeda01
