,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Alexis Ajinça,Oct 30 '08 CHA @ CLE,20,7,293,3905,645,1283,12,42,251,315,346,1150,143,102,181,249,661,1553,.503,.286,.797,13.3,5.3,3.9,0.5,0.3,0.6,ajincal01
2,Joe Alexander,Nov 2 '08 MIL @ NYK,22,2,67,745,103,251,16,47,60,86,46,120,44,16,30,52,116,282,.410,.340,.698,11.1,4.2,1.8,0.7,0.2,0.4,alexajo01
3,Ryan Anderson,Oct 29 '08 NJN @ WAS,20,12,649,16769,2755,6533,1325,3491,1166,1366,1247,3413,586,332,217,606,1263,8001,.422,.380,.854,25.8,12.3,5.3,0.9,0.5,0.3,anderry01
4,Darrell Arthur,Oct 29 '08 MEM @ HOU,20,9,503,8945,1381,3110,161,458,359,469,547,1768,409,309,307,422,1234,3282,.444,.352,.765,17.8,6.5,3.5,0.8,0.6,0.6,arthuda01
5,D.J. Augustin,Oct 30 '08 CHA @ CLE,21,14,976,22851,2994,7270,1262,3311,2009,2317,292,1805,3761,567,32,1428,1350,9259,.412,.381,.867,23.4,9.5,1.8,3.9,0.6,0.0,augusdj01
6,Nicolas Batum,Oct 28 '08 POR @ LAL,20,16,1033,30699,3853,8809,1639,4471,1499,1802,1023,5159,3421,956,651,1616,1808,10844,.437,.367,.832,29.7,10.5,5.0,3.3,0.9,0.6,batumni01
7,Jerryd Bayless,Oct 28 '08 POR @ LAL,20,11,586,12486,1719,4180,499,1382,972,1188,176,1235,1674,370,73,825,1206,4909,.411,.361,.818,21.3,8.4,2.1,2.9,0.6,0.1,bayleje01
8,Michael Beasley,Oct 29 '08 MIA @ NYK,20,11,609,13903,3088,6644,291,835,1101,1450,664,2861,788,345,314,1025,1294,7568,.465,.349,.759,22.8,12.4,4.7,1.3,0.6,0.5,beaslmi01
9,Bobby Brown,Oct 31 '08 SAC @ MIA,24,4,158,1688,271,715,96,303,50,62,23,103,230,41,4,123,148,688,.379,.317,.806,10.7,4.4,0.7,1.5,0.3,0.0,brownbo02
10,Mario Chalmers,Oct 29 '08 MIA @ NYK,22,9,646,17245,1936,4641,755,2153,1116,1407,211,1585,2412,950,103,1202,1756,5743,.417,.351,.793,26.7,8.9,2.5,3.7,1.5,0.2,chalmma01
11,Joe Crawford,Apr 8 '09 NYK vs. DET,22,1,2,23,3,10,1,4,2,2,1,4,1,1,0,0,2,9,.300,.250,1.000,11.5,4.5,2.0,0.5,0.5,0.0,crawfjo01
12,Joey Dorsey,Nov 9 '08 HOU @ LAL,25,4,130,1488,142,266,0,1,60,160,198,513,55,67,44,86,256,344,.534,.000,.375,11.4,2.6,3.9,0.4,0.5,0.3,dorsejo01
13,Chris Douglas-Roberts,Oct 29 '08 NJN @ WAS,22,6,222,4381,574,1309,84,255,339,408,83,472,254,128,55,200,287,1571,.439,.329,.831,19.7,7.1,2.1,1.1,0.6,0.2,douglch01
14,Goran Dragić,Oct 29 '08 PHO @ SAS,22,15,946,25604,4605,10029,1150,3181,2208,2883,643,2816,4405,876,167,2064,2119,12568,.459,.362,.766,27.1,13.3,3.0,4.7,0.9,0.2,dragigo01
15,Rudy Fernández,Oct 28 '08 POR @ LAL,23,4,249,5965,740,1853,413,1147,361,430,128,608,554,249,40,286,369,2254,.399,.360,.840,24.0,9.1,2.4,2.2,1.0,0.2,fernaru01
16,Danilo Gallinari,Oct 29 '08 NYK vs. MIA,20,14,766,22319,3527,8243,1453,3813,3067,3499,519,3607,1464,545,267,901,1347,11574,.428,.381,.877,29.1,15.1,4.7,1.9,0.7,0.3,gallida01
17,Marc Gasol,Oct 29 '08 MEM @ HOU,24,13,891,28719,4635,9638,431,1197,2813,3625,1411,6604,2996,792,1254,1755,2551,12514,.481,.360,.776,32.2,14.0,7.4,3.4,0.9,1.4,gasolma01
18,J.R. Giddens,Feb 22 '09 BOS @ PHO,23,2,38,247,30,63,0,10,13,23,18,54,13,10,2,18,30,73,.476,.000,.565,6.5,1.9,1.4,0.3,0.3,0.1,giddejr01
19,Eric Gordon,Oct 29 '08 LAC vs. LAL,20,16,868,27712,4689,10895,2002,5387,2365,2916,328,2048,2416,731,308,1638,1561,13745,.430,.372,.811,31.9,15.8,2.4,2.8,0.8,0.4,gordoer01
20,Donté Greene,Oct 31 '08 SAC @ MIA,20,4,253,4259,585,1441,165,542,206,294,140,600,183,111,116,222,373,1541,.406,.304,.701,16.8,6.1,2.4,0.7,0.4,0.5,greendo01
21,Hamed Haddadi,Dec 30 '08 MEM vs. PHO,23,5,151,1056,130,281,0,5,79,125,137,372,43,11,92,92,209,339,.463,.000,.632,7.0,2.2,2.5,0.3,0.1,0.6,haddaha01
22,Malik Hairston,Jan 31 '09 SAS vs. NOH,21,2,62,472,64,125,2,12,19,37,24,77,29,10,16,23,48,149,.512,.167,.514,7.6,2.4,1.2,0.5,0.2,0.3,hairsma01
23,Roy Hibbert,Oct 29 '08 IND @ DET,22,9,662,16389,2622,5641,6,24,1361,1802,1527,4173,885,241,1146,1038,2067,6611,.465,.250,.755,24.8,10.0,6.3,1.3,0.4,1.7,hibbero01
24,J.J. Hickson,Oct 30 '08 CLE vs. CHA,20,8,534,11925,2049,4056,0,21,983,1593,1173,3639,449,274,309,774,1033,5081,.505,.000,.617,22.3,9.5,6.8,0.8,0.5,0.6,hicksjj01
25,George Hill,Nov 4 '08 SAS vs. DAL,22,15,915,24501,3377,7393,1066,2808,1725,2141,533,2731,2807,806,233,1091,1759,9545,.457,.380,.806,26.8,10.4,3.0,3.1,0.9,0.3,hillge01
26,Steven Hill,Nov 12 '08 OKC vs. ORL,23,1,1,2,1,1,0,0,0,0,2,3,0,0,0,0,0,2,1.000,,,2.0,2.0,3.0,0.0,0.0,0.0,hillst01
27,Othello Hunter,Nov 11 '08 ATL @ CHI,22,2,23,125,15,32,0,0,3,9,15,36,1,2,6,5,16,33,.469,,.333,5.4,1.4,1.6,0.0,0.1,0.3,hunteot01
28,Darnell Jackson,Nov 25 '08 CLE @ NYK,23,3,138,1039,123,274,4,17,58,90,90,203,26,24,11,50,159,308,.449,.235,.644,7.5,2.2,1.5,0.2,0.2,0.1,jacksda01
29,Nathan Jawai,Jan 21 '09 TOR @ DET,22,2,45,431,50,115,0,1,26,38,50,106,24,10,9,29,61,126,.435,.000,.684,9.6,2.8,2.4,0.5,0.2,0.2,jawaina01
30,Dontell Jefferson,Apr 5 '09 CHA @ DET,25,1,6,84,11,22,1,2,6,9,1,12,9,4,1,6,9,29,.500,.500,.667,14.0,4.8,2.0,1.5,0.7,0.2,jeffedo01
31,Trey Johnson,Feb 3 '09 CLE vs. TOR,24,3,23,169,20,52,1,3,18,19,5,20,15,2,1,11,26,59,.385,.333,.947,7.3,2.6,0.9,0.7,0.1,0.0,johnstr01
32,DeAndre Jordan,Nov 1 '08 LAC @ UTA,20,16,1048,27107,3755,5568,2,13,1738,3660,3101,10476,986,554,1538,1398,2602,9250,.674,.154,.475,25.9,8.8,10.0,0.9,0.5,1.5,jordade01
33,Kosta Koufos,Nov 1 '08 UTA vs. LAC,19,11,686,11271,1750,3277,0,4,413,710,1198,3452,359,291,506,479,1398,3913,.534,.000,.582,16.4,5.7,5.0,0.5,0.4,0.7,koufoko01
34,Rob Kurz,Nov 9 '08 GSW @ SAC,23,1,40,442,51,131,15,38,40,50,33,81,20,14,19,16,78,157,.389,.395,.800,11.1,3.9,2.0,0.5,0.4,0.5,kurzro01
35,Courtney Lee,Nov 3 '08 ORL vs. CHI,23,12,811,21938,2961,6567,876,2259,967,1134,364,2127,1353,809,213,762,1339,7765,.451,.388,.853,27.1,9.6,2.6,1.7,1.0,0.3,leeco01
36,Brook Lopez,Oct 29 '08 NJN @ WAS,20,16,1005,30406,6198,12500,895,2586,2941,3694,2019,6245,1445,576,1881,1642,2653,16232,.496,.346,.796,30.3,16.2,6.2,1.4,0.6,1.9,lopezbr01
37,Robin Lopez,Oct 29 '08 PHO @ SAS,20,16,992,20937,3484,6488,57,192,1301,1751,2147,4660,819,219,1045,1063,1858,8326,.537,.297,.743,21.1,8.4,4.7,0.8,0.2,1.1,lopezro01
38,Kevin Love,Oct 29 '08 MIN vs. SAC,20,16,921,27152,5010,11415,1640,4443,3579,4319,2185,9357,2141,560,363,1655,1808,15239,.439,.369,.829,29.5,16.5,10.2,2.3,0.6,0.4,loveke01
39,Cartier Martin,Jan 30 '09 CHA @ DEN,24,7,243,3351,430,1098,218,586,151,207,88,463,121,97,27,128,317,1229,.392,.372,.729,13.8,5.1,1.9,0.5,0.4,0.1,martica01
40,O.J. Mayo,Oct 29 '08 MEM @ HOU,21,8,547,16919,2808,6547,854,2287,1104,1346,285,1706,1607,559,141,1130,1239,7574,.429,.373,.820,30.9,13.8,3.1,2.9,1.0,0.3,mayooj01
41,Luc Mbah a Moute,Oct 28 '08 MIL @ CHI,22,12,689,16038,1685,3708,207,619,803,1218,962,2800,588,612,263,646,1242,4380,.454,.334,.659,23.3,6.4,4.1,0.9,0.9,0.4,mbahalu01
42,JaVale McGee,Oct 29 '08 WAS vs. NJN,21,16,902,14647,2949,5094,14,75,981,1625,1619,4563,383,340,1257,893,1921,6893,.579,.187,.604,16.2,7.6,5.1,0.4,0.4,1.4,mcgeeja01
43,Anthony Morrow,Nov 9 '08 GSW @ SAC,23,9,564,12280,1956,4380,807,1937,608,691,309,1215,494,317,75,380,897,5327,.447,.417,.880,21.8,9.4,2.2,0.9,0.6,0.1,morroan01
44,DeMarcus Nelson,Oct 29 '08 GSW vs. NOH,23,1,13,171,24,54,0,3,5,14,6,24,13,9,2,15,24,53,.444,.000,.357,13.2,4.1,1.8,1.0,0.7,0.2,nelsode01
45,Greg Oden,Oct 28 '08 POR @ LAL,21,3,105,2028,317,552,0,0,206,313,256,656,51,40,130,138,374,840,.574,,.658,19.3,8.0,6.2,0.5,0.4,1.2,odengr01
46,Anthony Randolph,Nov 3 '08 GSW @ MEM,19,6,252,3841,677,1494,20,83,415,561,335,1078,187,150,224,298,456,1789,.453,.241,.740,15.2,7.1,4.3,0.7,0.6,0.9,randoan01
47,Derrick Rose,Oct 28 '08 CHI vs. MIL,20,15,723,22054,4921,10798,590,1866,2141,2575,553,2324,3770,536,242,1746,887,12573,.456,.316,.831,30.5,17.4,3.2,5.2,0.7,0.3,rosede01
48,Brandon Rush,Oct 29 '08 IND @ DET,23,9,481,10564,1220,2861,522,1300,288,408,187,1413,468,222,262,400,620,3250,.426,.402,.706,22.0,6.8,2.9,1.0,0.5,0.5,rushbr01
49,Walter Sharpe,Nov 3 '08 DET @ CHA,22,1,8,20,4,11,0,2,0,2,0,3,0,0,2,0,3,8,.364,.000,.000,2.5,1.0,0.4,0.0,0.0,0.3,sharpwa01
50,Sean Singletary,Nov 4 '08 PHO @ NJN,23,1,37,303,31,85,10,25,18,21,10,35,29,11,0,23,45,90,.365,.400,.857,8.2,2.4,0.9,0.8,0.3,0.0,singlse01
51,Marreese Speights,Oct 31 '08 PHI vs. NYK,21,10,705,10640,2181,4750,232,651,998,1252,947,2875,461,189,356,614,1564,5592,.459,.356,.797,15.1,7.9,4.1,0.7,0.3,0.5,speigma01
52,Mike Taylor,Oct 29 '08 LAC vs. LAL,23,1,51,771,110,267,13,40,56,81,22,87,106,36,0,73,84,289,.412,.325,.691,15.1,5.7,1.7,2.1,0.7,0.0,taylomi01
53,Jason Thompson,Oct 29 '08 SAC @ MIN,22,8,588,14819,2112,4255,6,42,980,1492,1264,3880,635,283,414,747,1751,5210,.496,.143,.657,25.2,8.9,6.6,1.1,0.5,0.7,thompja02
54,Anthony Tolliver,Nov 7 '08 SAS vs. MIA,23,13,730,14197,1466,3538,865,2320,654,848,545,2416,650,272,215,462,1171,4451,.414,.373,.771,19.4,6.1,3.3,0.9,0.4,0.3,tollian01
55,Roko Ukić,Oct 29 '08 TOR @ PHI,24,2,85,987,137,354,14,74,53,71,27,78,165,31,2,66,83,341,.387,.189,.746,11.6,4.0,0.9,1.9,0.4,0.0,ukicro01
56,Henry Walker,Nov 7 '08 BOS vs. MIL,21,5,181,3016,386,865,190,515,117,154,55,401,153,93,27,142,375,1079,.446,.369,.760,16.7,6.0,2.2,0.8,0.5,0.1,walkebi01
57,Kyle Weaver,Oct 29 '08 OKC vs. MIL,22,3,73,1379,134,304,42,119,53,72,34,158,119,55,33,80,97,363,.441,.353,.736,18.9,5.0,2.2,1.6,0.8,0.5,weaveky01
58,Sonny Weems,Jan 17 '09 DEN vs. ORL,22,4,183,3335,514,1106,34,120,127,181,88,402,257,84,28,198,268,1189,.465,.283,.702,18.2,6.5,2.2,1.4,0.5,0.2,weemsso01
59,Russell Westbrook,Oct 29 '08 OKC vs. MIL,20,16,1152,38865,9011,20565,1268,4170,5808,7485,1859,8258,9418,1840,367,4561,2951,25098,.438,.304,.776,33.7,21.8,7.2,8.2,1.6,0.3,westbru01
