,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Arron Afflalo,Nov 1 '07 DET @ MIA,22,11,762,20829,2983,6633,852,2205,1380,1673,334,2176,1386,341,141,852,1481,8198,.450,.386,.825,27.3,10.8,2.9,1.8,0.4,0.2,afflaar01
2,Blake Ahearn,Mar 21 '08 MIA vs. WAS,23,3,19,226,21,77,14,47,32,33,1,22,22,7,0,22,27,88,.273,.298,.970,11.9,4.6,1.2,1.2,0.4,0.0,ahearbl01
3,Lance Allred,Mar 17 '08 CLE @ ORL,26,1,3,10,1,4,0,0,1,2,0,1,0,0,0,0,1,3,.250,,.500,3.3,1.0,0.3,0.0,0.0,0.0,allrela01
4,Morris Almond,Nov 7 '07 UTA vs. CLE,22,3,38,361,43,113,7,24,26,35,10,46,12,12,4,19,42,119,.381,.292,.743,9.5,3.1,1.2,0.3,0.3,0.1,almonmo01
5,Joel Anthony,Nov 27 '07 MIA vs. CHA,25,10,490,7056,398,776,0,0,268,405,562,1353,99,127,531,227,819,1064,.513,,.662,14.4,2.2,2.8,0.2,0.3,1.1,anthojo01
6,Marco Belinelli,Oct 30 '07 GSW vs. UTA,21,13,860,19548,2949,6959,1216,3230,1256,1485,187,1769,1429,488,65,850,1222,8370,.424,.376,.846,22.7,9.7,2.1,1.7,0.6,0.1,belinma01
7,Corey Brewer,Nov 2 '07 MIN vs. DEN,21,13,819,18771,2684,6314,503,1774,1226,1720,613,2287,1250,1023,222,950,1768,7097,.425,.284,.713,22.9,8.7,2.8,1.5,1.2,0.3,breweco01
8,Aaron Brooks,Nov 17 '07 HOU vs. PHO,23,10,645,13439,2261,5478,820,2218,917,1095,254,1079,1925,359,87,1000,1217,6259,.413,.370,.837,20.8,9.7,1.7,3.0,0.6,0.1,brookaa01
9,Wilson Chandler,Nov 13 '07 NYK @ PHO,20,12,676,20287,3270,7382,874,2560,1049,1363,766,3574,1205,470,414,931,1807,8463,.443,.341,.770,30.0,12.5,5.3,1.8,0.7,0.6,chandwi01
10,Mike Conley,Nov 7 '07 MEM @ SEA,20,17,1082,34291,5506,12548,1752,4542,2860,3478,514,3220,6212,1496,223,2070,2125,15624,.439,.386,.822,31.7,14.4,3.0,5.7,1.4,0.2,conlemi01
11,Daequan Cook,Nov 2 '07 MIA @ IND,20,6,328,5993,758,2056,442,1232,156,192,75,703,243,120,48,177,478,2114,.369,.359,.813,18.3,6.4,2.1,0.7,0.4,0.1,cookda02
12,Javaris Crittenton,Nov 2 '07 LAL @ PHO,20,2,113,1853,229,518,12,52,125,196,84,276,201,59,8,137,148,595,.442,.231,.638,16.4,5.3,2.4,1.8,0.5,0.1,crittja01
13,Jermareo Davidson,Nov 6 '07 CHA vs. PHO,23,2,52,433,68,160,0,0,26,45,31,96,14,9,18,22,58,162,.425,,.578,8.3,3.1,1.8,0.3,0.2,0.3,davidje01
14,Glen Davis,Nov 2 '07 BOS vs. WAS,22,8,514,10865,1614,3611,10,55,873,1247,731,2236,457,357,173,528,1238,4111,.447,.182,.700,21.1,8.0,4.4,0.9,0.7,0.3,davisgl01
15,Guillermo Díaz,Jan 15 '08 LAC vs. PHO,22,1,6,18,1,4,0,1,3,5,2,2,1,0,0,0,0,5,.250,.000,.600,3.0,0.8,0.3,0.2,0.0,0.0,diazgu01
16,Jared Dudley,Nov 2 '07 CHA vs. MIL,22,14,904,20117,2408,5197,883,2247,934,1276,805,2849,1394,710,167,763,1636,6633,.463,.393,.732,22.3,7.3,3.2,1.5,0.8,0.2,dudleja01
17,Kevin Durant,Oct 31 '07 SEA @ DEN,19,16,1040,38188,9742,19468,1980,5119,6928,7834,707,7319,4566,1103,1176,3299,1999,28392,.500,.387,.884,36.7,27.3,7.0,4.4,1.1,1.1,duranke01
18,Nick Fazekas,Nov 3 '07 DAL vs. SAC,22,1,26,269,46,82,0,2,15,22,34,89,11,8,11,13,25,107,.561,.000,.682,10.3,4.1,3.4,0.4,0.3,0.4,fazekni01
19,Kyrylo Fesenko,Nov 30 '07 UTA vs. LAL,21,5,135,1107,125,252,0,2,55,134,97,269,40,19,53,66,224,305,.496,.000,.410,8.2,2.3,2.0,0.3,0.1,0.4,fesenky01
20,Thomas Gardner,Nov 15 '07 CHI @ PHO,22,2,20,143,18,59,7,35,2,6,3,11,3,4,1,7,8,45,.305,.200,.333,7.2,2.3,0.6,0.2,0.2,0.1,gardnth01
21,Marcin Gortat,Mar 1 '08 ORL vs. NYK,23,12,806,20691,3401,6168,3,20,1146,1686,1759,6407,915,383,885,958,1775,7951,.551,.150,.680,25.7,9.9,7.9,1.1,0.5,1.1,gortama01
22,Aaron Gray,Nov 2 '07 CHI vs. PHI,23,7,318,3851,440,864,0,3,186,331,431,1190,207,94,87,265,678,1066,.509,.000,.562,12.1,3.4,3.7,0.7,0.3,0.3,grayaa01
23,Jeff Green,Oct 31 '07 SEA @ DEN,21,16,1165,32514,5088,11311,1146,3405,2761,3436,980,4770,1744,747,581,1567,2452,14083,.450,.337,.804,27.9,12.1,4.1,1.5,0.6,0.5,greenje02
24,Taurean Green,Nov 2 '07 POR @ NOH,21,1,17,74,7,25,2,11,11,12,0,10,11,2,0,9,5,27,.280,.182,.917,4.4,1.6,0.6,0.6,0.1,0.0,greenta01
25,Mike Harris,Mar 10 '08 HOU vs. NJN,24,4,54,496,70,151,0,5,43,55,51,116,12,27,12,30,68,183,.464,.000,.782,9.2,3.4,2.1,0.2,0.5,0.2,harrimi01
26,Spencer Hawes,Nov 10 '07 SAC vs. MIN,19,10,684,15541,2451,5363,359,1026,671,937,991,3893,1271,264,652,971,1709,5932,.457,.350,.716,22.7,8.7,5.7,1.9,0.4,1.0,hawessp01
27,Al Horford,Nov 2 '07 ATL vs. DAL,21,17,1063,33861,5804,11324,831,2207,1562,2056,2070,8492,3470,819,1238,1510,2316,14001,.513,.377,.760,31.9,13.2,8.0,3.3,0.8,1.2,horfoal01
28,Yi Jianlian,Oct 31 '07 MIL @ ORL,20,5,272,6038,813,2012,75,225,447,573,379,1339,192,136,184,302,618,2148,.404,.333,.780,22.2,7.9,4.9,0.7,0.5,0.7,jianlyi01
29,Coby Karl,Oct 30 '07 LAL vs. HOU,24,2,24,184,20,58,6,24,12,16,7,32,24,7,3,15,18,58,.345,.250,.750,7.7,2.4,1.3,1.0,0.3,0.1,karlco01
30,Carl Landry,Nov 24 '07 HOU vs. DEN,24,9,513,11524,2086,3898,9,30,1360,1732,994,2533,355,216,203,603,1208,5541,.535,.300,.785,22.5,10.8,4.9,0.7,0.4,0.4,landrca01
31,Keith Langford,Dec 28 '07 SAS vs. TOR,24,1,2,10,1,4,0,0,0,0,0,2,0,0,0,0,1,2,.250,,,5.0,1.0,1.0,0.0,0.0,0.0,langfke01
32,Stéphane Lasme,Nov 8 '07 GSW vs. DAL,25,1,16,303,32,71,0,0,19,32,26,53,3,13,22,15,35,83,.451,,.594,18.9,5.2,3.3,0.2,0.8,1.4,lasmest01
33,Acie Law,Nov 2 '07 ATL vs. DAL,23,4,188,2385,263,637,27,115,172,221,33,195,309,83,4,145,193,725,.413,.235,.778,12.7,3.9,1.0,1.6,0.4,0.0,lawac01
34,Ian Mahinmi,Oct 30 '07 SAS vs. POR,21,12,618,10353,1201,2254,8,50,799,1305,937,2705,357,357,443,601,1635,3209,.533,.160,.612,16.8,5.2,4.4,0.6,0.6,0.7,mahinia01
35,Dominic McGuire,Oct 31 '07 WAS @ IND,22,6,342,5348,388,927,3,16,160,243,344,1169,422,154,184,242,501,939,.419,.188,.658,15.6,2.7,3.4,1.2,0.5,0.5,mcguido01
36,Josh McRoberts,Nov 19 '07 POR @ CHA,20,11,433,8271,914,1972,196,576,309,438,468,1686,901,222,194,381,817,2333,.463,.340,.705,19.1,5.4,3.9,2.1,0.5,0.4,mcrobjo01
37,Jamario Moon,Nov 6 '07 TOR @ MIL,27,5,286,6451,723,1568,177,538,184,229,201,1227,291,229,236,147,424,1807,.461,.329,.803,22.6,6.3,4.3,1.0,0.8,0.8,moonja01
38,Juan Carlos Navarro,Oct 31 '07 MEM vs. SAS,27,1,82,2117,308,766,156,432,124,146,34,210,177,48,1,134,94,896,.402,.361,.849,25.8,10.9,2.6,2.2,0.6,0.0,navarju01
39,Demetris Nichols,Nov 28 '07 CLE @ DET,23,2,18,58,9,32,3,15,1,2,0,7,2,0,4,4,5,22,.281,.200,.500,3.2,1.2,0.4,0.1,0.0,0.2,nichode01
40,Joakim Noah,Nov 6 '07 CHI vs. LAC,22,13,672,18646,2248,4574,0,16,1385,1979,2141,6058,1907,534,874,1133,1874,5881,.491,.000,.700,27.7,8.8,9.0,2.8,0.8,1.3,noahjo01
41,Oleksiy Pecherov,Jan 11 '08 WAS @ ATL,22,3,111,1044,160,414,45,155,73,92,88,266,20,21,22,59,119,438,.386,.290,.793,9.4,3.9,2.4,0.2,0.2,0.2,pecheol01
42,Kosta Perović,Jan 19 '08 GSW @ MIL,22,1,7,38,3,10,0,0,4,6,6,13,1,0,2,1,6,10,.300,,.667,5.4,1.4,1.9,0.1,0.0,0.3,perovko01
43,Kasib Powell,Mar 22 '08 MIA @ CHA,26,1,11,304,35,95,8,33,6,9,8,44,18,9,2,5,18,84,.368,.242,.667,27.6,7.6,4.0,1.6,0.8,0.2,powelka01
44,Gabe Pruitt,Nov 9 '07 BOS vs. ATL,21,2,62,461,45,140,17,60,18,23,10,51,52,20,3,24,44,125,.321,.283,.783,7.4,2.0,0.8,0.8,0.3,0.0,pruitga01
45,Chris Richard,Nov 6 '07 MIN vs. ORL,23,2,70,780,56,116,0,0,23,38,71,194,25,18,16,38,133,135,.483,,.605,11.1,1.9,2.8,0.4,0.3,0.2,richach01
46,Cheikh Samb,Nov 16 '07 DET @ LAL,23,2,22,114,9,36,0,3,4,9,13,31,1,4,12,4,15,22,.250,.000,.444,5.2,1.0,1.4,0.0,0.2,0.5,sambch01
47,Luis Scola,Oct 30 '07 HOU @ LAL,27,10,743,19001,3669,7442,92,271,1452,1961,1335,4941,1194,474,224,1121,2037,8882,.493,.339,.740,25.6,12.0,6.7,1.6,0.6,0.3,scolalu01
48,Ramon Sessions,Mar 9 '08 MIL vs. PHI,21,11,691,16119,2406,5539,208,658,2121,2681,339,1840,2807,472,52,1173,942,7141,.434,.316,.791,23.3,10.3,2.7,4.1,0.7,0.1,sessira01
49,Courtney Sims,Oct 31 '07 IND vs. WAS,24,2,5,24,3,7,0,0,0,0,3,6,1,0,0,1,3,6,.429,,,4.8,1.2,1.2,0.2,0.0,0.0,simsco01
50,Jason Smith,Oct 31 '07 PHI @ TOR,21,11,616,10029,1572,3360,84,252,549,701,656,2075,453,208,408,507,1337,3777,.468,.333,.783,16.3,6.1,3.4,0.7,0.3,0.7,smithja02
51,D.J. Strawberry,Nov 2 '07 PHO vs. LAL,22,1,33,270,29,92,6,25,9,19,9,28,30,12,6,11,36,73,.315,.240,.474,8.2,2.2,0.8,0.9,0.4,0.2,strawdj01
52,Rodney Stuckey,Dec 21 '07 DET vs. MEM,21,10,651,17890,2904,6870,276,921,2101,2551,419,1912,2333,568,94,1181,1346,8185,.423,.300,.824,27.5,12.6,2.9,3.6,0.9,0.1,stuckro01
53,Al Thornton,Nov 2 '07 LAC vs. GSW,24,4,296,8274,1368,3029,78,266,713,954,392,1233,353,185,152,424,771,3527,.452,.293,.747,28.0,11.9,4.2,1.2,0.6,0.5,thornal01
54,Alando Tucker,Nov 6 '07 PHO @ CHA,23,3,51,426,77,182,10,34,47,60,29,49,16,5,2,19,22,211,.423,.294,.783,8.4,4.1,1.0,0.3,0.1,0.0,tuckeal02
55,Darius Washington,Oct 30 '07 SAS vs. POR,22,1,18,146,21,48,4,12,7,13,4,20,15,5,0,14,16,53,.438,.333,.538,8.1,2.9,1.1,0.8,0.3,0.0,washida01
56,Darryl Watkins,Oct 31 '07 SAC @ NOH,23,2,14,169,12,29,0,0,11,23,13,39,3,7,6,15,22,35,.414,,.478,12.1,2.5,2.8,0.2,0.5,0.4,watkida01
57,C.J. Watson,Jan 9 '08 GSW @ POR,23,10,600,12093,1516,3617,471,1263,841,1036,218,1156,1485,559,67,650,894,4344,.419,.373,.812,20.2,7.2,1.9,2.5,0.9,0.1,watsocj01
58,Mario West,Nov 2 '07 ATL vs. DAL,23,4,162,796,56,125,2,10,40,71,60,142,51,45,8,31,134,154,.448,.200,.563,4.9,1.0,0.9,0.3,0.3,0.0,westma02
59,Marcus Williams,Dec 26 '07 SAS vs. CHI,21,2,13,39,7,22,0,0,0,0,4,12,3,1,1,0,4,14,.318,,,3.0,1.1,0.9,0.2,0.1,0.1,willima04
60,Sean Williams,Nov 2 '07 NJN vs. TOR,21,4,137,1978,229,448,0,1,123,197,183,472,47,47,162,120,324,581,.511,.000,.624,14.4,4.2,3.4,0.3,0.3,1.2,willise01
