,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Precious Achiuwa,Dec 23 '20 MIA @ ORL,21,4,243,4815,767,1602,106,346,274,451,465,1362,233,123,145,246,448,1914,.479,.306,.608,19.8,7.9,5.6,1.0,0.5,0.6,achiupr01
2,Ty-Shon Alexander,Dec 27 '20 PHO @ SAC,22,1,15,47,3,12,2,9,1,2,2,10,6,0,1,3,2,9,.250,.222,.500,3.1,0.6,0.7,0.4,0.0,0.1,alexaty01
3,Cole Anthony,Dec 23 '20 ORL vs. MIA,20,4,232,6259,1098,2641,328,962,629,737,168,1098,982,163,92,468,576,3153,.416,.341,.853,27.0,13.6,4.7,4.2,0.7,0.4,anthoco01
4,Deni Avdija,Dec 23 '20 WAS @ PHI,20,4,270,6914,925,2049,272,828,395,534,211,1563,659,202,112,363,684,2517,.451,.329,.740,25.6,9.3,5.8,2.4,0.7,0.4,avdijde01
5,Udoka Azubuike,Dec 23 '20 UTA @ POR,21,4,82,718,116,152,0,0,24,52,64,235,14,9,36,37,85,256,.763,,.462,8.8,3.1,2.9,0.2,0.1,0.4,azubuud01
6,LaMelo Ball,Dec 23 '20 CHO @ CLE,19,4,184,5870,1310,3070,526,1406,529,634,242,1147,1364,286,63,602,570,3675,.427,.374,.834,31.9,20.0,6.2,7.4,1.6,0.3,ballla01
7,Desmond Bane,Dec 23 '20 MEM vs. SAS,22,4,239,6903,1522,3235,634,1521,482,549,154,1004,776,227,87,395,577,4160,.470,.417,.878,28.9,17.4,4.2,3.2,0.9,0.4,banede01
8,Saddiq Bey,Dec 26 '20 DET vs. CLE,21,4,288,8663,1354,3308,643,1818,695,824,403,1501,532,243,51,275,446,4046,.409,.354,.843,30.1,14.0,5.2,1.8,0.8,0.2,beysa01
9,Tyler Bey,Jan 13 '21 DAL @ CHO,22,1,18,71,7,22,1,4,3,5,8,19,3,0,1,3,6,18,.318,.250,.600,3.9,1.0,1.1,0.2,0.0,0.1,beyty01
10,Keljin Blevins,Dec 23 '20 POR vs. UTA,25,2,48,424,39,131,23,80,6,11,19,55,23,15,1,22,37,107,.298,.288,.545,8.8,2.2,1.1,0.5,0.3,0.0,blevike01
11,Amida Brimah,Apr 25 '21 IND @ ORL,26,1,5,29,5,8,0,0,3,3,2,8,1,0,5,4,4,13,.625,,1.000,5.8,2.6,1.6,0.2,0.0,1.0,brimaam01
12,Armoni Brooks,Apr 9 '21 HOU @ LAC,22,3,84,1468,191,527,145,438,26,35,37,189,97,41,17,52,111,553,.362,.331,.743,17.5,6.6,2.3,1.2,0.5,0.2,brookar01
13,Elijah Bryant,May 16 '21 MIL @ CHI,25,1,1,32,6,13,1,5,3,3,2,6,3,0,1,4,4,16,.462,.200,1.000,32.0,16.0,6.0,3.0,0.0,1.0,bryanel01
14,Facundo Campazzo,Dec 23 '20 DEN vs. SAC,29,3,138,2661,230,624,137,420,141,171,45,253,461,148,37,143,259,738,.369,.326,.825,19.3,5.3,1.8,3.3,1.1,0.3,campafa01
15,Devin Cannady,Apr 7 '21 ORL vs. WAS,24,2,13,219,26,72,21,53,11,14,1,11,11,10,4,7,18,84,.361,.396,.786,16.8,6.5,0.8,0.8,0.8,0.3,cannade01
16,Vernon Carey Jr.,Dec 30 '20 CHO @ DAL,19,3,37,187,27,57,1,7,17,26,17,50,5,5,8,10,22,72,.474,.143,.654,5.1,1.9,1.4,0.1,0.1,0.2,careyve01
17,Nate Darling,Mar 13 '21 CHO vs. TOR,22,1,7,26,2,7,2,7,3,3,1,1,1,0,1,1,1,9,.286,.286,1.000,3.7,1.3,0.1,0.1,0.0,0.1,darlina01
18,Gabriel Deck,Apr 29 '21 OKC vs. NOP,25,2,17,268,40,81,4,19,18,22,17,46,29,9,0,8,11,102,.494,.211,.818,15.8,6.0,2.7,1.7,0.5,0.0,deckga01
19,Mamadi Diakite,Mar 11 '21 MIL vs. NYK,24,4,52,521,69,142,8,34,23,33,34,126,20,16,25,22,76,169,.486,.235,.697,10.0,3.3,2.4,0.4,0.3,0.5,diakima01
20,Devon Dotson,Jan 1 '21 CHI @ MIL,21,3,28,188,23,54,4,20,5,9,9,24,30,10,0,8,23,55,.426,.200,.556,6.7,2.0,0.9,1.1,0.4,0.0,dotsode01
21,Anthony Edwards,Dec 23 '20 MIN vs. DET,19,4,282,9679,2294,5143,748,2094,1076,1361,199,1444,1136,386,170,795,589,6412,.446,.357,.791,34.3,22.7,5.1,4.0,1.4,0.6,edwaran01
22,CJ Elleby,Dec 23 '20 POR vs. UTA,20,2,88,1366,146,374,44,160,71,99,77,259,97,41,22,61,143,407,.390,.275,.717,15.5,4.6,2.9,1.1,0.5,0.3,ellebcj01
23,Malik Fitts,Apr 9 '21 LAC vs. HOU,23,2,18,74,9,22,6,12,0,0,2,20,5,0,0,2,7,24,.409,.500,,4.1,1.3,1.1,0.3,0.0,0.0,fittsma01
24,Malachi Flynn,Dec 23 '20 TOR vs. NOP,22,4,196,2757,362,957,167,497,113,150,48,335,365,101,21,122,228,1004,.378,.336,.753,14.1,5.1,1.7,1.9,0.5,0.1,flynnma01
25,Trent Forrest,Jan 5 '21 UTA @ BRK,22,4,135,1561,148,334,12,62,67,80,44,206,233,53,13,95,100,375,.443,.194,.838,11.6,2.8,1.5,1.7,0.4,0.1,forretr01
26,Robert Franks,Apr 12 '21 ORL vs. SAS,24,1,7,101,13,28,5,15,12,13,6,14,5,3,3,2,8,43,.464,.333,.923,14.4,6.1,2.0,0.7,0.4,0.4,frankro01
27,Anthony Gill,Dec 29 '20 WAS vs. CHI,28,4,161,1478,186,351,28,92,119,155,100,274,86,29,33,56,167,519,.530,.304,.768,9.2,3.2,1.7,0.5,0.2,0.2,gillan01
28,Freddie Gillespie,Apr 10 '21 TOR @ CLE,23,2,29,511,53,106,0,1,26,40,55,133,14,16,29,17,61,132,.500,.000,.650,17.6,4.6,4.6,0.5,0.6,1.0,gillefr01
29,Josh Green,Dec 23 '20 DAL @ PHO,20,4,214,4337,538,1060,169,440,145,212,169,583,328,144,29,186,401,1390,.508,.384,.684,20.3,6.5,2.7,1.5,0.7,0.1,greenjo02
30,Ashton Hagans,Jan 25 '21 MIN @ GSW,21,2,12,165,14,34,2,8,7,9,5,21,26,7,6,16,24,37,.412,.250,.778,13.8,3.1,1.8,2.2,0.6,0.5,haganas01
31,Tyrese Haliburton,Dec 23 '20 SAC @ DEN,20,4,240,7890,1500,3132,588,1468,525,614,162,874,2078,355,134,544,318,4113,.479,.401,.855,32.9,17.1,3.6,8.7,1.5,0.6,halibty01
32,Josh Hall,Dec 29 '20 OKC vs. ORL,20,1,21,336,30,99,4,37,22,44,6,59,28,4,1,25,37,86,.303,.108,.500,16.0,4.1,2.8,1.3,0.2,0.0,halljo01
33,R.J. Hampton,Dec 28 '20 DEN vs. HOU,19,4,170,3116,417,1021,133,394,188,277,72,466,307,90,32,185,221,1155,.408,.338,.679,18.3,6.8,2.7,1.8,0.5,0.2,hamptrj01
34,Jalen Harris,Jan 8 '21 TOR @ SAC,22,1,13,172,36,72,17,36,7,9,3,18,17,8,0,14,15,96,.500,.472,.778,13.2,7.4,1.4,1.3,0.6,0.0,harrija01
35,Killian Hayes,Dec 23 '20 DET @ MIN,19,4,210,5479,671,1758,166,599,196,253,81,619,1090,245,93,418,534,1704,.382,.277,.775,26.1,8.1,2.9,5.2,1.2,0.4,hayeski01
36,Nate Hinton,Jan 3 '21 DAL @ CHI,21,3,34,153,25,63,11,30,11,15,4,21,14,9,4,8,18,72,.397,.367,.733,4.5,2.1,0.6,0.4,0.3,0.1,hintona01
37,Markus Howard,Dec 25 '20 DEN vs. LAC,21,2,68,381,79,207,46,135,27,32,3,33,25,13,1,25,40,231,.382,.341,.844,5.6,3.4,0.5,0.4,0.2,0.0,howarma02
38,Elijah Hughes,Dec 23 '20 UTA @ POR,22,2,54,498,57,174,33,118,10,13,7,67,28,15,9,23,40,157,.328,.280,.769,9.2,2.9,1.2,0.5,0.3,0.2,hugheel01
39,Isaiah Joe,Dec 27 '20 PHI @ CLE,21,4,226,3439,498,1171,354,895,163,195,61,397,206,108,31,104,251,1513,.425,.396,.836,15.2,6.7,1.8,0.9,0.5,0.1,joeis01
40,Mason Jones,Jan 8 '21 HOU vs. ORL,22,3,37,398,59,141,25,72,53,81,9,69,50,9,1,30,32,196,.418,.347,.654,10.8,5.3,1.9,1.4,0.2,0.0,jonesma05
41,Tre Jones,Dec 30 '20 SAS vs. LAL,21,4,230,4880,757,1578,99,342,313,370,131,604,1048,193,23,250,257,1926,.480,.289,.846,21.2,8.4,2.6,4.6,0.8,0.1,jonestr01
42,Nathan Knight,Dec 23 '20 ATL @ CHI,23,3,108,837,128,269,18,68,127,172,81,213,43,26,24,54,105,401,.476,.265,.738,7.8,3.7,2.0,0.4,0.2,0.2,knighna01
43,Anthony Lamb,Mar 11 '21 HOU @ SAC,23,3,88,1618,194,434,96,272,64,81,83,286,121,34,25,73,168,548,.447,.353,.790,18.4,6.2,3.3,1.4,0.4,0.3,lamban01
44,Saben Lee,Jan 6 '21 DET @ MIL,21,4,128,1903,234,550,35,126,185,252,58,255,371,94,29,122,162,688,.425,.278,.734,14.9,5.4,2.0,2.9,0.7,0.2,leesa01
45,Kira Lewis Jr.,Dec 29 '20 NOP @ PHO,19,4,122,1633,246,625,70,233,82,96,31,158,217,65,14,78,138,644,.394,.300,.854,13.4,5.3,1.3,1.8,0.5,0.1,lewiski01
46,Didi Louzada,May 12 '21 NOP @ DAL,21,2,12,185,15,46,11,31,2,2,6,20,8,4,2,8,18,43,.326,.355,1.000,15.4,3.6,1.7,0.7,0.3,0.2,louzama01
47,Will Magnay,Mar 23 '21 NOP vs. LAL,22,1,1,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,.000,.000,,3.0,0.0,0.0,0.0,0.0,0.0,magnawi01
48,Théo Maledon,Dec 26 '20 OKC @ CHO,19,4,177,3753,467,1255,182,588,257,324,63,489,518,131,34,283,275,1373,.372,.310,.793,21.2,7.8,2.8,2.9,0.7,0.2,maledth01
49,Karim Mané,Dec 31 '20 ORL vs. PHI,20,1,10,88,3,13,1,2,4,5,1,14,4,0,2,3,10,11,.231,.500,.800,8.8,1.1,1.4,0.4,0.0,0.2,maneka01
50,Nico Mannion,Jan 4 '21 GSW vs. SAC,19,1,30,364,39,114,22,60,23,28,6,46,70,16,1,31,29,123,.342,.367,.821,12.1,4.1,1.5,2.3,0.5,0.0,mannini01
51,Naji Marshall,Jan 15 '21 NOP @ LAL,23,4,213,4152,557,1315,156,514,327,422,145,741,437,148,42,234,310,1597,.424,.304,.775,19.5,7.5,3.5,2.1,0.7,0.2,marshna01
52,KJ Martin,Jan 8 '21 HOU vs. ORL,20,4,249,5504,916,1679,168,500,303,458,297,1068,303,122,117,210,411,2303,.546,.336,.662,22.1,9.2,4.3,1.2,0.5,0.5,martike04
53,Dakota Mathias,Dec 27 '20 PHI @ CLE,25,2,14,139,21,54,10,32,2,6,1,9,14,2,3,1,8,54,.389,.313,.333,9.9,3.9,0.6,1.0,0.1,0.2,mathida01
54,Tyrese Maxey,Dec 23 '20 PHI vs. WAS,20,4,251,7657,1617,3445,491,1226,723,838,91,726,998,186,80,303,488,4448,.469,.400,.863,30.5,17.7,2.9,4.0,0.7,0.3,maxeyty01
55,Skylar Mays,Dec 23 '20 ATL @ CHI,23,4,98,1097,172,386,50,145,55,64,27,121,180,44,7,48,60,449,.446,.345,.859,11.2,4.6,1.2,1.8,0.4,0.1,mayssk01
56,Jaden McDaniels,Dec 27 '20 MIN @ LAL,20,4,264,7240,1010,2075,323,897,228,311,259,975,368,206,220,300,828,2571,.487,.360,.733,27.4,9.7,3.7,1.4,0.8,0.8,mcdanja02
57,Sean McDermott,Dec 30 '20 MEM @ BOS,24,1,18,158,13,33,5,22,8,8,6,19,4,2,3,4,8,39,.394,.227,1.000,8.8,2.2,1.1,0.2,0.1,0.2,mcderse01
58,Sam Merrill,Dec 23 '20 MIL @ BOS,24,4,83,1012,163,377,133,315,19,22,24,125,94,26,2,24,69,478,.432,.422,.864,12.2,5.8,1.5,1.1,0.3,0.0,merrisa01
59,Aaron Nesmith,Dec 25 '20 BOS vs. BRK,21,4,224,4488,641,1415,296,783,231,294,153,695,220,145,82,181,566,1809,.453,.378,.786,20.0,8.1,3.1,1.0,0.6,0.4,nesmiaa01
60,Zeke Nnaji,Dec 28 '20 DEN vs. HOU,20,4,182,2273,311,612,83,224,130,195,189,450,71,53,71,88,279,835,.508,.371,.667,12.5,4.6,2.5,0.4,0.3,0.4,nnajize01
61,Jordan Nwora,Dec 25 '20 MIL vs. GSW,22,4,186,2992,504,1184,214,564,151,186,111,574,188,77,41,167,209,1373,.426,.379,.812,16.1,7.4,3.1,1.0,0.4,0.2,nworajo01
62,Chuma Okeke,Dec 23 '20 ORL vs. MIA,22,4,178,3791,432,1122,216,672,103,131,133,697,274,172,82,124,202,1183,.385,.321,.786,21.3,6.6,3.9,1.5,1.0,0.5,okekech01
63,Onyeka Okongwu,Jan 15 '21 ATL @ UTA,20,4,231,4809,783,1223,26,81,361,478,537,1391,223,133,259,199,658,1953,.640,.321,.755,20.8,8.5,6.0,1.0,0.6,1.1,okongon01
64,Isaac Okoro,Dec 23 '20 CLE vs. CHO,20,4,261,7145,792,1693,239,692,382,518,247,747,440,218,101,226,606,2205,.468,.345,.737,27.4,8.4,2.9,1.7,0.8,0.4,okorois01
65,Cameron Oliver,May 10 '21 HOU @ POR,24,2,6,130,29,48,5,16,3,7,7,27,8,3,5,3,16,66,.604,.313,.429,21.7,11.0,4.5,1.3,0.5,0.8,oliveca01
66,Daniel Oturu,Dec 25 '20 LAC @ DEN,21,2,33,188,25,58,1,6,12,17,22,53,10,4,9,9,25,63,.431,.167,.706,5.7,1.9,1.6,0.3,0.1,0.3,oturuda01
67,Reggie Perry,Dec 22 '20 BRK vs. GSW,20,2,36,398,72,157,7,37,19,28,42,120,26,15,12,26,73,170,.459,.189,.679,11.1,4.7,3.3,0.7,0.4,0.3,perryre01
68,Aleksej Pokusevski,Dec 26 '20 OKC @ CHO,19,4,150,3084,437,1129,155,519,90,131,150,699,297,80,124,239,209,1119,.387,.299,.687,20.6,7.5,4.7,2.0,0.5,0.8,pokusal01
69,Jontay Porter,Mar 15 '21 MEM @ PHO,21,2,29,282,34,86,15,46,14,17,21,69,33,15,12,18,41,97,.395,.326,.824,9.7,3.3,2.4,1.1,0.5,0.4,portejo01
70,Payton Pritchard,Dec 23 '20 BOS vs. MIL,23,4,245,4144,623,1438,362,916,103,119,142,569,487,103,22,173,279,1711,.433,.395,.866,16.9,7.0,2.3,2.0,0.4,0.1,pritcpa01
71,Immanuel Quickley,Dec 23 '20 NYK @ IND,21,4,279,6964,1239,2948,563,1498,684,797,127,913,912,201,37,327,540,3725,.420,.376,.858,25.0,13.4,3.3,3.3,0.7,0.1,quickim01
72,Jahmi'us Ramsey,Dec 27 '20 SAC vs. PHO,19,2,32,228,39,96,10,37,12,19,6,23,13,5,2,8,18,100,.406,.270,.632,7.1,3.1,0.7,0.4,0.2,0.1,ramseja01
73,Paul Reed,Jan 4 '21 PHI vs. CHO,21,4,193,2334,397,705,16,56,84,121,318,750,129,129,129,110,353,894,.563,.286,.694,12.1,4.6,3.9,0.7,0.7,0.7,reedpa01
74,Nick Richards,Dec 30 '20 CHO @ DAL,23,4,184,2978,461,701,1,3,285,389,321,922,96,38,157,141,348,1208,.658,.333,.733,16.2,6.6,5.0,0.5,0.2,0.9,richani01
75,Grant Riller,Apr 4 '21 CHO @ BOS,23,1,7,27,8,12,2,4,0,0,0,1,3,1,0,1,0,18,.667,.500,,3.9,2.6,0.1,0.4,0.1,0.0,rillegr01
76,Jay Scrubb,May 11 '21 LAC @ TOR,20,3,24,235,37,89,10,32,13,17,4,36,10,10,3,17,16,97,.416,.313,.765,9.8,4.0,1.5,0.4,0.4,0.1,scrubja01
77,Deividas Sirvydis,Jan 6 '21 DET @ MIL,20,2,23,160,15,50,11,35,3,6,0,35,6,5,1,5,13,44,.300,.314,.500,7.0,1.9,1.5,0.3,0.2,0.0,sirvyde01
78,Jalen Smith,Dec 23 '20 PHO vs. DAL,20,4,189,3120,614,1192,144,434,235,313,308,978,138,48,133,157,358,1607,.515,.332,.751,16.5,8.5,5.2,0.7,0.3,0.7,smithja04
79,Cassius Stanley,Dec 26 '20 IND @ CHI,21,2,33,248,32,89,7,30,17,19,13,39,5,6,4,7,31,88,.360,.233,.895,7.5,2.7,1.2,0.2,0.2,0.1,stanlca01
80,Lamar Stevens,Dec 27 '20 CLE vs. PHI,23,4,193,2942,413,875,60,204,148,210,142,543,118,86,64,109,270,1034,.472,.294,.705,15.2,5.4,2.8,0.6,0.4,0.3,stevela01
81,Isaiah Stewart,Dec 28 '20 DET @ ATL,19,4,227,5849,827,1670,159,461,303,419,566,1733,277,94,230,278,619,2116,.495,.345,.723,25.8,9.3,7.6,1.2,0.4,1.0,stewais01
82,Jae'Sean Tate,Dec 26 '20 HOU @ POR,25,4,232,5681,882,1781,157,512,304,432,361,1086,541,216,94,310,736,2225,.495,.307,.704,24.5,9.6,4.7,2.3,0.9,0.4,tateja01
83,Tyrell Terry,Dec 25 '20 DAL @ LAL,20,2,13,59,6,17,0,7,1,3,0,6,6,5,0,2,3,13,.353,.000,.333,4.5,1.0,0.5,0.5,0.4,0.0,terryty01
84,Brodric Thomas,Dec 26 '20 HOU @ POR,24,2,44,459,47,126,18,68,34,51,10,63,41,16,11,28,47,146,.373,.265,.667,10.4,3.3,1.4,0.9,0.4,0.3,thomabr01
85,Killian Tillie,Feb 28 '21 MEM @ HOU,22,2,54,643,62,184,37,119,14,19,27,84,30,28,23,15,78,175,.337,.311,.737,11.9,3.2,1.6,0.6,0.5,0.4,tilliki02
86,Xavier Tillman Sr.,Jan 3 '21 MEM vs. LAL,22,4,210,3702,546,1042,49,184,149,258,317,886,292,194,114,152,339,1290,.524,.266,.578,17.6,6.1,4.2,1.4,0.9,0.5,tillmxa01
87,Obi Toppin,Dec 23 '20 NYK @ IND,22,4,263,4331,794,1551,241,697,210,276,190,832,268,98,91,170,337,2039,.512,.346,.761,16.5,7.8,3.2,1.0,0.4,0.3,toppiob01
88,Devin Vassell,Dec 23 '20 SAS @ MEM,20,4,227,5969,1111,2518,432,1170,340,422,101,843,546,221,96,222,345,2994,.441,.369,.806,26.3,13.2,3.7,2.4,1.0,0.4,vassede01
89,Greg Whittington,Feb 27 '21 DEN @ OKC,27,1,4,12,0,3,0,2,0,0,0,0,0,0,0,0,0,0,.000,.000,,3.0,0.0,0.0,0.0,0.0,0.0,whittgr01
90,Patrick Williams,Dec 23 '20 CHI vs. ATL,19,4,213,5902,782,1666,243,592,263,337,207,889,280,185,158,272,388,2070,.469,.410,.780,27.7,9.7,4.2,1.3,0.9,0.7,willipa01
91,Dylan Windler,Dec 23 '20 CLE vs. CHO,24,4,95,1017,101,242,53,159,36,45,41,200,75,34,15,49,87,291,.417,.333,.800,10.7,3.1,2.1,0.8,0.4,0.2,windldy01
92,Cassius Winston,Jan 11 '21 WAS vs. PHO,22,2,29,137,18,44,10,23,9,10,0,10,19,2,1,8,17,55,.409,.435,.900,4.7,1.9,0.3,0.7,0.1,0.0,winstca01
93,James Wiseman,Dec 22 '20 GSW @ BRK,19,3,125,2291,484,865,16,60,153,234,189,662,83,25,87,144,316,1137,.560,.267,.654,18.3,9.1,5.3,0.7,0.2,0.7,wisemja01
94,Robert Woodard II,Dec 27 '20 SAC vs. PHO,21,2,25,87,10,36,2,10,5,10,9,27,5,1,4,2,7,27,.278,.200,.500,3.5,1.1,1.1,0.2,0.0,0.2,woodaro01
