,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Álex Abrines,Oct 26 '16 OKC @ PHI,23,3,174,2777,305,789,219,595,95,108,49,248,88,92,22,72,291,924,.387,.368,.880,16.0,5.3,1.4,0.5,0.5,0.1,abrinal01
2,Ron Baker,Oct 25 '16 NYK @ CLE,23,3,96,1394,106,296,35,132,53,75,18,139,169,66,15,79,125,300,.358,.265,.707,14.5,3.1,1.4,1.8,0.7,0.2,bakerro01
3,Wade Baldwin,Oct 26 '16 MEM vs. MIN,20,3,56,579,60,169,9,36,45,58,14,69,78,21,10,57,63,174,.355,.250,.776,10.3,3.1,1.2,1.4,0.4,0.2,baldwwa01
4,Malik Beasley,Nov 5 '16 DEN @ DET,20,8,477,10889,1894,4440,1085,2803,324,407,198,1340,627,306,59,378,621,5197,.427,.387,.796,22.8,10.9,2.8,1.3,0.6,0.1,beaslma01
5,DeAndre' Bembry,Oct 27 '16 ATL vs. WAS,22,6,296,5670,720,1519,106,375,204,334,185,950,533,291,120,367,533,1750,.474,.283,.611,19.2,5.9,3.2,1.8,1.0,0.4,bembrde01
6,Dragan Bender,Oct 26 '16 PHO vs. SAC,19,4,187,3755,373,934,183,567,85,130,113,720,237,54,106,202,372,1014,.399,.323,.654,20.1,5.4,3.9,1.3,0.3,0.6,bendedr01
7,Ben Bentil,Mar 1 '17 DAL @ ATL,21,1,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,.000,.000,,3.3,0.0,0.7,0.0,0.0,0.0,bentibe01
8,Dāvis Bertāns,Oct 25 '16 SAS @ GSW,24,8,455,8081,1128,2654,841,2106,390,453,140,1115,426,185,160,234,735,3487,.425,.399,.861,17.8,7.7,2.5,0.9,0.4,0.4,bertada01
9,Joel Bolomboy,Oct 30 '16 UTA @ LAC,23,2,18,91,12,22,1,5,6,12,10,27,2,3,2,4,4,31,.545,.200,.500,5.1,1.7,1.5,0.1,0.2,0.1,bolomjo01
10,Malcolm Brogdon,Oct 26 '16 MIL vs. CHO,24,8,439,12917,2497,5381,736,1884,1042,1193,342,1826,2058,357,103,751,816,6772,.464,.391,.873,29.4,15.4,4.2,4.7,0.8,0.2,brogdma01
11,Jaylen Brown,Oct 26 '16 BOS vs. BRK,20,8,525,15790,3632,7570,994,2732,1405,1945,498,2755,1258,515,201,1080,1325,9663,.480,.364,.722,30.1,18.4,5.2,2.4,1.0,0.4,brownja02
12,Nicolás Brussino,Oct 26 '16 DAL @ IND,23,2,58,531,52,143,29,97,17,22,26,98,47,17,8,26,43,150,.364,.299,.773,9.2,2.6,1.7,0.8,0.3,0.1,brussni01
13,Marquese Chriss,Oct 26 '16 PHO vs. SAC,19,6,292,5338,830,1822,161,555,385,577,362,1366,298,187,227,348,738,2206,.456,.290,.667,18.3,7.6,4.7,1.0,0.6,0.8,chrisma01
14,Semaj Christon,Oct 26 '16 OKC @ PHI,24,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,.345,.190,.548,15.2,2.9,1.4,2.0,0.4,0.1,chrisse01
15,Quinn Cook,Feb 27 '17 DAL vs. MIA,23,5,188,2652,479,1039,180,441,62,78,46,314,298,52,7,135,201,1200,.461,.408,.795,14.1,6.4,1.7,1.6,0.3,0.0,cookqu01
16,Deyonta Davis,Oct 26 '16 MEM vs. MIN,20,3,107,1299,200,334,0,1,54,85,105,346,47,21,61,43,177,454,.599,.000,.635,12.1,4.2,3.2,0.4,0.2,0.6,davisde01
17,Malcolm Delaney,Oct 27 '16 ATL vs. WAS,27,2,127,2262,254,673,72,234,149,185,19,223,356,74,7,161,194,729,.377,.308,.805,17.8,5.7,1.8,2.8,0.6,0.1,delanma01
18,Cheick Diallo,Oct 29 '16 NOP @ SAS,20,5,183,2186,401,673,2,7,154,199,179,759,78,56,73,117,273,958,.596,.286,.774,11.9,5.2,4.1,0.4,0.3,0.4,diallch01
19,Kris Dunn,Oct 26 '16 MIN @ MEM,22,8,321,7450,1051,2407,179,553,293,396,147,1068,1367,459,139,551,886,2574,.437,.324,.740,23.2,8.0,3.3,4.3,1.4,0.4,dunnkr01
20,Henry Ellenson,Oct 26 '16 DET @ TOR,20,5,83,787,121,326,49,146,51,66,28,206,49,13,3,41,63,342,.371,.336,.773,9.5,4.1,2.5,0.6,0.2,0.0,ellenhe01
21,Joel Embiid,Oct 26 '16 PHI vs. OKC,22,8,428,13681,3929,7800,496,1464,3565,4320,966,4786,1547,390,714,1461,1313,11919,.504,.339,.825,32.0,27.8,11.2,3.6,0.9,1.7,embiijo01
22,Kay Felder,Oct 29 '16 CLE vs. ORL,21,2,58,526,83,228,11,41,46,61,6,59,78,21,8,46,49,223,.364,.268,.754,9.1,3.8,1.0,1.3,0.4,0.1,feldeka01
23,Yogi Ferrell,Nov 9 '16 BRK @ NYK,23,5,259,5212,723,1721,289,791,259,310,70,537,601,167,29,219,356,1994,.420,.365,.835,20.1,7.7,2.1,2.3,0.6,0.1,ferreyo01
24,Dorian Finney-Smith,Oct 26 '16 DAL @ IND,23,8,512,14223,1549,3560,772,2154,359,498,782,2352,735,409,235,445,1119,4229,.435,.358,.721,27.8,8.3,4.6,1.4,0.8,0.5,finnedo01
25,Bryn Forbes,Oct 25 '16 SAS @ GSW,23,7,431,8582,1359,3119,720,1757,338,409,69,718,523,163,14,297,594,3776,.436,.410,.826,19.9,8.8,1.7,1.2,0.4,0.0,forbebr01
26,Patricio Garino,Apr 4 '17 ORL @ CLE,23,1,5,43,0,7,0,5,0,0,1,7,0,0,0,3,4,0,.000,.000,,8.6,0.0,1.4,0.0,0.0,0.0,garinpa01
27,Michael Gbinije,Oct 26 '16 DET @ TOR,24,1,9,32,1,10,0,4,2,2,2,3,2,0,0,0,2,4,.100,.000,1.000,3.6,0.4,0.3,0.2,0.0,0.0,gbinimi01
28,Marcus Georges-Hunt,Apr 4 '17 ORL @ CLE,22,2,47,272,23,55,5,17,22,31,8,25,10,7,0,5,37,73,.418,.294,.710,5.8,1.6,0.5,0.2,0.1,0.0,georgma01
29,Jonathan Gibson,Nov 18 '16 DAL vs. MEM,29,2,21,271,49,118,21,57,21,29,1,25,30,8,0,24,26,140,.415,.368,.724,12.9,6.7,1.2,1.4,0.4,0.0,gibsojo01
30,Treveon Graham,Nov 2 '16 CHO vs. PHI,23,4,180,2883,266,694,120,360,105,152,121,400,144,76,16,76,297,757,.383,.333,.691,16.0,4.2,2.2,0.8,0.4,0.1,grahatr01
31,A.J. Hammons,Oct 28 '16 DAL vs. HOU,24,1,22,163,17,42,5,10,9,20,8,36,4,1,13,10,21,48,.405,.500,.450,7.4,2.2,1.6,0.2,0.0,0.6,hammoaj01
32,Andrew Harrison,Oct 26 '16 MEM vs. MIN,22,3,145,2987,314,842,95,323,289,371,52,287,399,95,49,178,366,1012,.373,.294,.779,20.6,7.0,2.0,2.8,0.7,0.3,harrian01
33,Juancho Hernangómez,Oct 26 '16 DEN @ NOP,21,7,339,5269,590,1379,266,777,265,392,268,1131,216,131,71,167,365,1711,.428,.342,.676,15.5,5.0,3.3,0.6,0.4,0.2,hernaju01
34,Willy Hernangómez,Oct 25 '16 NYK @ CLE,22,7,344,5149,974,1827,37,121,539,756,709,1982,364,145,134,347,573,2524,.533,.306,.713,15.0,7.3,5.8,1.1,0.4,0.4,hernawi01
35,Buddy Hield,Oct 26 '16 NOP vs. DEN,24,8,610,17831,3476,7999,1878,4684,757,883,455,2603,1599,529,195,1042,1279,9587,.435,.401,.857,29.2,15.7,4.3,2.6,0.9,0.3,hieldbu01
36,Danuel House Jr.,Nov 11 '16 WAS vs. CLE,23,8,294,6271,734,1692,368,1024,319,419,156,879,335,165,98,214,467,2155,.434,.359,.761,21.3,7.3,3.0,1.1,0.6,0.3,houseda01
37,Brandon Ingram,Oct 26 '16 LAL vs. HOU,19,8,468,15450,3320,7102,637,1754,1850,2353,340,2419,1993,337,262,1181,1133,9127,.467,.363,.786,33.0,19.5,5.2,4.3,0.7,0.6,ingrabr01
38,Demetrius Jackson,Nov 6 '16 BOS vs. DEN,22,3,26,136,18,37,4,14,8,12,9,19,17,7,1,11,11,48,.486,.286,.667,5.2,1.8,0.7,0.7,0.3,0.0,jacksde01
39,Pierre Jackson,Dec 27 '16 DAL vs. HOU,25,1,8,84,13,39,3,11,6,7,1,9,19,2,0,3,5,35,.333,.273,.857,10.5,4.4,1.1,2.4,0.3,0.0,jackspi01
40,Brice Johnson,Feb 23 '17 LAC @ GSW,22,2,21,107,22,49,0,1,3,5,10,34,3,11,7,6,13,47,.449,.000,.600,5.1,2.2,1.6,0.1,0.5,0.3,johnsbr02
