,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Ochai Agbaji,Oct 19 '22 UTA vs. DEN,22,2,119,2356,293,692,135,397,77,97,87,268,122,46,48,83,178,798,.423,.340,.794,19.8,6.7,2.3,1.0,0.4,0.4,agbajoc01
2,Patrick Baldwin Jr.,Oct 30 '22 GSW @ DET,20,2,51,378,61,156,43,111,12,18,8,83,19,8,8,17,36,177,.391,.387,.667,7.4,3.5,1.6,0.4,0.2,0.2,baldwpa01
3,Paolo Banchero,Oct 19 '22 ORL @ DET,20,2,131,4483,959,2163,174,532,695,961,150,902,576,119,70,379,276,2787,.443,.327,.723,34.2,21.3,6.9,4.4,0.9,0.5,banchpa01
4,Dominick Barlow,Nov 2 '22 SAS vs. TOR,19,2,52,715,86,170,3,11,40,59,79,186,50,19,31,20,89,215,.506,.273,.678,13.8,4.1,3.6,1.0,0.4,0.6,barlodo01
5,MarJon Beauchamp,Oct 22 '22 MIL vs. HOU,22,2,96,1286,170,395,75,212,46,65,60,211,65,33,13,72,123,461,.430,.354,.708,13.4,4.8,2.2,0.7,0.3,0.1,beaucma01
6,Buddy Boeheim,Oct 21 '22 DET @ NYK,23,1,10,90,5,27,4,25,2,2,2,6,4,2,0,0,6,16,.185,.160,1.000,9.0,1.6,0.6,0.4,0.2,0.0,boehebu01
7,Jamaree Bouyea,Feb 10 '23 MIA vs. HOU,23,2,11,128,11,35,2,14,1,2,3,16,12,4,2,12,9,25,.314,.143,.500,11.6,2.3,1.5,1.1,0.4,0.2,bouyeja01
8,Malaki Branham,Oct 30 '22 SAS vs. MIN,19,2,122,2696,459,1051,135,433,94,108,48,294,251,54,13,139,183,1147,.437,.312,.870,22.1,9.4,2.4,2.1,0.4,0.1,branhma01
9,Christian Braun,Oct 19 '22 DEN @ UTA,21,2,137,2354,294,637,73,209,113,167,101,397,143,69,42,76,195,774,.462,.349,.677,17.2,5.6,2.9,1.0,0.5,0.3,braunch01
10,Kendall Brown,Nov 23 '22 IND vs. MIN,19,2,13,68,7,13,0,2,5,8,4,8,5,4,0,2,13,19,.538,.000,.625,5.2,1.5,0.6,0.4,0.3,0.0,brownke03
11,John Butler,Nov 5 '22 POR @ PHO,20,1,19,221,17,53,8,35,3,4,3,17,11,7,9,1,22,45,.321,.229,.750,11.6,2.4,0.9,0.6,0.4,0.5,butlejo01
12,Jamal Cain,Nov 12 '22 MIA vs. CHO,23,2,34,465,66,135,15,46,35,45,28,84,16,21,5,11,38,182,.489,.326,.778,13.7,5.4,2.5,0.5,0.6,0.1,cainja01
13,Julian Champagnie,Nov 22 '22 PHI vs. BRK,21,2,70,1213,160,384,98,263,56,69,42,197,75,38,34,43,82,474,.417,.373,.812,17.3,6.8,2.8,1.1,0.5,0.5,champju02
14,Kennedy Chandler,Oct 22 '22 MEM @ DAL,20,1,36,281,35,83,2,15,6,13,9,38,58,12,5,18,15,78,.422,.133,.462,7.8,2.2,1.1,1.6,0.3,0.1,chandke01
15,Max Christie,Oct 18 '22 LAL @ GSW,19,2,90,1313,129,305,61,160,47,58,19,194,72,26,23,44,86,366,.423,.381,.810,14.6,4.1,2.2,0.8,0.3,0.3,chrisma02
16,Chance Comanche,Apr 9 '23 POR vs. GSW,26,1,1,21,3,5,0,0,1,4,2,3,0,0,1,0,0,7,.600,,.250,21.0,7.0,3.0,0.0,0.0,1.0,comanch01
17,Xavier Cooks,Mar 18 '23 WAS vs. SAC,27,1,10,126,17,28,0,1,4,10,16,38,6,6,4,8,13,38,.607,.000,.400,12.6,3.8,3.8,0.6,0.6,0.4,cooksxa01
