,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
1,Tony Allen,Nov 3 '04 BOS vs. PHI,23,14,820,18055,2588,5447,125,444,1353,1909,1021,2884,1077,1158,337,1118,1947,6654,.475,.282,.709,22.0,8.1,3.5,1.3,1.4,0.4,allento01
2,Rafael Araújo,Nov 3 '04 TOR vs. HOU,24,3,139,1585,156,385,1,4,76,112,124,395,41,51,16,111,300,389,.405,.250,.679,11.4,2.8,2.8,0.3,0.4,0.1,araujra01
3,Trevor Ariza,Nov 3 '04 NYK @ MIN,19,18,1118,32953,4135,9804,1605,4579,1718,2350,1081,5356,2379,1628,355,1473,2205,11593,.422,.351,.731,29.5,10.4,4.8,2.1,1.5,0.3,arizatr01
4,Maurice Baker,Feb 23 '05 LAC @ PHO,25,1,5,19,0,1,0,0,0,0,1,2,1,1,0,1,3,0,.000,,,3.8,0.0,0.4,0.2,0.2,0.0,bakerma01
5,Andre Barrett,Nov 23 '04 HOU @ SAC,22,4,67,819,89,241,17,69,24,33,21,71,135,29,1,47,69,219,.369,.246,.727,12.2,3.3,1.1,2.0,0.4,0.0,barrean01
6,Andris Biedriņš,Nov 5 '04 GSW vs. UTA,18,10,516,11146,1432,2409,0,2,383,766,1190,3631,467,331,580,479,1626,3247,.594,.000,.500,21.6,6.3,7.0,0.9,0.6,1.1,biedran01
7,Tony Bobbitt,Jan 25 '05 LAL vs. SEA,25,1,2,12,2,5,1,2,0,0,0,3,0,0,0,0,1,5,.400,.500,,6.0,2.5,1.5,0.0,0.0,0.0,bobbito01
8,Matt Bonner,Nov 3 '04 TOR vs. HOU,24,12,792,13356,1749,3768,797,1923,337,432,622,2371,552,285,213,299,1307,4632,.464,.414,.780,16.9,5.8,3.0,0.7,0.4,0.3,bonnema01
9,Antonio Burks,Dec 7 '04 MEM vs. NYK,24,2,81,789,79,204,4,17,24,42,5,49,104,33,1,48,70,186,.387,.235,.571,9.7,2.3,0.6,1.3,0.4,0.0,burksan01
10,Jackie Butler,Mar 21 '05 NYK vs. SAS,19,3,69,848,137,254,0,0,69,89,73,205,30,20,31,73,143,343,.539,,.775,12.3,5.0,3.0,0.4,0.3,0.4,butleja01
11,Geno Carlisle,Nov 17 '04 POR vs. MEM,28,1,6,16,2,3,0,0,4,6,1,1,1,0,0,1,1,8,.667,,.667,2.7,1.3,0.2,0.2,0.0,0.0,carlige01
12,Lionel Chalmers,Nov 3 '04 LAC vs. SEA,24,1,36,433,42,125,12,49,15,24,4,31,51,13,0,24,30,111,.336,.245,.625,12.0,3.1,0.9,1.4,0.4,0.0,chalmli01
13,Josh Childress,Nov 3 '04 ATL @ PHO,21,8,391,10432,1343,2571,99,301,763,980,732,1850,609,339,184,439,725,3548,.522,.329,.779,26.7,9.1,4.7,1.6,0.9,0.5,childjo01
14,Nick Collison,Nov 3 '04 SEA @ LAC,24,14,910,18603,2212,4146,21,101,914,1265,1766,4701,939,446,469,878,2507,5359,.534,.208,.723,20.4,5.9,5.2,1.0,0.5,0.5,collini01
15,Erik Daniels,Nov 9 '04 SAC vs. TOR,22,1,21,72,6,18,1,2,0,0,7,18,4,2,0,6,7,13,.333,.500,,3.4,0.6,0.9,0.2,0.1,0.0,danieer01
16,Carlos Delfino,Nov 2 '04 DET vs. HOU,22,8,507,11580,1472,3669,678,1856,493,650,287,1815,887,461,88,509,827,4115,.401,.365,.758,22.8,8.1,3.6,1.7,0.9,0.2,delfica01
17,Luol Deng,Nov 5 '04 CHI vs. NJN,19,15,902,30941,5130,11257,658,1982,2443,3175,1462,5468,2042,880,444,1459,1499,13361,.456,.332,.769,34.3,14.8,6.1,2.3,1.0,0.5,denglu01
18,Chris Duhon,Nov 5 '04 CHI vs. NJN,22,9,606,15526,1353,3440,649,1788,591,754,200,1364,2690,471,36,925,965,3946,.393,.363,.784,25.6,6.5,2.3,4.4,0.8,0.1,duhonch01
19,Corsley Edwards,Dec 4 '04 NOH vs. DET,25,1,10,110,10,31,0,0,7,12,12,25,3,3,4,2,19,27,.323,,.583,11.0,2.7,2.5,0.3,0.3,0.4,edwarco01
20,John Edwards,Nov 6 '04 IND vs. CHI,23,2,65,435,42,94,0,0,15,25,26,67,8,6,19,20,88,99,.447,,.600,6.7,1.5,1.0,0.1,0.1,0.3,edwarjo01
21,Andre Emmett,Jan 14 '05 MEM @ CHA,22,2,14,73,6,13,0,1,8,13,2,8,1,2,1,3,6,20,.462,.000,.615,5.2,1.4,0.6,0.1,0.1,0.1,emmetan01
22,Luis Flores,Dec 15 '04 GSW @ NOH,23,1,16,77,14,29,5,10,2,2,1,3,11,2,0,11,9,35,.483,.500,1.000,4.8,2.2,0.2,0.7,0.1,0.0,florelu01
23,Matt Freije,Nov 20 '04 NOH vs. MIN,23,2,42,588,53,181,17,76,10,14,24,85,27,16,3,20,53,133,.293,.224,.714,14.0,3.2,2.0,0.6,0.4,0.1,freijma01
24,Ben Gordon,Nov 5 '04 CHI vs. NJN,21,11,744,20366,3931,9092,1171,2921,2051,2394,333,1851,1868,508,114,1551,1720,11084,.432,.401,.857,27.4,14.9,2.5,2.5,0.7,0.2,gordobe01
25,Devin Harris,Nov 2 '04 DAL vs. SAC,21,15,985,23963,3486,8072,832,2558,2793,3507,290,2151,3869,998,194,1682,2171,10597,.432,.325,.796,24.3,10.8,2.2,3.9,1.0,0.2,harride01
26,David Harrison,Nov 3 '04 IND @ CLE,22,4,189,2686,374,706,0,0,201,383,184,549,47,64,185,216,538,949,.530,,.525,14.2,5.0,2.9,0.2,0.3,1.0,harrida01
27,Dwight Howard,Nov 3 '04 ORL vs. MIL,19,18,1242,39457,7051,12016,22,103,5361,9455,4151,14627,1676,1081,2228,3302,3912,19485,.587,.214,.567,31.8,15.7,11.8,1.3,0.9,1.8,howardw01
28,Kris Humphries,Nov 3 '04 UTA vs. LAL,19,13,800,14232,2078,4486,55,188,1139,1626,1387,4314,556,326,454,691,1456,5350,.463,.293,.700,17.8,6.7,5.4,0.7,0.4,0.6,humphkr01
29,Andre Iguodala,Nov 3 '04 PHI @ BOS,21,19,1231,39507,5028,10870,1081,3278,2831,3994,1118,6047,5147,1765,633,2240,2180,13968,.463,.330,.709,32.1,11.3,4.9,4.2,1.4,0.5,iguodan01
30,D.J. Mbenga,Nov 6 '04 DAL vs. MEM,24,7,234,1566,180,383,0,2,54,89,129,351,41,37,141,87,286,414,.470,.000,.607,6.7,1.8,1.5,0.2,0.2,0.6,mbengdj01
31,Royal Ivey,Nov 3 '04 ATL @ PHO,23,10,492,6162,622,1531,162,449,235,333,147,557,501,230,38,255,757,1641,.406,.361,.706,12.5,3.3,1.1,1.0,0.5,0.1,iveyro01
32,Luke Jackson,Nov 6 '04 CLE @ MIL,23,4,73,724,84,235,32,89,52,71,27,89,58,24,3,49,71,252,.357,.360,.732,9.9,3.5,1.2,0.8,0.3,0.0,jackslu02
33,Al Jefferson,Nov 3 '04 BOS vs. PHI,20,14,915,26299,6161,12344,8,66,2013,2833,2054,7690,1347,628,1093,1211,2347,14343,.499,.121,.711,28.7,15.7,8.4,1.5,0.7,1.2,jeffeal01
34,Horace Jenkins,Dec 3 '04 DET @ SAS,30,1,15,104,15,45,0,9,12,13,3,9,9,5,1,7,6,42,.333,.000,.923,6.9,2.8,0.6,0.6,0.3,0.1,jenkiho01
35,Mark Jones,Mar 24 '05 ORL vs. CHA,29,1,10,116,9,31,0,4,5,10,6,13,6,5,2,3,16,23,.290,.000,.500,11.6,2.3,1.3,0.6,0.5,0.2,jonesma03
36,Mario Kasun,Nov 12 '04 ORL vs. LAL,24,2,73,569,78,167,0,1,42,66,76,188,11,10,16,41,155,198,.467,.000,.636,7.8,2.7,2.6,0.2,0.1,0.2,kasunma01
37,Viktor Khryapa,Feb 1 '05 POR @ LAL,22,4,143,2351,251,567,14,48,127,193,168,492,142,86,48,139,353,643,.443,.292,.658,16.4,4.5,3.4,1.0,0.6,0.3,khryavi01
38,Brandin Knight,Jan 17 '05 HOU @ MEM,23,1,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,.000,,,3.0,0.0,0.0,1.0,0.0,0.0,knighbr02
39,Nenad Krstić,Nov 3 '04 NJN vs. MIA,21,7,419,10547,1724,3493,2,14,760,1041,772,2261,346,162,286,497,1251,4210,.494,.143,.730,25.2,10.0,5.4,0.8,0.4,0.7,krstine01
40,Ibo Kutluay,Dec 22 '04 SEA vs. DEN,30,1,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,.000,,,2.4,0.0,0.2,0.0,0.0,0.0,kutluib01
41,Shaun Livingston,Nov 3 '04 LAC vs. SEA,19,14,833,17188,2149,4419,13,73,920,1159,491,1989,2483,586,311,1034,1498,5231,.486,.178,.794,20.6,6.3,2.4,3.0,0.7,0.4,livinsh01
42,Kevin Martin,Nov 2 '04 SAC @ DAL,21,12,714,21559,3847,8797,1141,2969,3561,4091,401,2278,1352,643,78,1200,1361,12396,.437,.384,.870,30.2,17.4,3.2,1.9,0.9,0.1,martike02
