,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
34,Tim Hardaway Jr.,Oct 30 '13 NYK vs. MIL,21,11,715,19675,3519,8400,1639,4539,1445,1777,235,2107,1321,444,100,739,1196,10122,.419,.361,.813,27.5,14.2,2.9,1.8,0.6,0.1,hardati02
35,Elias Harris,Oct 30 '13 LAL @ GSW,24,1,2,11,0,1,0,0,0,0,1,1,1,1,0,0,0,0,.000,,,5.5,0.0,0.5,0.5,0.5,0.0,harriel01
36,Solomon Hill,Oct 29 '13 IND vs. ORL,22,9,448,9652,843,2175,362,1093,405,508,289,1399,662,307,99,377,765,2453,.388,.331,.797,21.5,5.5,3.1,1.5,0.7,0.2,hillso01
37,Scotty Hopson,Apr 2 '14 CLE @ ORL,24,3,4,33,2,9,0,3,2,4,0,1,3,1,0,3,1,6,.222,.000,.500,8.3,1.5,0.3,0.8,0.3,0.0,hopsosc01
38,Robbie Hummel,Nov 1 '13 MIN vs. OKC,24,2,98,1397,146,349,48,140,39,45,66,266,50,32,11,28,143,379,.418,.343,.867,14.3,3.9,2.7,0.5,0.3,0.1,hummero01
39,Sergey Karasev,Nov 2 '13 CLE @ IND,20,3,95,1110,96,243,31,110,64,76,30,140,87,32,4,57,94,287,.395,.282,.842,11.7,3.0,1.5,0.9,0.3,0.0,karasse01
40,Ryan Kelly,Nov 5 '13 LAL @ DAL,22,4,163,3125,324,857,102,323,231,290,77,504,215,79,84,106,309,981,.378,.316,.797,19.2,6.0,3.1,1.3,0.5,0.5,kellyry01
41,Ognjen Kuzmić,Oct 30 '13 GSW vs. LAL,23,2,37,164,13,25,0,0,9,15,17,38,8,5,5,15,30,35,.520,,.600,4.4,0.9,1.0,0.2,0.1,0.1,kuzmiog01
42,Shane Larkin,Nov 18 '13 DAL vs. PHI,21,4,256,4880,545,1290,117,348,192,247,83,490,737,243,24,301,375,1399,.422,.336,.777,19.1,5.5,1.9,2.9,0.9,0.1,larkish01
43,Ricky Ledo,Nov 1 '13 DAL @ HOU,21,2,28,277,38,113,13,35,20,26,16,38,21,7,1,28,23,109,.336,.371,.769,9.9,3.9,1.4,0.8,0.3,0.0,ledori01
44,Alex Len,Oct 30 '13 PHO vs. POR,20,11,622,11157,1729,3399,110,339,915,1346,1134,3478,524,236,576,707,1521,4483,.509,.324,.680,17.9,7.2,5.6,0.8,0.4,0.9,lenal01
45,Ray McCallum,Dec 6 '13 SAC vs. LAL,22,3,154,2808,374,916,71,212,101,142,78,306,368,79,27,148,190,920,.408,.335,.711,18.2,6.0,2.0,2.4,0.5,0.2,mccalra01
46,CJ McCollum,Jan 8 '14 POR vs. ORL,22,11,710,22694,5250,11581,1731,4353,1525,1897,453,2563,2674,644,295,1279,1501,13756,.453,.398,.804,32.0,19.4,3.6,3.8,0.9,0.4,mccolcj01
47,Ben McLemore,Oct 30 '13 SAC vs. DEN,20,9,556,12534,1768,4270,868,2392,611,783,222,1269,563,353,106,608,1175,5015,.414,.363,.780,22.5,9.0,2.3,1.0,0.6,0.2,mclembe01
48,Gal Mekel,Oct 30 '13 DAL vs. ATL,25,2,35,335,33,106,5,23,8,12,5,28,76,6,1,33,32,79,.311,.217,.667,9.6,2.3,0.8,2.2,0.2,0.0,mekelga01
49,Tony Mitchell,Oct 30 '13 DET vs. WAS,21,1,21,79,5,12,1,1,11,19,15,26,2,6,3,4,9,22,.417,1.000,.579,3.8,1.0,1.2,0.1,0.3,0.1,mitchto02
50,Tony Mitchell,Mar 5 '14 MIL vs. SAC,24,1,3,10,3,5,0,1,0,0,1,1,1,1,0,0,0,6,.600,.000,,3.3,2.0,0.3,0.3,0.3,0.0,mitchto03
51,Shabazz Muhammad,Nov 1 '13 MIN vs. OKC,21,5,278,4772,940,1988,123,386,501,667,294,770,151,81,24,183,283,2504,.473,.319,.751,17.2,9.0,2.8,0.5,0.3,0.1,muhamsh01
52,Erik Murphy,Nov 6 '13 CHI @ IND,23,1,24,62,3,13,0,3,0,0,2,8,2,0,4,2,7,6,.231,.000,,2.6,0.3,0.3,0.1,0.0,0.2,murpher01
53,Toure' Murry,Nov 8 '13 NYK @ CHA,24,2,56,391,58,134,5,12,25,41,14,45,50,20,1,38,48,146,.433,.417,.610,7.0,2.6,0.8,0.9,0.4,0.0,murryto01
54,Mike Muscala,Mar 2 '14 ATL @ PHO,22,11,533,8159,1138,2521,519,1382,399,480,421,1681,460,173,247,298,772,3194,.451,.376,.831,15.3,6.0,3.2,0.9,0.3,0.5,muscami01
55,Nemanja Nedović,Oct 30 '13 GSW vs. LAL,22,1,24,142,8,39,3,18,7,8,3,15,13,0,1,13,13,26,.205,.167,.875,5.9,1.1,0.6,0.5,0.0,0.0,nedovne01
56,James Nunnally,Jan 16 '14 ATL vs. BRK,23,3,37,315,32,93,20,62,11,15,3,33,18,7,2,10,22,95,.344,.323,.733,8.5,2.6,0.9,0.5,0.2,0.1,nunnaja01
57,Victor Oladipo,Oct 29 '13 ORL @ IND,21,10,504,16247,3118,7152,814,2349,1453,1843,289,2245,1970,805,230,1266,1202,8503,.436,.347,.788,32.2,16.9,4.5,3.9,1.6,0.5,oladivi01
58,Kelly Olynyk,Oct 30 '13 BOS @ TOR,22,11,737,16555,2676,5553,868,2350,1265,1586,881,3799,1745,575,338,1151,2084,7485,.482,.369,.798,22.5,10.2,5.2,2.4,0.8,0.5,olynyke01
59,Arinze Onuaku,Oct 30 '13 NOP vs. IND,26,3,19,126,15,23,0,0,4,10,11,35,9,1,4,5,12,34,.652,,.400,6.6,1.8,1.8,0.5,0.1,0.2,onuakar01
60,Mason Plumlee,Nov 3 '13 BRK @ ORL,23,11,767,17280,2569,4309,2,41,1371,2402,1628,5231,1889,559,648,1124,2104,6511,.596,.049,.571,22.5,8.5,6.8,2.5,0.7,0.8,plumlma01
61,Otto Porter Jr.,Dec 6 '13 WAS vs. MIL,20,11,527,13400,2088,4376,684,1724,559,701,602,2599,783,586,221,399,919,5419,.477,.397,.797,25.4,10.3,4.9,1.5,1.1,0.4,porteot01
62,Phil Pressey,Oct 30 '13 BOS @ TOR,22,3,148,2015,172,505,48,189,75,119,36,216,433,116,15,161,179,467,.341,.254,.630,13.6,3.2,1.5,2.9,0.8,0.1,pressph01
63,Miroslav Raduljica,Nov 12 '13 MIL @ MIA,26,2,53,488,71,134,0,0,47,57,56,113,23,8,13,30,92,189,.530,,.825,9.2,3.6,2.1,0.4,0.2,0.2,radulmi01
64,Glen Rice Jr.,Nov 12 '13 WAS @ DAL,23,2,16,152,14,52,6,24,9,13,6,24,9,6,1,11,18,43,.269,.250,.692,9.5,2.7,1.5,0.6,0.4,0.1,ricegl02
65,Andre Roberson,Nov 1 '13 OKC @ MIN,22,7,307,6801,573,1211,112,443,124,265,362,1230,265,268,199,185,658,1382,.473,.253,.468,22.2,4.5,4.0,0.9,0.9,0.6,roberan03
66,Dennis Schröder,Oct 30 '13 ATL @ DAL,20,11,748,20270,3851,8871,895,2628,1861,2229,312,2163,3569,615,102,1694,1535,10458,.434,.341,.835,27.1,14.0,2.9,4.8,0.8,0.1,schrode01
67,Peyton Siva,Oct 30 '13 DET vs. WAS,23,1,24,224,18,57,7,25,11,15,2,14,34,9,1,18,27,54,.316,.280,.733,9.3,2.3,0.6,1.4,0.4,0.0,sivape01
68,Chris Smith,Dec 25 '13 NYK vs. OKC,26,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,smithch05
69,Tony Snell,Oct 29 '13 CHI @ MIA,22,9,601,13093,1335,3097,728,1848,274,324,172,1371,669,266,138,329,846,3672,.431,.394,.846,21.8,6.1,2.3,1.1,0.4,0.2,snellto01
70,James Southerland,Nov 29 '13 CHA vs. MIL,23,1,4,30,5,15,3,6,1,2,0,8,0,1,2,1,3,14,.333,.500,.500,7.5,3.5,2.0,0.0,0.3,0.5,southja01
71,D.J. Stephens,Mar 29 '14 MIL vs. MIA,23,2,4,22,4,9,0,0,1,1,1,5,0,1,0,1,0,9,.444,,1.000,5.5,2.3,1.3,0.0,0.3,0.0,stephdj01
72,Adonis Thomas,Mar 1 '14 ORL @ MIA,20,1,6,37,6,14,1,5,1,1,0,3,3,0,0,1,6,14,.429,.200,1.000,6.2,2.3,0.5,0.5,0.0,0.0,thomaad01
73,Hollis Thompson,Nov 1 '13 PHI @ WAS,22,4,265,6424,742,1795,363,941,203,287,199,829,292,166,68,213,541,2050,.413,.386,.707,24.2,7.7,3.1,1.1,0.6,0.3,thompho01
74,Casper Ware,Mar 24 '14 PHI @ SAS,24,1,9,116,18,42,7,21,5,6,0,9,10,8,0,5,11,48,.429,.333,.833,12.9,5.3,1.0,1.1,0.9,0.0,wareca01
75,Royce White,Mar 21 '14 SAC vs. SAS,22,1,3,9,0,1,0,0,0,0,0,0,0,0,0,0,2,0,.000,,,3.0,0.0,0.0,0.0,0.0,0.0,whitero03
76,Jeff Withey,Nov 1 '13 NOP @ ORL,23,5,206,2072,249,474,2,14,166,232,181,518,64,56,156,76,229,666,.525,.143,.716,10.1,3.2,2.5,0.3,0.3,0.8,witheje01
77,Nate Wolters,Oct 30 '13 MIL @ NYK,22,3,84,1575,191,452,18,69,61,96,42,185,209,43,17,70,86,461,.423,.261,.635,18.8,5.5,2.2,2.5,0.5,0.2,woltena01
78,Cody Zeller,Oct 30 '13 CHA @ HOU,21,11,547,11487,1646,3166,33,150,1043,1435,1060,3114,736,331,329,551,1355,4368,.520,.220,.727,21.0,8.0,5.7,1.3,0.6,0.6,zelleco01
