Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns,15,241.7,41.8,84.8,.493,8.6,19.7,.436,33.2,65.1,.510,19.8,25.8,.767,12.1,31.1,43.1,20.5,6.1,6.3,12.9,20.1,112.0
2,Dallas Mavericks,13,241.9,38.1,84.2,.452,6.6,17.5,.379,31.5,66.7,.472,22.4,28.5,.786,14.4,29.1,43.5,17.5,7.2,5.1,13.2,22.7,105.2
3,Memphis Grizzlies,4,240.0,41.5,87.8,.473,7.8,19.8,.392,33.8,68.0,.496,12.0,17.0,.706,11.8,27.8,39.5,21.0,5.8,4.5,10.8,24.5,102.8
4,Chicago Bulls,6,240.0,35.5,84.7,.419,9.0,23.2,.388,26.5,61.5,.431,22.5,31.2,.722,14.2,30.3,44.5,21.7,6.3,5.0,15.2,29.2,102.5
5,Sacramento Kings,5,240.0,38.4,86.2,.445,5.8,20.8,.279,32.6,65.4,.498,19.6,24.6,.797,13.0,23.0,36.0,20.2,6.2,4.0,11.2,25.8,102.2
6,Washington Wizards,10,240.0,35.1,82.6,.425,5.6,18.8,.298,29.5,63.8,.462,24.6,33.8,.728,12.9,29.9,42.8,17.2,8.2,5.8,13.7,25.4,100.4
7,Seattle Supersonics,11,240.0,35.5,77.5,.458,4.8,15.7,.306,30.6,61.7,.496,22.8,28.5,.799,12.6,27.6,40.3,16.2,6.5,4.5,13.8,26.1,98.5
8,Miami Heat,15,243.3,36.0,73.1,.492,6.0,15.5,.388,30.0,57.7,.520,20.0,29.9,.668,8.3,33.3,41.6,18.9,5.5,5.7,15.3,24.5,98.0
9,Houston Rockets,7,240.0,35.0,75.1,.466,7.1,17.7,.403,27.9,57.4,.485,20.4,25.9,.790,10.7,27.0,37.7,18.0,7.3,5.9,14.3,24.7,97.6
10,San Antonio Spurs,23,242.2,34.7,76.5,.454,7.1,18.3,.389,27.6,58.1,.474,20.4,28.0,.727,12.3,29.7,42.1,18.4,5.6,5.8,14.5,21.9,96.9
11,New Jersey Nets,4,252.5,33.5,84.8,.395,6.3,21.5,.291,27.3,63.3,.431,23.5,31.3,.752,13.0,29.8,42.8,21.3,7.5,1.3,13.0,30.8,96.8
12,Philadelphia 76ers,5,245.0,34.8,79.6,.437,6.6,19.4,.340,28.2,60.2,.468,14.6,20.4,.716,9.6,25.2,34.8,19.8,8.6,4.0,12.8,21.8,90.8
13,Detroit Pistons,25,242.0,34.5,79.0,.437,4.5,13.9,.326,30.0,65.1,.461,16.8,22.6,.742,12.4,29.9,42.3,20.5,7.3,6.1,12.2,21.0,90.3
14,Denver Nuggets,5,245.0,32.8,78.6,.417,2.2,8.4,.262,30.6,70.2,.436,22.4,30.4,.737,10.2,29.2,39.4,16.4,6.4,5.8,13.0,27.0,90.2
15,Boston Celtics,7,243.6,32.9,74.3,.442,4.9,14.9,.327,28.0,59.4,.471,17.1,22.7,.755,10.3,29.1,39.4,16.6,8.4,6.4,15.3,25.4,87.7
16,Indiana Pacers,13,241.9,28.8,73.0,.395,5.6,17.8,.316,23.2,55.2,.421,20.7,26.4,.784,10.9,29.2,40.1,18.0,8.1,5.9,15.1,22.0,84.0
,League Average,11,242.1,35.5,79.1,.448,6.1,17.2,.357,29.3,61.9,.474,20.0,26.8,.746,11.8,29.5,41.3,18.8,6.8,5.5,13.7,23.5,97.1
