Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs,14,240.0,37.9,78.9,.481,9.4,22.6,.416,28.5,56.2,.507,16.7,22.9,.731,8.6,32.0,40.6,22.9,6.5,4.6,14.3,20.4,102.0
2,Oklahoma City Thunder,20,240.0,37.2,80.0,.465,6.8,19.2,.355,30.4,60.8,.500,20.1,24.5,.820,9.3,30.5,39.8,18.0,8.7,6.9,11.6,22.4,101.3
3,Miami Heat,23,242.2,35.0,76.0,.460,6.8,19.7,.347,28.1,56.4,.499,20.6,27.7,.744,10.2,30.3,40.4,17.5,7.3,5.0,13.0,20.6,97.3
4,Denver Nuggets,7,240.0,38.4,89.3,.430,5.3,19.0,.278,33.1,70.3,.472,14.6,20.3,.718,15.4,32.3,47.7,20.9,7.0,6.9,11.1,21.0,96.7
5,Los Angeles Lakers,12,240.0,35.2,83.2,.423,5.3,17.3,.304,29.9,65.9,.454,18.4,23.7,.778,14.2,30.7,44.8,18.8,5.8,7.8,12.5,19.7,94.0
6,Dallas Mavericks,4,240.0,31.5,78.0,.404,8.0,21.5,.372,23.5,56.5,.416,22.3,26.8,.832,10.5,30.0,40.5,15.5,8.0,3.5,14.5,20.8,93.3
7,Memphis Grizzlies,7,243.6,32.6,76.3,.427,3.4,11.9,.289,29.1,64.4,.452,22.9,30.7,.744,13.4,29.3,42.7,16.3,7.1,4.9,15.4,23.3,91.4
8,Indiana Pacers,11,242.3,33.7,79.5,.424,5.7,17.9,.320,28.0,61.5,.455,17.7,23.0,.771,12.4,31.6,44.0,16.3,6.9,5.5,15.1,22.0,90.9
9,Los Angeles Clippers,11,242.3,34.5,75.3,.458,6.2,16.4,.378,28.3,58.9,.480,15.8,23.7,.667,8.7,28.1,36.8,17.3,9.5,6.5,14.7,24.1,90.9
10,Boston Celtics,20,243.8,33.8,77.2,.438,4.7,16.3,.285,29.2,60.9,.479,17.3,21.6,.799,8.0,31.9,39.9,19.8,8.2,4.9,13.0,21.7,89.5
11,Utah Jazz,4,240.0,32.8,85.8,.382,2.3,11.3,.200,30.5,74.5,.409,18.5,26.3,.705,16.0,32.5,48.5,16.8,6.5,6.8,13.5,20.3,86.3
12,Philadelphia 76ers,13,240.0,32.1,78.1,.411,4.0,13.2,.304,28.1,64.9,.432,17.5,24.4,.719,10.8,31.0,41.8,18.2,7.6,5.3,11.5,18.7,85.7
13,Chicago Bulls,6,240.0,34.0,80.7,.421,4.3,12.7,.342,29.7,68.0,.436,12.0,18.5,.649,11.5,35.3,46.8,22.5,5.2,6.7,14.3,20.5,84.3
14,Orlando Magic,5,245.0,31.0,77.8,.398,8.4,24.6,.341,22.6,53.2,.425,13.4,19.0,.705,9.8,28.6,38.4,17.2,6.0,4.4,14.0,19.0,83.8
15,New York Knicks,5,240.0,30.6,73.4,.417,5.0,18.2,.275,25.6,55.2,.464,16.6,21.8,.761,12.4,28.0,40.4,12.6,6.0,2.2,18.4,24.2,82.8
16,Atlanta Hawks,6,244.2,31.8,79.3,.401,5.8,18.8,.310,26.0,60.5,.430,12.7,16.2,.784,10.0,32.5,42.5,17.5,5.5,3.3,15.3,19.8,82.2
,League Average,11,241.5,34.5,78.8,.438,5.9,17.8,.333,28.6,61.1,.469,17.8,23.7,.754,10.7,30.9,41.5,18.4,7.3,5.5,13.4,21.2,92.8
