Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Oklahoma City Thunder,17,247.4,35.3,79.7,.443,6.3,19.9,.316,29.0,59.8,.485,25.6,31.4,.816,13.1,32.9,45.9,17.6,6.8,7.6,15.4,25.0,102.5
2,Memphis Grizzlies,13,249.6,36.7,84.0,.437,3.8,12.1,.318,32.8,71.9,.457,21.4,28.2,.760,12.5,30.6,43.1,18.8,8.0,6.0,13.1,23.6,98.6
3,Dallas Mavericks,21,241.2,34.5,74.9,.461,8.8,22.2,.394,25.7,52.6,.489,20.5,25.4,.809,9.7,28.7,38.4,20.1,7.1,4.1,12.9,20.1,98.2
4,Denver Nuggets,5,240.0,32.6,77.0,.423,6.8,18.4,.370,25.8,58.6,.440,25.4,36.0,.706,7.4,30.6,38.0,17.6,6.6,3.6,12.2,23.8,97.4
5,Boston Celtics,9,242.8,35.8,76.9,.465,7.4,16.0,.465,28.3,60.9,.465,15.7,20.1,.779,8.9,30.1,39.0,21.0,7.3,4.2,15.7,21.9,94.7
6,San Antonio Spurs,6,244.2,33.7,77.2,.436,5.3,18.2,.294,28.3,59.0,.480,21.7,28.5,.760,10.2,31.5,41.7,17.8,7.3,5.8,14.3,21.5,94.3
7,Los Angeles Lakers,10,240.0,34.7,77.8,.446,4.8,16.6,.289,29.9,61.2,.489,19.0,24.5,.776,12.6,28.3,40.9,18.9,6.9,5.1,12.5,20.6,93.2
8,Miami Heat,21,242.4,32.6,73.3,.445,5.9,17.9,.331,26.7,55.4,.482,21.6,27.8,.777,10.1,30.9,41.0,16.5,7.3,6.0,13.9,19.2,92.8
9,Chicago Bulls,16,241.6,34.0,80.6,.422,6.3,19.2,.329,27.7,61.4,.451,18.2,23.2,.784,13.4,30.2,43.6,20.1,7.3,6.6,13.6,21.3,92.5
10,New York Knicks,4,240.0,32.0,83.0,.386,8.3,23.8,.347,23.8,59.3,.401,18.5,24.8,.747,14.5,26.0,40.5,16.8,6.5,6.8,15.3,18.8,90.8
11,Indiana Pacers,5,240.0,32.8,80.2,.409,5.8,15.4,.377,27.0,64.8,.417,18.8,24.4,.770,13.0,25.4,38.4,16.0,8.2,5.6,15.2,23.0,90.2
12,New Orleans Hornets,6,240.0,32.8,71.8,.457,4.5,14.0,.321,28.3,57.8,.490,19.2,25.8,.742,7.7,25.8,33.5,20.2,7.2,3.0,12.8,23.7,89.3
13,Orlando Magic,6,240.0,31.0,75.8,.409,6.2,23.5,.262,24.8,52.3,.475,20.5,27.8,.737,11.8,30.5,42.3,14.5,6.5,4.0,12.8,21.5,88.7
14,Portland Trail Blazers,6,240.0,33.2,73.2,.453,5.0,16.7,.300,28.2,56.5,.499,16.8,21.5,.783,9.2,28.5,37.7,17.0,5.7,5.2,11.5,20.8,88.2
15,Philadelphia 76ers,5,240.0,33.8,81.6,.414,6.4,16.4,.390,27.4,65.2,.420,12.6,17.4,.724,10.6,30.0,40.6,20.4,6.4,3.6,10.6,20.4,86.6
16,Atlanta Hawks,12,240.0,32.9,75.8,.434,4.5,13.9,.323,28.4,61.9,.459,15.9,21.9,.726,9.0,28.2,37.2,18.1,6.3,5.0,12.4,20.3,86.3
,League Average,10,242.5,34.0,77.4,.439,6.1,17.9,.341,27.9,59.5,.468,20.0,25.8,.774,11.0,29.7,40.7,18.4,7.0,5.4,13.5,21.5,94.0
