Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Dallas Mavericks,5,240.0,38.2,96.4,.396,5.0,17.4,.287,33.2,79.0,.420,18.2,23.6,.771,20.4,31.8,52.2,20.6,9.2,6.6,13.6,21.6,99.6
2,Sacramento Kings,12,242.1,35.3,82.9,.425,5.8,16.8,.348,29.4,66.2,.445,18.8,24.8,.758,10.9,33.1,44.0,22.8,9.4,3.7,14.3,21.1,95.2
3,Minnesota Timberwolves,18,241.4,33.9,77.1,.441,5.9,15.2,.387,28.1,61.8,.454,18.2,23.3,.780,9.7,32.3,42.0,19.3,6.6,5.2,15.0,24.3,91.9
4,Denver Nuggets,5,240.0,37.2,87.2,.427,4.4,13.0,.338,32.8,74.2,.442,11.8,16.8,.702,14.4,28.8,43.2,20.4,7.8,2.8,14.2,24.2,90.6
5,San Antonio Spurs,10,240.0,33.5,76.2,.440,6.9,18.9,.365,26.6,57.3,.464,15.4,23.9,.644,12.6,29.7,42.3,19.4,7.7,4.2,15.5,22.8,89.3
6,New Jersey Nets,11,246.8,30.8,72.8,.423,4.5,16.4,.272,26.4,56.5,.467,22.1,30.3,.730,10.6,32.1,42.7,20.5,8.6,5.4,18.5,26.0,88.2
7,Los Angeles Lakers,22,242.3,33.0,74.5,.444,5.0,15.5,.321,28.1,59.0,.476,17.1,27.9,.612,10.2,30.0,40.2,22.6,7.3,4.2,12.6,22.9,88.1
8,Detroit Pistons,23,244.3,31.4,76.3,.412,4.2,13.9,.304,27.2,62.4,.436,20.1,27.3,.734,12.9,32.0,44.8,19.4,8.0,7.1,14.9,22.5,87.1
9,Milwaukee Bucks,5,240.0,32.4,77.8,.416,4.8,14.4,.333,27.6,63.4,.435,16.0,21.6,.741,11.2,28.0,39.2,20.6,8.2,4.2,16.4,22.4,85.6
10,Indiana Pacers,16,240.0,30.7,75.1,.408,5.9,17.8,.333,24.8,57.3,.432,18.2,24.8,.733,10.8,31.3,42.1,17.9,8.7,6.3,13.6,23.5,85.5
11,Houston Rockets,5,245.0,31.8,74.4,.427,4.6,15.2,.303,27.2,59.2,.459,16.4,22.8,.719,9.6,34.8,44.4,17.2,5.2,3.6,16.8,22.8,84.6
12,Boston Celtics,4,240.0,28.8,70.5,.408,5.3,15.8,.333,23.5,54.8,.429,21.8,27.0,.806,9.3,31.8,41.0,17.5,6.5,5.0,19.8,20.3,84.5
13,Miami Heat,13,240.0,30.5,74.8,.408,3.7,13.4,.276,26.8,61.4,.437,19.3,25.6,.754,11.4,30.5,41.8,16.3,7.5,4.1,14.2,24.4,84.1
14,New York Knicks,4,240.0,30.8,80.0,.384,4.3,14.5,.293,26.5,65.5,.405,18.3,25.3,.723,12.3,26.3,38.5,19.5,9.3,4.0,16.3,28.0,84.0
15,Memphis Grizzlies,4,240.0,30.8,72.5,.424,3.8,12.8,.294,27.0,59.8,.452,18.3,23.5,.777,9.5,25.0,34.5,14.5,9.5,5.0,14.3,25.0,83.5
16,New Orleans Hornets,7,240.0,29.3,76.3,.384,5.9,18.6,.315,23.4,57.7,.406,16.1,20.7,.779,12.3,30.0,42.3,19.3,6.1,4.6,17.1,20.9,80.6
,League Average,10,241.8,32.4,76.9,.421,5.1,15.6,.324,27.3,61.3,.445,18.2,25.2,.723,11.4,31.0,42.4,19.6,7.8,5.0,14.9,23.2,88.0
