Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Phoenix Suns,20,245.0,40.1,83.1,.482,9.2,23.5,.391,30.9,59.6,.518,17.9,21.6,.831,7.7,29.0,36.7,23.4,5.7,4.4,11.6,21.9,107.2
2,Los Angeles Clippers,12,244.2,39.7,80.8,.491,4.5,11.9,.378,35.2,68.8,.511,21.8,26.8,.816,11.0,34.6,45.6,20.8,5.0,5.9,15.5,23.9,105.7
3,San Antonio Spurs,13,245.8,36.5,74.1,.492,6.0,15.3,.392,30.5,58.8,.518,24.2,31.1,.777,8.2,29.0,37.2,17.5,6.5,5.5,13.3,23.7,103.1
4,Washington Wizards,6,248.3,35.3,78.7,.449,6.2,19.2,.322,29.2,59.5,.490,24.8,33.3,.745,11.5,27.7,39.2,17.5,6.8,5.5,12.8,22.7,101.7
5,Los Angeles Lakers,7,247.1,37.7,83.1,.454,7.1,21.4,.333,30.6,61.7,.495,18.0,23.6,.764,11.0,31.6,42.6,17.1,6.4,3.1,15.0,22.9,100.6
6,Dallas Mavericks,23,244.3,36.1,80.1,.451,4.8,15.1,.317,31.3,65.0,.482,22.7,28.0,.809,12.2,30.5,42.7,15.3,6.6,4.3,12.8,25.5,99.7
7,Chicago Bulls,6,240.0,34.0,76.3,.445,7.8,19.8,.395,26.2,56.5,.463,22.5,30.3,.742,8.8,30.5,39.3,18.3,5.7,3.8,15.8,25.8,98.3
8,Milwaukee Bucks,5,240.0,37.8,80.2,.471,5.2,12.4,.419,32.6,67.8,.481,16.8,21.4,.785,10.6,26.4,37.0,21.0,6.0,2.4,13.2,26.8,97.6
9,Sacramento Kings,6,244.2,34.7,78.2,.443,5.2,15.7,.330,29.5,62.5,.472,22.8,28.8,.792,12.3,26.0,38.3,15.3,7.5,2.5,13.0,26.0,97.3
10,Miami Heat,23,241.1,34.8,72.4,.481,6.3,19.1,.333,28.5,53.3,.534,20.3,30.9,.655,9.5,32.5,42.0,17.5,7.0,4.6,15.5,24.0,96.3
11,New Jersey Nets,11,240.0,34.3,75.8,.452,5.4,17.5,.307,28.9,58.4,.495,20.3,26.6,.761,10.0,28.6,38.6,22.1,6.9,2.5,12.7,26.6,94.2
12,Detroit Pistons,18,240.0,32.1,74.3,.432,6.9,18.5,.372,25.2,55.8,.452,20.6,28.4,.724,11.3,27.4,38.8,18.7,6.4,4.1,11.9,20.4,91.7
13,Cleveland Cavaliers,13,243.8,33.6,76.8,.437,4.2,13.2,.320,29.4,63.6,.462,18.9,24.8,.764,12.5,29.8,42.2,16.2,6.5,4.2,14.5,24.6,90.4
14,Indiana Pacers,6,240.0,31.2,70.3,.443,6.7,19.5,.342,24.5,50.8,.482,20.3,27.2,.748,8.3,29.0,37.3,17.8,6.0,4.5,15.8,24.8,89.3
15,Denver Nuggets,5,240.0,32.6,85.8,.380,3.0,13.6,.221,29.6,72.2,.410,19.2,26.4,.727,14.0,27.8,41.8,19.8,6.8,4.2,11.8,23.2,87.4
16,Memphis Grizzlies,4,246.3,30.0,66.5,.451,3.8,12.0,.313,26.3,54.5,.482,20.5,28.3,.726,8.3,26.0,34.3,14.0,4.8,3.8,16.0,27.5,84.3
,League Average,11,243.1,35.5,77.4,.459,6.0,17.2,.349,29.5,60.1,.491,20.7,27.4,.758,10.4,29.7,40.1,18.4,6.4,4.3,13.6,24.0,97.8
