Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,6,240.0,37.2,84.8,.438,7.0,22.5,.311,30.2,62.3,.484,21.7,29.7,.730,11.8,26.8,38.7,21.2,9.0,2.8,14.5,23.2,103.0
2,Golden State Warriors,12,246.3,39.0,84.4,.462,8.7,22.3,.388,30.3,62.1,.489,16.0,21.8,.736,11.5,34.6,46.1,21.7,6.4,4.9,16.5,23.8,102.7
3,San Antonio Spurs,21,247.1,38.0,82.2,.463,7.9,20.8,.378,30.2,61.4,.492,16.4,21.5,.763,9.7,32.9,42.6,21.9,7.9,5.0,12.9,19.1,100.3
4,Houston Rockets,6,240.0,34.3,81.0,.424,11.7,33.7,.347,22.7,47.3,.479,19.7,27.7,.711,10.8,32.7,43.5,18.0,5.8,5.5,15.8,23.2,100.0
5,Brooklyn Nets,7,250.7,37.0,83.7,.442,6.1,19.4,.316,30.9,64.3,.480,19.3,25.4,.758,11.7,30.4,42.1,19.9,6.3,5.6,11.6,19.9,99.4
6,Oklahoma City Thunder,11,242.3,34.8,81.6,.427,8.6,24.7,.349,26.2,56.9,.460,20.2,24.1,.838,9.8,33.1,42.9,18.1,6.0,7.0,13.6,24.9,98.5
7,Miami Heat,23,242.2,35.8,76.6,.468,7.7,20.2,.381,28.1,56.4,.499,17.8,23.2,.766,9.7,28.4,38.1,20.6,8.3,5.4,13.1,22.2,97.1
8,Los Angeles Clippers,6,240.0,35.2,75.3,.467,5.8,19.2,.304,29.3,56.2,.522,18.5,23.7,.782,8.8,28.3,37.2,18.0,5.2,5.7,13.3,27.8,94.7
9,Memphis Grizzlies,15,245.0,34.1,81.5,.418,4.8,14.8,.324,29.3,66.7,.439,21.7,29.1,.748,11.7,30.0,41.7,19.3,7.3,4.6,10.7,22.1,94.7
10,Chicago Bulls,12,246.3,35.0,79.9,.438,5.4,17.0,.319,29.6,62.9,.470,16.5,22.9,.720,11.8,29.0,40.8,19.5,6.4,4.6,14.3,22.4,91.9
11,Indiana Pacers,19,241.3,32.2,74.4,.433,6.3,19.2,.327,25.9,55.2,.470,21.1,28.5,.740,12.7,32.9,45.6,17.5,5.4,4.5,16.4,22.4,91.8
12,Atlanta Hawks,6,240.0,32.7,77.3,.422,6.2,18.7,.330,26.5,58.7,.452,17.8,26.2,.682,8.3,30.0,38.3,19.2,7.3,3.8,12.2,24.2,89.3
13,New York Knicks,12,242.1,33.3,81.0,.410,8.0,23.3,.343,25.3,57.7,.438,14.1,18.0,.782,10.7,28.8,39.5,15.1,8.8,4.3,11.6,23.8,88.6
14,Los Angeles Lakers,4,240.0,34.5,78.0,.442,5.0,18.5,.270,29.5,59.5,.496,11.3,18.5,.608,8.5,31.5,40.0,18.5,5.8,5.3,16.5,17.5,85.3
15,Milwaukee Bucks,4,240.0,33.3,76.8,.433,6.0,23.0,.261,27.3,53.8,.507,12.8,20.3,.630,8.8,26.0,34.8,19.8,10.0,2.5,16.3,19.8,85.3
16,Boston Celtics,6,244.2,28.5,69.0,.413,6.8,20.7,.331,21.7,48.3,.448,18.5,21.5,.860,5.2,33.8,39.0,16.8,5.5,3.0,17.3,18.8,82.3
,League Average,11,243.5,35.0,79.4,.441,7.1,20.6,.344,27.9,58.8,.475,18.1,24.0,.751,10.5,30.8,41.3,19.3,7.0,4.8,13.8,22.2,95.2
