Rk,Tm,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chicago Bulls,7,265.0,38.4,87.1,.441,7.3,19.3,.378,31.1,67.9,.459,24.1,29.9,.809,10.4,35.1,45.6,19.9,6.7,8.1,16.1,24.6,108.3
2,Denver Nuggets,16,240.0,37.3,78.4,.475,8.1,21.1,.383,29.2,57.4,.509,25.4,33.4,.759,10.7,29.6,40.3,22.6,9.2,5.2,12.1,25.8,107.9
3,Los Angeles Lakers,23,242.2,37.4,80.5,.465,7.0,18.4,.377,30.5,62.1,.491,20.6,27.5,.747,11.1,30.9,42.0,19.4,7.9,6.3,13.0,23.5,102.4
4,Boston Celtics,14,252.5,37.4,84.1,.445,6.7,18.6,.360,30.7,65.4,.469,20.6,26.0,.791,10.9,32.4,43.2,22.9,7.8,4.9,13.6,24.3,102.1
5,Dallas Mavericks,10,240.0,35.6,75.7,.470,7.3,20.6,.354,28.3,55.1,.514,23.1,28.4,.813,9.2,31.5,40.7,18.1,6.5,3.8,13.0,22.8,101.6
6,Cleveland Cavaliers,14,241.8,34.8,75.1,.463,6.6,19.8,.336,28.1,55.4,.508,21.4,28.8,.742,10.1,30.2,40.3,19.1,6.6,4.6,12.4,20.6,97.6
7,Utah Jazz,5,240.0,35.0,81.0,.432,5.0,14.6,.342,30.0,66.4,.452,22.4,30.2,.742,13.2,29.4,42.6,25.4,9.8,3.4,14.6,23.8,97.4
8,Orlando Magic,24,243.1,34.5,75.4,.457,8.4,23.3,.360,26.1,52.1,.501,19.6,27.1,.722,8.3,30.0,38.4,18.9,6.8,4.8,13.2,21.4,97.0
9,Houston Rockets,13,240.0,34.0,76.1,.447,6.6,20.2,.328,27.4,55.9,.490,16.8,21.9,.768,9.7,30.8,40.5,17.0,6.2,3.2,14.2,20.1,91.5
10,San Antonio Spurs,5,240.0,35.0,76.6,.457,5.8,17.6,.330,29.2,59.0,.495,14.6,20.6,.709,8.8,28.8,37.6,16.0,5.6,3.0,11.0,22.0,90.4
11,Philadelphia 76ers,6,240.0,34.0,75.0,.453,5.8,15.8,.368,28.2,59.2,.476,14.7,20.7,.710,8.0,28.8,36.8,17.8,6.2,3.0,14.7,23.0,88.5
12,Miami Heat,7,240.0,31.3,69.6,.450,7.1,20.0,.357,24.1,49.6,.487,18.4,22.6,.816,8.9,29.9,38.7,15.0,6.1,5.7,13.4,22.1,88.1
13,Portland Trail Blazers,6,240.0,33.3,74.5,.447,5.5,14.2,.388,27.8,60.3,.461,15.0,19.7,.763,9.8,26.5,36.3,14.7,6.0,7.5,11.3,21.7,87.2
14,New Orleans Hornets,5,240.0,27.8,70.2,.396,6.0,18.4,.326,21.8,51.8,.421,22.6,28.0,.807,9.2,27.8,37.0,15.8,6.6,2.6,18.4,24.8,84.2
15,Atlanta Hawks,11,240.0,30.1,73.6,.409,6.1,17.5,.347,24.0,56.1,.428,17.7,23.8,.744,10.7,24.2,34.9,16.9,6.9,3.4,12.1,21.4,84.0
16,Detroit Pistons,4,240.0,31.5,77.0,.409,3.0,12.3,.245,28.5,64.8,.440,12.0,14.5,.828,7.5,26.0,33.5,16.5,4.3,3.0,11.3,23.8,78.0
,League Average,11,242.9,34.9,77.3,.451,6.9,19.3,.357,28.0,58.0,.483,20.0,26.3,.760,9.9,29.9,39.8,19.0,7.1,4.8,13.2,22.7,96.7
