,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Hassan Adams,SG,22,NJN,6,9,4%,85%,12%,,,-70.6,-73.1,0,0,3,0,0,0,0,0,0,adamsha01
2,Maurice Ager,SG,22,DAL,3,24,,65%,35%,,,-7.0,0.5,0,0,1,0,1,0,0,0,0,agerma01
3,Malik Allen,PF,28,CHI,5,34,,,,18%,82%,-37.3,-41.3,1,1,4,1,0,1,3,0,2,allenma01
4,Rafer Alston,PG,30,HOU,7,309,100%,,,,,-1.4,31.2,13,3,10,0,4,0,78,1,2,alstora01
5,Carmelo Anthony,SF,22,DEN,5,210,,10%,89%,1%,,-5.9,6.4,7,2,0,7,13,0,14,2,4,anthoca01
6,Rafael Araújo,C,26,UTA,5,28,,,,,100%,0.3,-0.9,0,0,4,0,4,0,2,0,1,araujra01
7,Trevor Ariza,SG,21,ORL,4,47,,46%,54%,,,-15.0,-5.9,1,2,3,1,2,0,10,0,2,arizatr01
8,Carlos Arroyo,PG,27,ORL,3,40,99%,2%,,,,1.6,14.8,1,0,2,0,1,1,14,0,0,arroyca01
9,Kelenna Azubuike,SG,23,GSW,6,15,,83%,17%,,,9.5,8.2,0,0,1,0,1,0,0,0,0,azubuke01
10,Marcus Banks,PG,25,PHO,2,7,100%,,,,,-20.5,-26.5,0,0,0,0,0,0,2,0,0,banksma01
11,Leandro Barbosa,SG,24,PHO,11,349,31%,69%,,,,2.1,-10.6,6,9,10,5,20,3,54,3,9,barbole01
12,J.J. Barea,PG,22,DAL,2,4,100%,,,,,7.1,14.7,0,0,0,0,1,1,0,0,0,bareajo01
13,Andrea Bargnani,PF,21,TOR,6,181,,,6%,68%,26%,-11.5,-15.0,3,1,7,2,7,0,12,1,3,bargnan01
14,Matt Barnes,PF,26,GSW,11,330,,,4%,76%,20%,2.4,2.4,7,6,20,3,9,2,70,2,7,barnema02
15,Brent Barry,SG,35,SAS,19,225,3%,88%,9%,,,-1.3,-7.2,8,1,12,2,1,3,49,0,0,barrybr01
16,Tony Battie,PF,30,ORL,4,87,,,,100%,,-12.6,-4.1,0,0,9,0,2,0,2,0,0,battito01
17,Shane Battier,SF,28,HOU,7,272,,,95%,5%,,-4.5,-4.5,2,4,11,2,2,9,34,0,0,battish01
18,Raja Bell,SG,30,PHO,11,438,,58%,42%,,,6.2,3.4,6,4,22,3,5,11,45,2,3,bellra01
19,Andris Biedriņš,C,20,GSW,11,267,,,,,100%,4.7,6.4,2,4,19,1,15,1,14,3,1,biedran01
20,Chauncey Billups,PG,30,DET,16,649,93%,7%,,,,8.2,29.4,16,15,16,9,28,6,201,2,10,billuch01
21,Steve Blake,PG,26,DEN,5,180,98%,2%,,,,-0.3,25.5,8,1,3,1,0,1,50,0,1,blakest01
22,Andray Blatche,PF,20,WAS,2,25,,,,56%,44%,-25.0,-17.3,1,0,2,0,1,0,0,1,0,blatcan01
23,Matt Bonner,PF,26,SAS,9,25,,,,99%,2%,-36.8,-42.1,0,1,2,1,1,0,0,0,0,bonnema01
24,Josh Boone,PF,22,NJN,12,118,,,,36%,64%,-12.7,-17.7,0,2,13,0,12,3,7,2,6,boonejo01
25,Calvin Booth,C,30,WAS,1,18,,,,,100%,9.9,21.7,0,1,2,0,0,0,2,0,0,boothca01
26,Carlos Boozer,PF,25,UTA,17,654,,,,85%,15%,0.9,-1.7,16,15,29,11,46,0,106,13,21,boozeca01
27,Chris Bosh*,C,22,TOR,6,222,,,,29%,71%,-7.2,-5.6,3,3,14,2,19,2,38,6,1,boshch01
28,Bruce Bowen,SF,35,SAS,20,689,,37%,58%,5%,,4.1,-0.5,3,2,15,1,2,10,59,0,3,bowenbr01
29,Ronnie Brewer,SG,21,UTA,8,41,11%,56%,33%,,,-3.9,-5.4,0,2,2,0,6,0,5,1,1,brewero02
30,Dee Brown,PG,22,UTA,8,52,100%,,,,,23.1,23.3,3,0,1,0,1,0,21,0,0,brownde03
