,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Arron Afflalo,SG,24,DEN,6,120,2%,95%,3%,,,-1.1,1.2,1,0,10,0,4,0,17,1,0,afflaar01
2,LaMarcus Aldridge,PF,24,POR,6,229,,,,90%,10%,-9.7,10.7,2,2,7,4,16,0,31,0,1,aldrila01
3,Malik Allen,PF,31,DEN,4,11,,,,48%,52%,-4.8,-3.1,0,0,2,0,0,0,0,0,0,allenma01
4,Ray Allen*,SG,34,BOS,24,925,,85%,15%,,,2.9,-0.7,19,11,40,4,28,7,137,7,12,allenra02
5,Tony Allen,SG,28,BOS,24,391,17%,82%,1%,,,2.1,-1.4,12,5,24,4,15,3,38,4,12,allento01
6,Lou Amundson,PF,27,PHO,16,194,,,5%,90%,5%,5.2,-0.7,1,2,15,3,7,1,2,1,4,amundlo01
7,Chris Andersen,PF,31,DEN,6,116,,,,53%,47%,-1.8,0.0,0,2,11,1,6,0,3,0,1,anderch01
8,Ryan Anderson,PF,21,ORL,9,89,,,,100%,,-11.8,-25.2,3,1,6,0,1,0,7,1,2,anderry01
9,Carmelo Anthony,SF,25,DEN,6,254,,,89%,11%,,2.6,36.4,2,8,7,8,25,0,50,3,11,anthoca01
10,Joel Anthony,C,27,MIA,5,79,,,,,100%,7.3,23.1,0,0,7,1,2,0,3,0,1,anthojo01
11,Carlos Arroyo,PG,30,MIA,5,115,80%,20%,,,,-13.8,-10.0,2,1,3,0,0,1,23,0,1,arroyca01
12,D.J. Augustin,PG,22,CHA,4,73,100%,,,,,5.0,25.1,4,0,1,0,2,0,17,1,2,augusdj01
13,Jeff Ayres,C,22,POR,3,17,,,,,100%,6.3,19.6,0,1,0,0,1,0,0,0,0,pendeje02
14,Leandro Barbosa,PG,27,PHO,16,250,16%,84%,,,,11.3,8.1,6,4,15,4,9,0,48,3,7,barbole01
15,J.J. Barea,PG,25,DAL,6,105,96%,4%,,,,-4.1,-5.7,1,4,5,2,1,3,36,0,2,bareajo01
16,Matt Barnes,SF,29,ORL,14,326,,,100%,,,8.5,-3.3,6,3,15,1,6,6,43,0,9,barnema02
17,Brandon Bass,PF,24,ORL,7,42,,,,100%,,11.7,1.7,1,0,0,0,3,0,2,0,0,bassbr01
