,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Álex Abrines,SG,23,OKC,5,80,,73%,27%,,,-28.1,-29.0,0,0,6,0,1,2,9,0,1,abrinal01
2,Steven Adams,C,23,OKC,5,157,,,,,100%,5.0,40.7,1,2,10,0,3,0,18,1,3,adamsst01
3,LaMarcus Aldridge,PF,31,SAS,16,537,,,,50%,51%,-4.4,-16.1,8,11,25,6,28,1,58,9,5,aldrila01
4,Lavoy Allen,PF,27,IND,3,11,,,,100%,,28.6,34.1,1,0,0,0,0,0,0,0,0,allenla01
5,Al-Farouq Aminu,PF,26,POR,4,113,,,,60%,40%,-17.3,1.4,4,3,5,2,4,0,9,1,4,aminual01
6,Kyle Anderson,SF,23,SAS,15,195,,1%,56%,42%,,-3.1,-5.2,5,1,6,0,7,0,58,3,2,anderky01
7,Ryan Anderson,PF,28,HOU,11,336,,,,81%,19%,-0.2,-5.0,1,5,12,2,8,1,17,0,2,anderry01
8,Giannis Antetokounmpo,SF,22,MIL,6,243,,,14%,85%,1%,0.4,11.8,10,4,9,4,24,0,60,6,9,antetgi01
9,Joel Anthony,C,34,SAS,3,15,,,,17%,84%,-12.6,-13.6,1,0,1,0,0,0,0,0,0,anthojo01
10,Trevor Ariza,SF,31,HOU,11,413,,,44%,57%,,-1.3,-13.6,6,3,13,0,6,1,57,4,9,arizatr01
11,Wade Baldwin,PG,20,MEM,3,12,100%,,,,,-39.1,-30.7,0,0,2,0,1,0,4,0,1,baldwwa01
12,Matt Barnes,SF,36,GSW,12,61,,,60%,38%,2%,-11.8,-27.3,2,0,1,1,0,0,15,0,0,barnema02
13,Brandon Bass,PF,31,LAC,1,4,,,,,100%,-55.4,-54.0,0,0,0,0,0,0,0,0,1,bassbr01
14,Kent Bazemore,SF,27,ATL,6,150,2%,52%,45%,1%,,6.9,16.4,9,6,10,1,4,2,42,0,2,bazemke01
15,Bradley Beal,SG,23,WAS,13,505,,99%,1%,,,2.9,18.0,15,5,20,5,25,2,81,7,10,bealbr01
16,Michael Beasley,PF,28,MIL,4,48,,,6%,94%,,4.4,7.1,1,1,5,0,1,1,2,0,4,beaslmi01
17,Dāvis Bertāns,PF,24,SAS,13,112,,,2%,84%,14%,9.7,10.5,6,0,5,0,0,0,9,0,0,bertada01
18,Patrick Beverley,SG,28,HOU,11,325,1%,94%,6%,,,2.1,0.9,7,6,14,2,8,2,83,3,6,beverpa01
19,Bojan Bogdanović,SF,27,WAS,13,264,,,23%,76%,1%,-12.5,-20.3,6,1,9,1,11,0,21,3,3,bogdabo02
20,Joel Bolomboy,PF,23,UTA,2,9,,,,,100%,47.1,52.5,0,0,0,0,0,0,0,0,0,bolomjo01
21,Avery Bradley,SG,26,BOS,18,645,21%,76%,4%,,,-6.4,-14.0,18,11,17,1,12,2,100,4,19,bradlav01
22,Malcolm Brogdon,SG,24,MIL,6,183,64%,30%,7%,,,-3.5,-5.4,6,3,7,2,0,1,50,0,2,brogdma01
23,Aaron Brooks,PG,32,IND,1,7,100%,,,,,-20.3,-17.2,1,0,0,0,0,0,2,0,0,brookaa01
24,Bobby Brown,PG,32,HOU,5,22,100%,,,,,-28.2,-31.2,0,0,1,0,0,0,3,0,0,brownbo02
25,Jaylen Brown,SF,20,BOS,17,215,,9%,63%,28%,,-1.8,1.3,5,4,14,1,10,2,31,4,1,brownja02
26,Trey Burke,PG,24,WAS,3,20,73%,28%,,,,-5.4,-4.9,0,0,1,0,0,0,12,0,0,burketr01
27,Jimmy Butler,SF,27,CHI,6,239,,36%,63%,1%,,-8.9,-7.9,7,5,4,3,19,0,63,4,6,butleji01
28,José Calderón,PG,35,ATL,6,75,87%,13%,,,,3.3,5.5,1,3,2,0,0,1,27,0,2,caldejo01
29,Isaiah Canaan,SG,25,CHI,3,95,100%,,,,,-13.0,-8.0,2,3,2,0,3,1,8,0,2,canaais01
30,Clint Capela,C,22,HOU,11,286,,,,,100%,-2.0,-8.0,3,3,17,1,21,0,31,5,15,capelca01
31,DeMarre Carroll,SF,30,TOR,10,155,,,57%,44%,,-11.5,-8.3,0,2,6,1,4,1,13,1,3,carrode01
32,Vince Carter,SF,40,MEM,6,195,,1%,96%,3%,,-15.3,-16.3,5,3,8,2,3,1,22,0,2,cartevi01
33,Michael Carter-Williams,PG,25,CHI,5,53,84%,15%,1%,,,-10.9,-4.1,5,1,1,0,2,1,15,0,2,cartemi01
34,Semaj Christon,PG,24,OKC,2,21,100%,,,,,-47.8,-42.4,0,0,1,0,0,0,11,0,0,chrisse01
35,Ian Clark,SG,25,GSW,16,219,68%,27%,5%,,,0.0,-18.2,4,5,7,0,7,2,27,3,3,clarkia01
36,Norris Cole,PG,28,OKC,4,25,100%,,,,,-67.1,-64.3,1,1,3,0,0,0,3,0,0,coleno01
37,Mike Conley,PG,29,MEM,6,224,100%,,,,,0.8,44.5,6,5,5,1,16,2,97,4,3,conlemi01
38,Pat Connaughton,SG,24,POR,3,24,8%,71%,20%,,,4.2,24.9,0,0,0,0,2,0,11,1,0,connapa01
39,Allen Crabbe,SG,24,POR,4,92,,30%,64%,6%,,-14.5,6.4,0,1,5,0,2,0,5,1,3,crabbal01
40,Jamal Crawford,SG,36,LAC,7,196,,31%,61%,8%,,5.0,16.9,4,3,4,0,3,3,30,1,2,crawfja01
41,Jae Crowder,SF,26,BOS,18,596,,,40%,59%,1%,-2.0,2.4,8,2,25,1,23,1,113,2,14,crowdja01
42,Stephen Curry,PG,28,GSW,17,601,100%,,,,,18.5,20.6,34,20,12,2,29,6,267,6,9,curryst01
43,Troy Daniels,SG,25,MEM,6,68,,100%,,,,4.4,18.9,0,1,0,1,0,0,4,0,0,danietr01
44,Deyonta Davis,C,20,MEM,3,11,,,,,100%,-33.3,-24.5,0,0,2,0,0,0,0,0,0,davisde01
45,Dewayne Dedmon,C,27,SAS,12,97,,,,12%,88%,-14.7,-17.7,2,5,7,1,13,0,7,0,0,dedmode01
46,Sam Dekker,PF,22,HOU,4,31,,,33%,67%,,-34.7,-38.8,0,0,2,0,0,0,3,0,0,dekkesa01
47,Malcolm Delaney,PG,27,ATL,1,3,100%,,,,,12.5,13.5,0,0,0,0,0,0,0,0,0,delanma01
48,Matthew Dellavedova,PG,26,MIL,6,159,100%,,,,,-0.3,2.6,2,2,0,1,4,3,28,0,2,dellama01
49,DeMar DeRozan,SG,27,TOR,10,373,,40%,60%,,,-8.9,-13.1,13,9,11,3,33,0,84,6,17,derozde01
50,Boris Diaw,PF,34,UTA,11,203,,,,87%,13%,3.7,13.3,10,2,6,1,4,0,54,2,3,diawbo01
51,Mike Dunleavy,SF,36,ATL,6,53,,,95%,6%,,0.8,2.0,4,1,3,0,2,0,5,0,0,dunlemi02
52,Kevin Durant,PF,28,GSW,15,533,,,,66%,34%,15.5,6.0,18,17,21,3,41,0,150,9,14,duranke01
53,Monta Ellis,SG,31,IND,4,76,30%,70%,,,,-5.4,-2.9,1,2,2,1,3,0,10,1,1,ellismo01
54,James Ennis III,SF,26,MEM,6,159,,67%,32%,,,-21.3,-24.5,3,3,6,1,8,0,19,2,1,ennisja01
55,Dante Exum,PG,21,UTA,7,84,36%,56%,8%,,,-4.6,0.0,2,0,4,1,2,3,20,0,1,exumda01
56,Derrick Favors,PF,25,UTA,11,225,,,,,100%,-5.0,-0.8,2,0,9,2,9,0,24,3,5,favorde01
57,Cristiano Felício,C,24,CHI,6,82,,,,,100%,-7.8,-0.2,1,2,8,2,0,0,5,0,0,feliccr01
58,Raymond Felton,PG,32,LAC,7,127,58%,42%,,,,-2.1,-0.4,2,1,7,0,1,0,23,0,1,feltora01
59,Bryn Forbes,SG,23,SAS,6,73,18%,82%,,,,6.7,6.6,0,2,2,0,3,0,7,0,0,forbebr01
60,Enes Freedom,C,24,OKC,5,45,,,,,100%,-33.7,-30.6,0,1,5,1,2,0,3,0,2,kanteen01
61,Channing Frye,C,33,CLE,12,154,,,,,100%,-4.3,-15.6,1,1,4,0,3,0,31,0,2,fryech01
62,Marc Gasol,C,32,MEM,6,240,,,,,100%,-7.8,10.9,7,5,12,2,16,1,62,4,2,gasolma01
63,Pau Gasol*,C,36,SAS,16,365,,,,,100%,3.2,4.6,10,5,22,2,9,1,70,3,7,gasolpa01
64,Paul George,SF,26,IND,4,172,,,80%,20%,,-9.1,-49.9,7,3,5,2,12,2,69,1,6,georgpa01
65,Taj Gibson,PF,31,OKC,5,118,,,,79%,21%,10.7,37.7,1,4,11,1,4,0,8,0,3,gibsota01
66,Manu Ginóbili*,SG,39,SAS,16,284,,58%,41%,1%,,0.7,-0.1,9,3,12,0,14,2,91,5,4,ginobma01
67,Rudy Gobert,C,24,UTA,9,246,,,,,100%,-10.4,-11.0,2,5,12,2,22,1,28,5,4,goberru01
68,Eric Gordon,SG,28,HOU,11,358,,13%,87%,1%,,6.4,14.6,8,3,12,1,6,0,51,2,10,gordoer01
69,Marcin Gortat,C,32,WAS,13,409,,,,13%,87%,5.6,17.7,4,5,20,5,9,2,55,3,3,gortama01
70,Jerami Grant,PF,22,OKC,5,111,,,1%,92%,6%,-33.2,-45.3,1,2,7,0,4,1,11,1,4,grantje01
71,Jerian Grant,PG,24,CHI,5,52,97%,3%,,,,-21.8,-17.4,6,1,1,0,2,0,11,1,1,grantje02
72,Danny Green,SG,29,SAS,16,436,,56%,35%,10%,,-5.2,-13.4,11,3,18,1,7,1,54,4,2,greenda02
73,Draymond Green,PF,26,GSW,17,593,,,36%,59%,5%,18.5,18.8,25,6,27,3,29,2,246,7,12,greendr01
74,Gerald Green,SF,31,BOS,13,192,,13%,87%,1%,,-4.8,-2.6,5,1,15,0,3,0,24,2,3,greenge01
