,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Ray Allen*,SG,29,SEA,11,436,,66%,34%,,,-0.4,4.8,16,13,9,5,23,,92,4,7,allenra02
2,Tony Allen,SG,23,BOS,7,90,,79%,21%,,,-6.2,-6.9,3,2,7,0,3,,4,1,2,allento01
3,Shandon Anderson,SF,31,MIA,8,97,,8%,73%,19%,,-1.1,-6.6,4,2,6,0,1,,18,0,0,andersh01
4,Carmelo Anthony,SF,20,DEN,5,180,,,93%,6%,,-10.7,0.3,3,2,6,7,11,,23,2,13,anthoca01
5,Gilbert Arenas,PG,23,WAS,10,450,100%,,,,,-0.2,46.1,17,13,9,7,31,,138,8,11,arenagi01
6,Darrell Armstrong,PG,36,DAL,9,66,100%,,,,,13.0,16.9,0,0,3,1,0,,20,0,1,armstda01
7,Carlos Arroyo,PG,25,DET,19,150,100%,,,,,-1.1,-7.6,5,4,7,0,3,,83,0,4,arroyca01
8,Marcus Banks,PG,23,BOS,7,106,100%,,,,,-9.3,-11.9,3,3,5,0,2,,14,0,2,banksma01
9,Leandro Barbosa,PG,22,PHO,12,116,100%,,,,,-15.3,-23.5,4,1,1,0,2,,29,0,2,barbole01
10,Brent Barry,SG,33,SAS,23,555,6%,93%,1%,,,1.5,-6.0,16,6,25,5,6,,102,2,8,barrybr01
11,Jon Barry,SG,35,HOU,7,183,,25%,75%,1%,,4.3,15.9,4,2,9,0,3,,18,0,1,barryjo01
12,Shane Battier,SG,26,MEM,4,119,,72%,28%,,,-16.2,-11.7,2,1,11,0,2,,14,1,4,battish01
13,Travis Best,PG,32,NJN,4,82,100%,,,,,-9.0,6.6,2,1,1,0,4,,21,1,2,besttr01
14,Mike Bibby,PG,26,SAC,5,200,100%,,,,,-6.0,-4.6,8,3,2,2,8,,72,1,5,bibbymi01
15,Chauncey Billups,PG,28,DET,25,985,95%,5%,,,,5.2,-1.3,29,12,30,6,52,,351,9,27,billuch01
16,Steve Blake,PG,24,WAS,4,17,100%,,,,,10.0,13.1,0,0,0,0,0,,6,0,0,blakest01
17,Mark Blount,C,29,BOS,4,43,,,,,100%,10.5,13.3,1,1,3,2,1,,3,0,0,blounma01
18,Bruce Bowen,SF,33,SAS,23,814,,1%,96%,3%,,1.4,-11.7,6,5,21,4,4,,77,0,8,bowenbr01
19,Ryan Bowen,SF,29,HOU,7,125,,,84%,16%,,-8.1,-8.2,2,3,9,1,2,,14,1,4,bowenry01
20,Earl Boykins,PG,28,DEN,5,152,100%,,,,,-18.8,-21.1,3,4,3,0,7,,40,1,1,boykiea01
21,Shawn Bradley,C,32,DAL,7,27,,,,,100%,-11.5,-9.9,0,0,4,0,0,,0,0,0,bradlsh01
22,Devin Brown,SG,26,SAS,12,60,,72%,28%,,,-13.9,-19.4,1,0,2,0,3,,7,1,0,brownde02
23,Kwame Brown,PF,22,WAS,3,60,,,,82%,18%,-23.1,-23.5,1,0,1,1,5,,7,1,3,brownkw01
24,Greg Buckner,SG,28,DEN,5,100,,86%,14%,,,-16.2,-9.4,1,1,6,1,0,,11,0,1,buckngr01
25,Rodney Buford,SF,27,NJN,3,4,,48%,53%,,,-150.0,-138.5,0,0,0,0,0,,0,0,0,buforro01
26,Antonio Burks,PG,24,MEM,1,3,100%,,,,,-115.0,-104.0,0,0,0,0,0,,2,0,0,burksan01
27,Rasual Butler,SF,25,MIA,12,182,,,91%,9%,,-12.3,-22.1,1,0,13,1,2,,14,1,2,butlera01
28,Marcus Camby,C,30,DEN,5,184,,,,28%,72%,-5.8,20.2,4,4,12,1,14,,20,3,2,cambyma01
29,Elden Campbell,C,36,DET,10,57,,,,15%,85%,9.6,4.2,2,1,5,1,4,,12,0,3,campbel01
30,Brian Cardinal,PF,27,MEM,4,78,,,,95%,6%,-23.6,-19.0,1,0,9,0,3,,5,2,1,cardibr01
31,Vince Carter,SF,28,NJN,4,179,,73%,27%,,,-13.0,-0.9,6,3,9,6,13,,50,3,3,cartevi01
32,Tyson Chandler,C,22,CHI,6,172,,,,,100%,5.9,19.8,0,2,12,4,20,,19,4,4,chandty01
33,Jason Collins,C,26,NJN,4,128,,,,,100%,-12.2,1.8,0,0,7,3,3,,3,0,2,collija04
34,Nick Collison,C,24,SEA,11,218,,,,27%,73%,3.4,7.8,3,1,24,2,13,,10,5,8,collini01
