,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Jordan Adams,SG,20,MEM,4,10,20%,80%,,,,46.4,47.5,0,0,0,0,1,0,0,0,0,adamsjo01
2,Arron Afflalo,SG,29,POR,3,60,,71%,29%,,,-37.9,-37.4,1,1,1,1,1,0,5,1,2,afflaar01
3,Alexis Ajinça,C,26,NOP,3,10,,,,,100%,-34.5,-28.2,0,0,1,0,0,0,2,0,0,ajincal01
4,LaMarcus Aldridge,PF,29,POR,5,208,,,,99%,1%,-13.2,-24.7,1,5,6,2,18,2,21,4,9,aldrila01
5,Tony Allen,SG,33,MEM,10,279,28%,72%,,,,4.4,9.9,5,3,9,1,5,1,31,2,2,allento01
6,Al-Farouq Aminu,SF,24,DAL,5,150,,,97%,3%,,5.4,29.6,3,1,3,2,8,1,14,1,4,aminual01
7,Alan Anderson,SG,32,BRK,6,142,,74%,26%,,,6.3,24.2,6,2,2,0,3,0,19,3,0,anderal01
8,Ryan Anderson,PF,26,NOP,4,95,,,,84%,16%,2.9,21.4,2,1,7,1,1,2,20,0,1,anderry01
9,Giannis Antetokounmpo,SG,20,MIL,6,201,,50%,33%,17%,,-11.7,1.6,2,4,7,3,12,0,33,3,6,antetgi01
10,Pero Antić,C,32,ATL,15,199,,,,,100%,0.8,0.6,3,0,16,1,6,0,10,1,3,anticpe01
11,Trevor Ariza,SF,29,HOU,17,655,,,83%,17%,,-0.2,8.2,10,7,20,4,15,3,102,3,6,arizatr01
12,Ömer Aşık,C,28,NOP,4,79,,,,,100%,-23.2,-25.4,2,1,3,2,3,0,12,1,3,asikom01
13,Jeff Ayres,PF,27,SAS,3,12,,,68%,30%,2%,17.2,17.0,0,0,0,0,0,0,4,0,1,pendeje02
14,Leandro Barbosa,SG,32,GSW,21,229,3%,87%,10%,,,7.4,-1.2,3,7,4,1,11,1,41,2,5,barbole01
15,J.J. Barea,PG,30,DAL,5,154,100%,,,,,7.4,35.3,9,2,4,2,2,3,87,0,4,bareajo01
16,Harrison Barnes,SF,22,GSW,21,681,,,43%,57%,1%,8.8,1.4,7,11,19,3,18,2,82,5,7,barneha02
17,Matt Barnes,SF,34,LAC,14,409,,,88%,12%,,8.5,18.0,9,1,28,4,8,1,51,2,9,barnema02
18,Brandon Bass,PF,29,BOS,4,86,,,,100%,,-21.6,-20.1,2,0,1,1,6,0,23,2,6,bassbr01
19,Nicolas Batum,SF,26,POR,5,209,,,99%,1%,,-8.6,10.7,8,4,3,0,3,0,65,0,4,batumni01
20,Jerryd Bayless,PG,26,MIL,6,120,86%,4%,10%,,,-4.9,12.1,2,1,6,1,7,1,43,1,2,bayleje01
21,Aron Baynes,C,28,SAS,4,40,,,,25%,75%,-5.8,-7.5,0,1,2,1,2,0,2,1,2,baynear01
22,Kent Bazemore,SG,25,ATL,16,303,1%,90%,10%,,,-5.4,-9.5,4,2,12,2,11,2,29,1,3,bazemke01
23,Bradley Beal,SG,21,WAS,10,418,2%,97%,1%,,,3.7,-3.3,6,14,10,1,23,4,116,4,16,bealbr01
24,Marco Belinelli,SG,28,SAS,7,116,3%,94%,3%,,,8.3,11.4,4,0,1,1,4,0,25,0,0,belinma01
25,Steve Blake,PG,34,POR,5,43,99%,1%,,,,-24.7,-17.8,2,0,2,0,0,0,20,0,0,blakest01
26,Bojan Bogdanović,SF,25,BRK,6,206,,,68%,32%,,-7.9,-7.2,3,3,3,1,3,1,26,1,4,bogdabo02
27,Andrew Bogut,C,30,GSW,19,440,,,,,100%,2.5,-10.0,14,7,34,4,4,4,87,1,6,bogutan01
28,Matt Bonner,PF,34,SAS,7,36,,,,71%,30%,17.4,18.7,0,0,1,1,0,0,3,0,0,bonnema01
29,Avery Bradley,SG,24,BOS,4,133,24%,62%,14%,,,-7.0,11.2,2,1,5,0,3,0,7,0,1,bradlav01
30,Elton Brand,C,35,ATL,3,4,,,,5%,95%,22.2,22.0,0,0,1,0,0,0,0,0,0,brandel01
31,Corey Brewer,SF,28,HOU,17,428,,41%,58%,1%,,-6.4,-9.7,5,6,17,2,20,7,42,3,13,breweco01
32,Aaron Brooks,PG,30,CHI,12,132,100%,,,,,-18.5,-27.6,5,2,7,2,3,1,26,0,5,brookaa01
33,Markel Brown,SG,23,BRK,2,10,,100%,,,,-63.3,-59.6,0,0,0,0,1,0,3,0,0,brownma02
34,Jimmy Butler,SG,25,CHI,12,506,,82%,18%,,,4.7,12.5,12,5,15,2,32,0,87,7,15,butleji01
35,Rasual Butler,SF,35,WAS,2,7,,98%,2%,,,-13.8,-18.3,0,0,1,0,0,0,3,0,0,butlera01
36,Will Bynum,SG,32,WAS,3,31,99%,2%,,,,-9.0,-14.2,3,2,3,0,2,0,6,1,1,bynumwi01
37,Nick Calathes,SG,25,MEM,9,126,8%,38%,54%,1%,,5.5,7.6,8,2,7,0,1,0,34,0,3,calatni01
38,Clint Capela,C,20,HOU,17,127,,,,,100%,-6.8,-5.9,1,0,3,1,10,0,12,3,2,capelca01
39,DeMarre Carroll,SF,28,ATL,16,558,,,100%,,,3.6,11.6,7,4,18,3,20,2,77,4,12,carrode01
40,Vince Carter,SG,38,MEM,11,196,,26%,73%,1%,,-2.4,-3.4,5,1,11,0,7,1,24,5,3,cartevi01
41,Michael Carter-Williams,PG,23,MIL,6,191,93%,7%,,,,-18.2,-17.2,8,6,6,0,7,1,65,4,7,cartemi01
42,Tyson Chandler,C,32,DAL,5,160,,,,,100%,-9.6,-11.4,1,1,9,1,11,2,2,0,3,chandty01
43,Earl Clark,PF,27,BRK,2,13,,,,100%,,-54.8,-51.3,0,0,1,0,0,0,0,0,1,clarkea01
44,Norris Cole,PG,26,NOP,4,106,100%,,,,,8.9,36.2,2,3,8,2,3,1,15,1,2,coleno01
45,Mike Conley,PG,27,MEM,8,243,100%,,,,,2.4,4.8,8,3,4,0,13,3,86,5,5,conlemi01
46,Allen Crabbe,SG,22,POR,2,39,,71%,29%,,,-15.3,-6.4,0,1,1,0,0,0,3,0,1,crabbal01
47,Jamal Crawford,SG,34,LAC,14,379,,23%,74%,3%,,-4.5,-13.1,14,3,9,0,8,0,58,1,12,crawfja01
48,Jae Crowder,SF,24,BOS,4,100,,3%,89%,8%,,-12.6,-4.5,2,0,3,3,6,1,19,3,2,crowdja01
