,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Arron Afflalo,SG,22,DET,12,84,3%,72%,25%,,,-8.5,-12.7,0,1,2,0,0,1,15,0,1,afflaar01
2,Malik Allen,PF,29,DAL,3,18,,,,60%,41%,-1.4,9.6,0,0,2,0,0,0,0,0,0,allenma01
3,Ray Allen*,SG,32,BOS,26,987,,98%,2%,,,7.8,8.0,17,14,28,3,19,9,159,2,11,allenra02
4,Tony Allen,SG,26,BOS,15,65,5%,90%,6%,,,13.2,7.4,0,1,3,0,3,0,7,1,0,allento01
5,Rafer Alston,PG,31,HOU,4,126,100%,,,,,-4.4,-1.6,2,4,3,0,3,1,37,1,2,alstora01
6,Lou Amundson,PF,25,PHI,2,10,,,,83%,17%,47.4,58.2,0,0,1,0,1,1,0,0,0,amundlo01
7,Carmelo Anthony,SF,23,DEN,4,146,,41%,59%,,,-17.6,-16.4,4,4,5,3,12,1,18,1,7,anthoca01
8,Gilbert Arenas,PG,26,WAS,4,94,100%,,,,,-12.8,-12.8,6,1,5,1,3,2,24,0,4,arenagi01
9,Trevor Ariza,SF,22,LAL,8,45,,1%,82%,17%,,-21.6,-25.1,0,1,3,0,1,0,2,0,0,arizatr01
10,Hilton Armstrong,C,23,NOH,8,72,,,,,100%,-12.8,-19.5,0,1,4,3,6,1,0,2,1,armsthi01
11,Carlos Arroyo,PG,28,ORL,4,30,100%,,,,,-41.2,-46.2,1,1,2,0,1,1,8,0,1,arroyca01
12,Chucky Atkins,SG,33,DEN,1,3,,100%,,,,3.6,17.3,0,0,0,0,0,0,0,0,0,atkinch01
13,James Augustine,PF,23,ORL,1,2,,,,100%,,133.3,131.7,0,0,0,0,0,0,0,0,0,augusja01
14,Leandro Barbosa,SG,25,PHO,5,143,47%,53%,,,,-11.5,-21.0,1,1,1,2,5,2,21,2,3,barbole01
15,J.J. Barea,PG,23,DAL,1,5,100%,,,,,-23.3,-13.3,0,0,0,0,0,0,3,0,1,bareajo01
16,Andrea Bargnani,PF,22,TOR,5,104,,,17%,81%,2%,-19.2,-24.2,0,0,6,2,1,0,5,0,2,bargnan01
17,Brent Barry,SF,36,SAS,16,227,,19%,69%,12%,,2.5,4.3,7,2,6,0,2,1,38,1,1,barrybr01
18,Brandon Bass,C,22,DAL,5,133,,,,4%,96%,-6.8,7.9,1,1,7,0,12,0,5,1,2,bassbr01
19,Maceo Baston,PF,32,TOR,1,1,,,,100%,,,,0,0,0,0,0,0,0,0,0,bastoma01
20,Shane Battier,SF,29,HOU,6,246,,1%,97%,2%,,-5.1,-10.4,1,7,12,0,1,1,6,0,2,battish01
21,Raja Bell,SG,31,PHO,5,215,,69%,31%,,,-2.8,0.3,3,0,5,2,6,2,23,0,0,bellra01
22,Mike Bibby,PG,29,ATL,7,252,100%,,,,,-12.8,6.5,8,4,7,1,7,2,47,0,2,bibbymi01
23,Chauncey Billups,PG,31,DET,15,480,98%,2%,,,,2.4,-1.0,10,9,13,1,35,3,184,5,10,billuch01
24,Andray Blatche,PF,21,WAS,6,89,,,,49%,51%,-0.1,6.1,2,2,8,1,4,0,2,0,2,blatcan01
25,Keith Bogans,SG,27,ORL,10,293,,93%,7%,,,4.3,5.6,4,1,12,0,6,2,24,3,3,boganke01
26,Matt Bonner,PF,27,SAS,2,9,,,,,100%,-6.3,-5.7,0,0,0,0,0,0,5,0,0,bonnema01
27,Carlos Boozer,PF,26,UTA,12,441,,,,78%,22%,0.3,1.5,13,13,26,5,28,1,74,4,20,boozeca01
28,Chris Bosh*,C,23,TOR,5,199,,,,20%,80%,-10.5,-32.6,5,5,8,2,23,3,44,8,6,boshch01
29,Bruce Bowen,SF,36,SAS,17,508,,7%,81%,11%,,-1.2,-1.6,2,3,7,3,2,5,54,1,2,bowenbr01
30,Ryan Bowen,SF,32,NOH,9,39,,,100%,,,11.5,7.7,0,1,1,0,1,0,4,0,0,bowenry01
31,Ronnie Brewer,SG,22,UTA,12,305,,97%,3%,,,1.5,3.3,2,0,15,1,11,3,40,3,4,brewero02
32,Aaron Brooks,PG,23,HOU,6,50,100%,,,,,-13.7,-12.3,2,1,4,0,6,1,7,1,3,brookaa01
33,Devin Brown,SG,29,CLE,8,92,,72%,28%,,,-14.3,-20.1,4,3,5,0,7,0,20,0,3,brownde02
34,P.J. Brown,PF,38,BOS,25,341,,,,94%,6%,-7.4,-18.5,2,1,37,4,12,3,25,1,4,brownpj01
35,Kobe Bryant*,SG,29,LAL,21,863,1%,97%,2%,,,3.6,8.9,33,20,26,12,65,6,263,16,18,bryanko01
