,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Arron Afflalo,SG,26,DEN,7,229,,80%,20%,,,-0.1,-1.1,2,5,10,0,4,0,44,0,5,afflaar01
2,Blake Ahearn,PG,27,UTA,3,8,100%,,,,,34.6,54.8,0,0,0,0,0,0,4,0,0,ahearbl01
3,Cole Aldrich,C,23,OKC,5,25,,,,,100%,-22.3,-26.8,0,0,1,0,2,0,0,0,2,aldrico01
4,Lavoy Allen,PF,22,PHI,12,236,,,,39%,61%,8.7,15.2,2,1,13,2,7,0,7,2,5,allenla01
5,Ray Allen*,SG,36,BOS,18,616,,87%,13%,,,-1.5,-6.2,9,6,17,2,14,1,39,1,6,allenra02
6,Tony Allen,SG,30,MEM,7,170,13%,87%,,,,16.5,32.0,5,4,8,0,8,0,10,1,4,allento01
7,Lou Amundson,PF,29,IND,11,94,,,,94%,6%,-23.4,-30.8,2,1,7,1,2,2,4,0,2,amundlo01
8,James Anderson,SG,22,SAS,8,31,,35%,61%,4%,,0.8,-6.7,0,0,0,0,1,0,7,0,0,anderja01
9,Ryan Anderson,PF,23,ORL,5,172,,,,74%,26%,-11.3,5.0,3,1,6,4,4,3,11,1,5,anderry01
10,Carmelo Anthony,SF,27,NYK,5,204,,1%,83%,15%,,-17.3,-6.3,5,5,13,3,18,1,27,4,7,anthoca01
11,Joel Anthony,C,29,MIA,17,329,,,,,100%,5.4,-3.9,3,1,17,4,10,1,6,1,3,anthojo01
12,Gilbert Arenas,PG,30,MEM,6,23,81%,19%,,,,-21.7,-23.8,0,1,3,0,0,1,3,0,2,arenagi01
13,Ömer Aşık,C,25,CHI,6,128,,,,,100%,0.4,4.3,0,3,8,2,7,1,18,1,1,asikom01
14,Jeff Ayres,C,24,IND,4,9,,,,,100%,-65.0,-67.7,0,0,1,0,0,0,0,0,0,pendeje02
15,Kelenna Azubuike,SG,28,DAL,1,5,,100%,,,,111.1,120.0,0,0,0,0,0,0,0,0,0,azubuke01
16,Leandro Barbosa,SG,29,IND,11,223,,94%,6%,,,-12.5,-24.5,6,2,8,2,7,5,33,2,5,barbole01
17,Matt Barnes,SF,31,LAL,11,185,,6%,93%,,,-7.3,-3.8,9,3,15,1,2,0,34,0,5,barnema02
18,Brandon Bass,PF,26,BOS,20,608,,,,92%,8%,-2.7,-9.7,4,5,25,4,30,1,34,2,15,bassbr01
19,Shane Battier,SF,33,MIA,23,768,,7%,83%,11%,,9.2,3.3,9,4,41,2,5,3,62,0,6,battish01
20,Rodrigue Beaubois,PG,23,DAL,2,12,100%,,,,,54.5,64.7,0,1,0,0,0,0,6,0,0,beaubro01
21,Mike Bibby,PG,33,NYK,5,118,100%,,,,,-8.8,15.1,2,1,3,0,1,2,27,0,1,bibbymi01
22,DeJuan Blair,PF,22,SAS,10,76,,,,78%,22%,-3.9,-12.3,0,0,5,1,3,0,5,0,2,blairde01
23,Steve Blake,PG,31,LAL,12,306,100%,,,,,-8.6,-8.4,14,1,12,0,0,2,62,0,2,blakest01
24,Eric Bledsoe,PG,22,LAC,11,189,57%,44%,,,,14.5,30.2,7,3,8,4,4,2,53,1,6,bledser01
25,Matt Bonner,PF,31,SAS,13,165,,,,83%,18%,-3.3,-13.9,2,0,13,1,1,0,22,0,1,bonnema01
26,Carlos Boozer,PF,30,CHI,6,200,,,,72%,28%,-3.5,-4.7,4,12,12,3,4,1,39,3,8,boozeca01
27,Chris Bosh*,PF,27,MIA,14,439,,,,5%,95%,9.8,2.8,8,6,9,2,24,2,19,7,6,boshch01
28,Avery Bradley,PG,21,BOS,10,248,22%,78%,,,,15.7,20.0,4,3,8,0,5,0,17,0,7,bradlav01
29,Elton Brand,C,32,PHI,13,356,,,,61%,39%,-5.0,-9.7,2,4,18,0,16,1,14,2,3,brandel01
30,Corey Brewer,SF,25,DEN,7,116,,31%,68%,,,0.9,1.0,0,2,3,0,4,2,12,1,4,breweco01
31,Ronnie Brewer,SG,26,CHI,5,83,,47%,53%,,,-4.9,-3.8,4,2,1,0,2,0,21,1,2,brewero02
32,Kobe Bryant*,SG,33,LAL,12,476,,88%,12%,,,-4.6,0.5,12,17,13,4,35,4,117,7,19,bryanko01
33,Alec Burks,SG,20,UTA,4,63,,100%,,,,-11.0,10.8,3,0,1,0,7,1,6,1,3,burksal01
34,Caron Butler,SF,31,LAC,10,268,,,93%,6%,,-22.2,-34.5,1,6,9,3,8,0,24,0,6,butleca01
35,Jimmy Butler,SG,22,CHI,3,4,2%,14%,85%,,,-80.4,-79.4,0,0,0,0,0,0,0,0,0,butleji01
36,Andrew Bynum,C,24,LAL,12,451,,,,,100%,-3.6,5.0,2,7,12,1,31,1,40,7,24,bynuman01
37,Brian Cardinal,SF,34,DAL,2,9,,,56%,44%,,18.8,26.2,0,0,0,0,0,0,0,0,0,cardibr01
38,DeMarre Carroll,SF,25,UTA,4,73,,37%,63%,,,-2.2,25.5,2,0,2,1,0,0,6,0,3,carrode01
39,Vince Carter,SG,35,DAL,4,107,,,100%,,,-18.6,-28.3,2,2,6,1,3,2,3,0,2,cartevi01
40,Mario Chalmers,PG,25,MIA,23,819,96%,4%,,,,6.8,-5.2,26,7,29,3,19,7,204,3,13,chalmma01
41,Tyson Chandler,C,29,NYK,5,167,,,,,100%,-12.8,11.6,5,2,10,6,8,1,9,1,1,chandty01
