,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Arron Afflalo,SG,25,DEN,3,85,,83%,17%,,,-10.4,-7.7,2,0,5,1,3,0,16,0,7,afflaar01
2,LaMarcus Aldridge,PF,25,POR,6,258,,,,57%,43%,-12.4,-51.8,2,6,9,0,10,3,18,0,4,aldrila01
3,Malik Allen,PF,32,ORL,1,7,,,,,100%,-41.4,-44.6,0,0,1,0,0,0,0,0,0,allenma01
4,Ray Allen*,SG,35,BOS,9,361,,90%,10%,,,7.7,36.7,7,2,11,0,7,2,48,3,7,allenra02
5,Tony Allen,SG,29,MEM,13,350,11%,89%,,,,-2.1,-2.9,14,3,16,4,17,2,40,1,11,allento01
6,Chris Andersen,C,32,DEN,5,73,,,,3%,97%,-0.9,6.6,1,0,7,1,3,2,7,0,1,anderch01
7,Ryan Anderson,PF,22,ORL,6,147,,,,84%,16%,6.8,10.6,0,0,6,1,2,0,7,0,2,anderry01
8,Carmelo Anthony,SF,26,NYK,4,156,,8%,85%,8%,,-14.4,-25.9,6,4,6,2,13,0,42,5,7,anthoca01
9,Joel Anthony,C,28,MIA,21,575,,,,,100%,7.4,9.8,2,4,29,6,14,2,23,1,8,anthojo01
10,Gilbert Arenas,PG,29,ORL,5,81,70%,30%,,,,0.1,-2.6,2,4,6,0,3,0,26,2,0,arenagi01
11,Trevor Ariza,SF,25,NOH,6,241,,,98%,2%,,-8.6,1.1,2,1,5,1,10,1,44,4,4,arizatr01
12,Hilton Armstrong,C,26,ATL,8,35,,,,,100%,-4.6,0.3,1,1,5,0,2,1,2,0,2,armsthi01
13,Darrell Arthur,PF,22,MEM,13,201,,,1%,96%,3%,-12.8,-17.7,2,3,19,6,9,0,14,2,5,arthuda01
14,Ömer Aşık,C,24,CHI,15,148,,,,,100%,3.4,-1.3,2,3,14,1,5,0,2,3,2,asikom01
15,J.J. Barea,PG,26,DAL,21,390,100%,,,,,-1.8,-14.5,15,6,13,2,12,5,170,3,18,bareajo01
16,Matt Barnes,SF,30,LAL,10,131,,,99%,1%,,-1.7,-0.7,2,2,13,2,3,2,11,1,2,barnema02
17,Earl Barron,C,29,POR,1,0,,,,100%,,,,0,0,0,0,0,0,0,0,0,barroea01
18,Brandon Bass,PF,25,ORL,6,139,,,,100%,,-2.3,-7.5,2,2,2,1,6,0,5,1,2,bassbr01
19,Tony Battie,C,34,PHI,5,38,,,,10%,90%,-19.3,-12.9,0,1,5,0,1,0,0,0,0,battito01
20,Shane Battier,SF,32,MEM,13,339,,,94%,6%,,1.2,3.9,2,1,9,3,2,4,34,1,3,battish01
21,Nicolas Batum,SF,22,POR,6,151,,7%,77%,16%,,-9.7,-6.7,2,3,5,2,2,1,17,0,3,batumni01
22,Marco Belinelli,SG,24,NOH,6,173,1%,81%,19%,,,-11.8,-7.7,1,1,4,2,2,2,9,0,6,belinma01
23,Mike Bibby,PG,32,MIA,20,415,100%,,,,,-6.3,-15.6,13,2,13,1,0,2,50,0,0,bibbymi01
24,Chauncey Billups,PG,34,NYK,1,35,100%,,,,,3.4,15.3,3,0,1,0,1,0,9,0,0,billuch01
25,DeJuan Blair,PF,21,SAS,4,50,,,,97%,3%,13.3,20.6,1,0,5,0,3,2,5,1,6,blairde01
