,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Bam Adebayo,C,25,MIA,23,850,,,,,100%,2.6,4.0,18,21,28,12,44,6,213,13,22,adebaba01
2,Santi Aldama,PF,22,MEM,6,101,,,,86%,13%,-16.5,-14.5,1,0,4,1,1,0,17,0,1,aldamsa01
3,Nickeil Alexander-Walker,SG,24,MIN,5,148,,17%,81%,2%,,1.0,25.4,2,0,0,0,1,5,15,1,0,alexani01
4,Grayson Allen,SG,27,MIL,5,149,7%,88%,5%,,,-5.1,2.1,3,0,3,0,4,3,23,2,3,allengr01
5,Jarrett Allen,C,24,CLE,5,191,,,,,100%,-6.3,-3.5,0,3,5,0,3,0,30,0,5,allenja01
6,Kyle Anderson,PF,29,MIN,4,104,,,21%,79%,,-13.5,-7.7,2,1,5,1,1,0,42,0,2,anderky01
7,Giannis Antetokounmpo,PF,28,MIL,3,91,,,,75%,25%,-9.6,-6.0,3,4,2,5,17,0,41,5,2,antetgi01
8,Thanasis Antetokounmpo,PF,30,MIL,2,5,,,76%,24%,,-11.8,-6.0,0,0,0,0,0,0,0,0,0,antetth01
9,Deandre Ayton,C,24,PHO,10,319,,,,,100%,-3.4,-4.2,5,3,20,5,12,1,24,5,8,aytonde01
10,Patrick Baldwin Jr.,SF,20,GSW,3,11,,,,100%,,-21.4,-21.5,0,0,0,0,0,0,3,0,0,baldwpa01
11,Mo Bamba,C,24,LAL,3,10,,,,,100%,30.0,27.8,0,0,0,0,0,0,2,0,0,bambamo01
12,Desmond Bane,SG,24,MEM,6,231,,64%,34%,1%,,-5.8,6.2,6,8,9,1,11,1,49,1,13,banede01
13,Harrison Barnes,PF,30,SAC,7,196,,,4%,96%,,-13.0,-26.3,1,2,5,0,12,1,13,1,0,barneha02
14,RJ Barrett,SG,22,NYK,11,377,,49%,51%,,,-4.6,-17.1,11,6,9,3,30,0,74,5,13,barrerj01
