,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Jaylen Adams,PG,23,POR,3,21,100%,,,,,48.3,65.2,0,0,1,0,0,1,5,0,1,adamsja01
2,Steven Adams,C,26,OKC,7,210,,,,,100%,-13.1,-14.5,6,6,3,3,9,0,22,4,4,adamsst01
3,Bam Adebayo,PF,22,MIA,19,687,,,,6%,94%,4.5,8.0,19,10,31,11,43,3,210,8,18,adebaba01
4,Jarrett Allen,C,21,BRK,4,132,,,,,100%,-12.8,26.3,5,2,1,3,6,1,24,0,3,allenja01
5,Justin Anderson,SG,26,BRK,3,28,,61%,28%,12%,,-26.6,-6.1,1,0,1,1,1,0,7,0,0,anderju01
6,Giannis Antetokounmpo,PF,25,MIL,9,277,,,,65%,35%,2.2,2.4,3,9,10,11,37,1,134,6,8,antetgi01
7,Carmelo Anthony,PF,35,POR,5,176,,,48%,52%,,-18.0,-24.3,1,6,6,4,8,1,23,2,4,anthoca01
8,OG Anunoby,SF,22,TOR,11,393,,1%,73%,26%,,3.4,-5.2,6,6,12,1,14,2,32,2,9,anunoog01
9,D.J. Augustin,PG,32,ORL,5,128,100%,,,,,-8.4,-0.6,7,1,1,3,8,5,75,0,3,augusdj01
10,J.J. Barea,PG,35,DAL,1,5,100%,,,,,-90.4,-82.7,0,0,0,0,1,0,0,0,0,bareajo01
11,Keita Bates-Diop,SF,24,DEN,5,24,,,84%,14%,2%,4.4,7.2,0,0,0,0,0,0,2,0,0,bateske01
12,Darius Bazley,PF,19,OKC,7,126,,,4%,96%,,0.0,11.6,1,3,1,1,5,0,15,0,1,bazleda01
13,Patrick Beverley,PG,31,LAC,8,166,69%,31%,,,,4.7,1.0,4,2,10,0,0,5,49,0,1,beverpa01
14,Khem Birch,C,27,ORL,5,89,,,,38%,62%,6.7,23.7,2,0,5,2,6,2,16,1,2,birchkh01
15,Eric Bledsoe,PG,30,MIL,9,267,100%,,,,,3.2,4.3,12,7,7,1,14,5,126,4,7,bledser01
16,Bol Bol,PF,20,DEN,4,21,,,,62%,38%,47.6,51.4,1,0,1,0,4,0,0,0,1,bolbo01
17,Chris Boucher,C,27,TOR,7,43,,,,25%,75%,-4.2,-9.9,1,0,5,0,0,1,3,0,0,bouchch01
18,Tony Bradley,C,22,UTA,6,48,,,,,100%,20.1,18.7,0,2,3,1,4,0,2,1,4,bradlto01
19,Jarrell Brantley,PF,23,UTA,2,13,,,14%,68%,19%,-37.5,-42.9,0,0,2,1,1,0,6,0,1,brantja01
20,Malcolm Brogdon,PG,27,IND,4,160,65%,35%,,,,-8.3,17.5,4,4,4,1,15,0,96,2,4,brogdma01
21,Jaylen Brown,SG,23,BOS,17,672,,16%,77%,7%,,4.1,-4.7,19,8,21,5,33,4,94,9,19,brownja02
22,Sterling Brown,SF,24,MIL,1,4,,100%,,,,-112.5,-114.6,0,0,0,0,0,0,0,0,0,brownst02
