,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Malik Allen,PF,25,MIA,10,138,,,2%,27%,71%,8.4,10.6,1,2,9,1,4,,8,1,4,allenma01
2,Rafer Alston,PG,27,MIA,13,295,100%,,,,,-3.6,-7.0,7,2,5,0,3,,48,0,5,alstora01
3,Chris Andersen,PF,25,DEN,5,34,,,,100%,,37.4,49.0,1,1,3,0,0,,5,0,1,anderch01
4,Kenny Anderson,PG,33,IND,4,19,100%,,,,,-59.3,-66.3,4,1,1,0,0,,2,0,3,anderke01
5,Shandon Anderson,SG,30,NYK,4,117,,92%,8%,,,-8.2,11.4,6,2,6,0,1,,23,0,3,andersh01
6,Carmelo Anthony,SF,19,DEN,4,143,,,97%,3%,,-10.1,-14.0,4,5,3,3,7,,23,1,4,anthoca01
7,Brandon Armstrong,SG,23,NJN,8,32,31%,48%,21%,,,-1.9,-4.4,0,0,2,0,0,,7,0,0,armstbr01
8,Darrell Armstrong,PG,35,NOH,7,150,100%,,,,,-7.7,-7.5,5,6,2,1,1,,36,0,3,armstda01
9,Chucky Atkins,PG,29,BOS,4,133,100%,,,,,-19.8,-1.9,7,3,0,0,7,,35,1,3,atkinch01
10,Stacey Augmon,SF,35,NOH,7,168,,,98%,3%,,-4.4,-1.8,6,4,6,1,4,,15,0,2,augmost01
11,Vin Baker,PF,32,NYK,4,57,,,,2%,98%,-7.5,7.3,0,1,6,1,4,,3,1,2,bakervi01
12,Marcus Banks,PG,22,BOS,4,60,100%,,,,,-17.9,1.9,2,1,2,0,2,,16,0,2,banksma01
13,Dana Barros,SG,36,BOS,1,1,,100%,,,,100.0,119.6,0,0,0,0,0,,0,0,0,barroda01
14,Jon Barry,SG,34,DEN,5,100,,87%,13%,,,-6.9,-3.9,2,2,1,0,2,,21,1,3,barryjo01
15,Shane Battier,SF,25,MEM,4,69,,,89%,12%,,-24.2,-12.4,1,0,9,3,3,,2,0,1,battish01
16,Jonathan Bender,SF,23,IND,16,200,,,98%,2%,,3.7,-2.2,4,4,10,2,8,,16,2,7,bendejo01
17,Mike Bibby,PG,25,SAC,12,497,100%,,,,,2.6,16.1,20,11,18,4,20,,179,2,16,bibbymi01
18,Chauncey Billups,PG,27,DET,23,881,97%,3%,,,,8.3,3.8,28,22,22,4,41,,290,5,14,billuch01
19,Mark Blount,C,28,BOS,4,145,,,,15%,85%,-13.5,23.4,3,2,10,3,10,,9,1,4,blounma01
20,Bruce Bowen,SF,32,SAS,10,298,,49%,51%,,,-0.6,-10.4,2,1,9,1,3,,24,1,5,bowenbr01
