,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Precious Achiuwa,PF,21,MIA,3,12,,,,91%,9%,0.0,20.3,1,2,0,1,2,0,0,0,1,achiupr01
2,Bam Adebayo,C,23,MIA,4,136,,,,6%,94%,-17.5,5.3,5,2,7,2,7,0,42,3,0,adebaba01
3,Ty-Shon Alexander,SG,22,PHO,1,1,,100%,,,,-83.3,-88.4,0,0,0,0,0,0,0,0,0,alexaty01
4,Grayson Allen,SG,25,MEM,5,116,,60%,40%,,,-23.9,-27.6,1,0,8,0,0,0,2,0,2,allengr01
5,Kyle Anderson,PF,27,MEM,5,142,,,48%,49%,3%,-8.9,1.9,2,0,4,1,1,0,35,0,2,anderky01
6,Giannis Antetokounmpo,PF,26,MIL,21,800,,,1%,82%,17%,7.5,8.0,16,24,18,12,96,2,270,25,12,antetgi01
7,Thanasis Antetokounmpo,SF,28,MIL,13,45,,5%,58%,37%,,-0.6,-6.0,2,0,7,1,2,1,7,0,1,antetth01
8,Carmelo Anthony,PF,36,POR,6,143,,,,58%,42%,-18.7,-32.1,3,2,4,0,5,2,23,3,1,anthoca01
9,Trevor Ariza,SF,35,MIA,4,96,,,,100%,,-21.7,-4.8,3,0,6,0,0,2,5,0,1,arizatr01
10,Deandre Ayton,C,22,PHO,22,801,,,,,100%,4.4,-2.4,9,15,43,4,28,0,60,9,13,aytonde01
11,Udoka Azubuike,C,21,UTA,1,1,,,,,100%,50.0,50.5,0,0,0,0,0,0,0,0,0,azubuud01
12,Desmond Bane,SG,22,MEM,5,99,,21%,62%,17%,,-10.3,-1.1,1,2,3,0,0,0,24,0,0,banede01
13,RJ Barrett,SG,20,NYK,5,162,,78%,22%,,,-12.7,-14.6,1,1,3,0,9,0,38,3,2,barrerj01
14,Will Barton,SF,30,DEN,3,83,,59%,39%,2%,,-2.2,4.7,0,4,1,0,1,0,21,0,1,bartowi01
15,Nicolas Batum,SF,32,LAC,19,555,,,6%,76%,17%,13.0,21.5,4,0,12,0,8,1,103,1,2,batumni01
16,Bradley Beal,SG,27,WAS,5,195,,34%,62%,3%,,-14.4,-3.4,9,9,2,2,13,4,51,0,14,bealbr01
17,Dāvis Bertāns,PF,28,WAS,4,106,,,,98%,2%,-16.3,-4.3,0,1,6,0,2,0,2,0,1,bertada01
18,Patrick Beverley,PG,32,LAC,17,323,91%,9%,,,,1.1,-5.4,1,2,15,1,6,6,63,2,3,beverpa01
