,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Ray Allen*,SG,37,MIA,23,573,,57%,43%,,,13.3,12.6,14,6,17,4,17,1,69,6,6,allenra02
2,Tony Allen,SG,31,MEM,15,422,,91%,9%,,,8.9,18.4,9,6,21,2,26,3,60,6,13,allento01
3,Chris Andersen,C,34,MIA,20,303,,,,16%,84%,20.8,18.3,3,3,24,4,22,1,8,7,2,anderch01
4,James Anderson,SG,23,HOU,2,18,,27%,63%,10%,,-27.6,-23.5,0,0,2,0,0,0,0,0,1,anderja01
5,Carmelo Anthony,PF,28,NYK,12,481,,,17%,83%,,0.9,-13.9,4,10,14,13,40,5,49,7,16,anthoca01
6,Joel Anthony,C,30,MIA,14,71,,,,18%,82%,-10.9,-19.4,0,0,9,2,0,0,0,0,2,anthojo01
7,Darrell Arthur,PF,24,MEM,15,175,,,,99%,1%,-5.6,-8.9,2,1,10,4,4,2,15,1,2,arthuda01
8,Ömer Aşık,C,26,HOU,6,208,,,,,100%,3.5,30.4,2,5,13,4,18,0,8,3,5,asikom01
9,D.J. Augustin,PG,25,IND,19,316,100%,,,,,-16.6,-26.1,6,2,9,1,3,5,27,0,9,augusdj01
10,Gustavo Ayón,C,27,MIL,3,7,,,,,100%,51.6,70.9,0,0,0,0,0,0,0,0,1,ayongu01
11,Jeff Ayres,PF,25,IND,9,71,,,24%,76%,,-8.8,-10.1,1,0,7,2,0,0,3,0,1,pendeje02
12,Harrison Barnes,SF,20,GSW,12,461,,,36%,60%,4%,2.6,10.0,4,6,13,5,16,2,35,1,6,barneha02
13,Matt Barnes,SF,32,LAC,6,162,,,86%,14%,,5.0,27.0,2,1,11,2,7,1,6,1,4,barnema02
14,Brandon Bass,PF,27,BOS,6,204,,,55%,43%,3%,-2.7,12.4,2,2,9,0,6,1,17,1,4,bassbr01
15,Shane Battier,SF,34,MIA,22,392,,,78%,22%,,8.8,2.4,3,1,35,1,5,0,27,0,2,battish01
16,Jerryd Bayless,PG,24,MEM,15,320,13%,86%,1%,,,-7.6,-15.6,10,4,15,1,9,0,72,2,6,bayleje01
17,Aron Baynes,C,26,SAS,4,23,,,,52%,49%,38.2,31.5,0,1,2,0,0,1,0,0,1,baynear01
18,Kent Bazemore,SG,23,GSW,9,16,21%,48%,31%,,,-42.1,-43.8,1,1,1,0,0,0,5,0,1,bazemke01
19,Marco Belinelli,SG,26,CHI,12,325,,95%,5%,,,-13.4,-13.5,6,7,9,2,7,5,73,2,7,belinma01
20,Patrick Beverley,PG,24,HOU,6,200,90%,10%,,,,1.5,22.8,3,1,7,2,3,4,39,1,5,beverpa01
21,Andris Biedriņš,C,26,GSW,3,17,,,,36%,64%,-3.3,-3.8,1,0,6,0,0,0,3,0,0,biedran01
22,Chauncey Billups,SG,36,LAC,6,115,,95%,5%,,,-16.4,-16.2,5,2,6,1,3,0,13,1,3,billuch01
23,DeJuan Blair,PF,23,SAS,12,76,,,,89%,11%,35.2,30.1,0,1,9,0,5,1,15,1,1,blairde01
24,Steve Blake,PG,32,LAL,2,75,100%,,,,,-17.8,4.5,1,2,4,0,1,0,10,1,2,blakest01
