,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Shareef Abdur-Rahim,PF,29,SAC,6,129,,,,14%,86%,-2.0,14.2,5,3,15,3,6,0,18,1,4,abdursh01
2,Malik Allen,PF,27,CHI,6,116,,,,64%,36%,-6.6,-6.7,2,6,9,2,1,0,17,1,2,allenma01
3,Derek Anderson,SG,31,MIA,8,66,,95%,5%,,,-1.7,-6.5,2,1,4,0,1,0,12,0,1,anderde01
4,Shandon Anderson,SF,32,MIA,13,90,,21%,76%,3%,,19.3,16.2,4,0,4,0,2,0,11,0,1,andersh01
5,Carmelo Anthony,SF,21,DEN,5,193,,,88%,12%,,-2.7,31.7,4,3,3,4,18,1,30,2,7,anthoca01
6,Gilbert Arenas,PG,24,WAS,6,284,100%,,,,,0.7,-3.2,7,9,9,3,32,2,71,11,4,arenagi01
7,Darrell Armstrong,PG,37,DAL,11,47,100%,,,,,-10.2,-15.2,0,1,4,0,1,2,4,0,1,armstda01
8,Chucky Atkins,PG,31,MEM,4,103,100%,,,,,-21.2,-10.2,3,0,5,0,2,3,25,0,1,atkinch01
9,Leandro Barbosa,SG,23,PHO,20,632,10%,89%,1%,,,-1.1,-9.0,8,11,24,3,21,4,133,5,14,barbole01
10,Brent Barry,SG,34,SAS,13,301,,96%,4%,,,-6.3,-16.5,4,0,16,3,6,2,49,1,4,barrybr01
11,Shane Battier,SF,27,MEM,4,129,,,84%,16%,,-8.2,23.4,2,2,8,3,4,4,5,2,1,battish01
12,Charlie Bell,SG,26,MIL,5,108,,99%,1%,,,-11.7,0.1,2,2,6,0,3,1,14,1,5,bellch01
13,Raja Bell,SG,29,PHO,17,673,,56%,44%,,,2.6,1.4,4,5,22,1,14,21,87,3,11,bellra01
14,Mike Bibby,PG,27,SAC,6,255,100%,,,,,-6.7,27.6,12,2,6,4,12,2,66,1,4,bibbymi01
15,Chauncey Billups,PG,29,DET,18,705,81%,19%,,,,6.1,12.9,20,13,20,6,33,1,270,4,10,billuch01
16,Andrew Bogut,PF,21,MIL,5,172,,,,58%,42%,-12.0,-0.6,4,1,9,1,2,1,40,0,4,bogutan01
17,Bruce Bowen,SF,34,SAS,13,442,,,42%,58%,,-2.3,-13.7,4,2,13,2,1,3,39,0,2,bowenbr01
18,Earl Boykins,PG,29,DEN,5,140,100%,,,,,-17.8,-21.4,3,0,2,0,4,0,43,1,2,boykiea01
19,Elton Brand,PF,26,LAC,12,517,,,,53%,47%,3.7,0.7,13,6,15,3,32,0,107,8,11,brandel01
20,Kwame Brown,C,23,LAL,7,225,,,,,100%,-15.5,-21.0,1,2,14,5,17,1,15,5,5,brownkw01
21,Kobe Bryant*,SG,27,LAL,7,314,1%,92%,7%,,,-9.5,-17.0,18,5,5,8,9,0,83,2,4,bryanko01
22,Greg Buckner,SG,29,DEN,5,137,,90%,10%,,,-3.4,12.9,1,0,5,0,2,0,12,0,2,buckngr01
23,Pat Burke,C,32,PHO,3,7,,,,,100%,-11.4,-13.7,0,0,0,0,1,0,0,0,1,burkepa01
24,Antonio Burks,PG,25,MEM,2,13,37%,63%,,,,35.8,55.8,0,0,1,0,0,0,4,0,0,burksan01
25,Caron Butler,SF,25,WAS,6,262,,33%,65%,2%,,-0.2,-8.6,1,9,11,2,12,0,36,2,9,butleca01
26,Andrew Bynum,C,18,LAL,1,2,,,,,100%,-170.0,-163.1,0,0,0,0,0,0,0,0,0,bynuman01
27,Marcus Camby,C,31,DEN,5,175,,,,22%,78%,-6.7,7.7,4,0,8,0,4,9,23,1,0,cambyma01
28,Brian Cardinal,PF,28,MEM,3,22,,,,77%,23%,-28.5,-13.7,0,0,0,0,0,1,2,0,0,cardibr01
29,Vince Carter,SG,29,NJN,11,450,,91%,9%,,,0.7,13.2,10,10,14,4,42,5,127,12,7,cartevi01
30,Sam Cassell,PG,36,LAC,12,404,100%,,,,,-1.0,-14.4,9,9,12,8,23,3,148,4,5,cassesa01
31,Kelvin Cato,C,31,DET,4,15,,,,,100%,6.3,2.7,0,0,0,0,0,0,0,0,0,catoke01
32,Tyson Chandler,C,23,CHI,6,104,,,,,100%,-2.5,0.3,1,1,11,2,4,4,6,2,0,chandty01
33,Jason Collins,C,27,NJN,11,302,,,,,100%,0.0,2.7,3,1,26,3,9,13,6,2,3,collija04
34,Brian Cook,PF,25,LAL,7,78,,,,69%,31%,11.3,24.9,1,0,4,2,1,1,19,0,2,cookbr01
35,Austin Croshere,PF,30,IND,6,175,,,,96%,4%,-5.1,-0.1,3,2,4,1,6,3,17,0,0,croshau01
36,Erick Dampier,C,30,DAL,19,454,,,,,100%,7.7,5.5,3,3,41,2,16,1,13,3,11,dampier01
37,Antonio Daniels,SG,30,WAS,6,216,6%,94%,,,,4.5,13.8,5,4,3,0,10,4,45,4,1,daniean01
38,Marquis Daniels,SG,25,DAL,20,222,3%,74%,23%,,,1.2,-4.0,6,2,14,4,8,10,59,3,7,daniema01
39,Dale Davis,C,36,DET,8,36,,,,28%,72%,-28.3,-33.5,2,0,6,1,1,1,2,0,1,davisda01
40,Carlos Delfino,SG,23,DET,8,32,,,66%,31%,3%,-6.2,-10.3,5,0,1,0,1,2,4,0,0,delfica01
41,Tony Delk,PG,32,DET,16,138,57%,43%,,,,-0.6,-5.1,3,0,4,1,1,0,20,0,2,delkto01
42,Luol Deng,SF,20,CHI,6,180,,,76%,24%,,-8.7,-16.6,1,1,6,2,8,2,6,0,3,denglu01
43,Boris Diaw,PF,23,PHO,20,796,,,,60%,40%,3.1,5.1,24,11,37,15,46,5,249,19,19,diawbo01
44,DeSagana Diop,C,24,DAL,22,407,,,,,100%,3.8,-0.9,1,3,45,2,9,1,5,4,5,diopde01
45,Michael Doleac,C,28,MIA,8,72,,,,,100%,-3.7,-8.8,1,1,6,1,0,3,0,0,0,doleami01
46,Chris Duhon,PG,23,CHI,6,131,90%,10%,,,,-6.6,-7.4,2,3,4,0,1,1,33,0,2,duhonch01
47,Tim Duncan*,PF,29,SAS,13,493,,,,18%,82%,5.3,13.1,9,16,38,6,66,1,103,23,16,duncati01
48,Francisco Elson,C,29,DEN,5,75,,,,,100%,-38.9,-43.6,0,1,7,0,0,3,5,0,0,elsonfr01
49,Maurice Evans,SG,27,DET,16,101,,9%,88%,3%,,10.3,7.6,1,0,6,1,5,1,8,0,3,evansma01
50,Reggie Evans,PF,25,DEN,5,69,,,,74%,26%,-11.4,-3.7,0,2,6,1,6,0,0,1,0,evansre01
51,Daniel Ewing,SG,22,LAC,6,5,66%,34%,,,,44.4,41.1,0,0,0,0,0,0,0,0,0,ewingda01
52,Michael Finley,SG,32,SAS,13,411,,7%,74%,18%,,0.7,-4.2,5,3,12,1,4,1,42,0,4,finlemi01
53,T.J. Ford,PG,22,MIL,5,162,100%,,,,,-1.6,29.2,13,1,9,1,6,0,71,2,1,fordtj01
54,Jeff Foster,C,29,IND,4,80,,,,3%,97%,-13.2,-11.5,0,0,2,0,1,0,6,0,1,fosteje01
55,Dan Gadzuric,C,27,MIL,4,16,,,,50%,50%,22.1,36.5,0,0,1,0,2,0,0,2,0,gadzuda01
56,Francisco García,SF,24,SAC,6,41,,,67%,34%,,-43.0,-38.6,0,0,4,0,0,0,2,0,0,garcifr01
57,Pau Gasol*,PF,25,MEM,4,158,,,,72%,28%,-14.8,8.4,6,3,4,1,12,1,29,1,5,gasolpa01
58,Devean George,SF,28,LAL,7,121,,4%,88%,8%,,3.9,18.2,0,0,5,0,1,2,9,0,0,georgde01
59,Eddie Gill,PG,27,IND,2,1,100%,,,,,-95.0,-90.9,1,0,0,0,0,0,0,0,0,gilled01
60,Manu Ginóbili*,SG,28,SAS,13,426,,71%,29%,,,10.5,24.9,17,11,16,2,30,20,89,7,5,ginobma01
61,Drew Gooden,PF,24,CLE,13,282,,,,83%,17%,-5.9,-3.8,4,8,18,3,9,0,19,2,9,goodedr01
62,Ben Gordon,SG,22,CHI,6,245,,81%,19%,,,-2.0,4.0,8,5,3,2,13,3,45,3,5,gordobe01
63,Danny Granger,SF,22,IND,6,162,,,63%,37%,,-10.4,-12.9,3,1,9,2,0,1,22,0,1,grangda01
64,Brian Grant,C,33,PHO,5,12,,,,,100%,-58.8,-61.7,0,0,2,0,1,1,0,0,0,grantbr01
65,Adrian Griffin,SG,31,DAL,20,349,6%,89%,6%,,,6.3,2.9,5,1,21,2,4,0,55,2,5,griffad01
66,Richard Hamilton,SG,27,DET,18,690,,96%,4%,,,5.4,8.6,20,10,18,3,35,5,106,9,32,hamilri01
67,Othella Harrington,C,32,CHI,3,15,,,4%,65%,32%,13.0,16.4,0,0,0,0,0,0,0,0,0,harriot01
68,Devin Harris,PG,22,DAL,23,558,41%,60%,,,,1.3,-6.2,25,7,31,9,36,17,115,15,16,harride01
69,David Harrison,C,23,IND,6,31,,,,,100%,-33.3,-32.2,1,1,2,2,3,0,0,0,1,harrida01
70,Jason Hart,PG,27,SAC,5,52,55%,45%,,,,-43.8,-40.9,2,0,4,1,1,0,6,0,1,hartja01
71,Udonis Haslem,PF,25,MIA,22,650,,,,92%,8%,-0.2,-11.3,8,10,33,6,26,7,36,6,6,hasleud01
72,Brendan Haywood,C,26,WAS,6,155,,,,,100%,-5.2,-12.0,0,3,14,0,11,0,12,2,0,haywobr01
73,Alan Henderson,C,33,CLE,2,9,,,,100%,,27.8,32.0,0,0,0,0,0,0,0,0,2,hendeal01
74,Kirk Hinrich,PG,25,CHI,6,234,65%,32%,3%,,,1.0,18.7,14,8,8,0,16,5,104,2,10,hinriki01
75,Robert Horry,PF,35,SAS,13,224,,,,85%,15%,-2.2,-6.7,8,1,14,0,10,3,25,2,2,horryro01
76,Eddie House,PG,27,PHO,14,130,100%,,,,,-19.1,-24.5,2,1,6,1,1,1,13,0,1,houseed01
77,Josh Howard,SF,25,DAL,23,824,,,80%,20%,,7.9,13.0,14,13,32,16,46,11,73,9,13,howarjo01
78,Larry Hughes,SG,27,CLE,9,336,,84%,17%,,,-5.6,-4.1,7,4,13,3,12,1,76,2,13,hughela01
79,Lindsey Hunter,PG,35,DET,18,217,100%,,,,,-8.5,-16.2,6,2,12,4,0,4,63,0,3,hunteli01
80,Zydrunas Ilgauskas,C,30,CLE,13,354,,,,,100%,-9.1,-12.0,4,4,28,4,16,3,21,2,8,ilgauzy01
81,D.J. Mbenga,C,25,DAL,7,25,,,,14%,86%,12.9,8.7,1,0,4,2,1,0,0,0,0,mbengdj01
82,Bobby Jackson,PG,32,MEM,4,100,89%,11%,,,,-13.2,6.4,4,2,1,4,4,1,11,1,2,jacksbo01
83,Jermaine Jackson,PG,29,MIL,2,4,100%,,,,,28.6,41.0,0,0,0,0,0,0,4,0,0,jacksje01
84,Jim Jackson,SF,35,LAL,3,21,,,100%,,,-4.3,3.8,1,0,1,0,0,0,4,0,0,jacksji01
85,Stephen Jackson,SG,27,IND,6,227,,51%,49%,,,-0.1,22.6,5,5,13,3,9,0,45,2,6,jacksst02
86,LeBron James,SF,21,CLE,13,604,,,94%,7%,,-4.8,-21.1,28,16,19,10,51,2,167,16,5,jamesle01
87,Antawn Jamison,SF,29,WAS,6,253,,,47%,53%,,3.1,16.4,5,4,15,1,11,1,41,1,5,jamisan01
88,Šarūnas Jasikevičius,PG,29,IND,6,66,57%,43%,,,,-19.7,-19.1,3,1,4,1,1,0,14,0,1,jasiksa01
89,Richard Jefferson,SF,25,NJN,11,437,,6%,90%,5%,,-2.0,-5.0,6,10,9,9,26,2,106,4,9,jefferi01
90,Jared Jeffries,PF,24,WAS,6,215,,,,71%,29%,-1.0,-6.6,2,7,8,2,8,5,21,1,5,jeffrja01
91,Anthony Johnson,PG,31,IND,6,242,100%,,,,,2.9,49.5,7,2,8,1,11,3,73,4,3,johnsan02
92,DerMarr Johnson,SG,25,DEN,3,34,,26%,71%,3%,,-17.2,-9.7,1,0,0,0,0,1,6,0,0,johnsde03
