,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
1,Precious Achiuwa,C,22,TOR,6,167,,,,2%,98%,-8.8,1.4,1,5,8,2,6,4,15,2,6,achiupr01
2,Steven Adams,C,28,MEM,7,114,,,,,100%,3.5,1.7,2,2,6,0,4,0,34,1,3,adamsst01
3,Bam Adebayo,C,24,MIA,18,614,,,,,100%,6.6,8.4,11,16,21,8,36,2,118,11,8,adebaba01
4,Nickeil Alexander-Walker,SG,23,UTA,1,5,,100%,,,,40.0,46.7,0,0,0,0,1,0,2,1,0,alexani01
5,Grayson Allen,SG,26,MIL,12,305,2%,81%,18%,,,-4.6,-12.7,6,2,13,0,7,4,36,4,4,allengr01
6,Jose Alvarado,PG,23,NOP,6,117,100%,,,,,-11.4,-15.6,5,0,2,2,4,3,22,1,1,alvarjo01
7,Kyle Anderson,PF,28,MEM,12,221,,,,28%,72%,1.7,-0.7,5,0,10,2,5,0,54,2,1,anderky01
8,Giannis Antetokounmpo,PF,27,MIL,12,448,,,16%,68%,16%,7.7,28.8,14,13,9,21,71,2,204,18,24,antetgi01
9,Thanasis Antetokounmpo,SF,29,MIL,8,20,,,77%,23%,,-21.4,-23.6,0,0,3,0,2,0,2,1,0,antetth01
10,OG Anunoby,SF,24,TOR,6,217,12%,55%,33%,,,-8.5,3.4,1,6,7,2,7,3,32,2,6,anunoog01
11,Deandre Ayton,C,23,PHO,13,397,,,,1%,99%,0.3,4.3,2,6,19,7,18,0,53,5,5,aytonde01
12,Desmond Bane,SG,23,MEM,12,428,1%,71%,28%,,,11.0,34.1,9,4,10,3,13,3,64,4,17,banede01
13,Dalano Banton,PG,22,TOR,4,8,,,100%,,,-56.5,-48.6,0,1,0,0,3,0,2,2,0,bantoda01
14,Scottie Barnes,PF,20,TOR,4,133,,,54%,46%,,-9.5,-0.1,3,1,4,0,6,0,38,2,1,barnesc01
15,Will Barton,SG,31,DEN,5,172,,62%,32%,5%,,-13.3,-12.4,8,2,7,0,3,0,34,0,7,bartowi01
16,Charles Bassey,C,21,PHI,3,12,,,,,100%,-16.0,-17.2,0,0,1,0,1,0,3,1,0,bassech01
17,Malik Beasley,SG,25,MIN,6,119,,79%,21%,,,-14.1,-16.2,3,3,6,0,2,0,10,1,4,beaslma01
18,Dāvis Bertāns,PF,29,DAL,18,192,,,2%,52%,46%,1.3,1.0,1,0,7,2,5,2,16,2,0,bertada01
19,Patrick Beverley,PG,33,MIN,6,194,84%,16%,,,,-4.9,-0.6,4,5,10,1,9,2,74,2,2,beverpa01
20,Khem Birch,C,29,TOR,6,63,,,,,100%,0.4,12.4,0,1,5,2,0,0,9,0,1,birchkh01
21,Bismack Biyombo,C,29,PHO,9,86,,,,2%,98%,8.2,11.0,3,1,9,1,3,0,10,0,2,biyombi01
22,Nemanja Bjelica,C,33,GSW,15,150,,,,,100%,-6.1,-13.4,5,1,12,1,4,1,41,1,4,bjeline01
23,Bogdan Bogdanović,SG,29,ATL,4,107,,54%,47%,,,-6.3,12.7,2,1,7,0,2,0,29,0,2,bogdabo01
24,Bojan Bogdanović,PF,32,UTA,6,214,,,2%,98%,1%,-10.5,-18.6,2,6,9,4,9,0,22,0,4,bogdabo02
25,Isaac Bonga,SF,22,TOR,1,3,,,,100%,,11.9,21.7,0,0,0,0,0,0,0,0,0,bongais01
26,Devin Booker,SG,25,PHO,10,366,3%,93%,4%,,,-3.1,-4.5,17,9,12,5,19,3,103,3,6,bookede01
27,Chris Boucher,SF,29,TOR,6,130,,39%,52%,9%,,0.2,17.3,0,1,8,1,4,5,3,0,3,bouchch01
28,Tony Bradley,C,24,CHI,2,8,,,,,100%,55.6,71.7,0,0,0,0,0,0,2,0,0,bradlto01
29,Mikal Bridges,SF,25,PHO,13,500,,15%,85%,,,0.7,9.2,5,4,11,0,9,6,82,2,4,bridgmi01
30,Armoni Brooks,PG,23,TOR,4,8,,100%,,,,-52.9,-44.9,0,0,0,0,0,0,0,0,0,brookar01
31,Dillon Brooks,SF,26,MEM,11,335,,9%,85%,6%,,5.6,8.0,11,6,14,2,11,6,69,2,11,brookdi01
32,Bruce Brown,SF,25,BRK,4,139,,2%,82%,16%,,-7.5,-10.0,5,2,10,2,5,0,28,0,3,brownbr01
33,Jaylen Brown,SF,25,BOS,24,920,,66%,34%,,,3.5,-1.5,25,33,25,9,55,7,213,14,24,brownja02
34,Sterling Brown,SG,26,DAL,9,26,,1%,44%,55%,,-13.6,-14.7,1,2,0,0,2,1,8,1,1,brownst02
35,Troy Brown Jr.,SF,22,CHI,3,37,,39%,53%,8%,,-1.3,14.4,0,1,1,1,0,0,8,0,0,browntr01
36,Jalen Brunson,SG,25,DAL,18,629,5%,83%,12%,,,0.7,0.3,6,6,9,6,42,17,179,11,11,brunsja01
37,Reggie Bullock,SF,30,DAL,18,707,,3%,79%,18%,,1.1,3.1,3,0,15,4,3,4,79,2,6,bullore01
38,Trey Burke,PG,29,DAL,10,37,100%,,,,,-19.7,-21.3,0,1,0,0,1,0,9,1,2,burketr01
39,Jared Butler,SG,21,UTA,1,5,100%,,,,,40.0,46.7,0,0,0,0,0,0,0,0,0,butleja02
40,Jimmy Butler,SF,32,MIA,17,629,,,57%,43%,,7.5,12.5,11,6,11,2,66,3,197,25,13,butleji01
41,Facundo Campazzo,PG,30,DEN,4,13,100%,,,,,-28.7,-20.0,2,0,0,0,0,0,5,0,0,campafa01
42,Vlatko Čančar,PF,24,DEN,2,9,,,,100%,,32.2,43.7,0,2,0,0,0,0,3,0,0,cancavl01
43,Clint Capela,C,27,ATL,2,40,,,,,100%,-34.4,-25.0,0,0,0,0,0,2,0,0,0,capelca01
44,Jevon Carter,PG,26,MIL,11,126,100%,,,,,24.4,29.5,1,3,5,1,1,0,24,0,1,carteje01
45,Alex Caruso,SG,27,CHI,4,113,87%,13%,,,,-9.0,8.4,1,0,5,0,0,6,38,0,1,carusal01
46,Marquese Chriss,PF,24,DAL,8,30,,,4%,54%,42%,-25.4,-27.0,0,0,3,0,0,0,0,0,1,chrisma01
47,Brandon Clarke,PF,25,MEM,12,296,,,,92%,8%,1.3,-1.9,1,7,8,2,23,4,60,4,10,clarkbr01
48,Jordan Clarkson,SG,29,UTA,6,170,,88%,12%,,,-1.3,11.1,5,1,6,3,8,1,18,1,2,clarkjo01
49,Nic Claxton,C,22,BRK,4,98,,,,,100%,1.4,12.3,1,0,2,1,9,1,15,2,0,claxtni01
50,John Collins,PF,24,ATL,5,122,,,,80%,20%,-27.8,-29.5,3,0,6,1,6,1,17,4,0,collijo01
51,Mike Conley,PG,34,UTA,6,174,100%,,,,,-9.2,-8.8,9,1,6,1,4,2,70,0,0,conlemi01
52,Pat Connaughton,SF,29,MIL,12,318,,6%,70%,24%,,1.8,1.1,4,1,11,1,1,5,27,0,1,connapa01
53,DeMarcus Cousins,C,31,DEN,5,57,,,,,100%,-2.9,8.9,0,2,1,3,6,0,15,2,2,couside01
